ms-ssim, psnr-y, psnr-u, psnr-v
0.994777, 37.323316, 44.975546, 44.726466
0.993801, 36.643069, 44.761136, 44.687563
0.993870, 36.708392, 44.760546, 44.668055
0.993371, 36.291668, 44.657605, 44.621866
0.993755, 36.483148, 44.644443, 44.566296
0.993107, 36.105360, 44.431305, 44.339039
0.993451, 36.326646, 44.592589, 44.383384
0.993394, 36.461743, 44.573004, 44.410158
0.993579, 36.600803, 44.522582, 44.346446
0.993591, 36.683642, 44.873460, 44.647755
0.993044, 36.148314, 44.786406, 44.412432
0.992906, 35.995536, 44.757112, 44.403345
0.993603, 36.640315, 44.755552, 44.477354
0.993113, 36.112316, 44.783649, 44.482754
0.992682, 35.746411, 44.803895, 44.481224
0.993122, 36.091457, 44.762386, 44.515033
0.992973, 35.885196, 44.628997, 44.361392
0.993004, 36.010995, 44.678496, 44.338284
0.992994, 36.062671, 44.697162, 44.410382
0.993221, 36.250199, 44.604591, 44.318994
0.993492, 36.434300, 44.876132, 44.560095
0.993926, 36.508804, 45.121710, 44.844354
0.994408, 36.998770, 45.109923, 44.917344
0.994225, 36.807384, 45.075946, 44.825644
0.994979, 37.761271, 45.206897, 44.950098
0.995573, 38.132310, 45.555351, 45.410896
0.995605, 38.038603, 45.604801, 45.522102
0.995534, 37.987051, 45.575608, 45.482871
0.996250, 39.046798, 45.962870, 45.787591
0.996288, 38.880668, 46.104000, 45.905897
0.996309, 38.918811, 46.188648, 46.017818
0.996317, 38.895274, 46.121387, 45.959759
0.996737, 39.454073, 46.527119, 46.350782
0.996532, 38.755736, 46.582033, 46.360451
0.996580, 39.101183, 46.368283, 46.288919
0.996570, 39.179658, 46.389892, 46.243227
0.996921, 39.617867, 46.683116, 46.430480
0.996439, 38.826118, 46.609726, 46.370595
0.996626, 39.269256, 46.580608, 46.328270
0.996453, 38.801127, 46.459067, 46.260985
0.996819, 39.490421, 46.618074, 46.403599
0.996547, 38.932761, 46.448868, 46.303151
0.996466, 38.768086, 46.562127, 46.390296
0.996572, 38.981308, 46.454195, 46.275028
0.996720, 39.309570, 46.550217, 46.365721
0.996390, 38.670977, 46.440584, 46.258486
0.996287, 38.312099, 46.343781, 46.233425
0.996294, 38.694839, 46.096537, 45.959530
0.996667, 39.219402, 46.468672, 46.318424
0.996433, 38.805518, 46.354036, 46.271587
0.996464, 38.959995, 46.426353, 46.274684
0.996510, 39.094518, 46.364416, 46.233425
0.996824, 39.523949, 46.590328, 46.402333
0.996579, 38.971383, 46.360652, 46.224569
0.996454, 38.597918, 46.449483, 46.390296
0.996573, 39.050237, 46.484694, 46.356541
0.997020, 39.759689, 46.679876, 46.588160
0.996664, 39.164195, 46.602879, 46.568700
0.996872, 39.540834, 46.701795, 46.621108
0.996740, 39.245131, 46.600864, 46.521858
0.996967, 39.609309, 46.915308, 46.755186
0.996341, 38.442173, 46.524670, 46.421569
0.996516, 38.826582, 46.613339, 46.525764
0.996771, 39.509676, 46.484023, 46.468878
0.997155, 40.064821, 46.869050, 46.733925
0.996722, 39.333376, 46.724861, 46.606540
0.996904, 39.693046, 46.807406, 46.717939
0.996909, 39.551148, 46.723280, 46.710648
0.997188, 40.051078, 46.859362, 46.826963
0.996735, 39.168494, 46.711627, 46.631720
0.996808, 39.469854, 46.739395, 46.689766
0.996659, 39.064248, 46.679174, 46.570226
0.997221, 40.092186, 46.960566, 46.941087
0.996767, 39.291765, 46.776937, 46.782240
0.996735, 39.026260, 46.917132, 46.837531
0.996639, 39.195209, 46.745419, 46.719356
0.997154, 40.092432, 47.006243, 46.901538
0.996901, 39.773763, 46.782516, 46.767893
0.997000, 39.851619, 46.964484, 46.870460
0.997191, 40.200996, 47.020583, 46.783732
0.996848, 39.260849, 46.972908, 46.760077
0.997031, 39.749183, 46.982853, 46.765194
0.996925, 39.469667, 46.926321, 46.745693
0.997210, 40.145880, 46.926950, 46.695722
0.996798, 39.172314, 46.897392, 46.760957
0.997005, 39.672137, 46.885490, 46.722026
0.996905, 39.491586, 46.730756, 46.639950
0.997242, 40.180121, 46.988819, 46.738957
0.996807, 39.176264, 46.855931, 46.668823
0.996816, 39.151997, 46.801073, 46.658067
0.996659, 38.934719, 46.826740, 46.745474
0.997241, 40.064682, 47.009271, 46.847843
0.996932, 39.500556, 46.920611, 46.834397
0.996885, 39.473378, 46.835964, 46.803072
0.996631, 39.034542, 46.715925, 46.700493
0.997169, 40.072351, 46.871644, 46.811578
0.996907, 39.517692, 46.910466, 46.889114
0.996867, 39.333490, 46.829589, 46.836971
0.996885, 39.414438, 46.928321, 46.919527
0.997275, 40.261747, 46.930037, 46.898017
0.996753, 39.049206, 46.878307, 46.847731
0.996729, 39.073133, 46.606115, 46.644927
0.996688, 38.910868, 46.694693, 46.773626
