ms-ssim, psnr-y, psnr-u, psnr-v
0.998095, 48.153369, 48.761950, 49.319296
0.997216, 47.076042, 48.328954, 49.187585
0.997316, 47.254524, 48.290221, 49.158448
0.997024, 47.087723, 47.999651, 48.948024
0.997657, 47.880484, 48.558074, 49.180090
0.997183, 47.314056, 48.034318, 48.992941
0.997370, 47.645664, 48.314536, 49.224769
0.997208, 47.433362, 48.049535, 49.056765
0.997667, 47.840755, 48.242459, 49.370651
0.997366, 47.491394, 47.987524, 49.116429
0.997602, 47.654658, 47.769563, 49.115672
0.998636, 49.590380, 51.251676, 51.905138
0.996696, 45.804846, 49.318800, 49.550364
0.996789, 46.326254, 49.153674, 49.276386
0.996266, 45.469001, 48.549347, 48.784417
0.996902, 46.062252, 48.625651, 48.933578
0.996637, 45.760662, 48.967361, 49.200395
0.997093, 46.247464, 49.333694, 49.544930
0.997254, 46.382009, 49.537940, 49.770487
0.998060, 47.484859, 49.863983, 50.254821
0.997799, 47.136263, 49.827390, 50.179852
0.998075, 47.213554, 49.861174, 50.338623
0.998449, 48.662606, 51.064278, 49.879857
0.997752, 47.827358, 50.588223, 49.394389
0.998074, 48.837191, 51.085069, 49.607402
0.997847, 48.831495, 50.965553, 49.751611
0.998393, 50.270527, 52.258216, 50.700118
0.998001, 49.471086, 51.044470, 49.303563
0.997774, 49.077952, 50.612588, 49.034241
0.998291, 50.113706, 51.672182, 49.835309
0.998235, 49.869409, 51.550193, 49.567648
0.998107, 49.416635, 51.256939, 49.222927
0.997972, 48.855305, 51.105062, 49.154151
0.998634, 50.164892, 51.898670, 50.008868
0.998659, 49.314565, 51.334601, 49.567858
0.997911, 46.675708, 50.624622, 48.386790
0.998201, 47.393207, 50.639374, 48.563068
0.997957, 47.288999, 50.623149, 48.544949
0.998213, 47.630653, 50.436620, 48.416885
0.997943, 47.160934, 50.537405, 48.514615
0.998887, 48.778505, 51.225920, 50.977590
0.998107, 47.322873, 50.788474, 50.474610
0.997982, 47.293442, 50.317988, 50.334989
0.997922, 46.915707, 50.104967, 49.598618
0.998315, 47.519910, 50.395656, 49.927261
0.998265, 47.314243, 50.346402, 50.244750
0.998238, 47.796008, 50.313125, 50.007241
0.998493, 47.184397, 49.456968, 49.406914
0.998308, 46.665943, 48.732146, 48.859471
0.998265, 46.401079, 48.463766, 48.485719
0.998357, 46.279309, 48.194758, 47.916972
0.998177, 45.782023, 47.684032, 47.510928
0.997980, 45.355865, 47.456620, 47.019824
0.997278, 43.903804, 46.102724, 45.634320
0.998028, 45.516450, 47.302638, 46.992646
0.997817, 45.292140, 47.055583, 46.817703
0.997880, 45.375221, 47.182503, 46.995664
0.997940, 45.598694, 47.424397, 47.119206
0.997857, 44.953652, 47.355484, 47.176265
0.997330, 43.436304, 46.653933, 46.329864
0.997519, 43.927958, 46.868317, 46.379301
0.997304, 43.590710, 46.596043, 45.973455
0.997663, 43.643787, 46.717613, 46.147145
0.997396, 42.976400, 46.602614, 45.946059
0.998827, 45.429810, 50.448432, 50.185173
0.998022, 44.309046, 49.814372, 49.513614
0.997937, 44.108712, 49.425667, 49.129884
0.997649, 43.685984, 49.328724, 49.012017
0.997865, 43.882313, 49.430750, 48.825452
0.997796, 43.843151, 49.349936, 48.924154
0.997504, 43.667532, 49.016268, 48.525749
0.997564, 43.795967, 48.977612, 48.554830
0.997511, 43.810887, 48.883615, 48.469386
0.997745, 44.057603, 49.074344, 48.426156
0.997527, 43.497824, 48.812642, 48.105543
0.997436, 43.244611, 48.198738, 47.833092
0.997384, 43.130248, 47.917762, 47.806141
0.998635, 46.764602, 49.982688, 49.666810
0.997403, 44.771343, 48.598359, 48.256019
0.997368, 44.686642, 48.520797, 47.914389
0.997225, 44.685695, 48.353250, 47.845642
0.997633, 45.216290, 48.724619, 48.176128
0.996991, 44.829292, 48.559738, 47.870070
0.997139, 45.110327, 48.660093, 47.951128
0.997245, 45.350218, 48.921350, 48.177499
0.997746, 45.805982, 49.207538, 48.589468
0.997347, 45.541809, 49.083723, 48.389110
0.997453, 45.699895, 49.197213, 48.512968
0.997411, 45.576016, 48.944022, 48.203949
0.997782, 46.108885, 49.446237, 48.700997
0.997483, 45.761328, 49.089831, 48.199734
0.997497, 45.725506, 48.793453, 47.965040
0.997457, 45.611571, 48.546359, 47.658664
0.997713, 45.881662, 49.046326, 48.292099
0.997433, 45.563067, 48.570070, 47.823949
0.997452, 45.512034, 48.424139, 47.650960
0.997333, 45.078970, 48.473872, 47.710233
0.998340, 45.932267, 47.960760, 49.290249
0.997534, 44.699540, 46.558083, 48.342075
0.997223, 44.449041, 46.254128, 47.771645
0.997730, 44.955883, 46.980249, 48.039188
0.997572, 43.816440, 46.916961, 47.047938
0.997374, 42.965163, 46.788213, 46.689063
0.997203, 42.752345, 46.482630, 46.206620
0.997573, 44.615275, 47.758199, 47.009271
0.997500, 44.697051, 47.263252, 46.872434
0.997906, 45.791846, 47.760760, 47.276176
0.997461, 44.403433, 46.634390, 46.383837
0.997564, 42.738202, 46.032908, 46.048565
0.997281, 42.342820, 45.568706, 45.849796
0.997928, 43.206917, 46.372858, 46.630972
0.997182, 42.287791, 45.219799, 45.480946
0.997446, 42.323612, 45.263643, 45.031103
0.997007, 40.457064, 44.445223, 43.869844
0.997700, 41.412096, 45.539255, 44.860089
0.996854, 40.024701, 44.608878, 43.841782
0.997098, 40.489484, 44.845521, 43.904808
0.996657, 40.994466, 44.620286, 43.845603
0.996791, 41.250891, 44.455303, 44.220012
