ms-ssim, psnr-y, psnr-u, psnr-v
0.997327, 46.032711, 49.260514, 50.000510
0.996807, 44.526551, 48.646232, 50.047264
0.997095, 45.049877, 48.616956, 50.238254
0.997031, 44.867667, 48.319573, 50.106630
0.997190, 45.190344, 48.819086, 50.159475
0.997076, 44.772039, 48.763433, 50.086711
0.997154, 44.928619, 48.367797, 49.864882
0.997122, 44.882819, 48.661882, 49.779295
0.997143, 45.140199, 48.726002, 50.029482
0.997044, 44.518847, 48.234575, 49.923044
0.997070, 44.638172, 48.535835, 50.097608
0.997067, 44.416365, 48.111469, 49.830177
0.997237, 45.672765, 49.041674, 50.200446
0.997190, 44.701131, 48.713999, 50.165012
0.997525, 45.366066, 49.043441, 50.505503
0.997661, 45.853632, 49.190664, 50.397435
0.997941, 46.617847, 49.549318, 50.623952
0.998088, 46.486371, 49.954370, 51.232075
0.998302, 46.517241, 49.906330, 51.511921
0.998424, 46.765497, 50.371591, 51.661799
0.998737, 48.347698, 51.184752, 52.007933
0.998649, 47.532340, 50.987914, 52.378845
0.998786, 48.058146, 51.134624, 52.435358
0.998829, 48.107737, 51.301929, 52.723643
0.999078, 49.059168, 51.888807, 52.852983
0.998855, 48.155832, 51.411590, 52.803835
0.998848, 48.333633, 51.327511, 52.709988
0.998894, 48.328106, 51.343597, 52.668420
0.999219, 50.175503, 52.547927, 53.364621
0.998986, 48.480915, 51.743312, 52.834014
0.999022, 48.908186, 51.881826, 53.009419
0.998978, 48.473464, 51.914137, 53.052058
0.999156, 49.413570, 52.361434, 53.296962
0.998902, 48.524923, 51.727577, 53.021260
0.998992, 48.797451, 51.961237, 53.172422
0.998929, 48.422486, 51.791387, 53.028706
0.999128, 49.398829, 52.388883, 53.300183
0.998912, 48.523582, 51.821090, 52.929017
0.998973, 48.875306, 51.792964, 53.070830
0.998826, 48.443056, 51.422517, 52.974549
0.999080, 49.252380, 52.381854, 53.484263
0.998950, 48.506202, 51.854905, 53.217187
0.998901, 48.357577, 51.862376, 53.143870
0.998803, 48.135311, 50.955861, 52.329199
0.998901, 48.448914, 51.867008, 52.889819
0.998883, 48.572720, 51.805598, 52.852089
0.998769, 48.047704, 51.648729, 52.786620
0.999122, 49.584712, 52.605220, 53.375201
0.998934, 48.689856, 51.961419, 53.034765
0.998952, 48.895197, 52.068185, 53.034765
0.998860, 48.512948, 51.954503, 53.016612
0.999066, 49.263131, 52.254902, 53.199468
0.998801, 48.281157, 51.683102, 52.829118
0.998793, 48.108599, 51.740022, 52.786180
0.998756, 48.147120, 51.521457, 52.630007
0.998978, 49.045884, 52.204141, 53.045506
0.998731, 48.140163, 51.525245, 52.596778
0.998796, 48.347679, 51.613784, 52.480077
0.998767, 48.021947, 51.277119, 52.453884
0.999004, 48.974841, 52.086893, 52.743225
0.998798, 47.980016, 51.449793, 52.426226
0.998880, 48.383792, 51.765542, 52.284037
0.998794, 47.808836, 51.609415, 52.282075
0.999015, 49.105775, 52.057557, 52.934255
0.998844, 48.105262, 51.421391, 52.196058
0.998815, 48.298833, 51.533160, 52.329992
0.998764, 47.856387, 51.522610, 52.396326
0.998954, 48.929656, 51.915399, 52.389687
0.998721, 47.969687, 51.326567, 52.295431
0.998777, 48.054089, 51.500112, 52.423996
0.998703, 47.745692, 51.363233, 52.221318
0.998966, 48.539064, 51.824971, 52.523188
0.998641, 47.262140, 51.485559, 52.519873
0.998745, 47.721352, 51.344229, 52.406808
0.998707, 47.393875, 51.127252, 52.172857
0.998931, 48.010308, 51.641785, 52.262509
0.998685, 47.242186, 51.122595, 51.987911
0.998752, 47.460689, 51.097890, 51.850819
0.998531, 46.688143, 50.563201, 51.670819
0.998809, 47.936107, 51.379770, 51.846560
0.998608, 47.196952, 51.180641, 52.097781
0.998639, 47.348741, 50.876679, 52.036750
0.998464, 46.822721, 50.924617, 52.028972
0.998812, 47.547789, 51.337755, 52.100225
0.998534, 46.770497, 50.881080, 52.139140
0.998562, 47.098871, 51.119743, 52.189910
0.998463, 46.902575, 50.530717, 51.745218
0.998664, 47.243092, 51.360218, 52.033600
0.998276, 46.862317, 50.705571, 51.857038
0.998473, 47.401406, 51.001035, 51.895978
0.998330, 47.151792, 50.926770, 51.867186
0.998779, 48.257357, 51.387424, 52.112655
0.998377, 47.281831, 50.914586, 51.966158
0.998342, 47.542222, 50.913871, 51.801383
0.998373, 47.484404, 50.882216, 51.947235
0.998708, 48.449867, 51.378496, 52.155680
0.998347, 47.561788, 50.959909, 52.186456
0.998441, 48.056330, 51.204292, 52.117372
0.998449, 47.687196, 51.111947, 52.154918
0.998813, 48.765963, 51.669116, 52.469008
0.998609, 48.193055, 51.316978, 52.233518
0.998586, 48.277237, 51.219774, 52.368030
0.998468, 47.990443, 51.107605, 52.452252
0.998772, 48.768778, 51.598511, 52.674211
0.998480, 48.255456, 51.052294, 52.436374
0.998572, 48.607080, 50.796407, 52.425617
0.998520, 48.413343, 50.683664, 52.231773
0.998658, 48.707687, 51.159994, 52.434139
0.998404, 48.050886, 50.882500, 52.145976
0.998510, 48.403397, 50.874977, 51.934726
0.998393, 48.252702, 50.799054, 52.172475
0.998639, 48.726564, 51.256009, 52.404386
0.998478, 48.385451, 51.104614, 52.357242
0.998254, 48.024319, 50.920172, 52.026938
0.998490, 48.464987, 51.354829, 52.189718
0.997780, 47.870798, 51.309290, 51.762757
0.998069, 48.421196, 51.482622, 51.986262
0.998056, 48.057498, 51.217011, 51.736388
0.998508, 48.597268, 51.823383, 52.275805
0.997949, 48.064416, 51.127252, 51.870752
