ms-ssim, psnr-y, psnr-u, psnr-v
0.992306, 37.835641, 41.376426, 41.568374
0.991692, 37.627390, 41.708460, 41.415861
0.988891, 36.314887, 40.614418, 40.515702
0.988632, 36.347494, 40.452754, 40.352761
0.989447, 36.124146, 40.630436, 40.218748
0.991342, 37.077038, 41.060827, 40.758642
0.990420, 35.949615, 40.389348, 40.413436
0.990952, 36.699218, 40.772764, 40.530115
0.990920, 36.859958, 40.801145, 40.297339
0.991477, 37.190500, 40.891432, 40.544378
0.990552, 36.565348, 40.327943, 39.904515
0.991051, 36.833104, 40.449473, 40.046760
0.991041, 36.975574, 40.552180, 40.217260
0.991187, 36.730313, 40.282353, 40.276788
0.989421, 36.058261, 40.045166, 39.398526
0.989374, 35.822885, 39.897545, 38.981930
0.989735, 36.108253, 40.310497, 39.773920
0.990011, 36.017536, 40.377380, 39.821377
0.988870, 35.720206, 40.167024, 39.600247
0.989518, 35.829633, 40.306700, 40.023917
0.989104, 35.794881, 39.967712, 39.690964
0.990597, 36.556166, 40.284891, 39.991717
0.990268, 36.603958, 40.435082, 39.357320
0.990994, 36.906534, 40.228001, 39.410506
0.990068, 36.474848, 40.043678, 39.206456
0.991374, 37.105841, 40.391454, 39.933936
0.991085, 37.004419, 40.031643, 39.817172
0.990370, 36.707422, 39.751644, 39.581558
0.990246, 36.624781, 39.378955, 39.352653
0.991811, 38.539021, 41.221432, 41.379499
0.991795, 38.668798, 40.833771, 40.918496
0.992385, 39.138022, 40.775757, 41.028748
0.991979, 39.094937, 41.125194, 41.025076
0.993730, 40.519784, 42.808769, 42.416182
0.993319, 40.146986, 42.751389, 42.242039
0.993486, 40.273382, 43.066787, 42.446525
0.993195, 40.095711, 42.612218, 41.949596
0.992799, 40.511532, 43.052479, 42.820097
0.991910, 40.134024, 42.328466, 42.094681
0.993124, 40.403382, 42.411371, 42.480077
0.992208, 39.975268, 42.354111, 42.372813
0.994034, 40.597963, 42.976527, 42.726401
0.991995, 39.513412, 42.098739, 41.981392
0.992260, 39.728335, 41.858408, 42.126974
0.991258, 39.221163, 41.661153, 41.616862
0.992986, 39.860571, 42.126880, 42.118543
0.990175, 38.676547, 41.389563, 41.471461
0.990795, 38.761972, 41.346442, 41.461255
0.989430, 38.328759, 40.723559, 41.327653
0.992022, 39.306067, 41.436731, 41.913723
0.988877, 38.009782, 40.864013, 41.284781
0.990536, 38.464211, 40.972801, 41.567958
0.988277, 37.561085, 40.830499, 40.927172
0.991990, 39.278242, 41.632471, 41.956049
0.987043, 37.283466, 40.292177, 40.817379
0.988710, 37.655189, 40.686393, 41.030482
0.986485, 37.351859, 40.564060, 40.798859
0.989709, 38.475322, 40.865880, 41.299817
0.985877, 37.397998, 40.569741, 41.236821
0.987183, 37.572544, 40.503640, 41.305467
0.984191, 36.898705, 40.328931, 40.916218
0.987660, 37.456683, 40.749180, 40.827973
0.983120, 36.582284, 39.874672, 40.473265
0.982326, 35.861459, 39.716644, 39.581484
0.980927, 36.011756, 39.838972, 39.940520
0.985189, 36.690164, 40.418937, 40.294757
0.980705, 36.150680, 39.985669, 40.357114
0.982583, 36.481626, 39.983046, 40.664408
0.980627, 36.489756, 39.749914, 40.464339
0.984357, 36.706108, 40.353163, 40.711140
0.978558, 36.232959, 39.888449, 40.480097
0.980695, 36.322936, 39.732184, 40.351315
0.978249, 35.802265, 39.576453, 39.645085
0.983874, 36.686971, 39.981060, 40.184640
0.977283, 35.603427, 39.436388, 39.247409
0.979531, 35.865026, 39.359061, 39.013163
0.976421, 35.558546, 39.468669, 39.159422
0.982353, 36.284095, 39.838336, 39.573909
0.977642, 35.583898, 39.257454, 39.404325
0.980067, 35.706714, 39.242206, 39.060396
0.978206, 35.352974, 38.912928, 38.738437
0.983184, 35.932355, 39.213329, 39.090047
0.977439, 35.022561, 38.823126, 38.899272
0.979055, 35.290305, 38.886440, 39.097972
0.973614, 34.734706, 38.469566, 38.418053
0.980990, 35.813009, 39.303355, 39.372959
0.976248, 34.939226, 38.304299, 38.642473
0.977930, 35.305351, 38.608186, 39.062592
0.974379, 34.650342, 38.245299, 38.274761
0.981292, 35.957843, 39.113015, 39.562110
0.973635, 34.716920, 38.142181, 38.410029
0.977564, 35.266219, 38.434016, 38.544443
