ms-ssim, psnr-y, psnr-u, psnr-v
0.971211, 27.639859, 37.557093, 40.389505
0.971264, 27.689776, 37.585276, 40.399579
0.971310, 27.699119, 37.598000, 40.416766
0.971336, 27.700646, 37.602377, 40.409829
0.971341, 27.694289, 37.588292, 40.416545
0.971363, 27.704267, 37.611306, 40.417924
0.971391, 27.707231, 37.619663, 40.417260
0.971370, 27.708018, 37.620369, 40.417328
0.971363, 27.700751, 37.617179, 40.415847
0.971395, 27.706298, 37.616732, 40.421006
0.971423, 27.708164, 37.618492, 40.425573
0.971443, 27.709160, 37.617358, 40.423067
0.971438, 27.702805, 37.614893, 40.423118
0.971437, 27.703044, 37.614688, 40.423084
0.971436, 27.702968, 37.614688, 40.422914
0.971437, 27.703096, 37.614688, 40.423084
0.971438, 27.702805, 37.614893, 40.423118
0.971636, 27.743955, 37.631834, 40.443087
0.971707, 27.751641, 37.642089, 40.461411
0.971732, 27.754777, 37.651658, 40.452668
0.971747, 27.749712, 37.648697, 40.450833
0.981701, 29.449367, 37.938640, 40.788363
0.981782, 29.456033, 37.929618, 40.789717
0.981852, 29.456071, 37.924170, 40.780825
0.981856, 29.454525, 37.920759, 40.772173
0.986486, 30.846939, 38.345279, 40.967929
0.986480, 30.869697, 38.345268, 40.945172
0.986471, 30.868636, 38.338609, 40.936608
0.986457, 30.862579, 38.333234, 40.925325
0.988754, 32.113541, 38.788497, 41.187027
0.988774, 32.113605, 38.814307, 41.189547
0.988781, 32.112126, 38.808004, 41.185584
0.988776, 32.107922, 38.826172, 41.196323
0.988948, 32.169634, 38.778192, 41.117483
0.988954, 32.167326, 38.763142, 41.103886
0.988962, 32.169184, 38.762619, 41.099801
0.989009, 32.172035, 38.756751, 41.093990
0.989000, 32.169489, 38.734745, 41.066352
0.989002, 32.169883, 38.734571, 41.069773
0.989001, 32.169554, 38.732446, 41.069674
0.989040, 32.172574, 38.727115, 41.065542
0.989018, 32.170676, 38.728568, 41.064969
0.989019, 32.170679, 38.727276, 41.065463
0.989018, 32.170709, 38.727218, 41.062954
0.989049, 32.174660, 38.725858, 41.064297
0.989043, 32.174979, 38.725339, 41.064297
0.989048, 32.176181, 38.725812, 41.064613
0.989054, 32.177343, 38.726123, 41.064633
0.989090, 32.181250, 38.725731, 41.066807
0.989350, 32.370695, 38.848410, 41.149456
0.989383, 32.381352, 38.847177, 41.146777
0.989394, 32.382413, 38.846857, 41.144422
0.989431, 32.381481, 38.840389, 41.133008
0.992395, 33.083177, 39.461520, 41.608631
0.992417, 33.090964, 39.451521, 41.601159
