ms-ssim, psnr-y, psnr-u, psnr-v
0.992783, 37.095688, 44.258512, 45.202861
0.990914, 36.406544, 44.083001, 45.087529
0.990264, 36.130392, 43.951677, 44.986096
0.990414, 36.234657, 43.934372, 45.006172
0.990799, 36.079070, 43.898402, 44.896385
0.989985, 35.948893, 43.932680, 44.983904
0.990013, 36.001678, 44.033556, 44.949155
0.989864, 35.815424, 43.927549, 45.122276
0.991119, 36.532668, 44.143690, 45.065399
0.989699, 35.748323, 44.028715, 45.154414
0.990131, 35.848924, 44.063185, 45.085509
0.990070, 35.922242, 44.129923, 45.211475
0.991241, 36.402890, 44.036786, 44.945026
0.989558, 35.568689, 43.852805, 45.131904
0.989436, 35.519426, 43.801806, 45.021843
0.988258, 35.145925, 43.688268, 45.051945
0.988243, 35.030975, 43.650642, 44.847078
0.987148, 34.700204, 43.721221, 44.940937
0.987236, 34.825043, 43.579182, 44.782847
0.987003, 34.921116, 43.651609, 44.811858
0.987913, 35.020389, 43.539419, 44.703699
0.987720, 34.902448, 43.505446, 44.910406
0.988076, 34.754403, 43.359692, 44.730737
0.988501, 34.687086, 43.366709, 44.709559
0.989574, 35.498909, 43.539262, 44.841524
0.989777, 35.663627, 43.738327, 45.019448
0.990248, 35.927279, 43.794716, 45.093220
0.990554, 36.118904, 43.970006, 45.330390
0.991844, 36.727826, 43.861598, 45.197216
0.991262, 36.509864, 44.174537, 45.444683
0.991907, 36.722927, 44.091024, 45.445901
0.992413, 36.976678, 44.394118, 45.697580
0.993627, 37.714574, 44.356900, 45.561564
0.992993, 37.263196, 44.498733, 45.715961
0.993458, 37.308936, 44.522024, 45.699648
0.993629, 37.478929, 44.633645, 45.772671
0.994532, 38.211588, 44.570346, 45.685799
0.994001, 37.822084, 44.660046, 45.853498
0.993779, 37.721949, 44.632162, 45.835861
0.993981, 37.913471, 44.795141, 45.932994
0.994667, 38.268827, 44.715291, 45.881168
0.994029, 37.871955, 44.834001, 45.995073
0.993821, 37.755102, 44.717523, 45.929087
0.993953, 37.860201, 44.910801, 46.013509
0.994465, 38.160360, 44.951983, 46.024916
0.993820, 37.826344, 44.964440, 46.030118
0.993824, 37.882973, 44.870967, 46.003611
0.994166, 38.178688, 45.058072, 46.073799
0.994622, 38.375490, 45.059782, 46.004212
0.994507, 38.448064, 45.181360, 46.120533
0.994918, 38.518284, 45.135874, 46.119916
0.994378, 38.175710, 45.150844, 46.187684
0.994576, 38.147854, 45.042456, 46.072484
0.994723, 38.172472, 45.208705, 46.205361
0.995155, 38.330488, 45.213362, 46.091536
0.994941, 38.262058, 45.299755, 46.202700
0.994753, 38.179458, 45.245408, 46.088096
0.994795, 38.395781, 45.490746, 46.220827
0.995128, 38.726473, 45.532742, 46.161542
0.994708, 38.663388, 45.607415, 46.284086
0.994601, 38.619187, 45.413234, 46.244790
0.994590, 38.399960, 45.433850, 46.282214
0.995468, 38.955001, 45.526901, 46.279703
0.994679, 38.328266, 45.432554, 46.258486
0.994642, 38.254564, 45.319523, 46.252219
0.994716, 38.533129, 45.686100, 46.519048
0.995413, 39.072573, 45.551061, 46.478711
0.994584, 38.396308, 45.400509, 46.401877
0.994811, 38.218054, 45.387260, 46.561076
0.994894, 38.473172, 45.469492, 46.671840
0.995437, 38.971854, 45.393719, 46.577127
0.994757, 38.408735, 45.233010, 46.519620
0.994943, 38.517081, 45.545570, 46.634550
0.994805, 38.495157, 45.435958, 46.559133
0.995484, 39.108706, 45.623978, 46.574228
0.995029, 38.834415, 45.603537, 46.677124
0.994937, 38.591031, 45.465490, 46.507618
0.994572, 38.162319, 45.386619, 46.682090
0.995249, 38.537648, 45.540044, 46.588847
0.994687, 38.284550, 45.567034, 46.553309
0.994714, 38.304496, 45.472884, 46.517488
0.994609, 38.361440, 45.511735, 46.555722
0.994917, 38.472933, 45.471208, 46.505751
0.994533, 38.444515, 45.478734, 46.611851
0.994567, 38.346840, 45.428465, 46.533847
