ms-ssim, psnr-y, psnr-u, psnr-v
0.995547, 39.136595, 47.604725, 47.433636
0.994718, 38.494352, 47.757363, 47.752000
0.994527, 38.409874, 47.647623, 47.503201
0.994517, 38.354004, 47.696429, 47.555782
0.994889, 38.496483, 47.700841, 47.583938
0.994235, 38.144885, 47.496494, 47.295699
0.994237, 38.196690, 47.278530, 47.171003
0.994223, 38.086897, 47.366838, 47.100769
0.994464, 38.391655, 47.435152, 47.316413
0.993913, 38.090920, 47.239284, 46.989610
0.994170, 38.206056, 47.378512, 47.111714
0.994035, 37.968469, 47.375056, 47.047640
0.994369, 38.393596, 47.300317, 47.048036
0.993582, 37.674523, 47.217217, 46.884214
0.993049, 37.341966, 47.158857, 46.778490
0.992328, 37.232044, 46.647813, 46.266872
0.992038, 37.045093, 47.009959, 46.693138
0.991467, 36.556299, 46.810923, 46.306506
0.991334, 36.644546, 46.602420, 46.345297
0.991488, 36.676222, 46.676643, 46.302303
0.991337, 36.696415, 46.690460, 46.254721
0.991936, 36.880476, 46.620401, 46.090345
0.992381, 37.028847, 46.739955, 46.423504
0.992738, 37.354396, 46.775356, 46.429200
0.993379, 37.831782, 46.631609, 46.436079
0.993703, 37.771532, 46.944518, 46.613851
0.993912, 37.971942, 47.090718, 46.678068
0.993906, 37.975364, 47.017626, 46.687815
0.994751, 38.612378, 47.287141, 47.001324
0.994520, 38.404240, 47.305325, 47.151037
0.994719, 38.811926, 47.204804, 46.937107
0.994964, 38.594818, 47.413255, 47.253700
0.995775, 39.286518, 47.523678, 47.549105
0.995266, 38.931244, 47.538628, 47.543696
0.995345, 39.000491, 47.907021, 47.739628
0.995678, 39.115489, 47.892515, 47.762888
0.996211, 39.658960, 47.881537, 47.767173
0.995758, 39.236127, 47.938773, 47.686624
0.995647, 39.116918, 47.991681, 47.824176
0.995694, 39.080646, 47.796856, 47.717069
0.996149, 39.553760, 47.916812, 47.834218
0.995713, 39.087349, 47.723277, 47.633352
0.995826, 39.312581, 47.627460, 47.653086
0.995884, 39.129664, 47.751379, 47.674742
0.996253, 39.677523, 47.855485, 47.846704
0.995927, 39.213301, 47.632029, 47.549253
0.996125, 39.432226, 47.885700, 47.973006
0.995968, 39.026634, 47.856241, 47.837188
0.996470, 39.994454, 47.844244, 47.892515
0.996263, 39.562018, 48.043705, 47.953801
0.996258, 39.463519, 48.048027, 47.987825
0.996161, 39.408915, 47.895163, 47.756508
0.996682, 40.163742, 47.978813, 47.998911
0.996412, 39.805808, 47.799251, 47.848411
0.996482, 39.936827, 47.788780, 47.894280
0.996444, 39.813418, 47.917377, 47.985611
0.996648, 40.230960, 47.918588, 48.025302
0.996415, 39.807549, 47.835287, 47.941328
0.996520, 39.917228, 48.239106, 48.300496
0.996212, 39.602788, 48.162149, 48.189554
0.996765, 40.353731, 48.170994, 48.308921
0.996595, 40.069684, 48.097243, 48.205046
0.996598, 40.109528, 48.341718, 48.396605
0.996501, 40.096108, 48.241583, 48.318026
0.996724, 40.365836, 48.340205, 48.422089
0.996681, 40.245339, 48.258309, 48.310423
0.996584, 40.120073, 48.360979, 48.387873
0.996643, 40.146974, 48.266565, 48.251768
0.996877, 40.496650, 48.285320, 48.303891
0.996797, 40.356554, 48.173305, 48.109371
0.996733, 40.203266, 48.407702, 48.350580
0.996832, 40.226459, 48.414166, 48.379653
0.997026, 40.636225, 48.397371, 48.407747
0.996882, 40.285634, 48.400075, 48.337227
0.996785, 40.228959, 48.564758, 48.532843
0.996729, 40.196794, 48.436070, 48.360130
0.997022, 40.666580, 48.468104, 48.486693
0.996816, 40.303800, 48.362409, 48.412176
0.996790, 40.438235, 48.417288, 48.563915
0.996751, 40.270884, 48.511649, 48.553113
0.997053, 40.745711, 48.472365, 48.530565
0.996775, 40.354387, 48.343364, 48.262632
0.996846, 40.472767, 48.320903, 48.326264
0.996827, 40.441412, 48.505131, 48.482923
0.997128, 40.881252, 48.459959, 48.472274
0.996702, 40.320736, 48.417198, 48.473512
0.996715, 40.375873, 48.463938, 48.383334
0.996606, 40.441802, 48.273041, 48.335716
0.996910, 40.769543, 48.563353, 48.619283
0.996469, 40.195526, 48.318867, 48.465906
0.996510, 39.993567, 48.236804, 48.257000
0.997051, 40.422547, 48.566491, 48.732378
0.996719, 40.035473, 48.388907, 48.519521
0.996764, 40.174769, 48.404000, 48.352586
0.996806, 40.194309, 48.396064, 48.343854
0.997041, 40.414002, 48.545972, 48.349911
0.996775, 40.123835, 48.289318, 47.944412
0.996801, 40.275484, 48.280580, 48.083723
0.996613, 39.897560, 48.232550, 48.027701
0.996966, 40.437774, 48.362007, 48.186205
0.996667, 40.046578, 48.343231, 48.205132
0.996547, 39.933300, 48.422588, 48.264860
0.996861, 40.257064, 48.420956, 48.343898
0.996415, 39.955115, 48.316522, 48.109919
0.996168, 39.684792, 48.048942, 47.765030
0.996535, 39.973111, 48.252814, 47.877577
0.996025, 39.690754, 48.058809, 47.579494
0.995798, 39.347325, 47.816128, 47.503091
0.996380, 39.757241, 48.286506, 48.027867
0.995880, 39.528591, 48.159461, 47.725245
0.995855, 39.403558, 48.253337, 47.732546
0.996170, 39.372955, 48.130846, 47.806167
0.995615, 39.084554, 47.946037, 47.617320
0.996039, 39.159526, 48.019556, 47.839327
0.996094, 39.214648, 48.040217, 47.840040
0.995546, 38.993046, 47.750718, 47.087417
0.996028, 39.137267, 47.970882, 47.518964
0.995056, 38.807953, 47.674475, 47.103611
0.995899, 39.042783, 48.012994, 47.379938
0.994992, 38.669232, 47.482857, 46.942745
0.995573, 38.631644, 47.653086, 47.083919
0.994925, 38.630787, 47.705719, 46.945099
0.994452, 38.514856, 47.626743, 46.771481
0.995725, 39.084891, 48.099893, 47.233041
0.994364, 38.510491, 47.897050, 46.979585
0.995628, 39.235510, 48.138651, 47.416597
0.994677, 38.703487, 48.012169, 47.285571
0.994986, 39.181876, 48.188008, 47.389681
0.995246, 39.219523, 48.390167, 47.570656
0.996034, 39.646292, 48.530008, 47.819322
0.995406, 39.270797, 48.542477, 47.744588
0.995383, 39.336229, 48.751060, 47.986226
0.995324, 39.318474, 48.737346, 47.998212
0.995988, 39.987084, 48.628208, 47.922181
0.995520, 39.474069, 48.763397, 47.944006
0.995380, 39.557536, 48.838410, 48.104355
0.995125, 38.983134, 48.593608, 47.774780
0.995794, 39.930365, 48.689947, 48.093208
0.994968, 38.844540, 48.785957, 47.981801
0.995212, 39.467701, 48.631869, 47.775249
0.995045, 39.014148, 48.727951, 47.894280
0.995402, 39.689690, 48.605269, 48.032505
0.994870, 38.945063, 48.511001, 47.493017
0.995030, 39.125539, 48.734764, 47.942180
0.995078, 39.050612, 48.717460, 47.850794
0.995400, 39.535155, 48.603614, 47.895524
0.995179, 39.345695, 48.432025, 47.564626
0.995186, 39.276290, 48.636342, 47.925818
0.994833, 38.827443, 48.458679, 47.723740
0.995383, 39.383532, 48.597712, 47.981515
0.994886, 38.980475, 48.341629, 47.521062
0.995141, 39.278059, 48.474291, 47.845315
0.994921, 39.010371, 48.571366, 47.849484
0.995399, 39.451401, 48.466730, 47.982579
0.995076, 39.147752, 48.262239, 47.589845
0.995359, 39.342536, 48.549191, 47.909275
0.995110, 39.003973, 48.453883, 47.780641
0.995467, 39.383222, 48.445172, 47.899822
0.994996, 38.668331, 48.228734, 47.638079
0.995244, 39.061032, 48.415161, 47.924241
0.995091, 38.850313, 48.201211, 47.670471
0.995488, 39.186464, 48.255430, 47.861376
0.995266, 38.961062, 48.176002, 47.326613
0.995284, 38.878734, 48.167018, 47.224537
0.995203, 38.813266, 48.067780, 46.944518
0.995576, 39.207250, 47.831923, 46.776628
0.995375, 39.192328, 47.831250, 46.390649
0.995151, 38.858475, 47.719998, 46.150095
0.995481, 39.246414, 47.571662, 46.057226
0.995039, 38.944510, 47.573936, 45.754494
0.995248, 39.240296, 47.564031, 45.576643
0.994914, 39.029466, 47.428406, 45.729629
0.995459, 39.613560, 47.452554, 45.666268
0.994828, 39.014583, 47.129682, 45.454141
0.994915, 39.168838, 47.144616, 45.379822
0.994554, 38.963437, 47.076566, 45.012748
0.995386, 39.468521, 47.311392, 45.434758
0.994673, 38.793079, 47.043382, 45.031059
0.994803, 38.803029, 47.033397, 44.907541
0.994697, 38.769776, 47.232800, 45.115337
0.995331, 39.489270, 47.550513, 45.830255
0.994532, 38.900047, 47.435983, 45.423906
0.994860, 38.829900, 47.602923, 45.707500
0.994899, 38.993258, 47.602022, 45.641638
0.995349, 39.235977, 47.698193, 45.792642
0.995022, 38.866663, 47.667537, 45.660793
0.994934, 38.799920, 47.681806, 45.617789
0.994886, 38.873205, 47.487970, 45.535556
0.995172, 39.068963, 47.493712, 45.526682
0.994719, 38.811062, 47.232593, 45.076946
0.994858, 39.037585, 47.154861, 45.004942
0.994574, 38.843032, 47.200560, 45.014733
0.995094, 39.417132, 47.258100, 45.329416
0.994427, 39.027390, 47.353069, 45.413897
0.994880, 39.503925, 47.367442, 45.339723
0.994051, 39.058613, 47.416418, 45.347552
0.994017, 39.243380, 47.391468, 45.470004
0.993623, 38.842464, 47.395759, 45.506719
0.994281, 39.114565, 47.580203, 45.788340
0.993478, 38.690236, 47.650050, 45.779552
0.993496, 38.828269, 47.892474, 45.952652
0.993221, 38.365673, 47.778217, 45.840822
0.993672, 38.432017, 47.829036, 46.036820
0.992834, 38.036051, 47.765303, 46.030911
0.993087, 37.910228, 47.714065, 46.106642
0.992980, 37.801963, 47.700649, 46.057883
0.992770, 37.592616, 47.707717, 45.970371
0.992394, 37.414266, 47.664871, 45.834024
0.992208, 37.216011, 47.608593, 45.748442
0.992098, 37.128281, 47.527696, 45.725267
0.992182, 37.051459, 47.577404, 45.841222
0.991936, 36.946105, 47.420770, 45.855353
0.991827, 37.062851, 47.475817, 46.013881
0.991988, 37.185739, 47.375306, 45.968001
0.992970, 37.557138, 47.443790, 46.384267
0.993246, 37.676703, 47.668451, 46.604150
0.991444, 37.192494, 47.734596, 46.556701
0.991454, 37.357649, 47.748506, 46.629239
0.992459, 37.553554, 48.002242, 46.901646
0.993802, 38.041224, 47.947215, 46.992968
0.992621, 37.549928, 47.886141, 46.936077
0.992908, 37.917294, 48.082675, 47.216187
0.992290, 37.396266, 48.092829, 47.353495
0.993006, 37.867200, 47.992995, 47.326331
0.992397, 37.470425, 48.235284, 47.327071
0.991991, 37.442838, 48.210395, 47.466970
0.991837, 37.282196, 48.036981, 47.271849
0.992801, 37.714829, 48.146640, 47.652593
0.992022, 37.183669, 48.115912, 47.464752
0.992121, 37.370027, 48.034742, 47.450416
0.992240, 37.202153, 48.075933, 47.457850
0.992697, 37.351297, 47.977340, 47.527733
0.992108, 37.001789, 48.027246, 47.112988
0.992438, 37.243195, 48.178614, 47.458286
0.992124, 37.046567, 48.308524, 47.551848
0.992754, 37.436469, 48.154899, 47.515358
0.992193, 37.316598, 48.225788, 47.285745
0.992223, 37.444177, 48.357584, 47.431976
0.991966, 37.306874, 48.162534, 47.252280
0.992654, 37.610237, 48.251681, 47.475416
0.991805, 37.311248, 48.248937, 47.455237
0.991815, 37.417587, 48.119123, 47.376873
0.991677, 37.154404, 48.159077, 47.382576
0.992279, 37.443744, 48.115532, 47.454186
0.991219, 37.210272, 48.133601, 47.380615
0.991455, 37.305163, 48.207849, 47.457378
0.990930, 36.988925, 48.101450, 47.388288
0.991526, 37.249709, 47.995746, 47.326860
0.990129, 36.712726, 47.935490, 47.077464
0.988464, 35.998536, 47.747381, 46.880272
0.994805, 39.156562, 49.035283, 48.395794
0.991639, 37.492230, 48.449457, 47.766628
0.990523, 37.139949, 48.142133, 47.470026
0.990702, 37.249921, 48.139670, 47.398193
0.991233, 37.359159, 47.959175, 47.347227
0.990882, 37.090304, 47.933343, 47.209223
0.991594, 37.348125, 47.747225, 47.051472
0.990557, 37.015429, 47.689303, 46.804048
0.990529, 36.925482, 47.782557, 46.624024
0.990649, 36.799764, 47.688805, 46.670916
0.991688, 37.182889, 47.740480, 46.837177
0.990627, 36.754793, 47.848570, 46.806359
0.990410, 36.579555, 47.692980, 46.667949
0.989780, 36.468578, 47.410490, 46.392836
0.990799, 36.853603, 47.445455, 46.617319
0.989315, 36.282191, 47.401094, 46.442251
0.989196, 36.305328, 47.282816, 46.225846
0.989075, 36.222654, 47.448315, 46.318411
0.989775, 36.504984, 47.144380, 46.056227
0.987499, 36.032227, 47.226601, 46.122011
0.987365, 36.024485, 46.746698, 45.936539
0.988131, 36.271524, 47.005378, 46.195534
0.989644, 36.567873, 46.865648, 46.144270
0.988857, 36.510800, 47.097694, 46.247849
0.989061, 36.520619, 47.123595, 46.263038
0.987601, 35.895283, 47.085085, 46.337185
0.988816, 36.283168, 46.870877, 46.245240
0.987912, 36.005605, 47.156316, 46.539863
0.987346, 35.874140, 46.947325, 46.339261
0.987115, 35.775143, 47.058287, 46.453066
0.987468, 35.813568, 46.828690, 46.115638
0.986128, 35.655560, 47.026030, 46.412592
0.985455, 35.559155, 46.732762, 45.958559
0.985525, 35.657215, 46.926625, 46.201210
0.987667, 35.873424, 46.706519, 45.905126
0.985966, 35.543792, 46.871606, 46.018204
0.985668, 35.428986, 46.873827, 46.086453
0.987335, 35.833628, 46.772720, 45.954500
0.985824, 35.629065, 47.114262, 46.348500
0.985377, 35.487788, 46.853852, 46.087406
0.986146, 35.573159, 47.142287, 46.296299
0.987342, 35.756166, 46.899060, 46.052391
0.985735, 35.416511, 46.972406, 45.969778
0.986325, 35.556212, 47.259417, 46.137838
0.986221, 35.507604, 46.886218, 45.903502
0.985369, 35.508338, 47.222886, 46.021253
0.985320, 35.434835, 47.018577, 45.915165
0.984909, 35.323366, 47.141274, 46.088730
0.983836, 34.981781, 46.840796, 45.689998
0.982105, 34.538659, 46.781440, 45.667878
