ms-ssim, psnr-y, psnr-u, psnr-v
0.994305, 42.976381, 47.032574, 45.447305
0.991875, 41.471171, 46.810485, 45.607608
0.991166, 41.431395, 46.675278, 45.433005
0.991108, 41.166367, 46.704810, 45.458559
0.992978, 41.799565, 46.503059, 45.092266
0.991390, 41.398384, 46.668857, 45.395009
0.991885, 41.522548, 46.772101, 45.540058
0.991698, 41.410479, 46.841395, 45.519452
0.992133, 41.903285, 46.682711, 45.308434
0.992137, 41.374951, 46.756384, 45.315498
0.992000, 41.191643, 46.941778, 45.160117
0.991532, 41.584735, 46.945099, 45.255588
0.992978, 42.237772, 47.018053, 45.535532
0.991860, 41.782793, 46.925244, 45.264252
0.991807, 41.319243, 46.837082, 44.993074
0.991146, 40.959772, 46.794847, 44.996038
0.990632, 40.884063, 46.581695, 44.570351
0.991684, 41.019554, 47.137058, 45.049906
0.992073, 41.472463, 47.178654, 45.042865
0.991663, 41.593196, 47.092620, 45.116353
0.993500, 42.588570, 47.127764, 45.252332
0.993104, 42.509660, 47.464388, 45.507043
0.993905, 42.854663, 47.654339, 45.862612
0.994424, 43.209275, 48.002900, 46.385798
0.995523, 44.380748, 48.096444, 46.561540
0.994446, 43.429410, 48.048984, 46.441246
0.994318, 43.494169, 48.068031, 46.581131
0.994706, 43.608799, 48.271421, 46.806328
0.996071, 44.497883, 48.441074, 47.077065
0.995429, 44.050760, 48.680173, 47.282433
0.995135, 43.808710, 48.269846, 46.916424
0.995181, 43.511773, 48.403233, 47.011760
0.996407, 45.030872, 48.834272, 47.389967
0.995401, 44.056449, 48.653898, 47.352432
0.995708, 44.455124, 48.928061, 47.433131
0.995924, 44.419350, 49.006361, 47.571439
0.996549, 45.092760, 48.939992, 47.613820
0.996085, 44.636622, 49.158730, 47.724087
0.995726, 44.372241, 48.915248, 47.311041
0.995919, 44.447010, 49.238115, 47.572892
0.996348, 44.748483, 49.060880, 47.443067
0.995836, 44.308959, 48.713048, 47.273240
0.995574, 44.107896, 48.701531, 47.095824
0.995175, 43.844219, 48.659111, 47.130961
0.996415, 44.523685, 48.669653, 47.222783
0.995418, 43.934759, 48.769873, 47.107494
0.995269, 44.196674, 48.486417, 46.727390
0.995315, 44.012146, 48.676904, 46.783304
0.996204, 44.681008, 48.825958, 47.180322
0.995309, 43.871351, 48.665913, 46.947422
0.995594, 44.048496, 48.635485, 46.850348
0.995283, 43.159800, 48.775817, 46.900433
0.996269, 44.746596, 48.924905, 47.361368
0.995547, 43.650235, 49.132979, 47.401846
0.995508, 44.096290, 48.991146, 47.395258
0.995102, 44.138185, 48.952007, 47.254635
0.996278, 44.967383, 48.950983, 47.517160
0.995511, 44.154443, 48.631108, 47.397083
0.995378, 44.109134, 48.464121, 47.340086
0.995351, 43.998717, 48.515491, 47.368651
0.996222, 44.775103, 48.468562, 47.509587
0.995123, 43.998983, 48.126060, 47.192836
0.995266, 44.301048, 48.250156, 47.457197
0.995034, 44.010205, 47.845553, 47.135238
0.996408, 44.996887, 47.999528, 47.567640
0.995550, 44.414421, 47.714835, 47.348431
0.995209, 44.239774, 47.555967, 47.118859
0.995409, 44.075668, 47.588573, 47.288677
0.996532, 44.974743, 47.885099, 47.432626
0.995455, 44.346997, 47.458830, 47.100268
