ms-ssim, psnr-y, psnr-u, psnr-v
0.995965, 39.901228, 44.146389, 46.289277
0.995891, 39.874547, 43.933380, 46.236793
0.994701, 39.329142, 41.542334, 46.134893
0.994411, 39.197373, 41.312048, 46.019845
0.994821, 39.358062, 42.130072, 45.894908
0.994491, 39.204553, 41.316864, 45.769797
0.994458, 39.181551, 41.161280, 45.727898
0.994316, 39.105910, 40.953073, 45.640802
0.994743, 39.373215, 41.768454, 45.848207
0.994111, 39.012354, 40.860355, 45.761267
0.993895, 38.890352, 40.828304, 45.759646
0.994650, 39.336240, 41.701741, 45.717335
0.994642, 39.343762, 41.630579, 45.682419
0.993641, 38.717711, 40.892541, 45.471956
0.993605, 38.596525, 41.052004, 45.643000
0.992607, 38.228009, 40.370156, 45.086901
0.992711, 38.179426, 40.724573, 45.244759
0.992820, 38.266095, 40.704023, 45.255588
0.992365, 38.027897, 40.513031, 45.206077
0.991910, 37.855427, 40.129347, 44.699244
0.992288, 38.057499, 40.882228, 45.035836
0.992992, 38.374012, 40.858489, 45.232327
0.993004, 38.363383, 40.824938, 45.211396
0.993072, 38.404229, 40.612150, 45.031121
0.993851, 38.768241, 41.508701, 45.259240
0.994061, 38.922939, 41.254893, 45.426224
0.994329, 39.107848, 41.213518, 45.382432
0.994324, 39.122270, 41.185599, 45.348780
0.994923, 39.363667, 42.263326, 45.785129
0.994487, 39.369467, 41.431954, 46.101884
0.994626, 39.491840, 41.566674, 45.949291
0.995530, 39.923715, 42.871560, 46.247272
0.995507, 39.896350, 42.884076, 46.250294
0.995008, 39.791139, 42.251916, 46.394455
0.995107, 39.914326, 41.862908, 46.198004
0.995343, 40.103262, 41.957906, 46.346786
0.996066, 40.331715, 43.068986, 46.558913
0.996056, 40.332786, 42.998248, 46.540891
0.995520, 40.048098, 42.486414, 46.663745
0.995485, 40.041581, 42.179018, 46.473909
0.996016, 40.307900, 43.099108, 46.660210
0.996008, 40.347420, 42.925523, 46.710307
0.995982, 40.332994, 42.851093, 46.675854
0.995657, 39.986572, 42.460278, 46.266209
0.996432, 40.475560, 43.535531, 46.854768
0.995837, 40.096879, 42.619207, 46.174064
0.995910, 40.082742, 42.885469, 46.597922
0.995905, 40.099277, 42.846371, 46.581517
0.996137, 40.254719, 43.226164, 46.739248
0.995690, 40.026460, 42.274612, 46.357393
0.995777, 40.050491, 42.584539, 46.631309
0.996208, 40.326627, 43.222316, 46.626271
0.996203, 40.328902, 43.212732, 46.608953
0.995649, 40.054279, 42.486610, 46.441418
0.995621, 39.988726, 42.541279, 46.772441
0.995520, 39.924792, 42.327050, 46.489824
0.996270, 40.301051, 43.006367, 46.630619
0.996257, 40.319306, 42.903567, 46.588256
0.995402, 39.872270, 42.026419, 46.401194
0.994994, 39.613345, 41.825757, 46.437055
0.995603, 39.854251, 42.998235, 46.310210
0.995701, 40.027001, 42.630896, 46.264251
0.995684, 40.003142, 42.573668, 46.241508
0.995026, 39.559045, 41.831526, 46.131602
0.995652, 39.793560, 42.761946, 46.390990
0.995219, 39.680118, 42.030328, 46.244142
0.995883, 39.915246, 42.716746, 46.457994
0.995893, 39.934955, 42.664144, 46.427081
0.994579, 39.086348, 42.147305, 46.136767
0.994216, 39.297930, 42.261329, 46.127966
0.995442, 40.313514, 43.549174, 46.321204
0.995213, 40.182106, 42.825598, 46.160905
0.995151, 40.125734, 42.801182, 46.129249
0.993991, 39.703696, 42.283666, 46.069020
0.994799, 40.206244, 43.328905, 45.752092
0.993302, 39.853967, 42.139362, 45.655205
0.994680, 40.602277, 42.862064, 45.898861
0.994703, 40.630364, 42.828222, 45.889416
0.993978, 40.405154, 43.085427, 45.617053
0.992910, 40.069322, 42.280051, 45.317183
0.992142, 40.113600, 42.331262, 45.467318
0.995165, 41.565706, 44.519130, 46.516159
0.995168, 41.584615, 44.514041, 46.518293
0.992229, 40.464837, 42.371502, 45.209623
0.992132, 40.608707, 42.147284, 44.936915
0.993836, 41.405763, 43.698571, 45.777678
0.994139, 41.438487, 43.095012, 45.830529
0.994111, 41.423070, 43.084565, 45.829132
0.991461, 40.530077, 41.502359, 44.719734
0.992369, 40.808605, 42.786908, 45.072794
0.991480, 40.331421, 41.814261, 44.619161
0.994381, 41.419213, 43.684832, 45.923289
0.994376, 41.415816, 43.687329, 45.920944
0.991178, 40.459310, 41.805877, 44.652668
0.990933, 40.228387, 41.772618, 44.749630
0.993336, 40.904028, 43.079450, 45.143363
0.994432, 41.227956, 43.308404, 45.625399
0.994432, 41.234007, 43.306492, 45.625232
0.991363, 40.008267, 41.730148, 44.685382
0.990996, 39.708918, 41.588595, 44.460345
0.993574, 40.509043, 43.058351, 45.036854
0.992521, 39.782526, 42.514614, 44.972648
0.992450, 39.751743, 42.513626, 44.957662
0.990518, 38.424342, 41.664331, 44.171163
0.992342, 39.120632, 42.505890, 44.224430
0.989951, 38.334510, 41.661225, 43.997057
0.992612, 39.128211, 42.373482, 44.159055
0.992631, 39.193352, 42.362487, 44.167316
0.989902, 38.705885, 41.833712, 44.187849
0.989512, 38.562045, 41.778563, 44.119214
0.991893, 39.480976, 42.837732, 44.405507
0.991949, 39.958340, 42.863210, 44.765105
0.991768, 39.879386, 42.846898, 44.724664
0.990319, 39.360042, 42.554755, 44.605778
0.993242, 40.373781, 43.405660, 44.738478
0.991504, 39.975611, 43.093697, 45.093424
