ms-ssim, psnr-y, psnr-u, psnr-v
0.994339, 39.106196, 47.824295, 49.838017
0.993086, 38.339890, 47.768109, 49.737598
0.992407, 38.199993, 47.552442, 49.389071
0.991362, 37.750712, 47.191061, 49.123221
0.991881, 38.168531, 47.006719, 48.976138
0.990390, 37.572906, 46.843757, 49.035701
0.989986, 37.506334, 46.598786, 48.850697
0.989739, 37.353864, 46.256235, 48.594598
0.990462, 37.726860, 46.243675, 48.599977
0.988938, 37.088807, 46.183473, 48.539403
0.988928, 37.116346, 45.910079, 48.343765
0.989067, 37.133453, 46.157702, 48.492032
0.989893, 37.495284, 46.224371, 48.388008
0.987248, 36.616134, 45.876535, 48.412085
0.986242, 36.339141, 45.642833, 48.194196
0.984416, 35.942653, 45.602420, 48.246063
0.981062, 35.097716, 45.001828, 48.061603
0.980347, 35.183347, 45.476738, 48.161851
0.979564, 35.025854, 45.131026, 47.891472
0.977851, 34.887680, 44.994288, 47.790700
0.977354, 34.823597, 44.926770, 47.731503
0.980450, 35.265912, 44.827383, 47.526959
0.981406, 35.490013, 45.077512, 47.807701
0.981568, 35.514467, 45.191686, 47.741526
0.982296, 35.695606, 45.105675, 47.774468
0.984688, 36.068342, 45.239551, 47.829115
0.986047, 36.329196, 45.419546, 48.086071
0.986336, 36.410137, 45.412446, 48.008459
0.987748, 36.869478, 45.482906, 48.062687
0.988164, 36.910578, 45.782438, 48.105577
0.989133, 37.131407, 45.938841, 48.149661
0.989486, 37.173946, 45.890833, 48.124240
0.990772, 37.786758, 45.973232, 48.112914
0.990581, 37.544420, 46.105817, 48.311792
0.990910, 37.779795, 46.315815, 48.422497
0.991010, 37.855845, 46.304251, 48.427213
0.991689, 38.103255, 46.358041, 48.450369
0.991467, 38.144798, 46.405322, 48.454111
0.991713, 38.197647, 46.690247, 48.558066
0.991408, 37.996462, 46.565824, 48.445127
0.992217, 38.392870, 46.652092, 48.474199
0.991726, 38.064448, 46.600186, 48.545786
0.991822, 38.171853, 46.528039, 48.500606
0.991651, 38.135144, 46.371558, 48.413533
0.992176, 38.476153, 46.505624, 48.393992
0.991600, 38.064739, 46.347235, 48.401383
0.991827, 38.265601, 46.676976, 48.562277
0.991739, 38.139518, 46.592090, 48.494105
0.992210, 38.300654, 46.551483, 48.439799
0.991879, 38.226648, 46.596404, 48.451692
0.991565, 38.001985, 46.444751, 48.336471
0.991668, 38.003801, 46.514845, 48.372389
0.992572, 38.444783, 46.676855, 48.263069
0.991917, 38.125585, 46.526955, 48.265298
0.991968, 38.218284, 46.782247, 48.387019
0.991783, 38.016813, 46.674763, 48.372747
0.992438, 38.458433, 46.701302, 48.309716
0.991972, 38.192381, 46.617648, 48.266084
0.991774, 38.315765, 46.682893, 48.323516
0.990580, 37.661456, 46.500991, 48.118785
0.991859, 37.821749, 46.588553, 48.136571
0.991154, 37.479423, 46.641403, 48.244584
0.991301, 37.736809, 46.776752, 48.296444
0.990612, 37.413878, 46.616033, 48.257655
0.991917, 38.041243, 46.684533, 48.221934
0.990672, 37.454650, 46.406120, 48.150427
0.991605, 37.909118, 46.502593, 48.311129
0.990111, 37.609761, 46.245816, 48.296576
0.990420, 37.772412, 46.373707, 48.365405
0.992109, 38.345416, 46.512100, 48.372613
0.991155, 37.971325, 46.598101, 48.363616
0.990582, 37.647216, 46.383870, 48.398497
0.990821, 37.523509, 46.358464, 48.389537
0.992354, 38.239072, 46.625312, 48.491019
0.990887, 37.632335, 46.478686, 48.526943
0.991138, 37.731925, 46.345943, 48.411226
0.991094, 37.802406, 46.533668, 48.536331
0.991912, 38.228384, 46.673733, 48.565133
0.991130, 37.869375, 46.535370, 48.527035
0.991354, 38.101901, 46.712691, 48.580804
0.991012, 37.951624, 46.595154, 48.568647
0.991917, 38.313082, 46.539099, 48.404722
0.990742, 38.005394, 46.667859, 48.541638
0.990188, 37.775536, 46.149557, 48.410232
0.990893, 38.009685, 46.173686, 48.259313
0.989485, 37.672121, 46.171364, 48.247630
0.990891, 38.016230, 45.913918, 47.974764
0.989501, 37.730862, 45.760997, 47.972679
0.988473, 37.553713, 45.805722, 47.904888
0.989425, 37.933398, 45.825841, 47.973456
0.988692, 37.560807, 45.475749, 47.592128
0.989089, 37.837222, 46.069046, 47.831171
0.990837, 38.288857, 45.724220, 47.792346
0.990020, 38.177773, 45.860250, 48.127034
0.990499, 38.482125, 45.881279, 48.032256
0.990404, 38.261090, 45.997565, 48.005288
0.991658, 38.641210, 46.040799, 48.010767
0.990268, 38.204368, 45.846879, 47.991517
0.990641, 38.328992, 45.992279, 47.941734
0.991091, 38.495153, 46.086083, 48.132330
0.992461, 38.990303, 46.173389, 48.129956
0.991381, 38.564877, 46.215173, 48.260841
0.990916, 38.277516, 45.894148, 48.099893
0.990755, 38.135076, 46.068782, 48.109792
0.992940, 39.021125, 46.139177, 48.090981
0.991273, 38.216584, 46.147893, 48.314090
0.991660, 38.356824, 46.288223, 48.280273
0.991798, 38.368204, 46.210214, 48.344878
0.993098, 38.984116, 46.289499, 48.352497
0.991891, 38.447765, 46.593964, 48.441848
0.992077, 38.362017, 46.583119, 48.502637
0.993010, 38.919540, 46.505915, 48.370104
0.991780, 38.542425, 46.579619, 48.495441
0.991607, 38.525425, 46.581962, 48.466684
0.991583, 38.343127, 46.552603, 48.284090
0.992819, 39.042964, 46.669402, 48.417605
0.991743, 38.446823, 46.482975, 48.398497
0.991833, 38.483302, 46.484658, 48.352854
0.991704, 38.354591, 46.447857, 48.370149
0.992641, 38.840143, 46.391785, 48.204658
0.990951, 37.768445, 46.063408, 47.932898
