ms-ssim, psnr-y, psnr-u, psnr-v
0.990851, 35.360264, 46.088730, 49.155885
0.990812, 35.355669, 46.099548, 49.162329
0.986966, 34.164818, 45.835273, 49.048507
0.984602, 33.666622, 45.613538, 48.959181
0.984363, 33.601774, 45.599509, 48.962311
0.982445, 33.234596, 45.548327, 48.829590
0.978820, 32.581678, 45.393226, 48.539589
0.972470, 31.710394, 44.833249, 48.069786
0.972092, 31.661842, 44.807247, 48.064816
0.983913, 33.872867, 44.716084, 47.446504
0.968425, 31.493483, 43.544705, 46.110579
0.965994, 31.405347, 43.388888, 45.930101
0.975630, 32.443209, 43.536120, 45.841923
0.975453, 32.432195, 43.539402, 45.845978
0.949273, 29.457016, 42.385307, 45.212327
0.941880, 28.797270, 42.085546, 44.961440
0.947220, 29.529830, 42.192223, 45.216311
0.957639, 30.342545, 42.461668, 45.318979
0.968539, 31.615690, 42.753276, 45.493838
0.968679, 31.634932, 42.780537, 45.516318
0.964822, 31.416155, 43.054267, 45.932552
0.971905, 31.807732, 43.145788, 45.806194
0.973700, 32.046076, 43.395692, 45.863467
0.973026, 32.226542, 43.799951, 46.106376
0.976637, 32.523432, 43.740729, 46.123159
0.975612, 32.850854, 43.354748, 46.506761
0.978912, 33.246362, 43.912842, 46.557350
0.981075, 33.784776, 44.619407, 47.048994
0.982852, 34.320757, 44.373275, 46.896317
0.982998, 34.634206, 44.901271, 47.252557
0.984265, 34.756935, 44.732234, 47.149516
0.985652, 35.091535, 45.013410, 47.260076
0.987285, 35.495349, 44.880771, 47.211211
0.987470, 35.825170, 45.313681, 47.498436
0.987949, 35.809514, 45.281414, 47.588760
0.988232, 36.047534, 45.279347, 47.607015
0.988919, 36.242753, 45.134809, 47.535560
0.989116, 36.382282, 45.419795, 47.706526
0.989197, 36.461988, 45.362402, 47.607804
0.989035, 36.385181, 45.278952, 47.555522
0.989659, 36.443500, 45.285374, 47.560908
0.989662, 36.550542, 45.341528, 47.639479
0.989419, 36.634133, 45.355933, 47.583004
0.989746, 36.810383, 45.398238, 47.608631
0.990476, 37.018139, 45.340124, 47.547511
0.990385, 37.140196, 45.362671, 47.503531
0.990877, 37.400358, 45.517269, 47.572855
0.990421, 37.227209, 45.518105, 47.570396
0.990862, 37.409258, 45.632379, 47.730189
0.990567, 37.517828, 45.768247, 47.943763
0.991022, 37.798688, 46.143519, 48.470807
0.991436, 37.938192, 45.793879, 48.417062
0.992317, 38.404722, 45.986610, 48.508504
0.992352, 38.406637, 46.350806, 48.688501
0.992565, 38.412718, 46.157137, 48.680991
0.992537, 38.400233, 46.045857, 48.768057
0.993017, 38.740859, 46.235395, 48.615349
0.992983, 38.567829, 46.284177, 48.990733
0.992917, 38.509442, 46.407516, 48.888879
0.993241, 38.688340, 46.525608, 48.966110
0.993336, 38.760293, 46.347769, 48.877741
0.993289, 38.599490, 46.408970, 48.959745
0.993705, 38.784451, 46.577070, 49.124606
0.993472, 38.660033, 46.504399, 49.013470
0.994234, 39.166722, 46.376762, 49.116410
0.993843, 38.891045, 46.495317, 49.128604
0.993931, 38.955904, 46.434846, 49.147040
0.994609, 39.394068, 46.440557, 49.195993
0.994550, 39.371645, 46.451598, 49.187660
0.994994, 39.690138, 46.896731, 49.393660
0.995008, 39.707200, 46.914214, 49.407114
0.994975, 39.684093, 46.892491, 49.384374
0.995006, 39.757505, 46.885550, 49.457725
0.995135, 39.805453, 46.906311, 49.472418
0.994748, 39.315178, 47.182400, 49.364398
0.994764, 39.325574, 47.191777, 49.384205
0.995214, 39.683228, 46.877826, 48.874219
0.994691, 39.176062, 46.873002, 48.931678
0.994865, 39.304462, 47.000834, 49.046675
0.994865, 39.303362, 47.196013, 49.071287
0.995291, 39.776330, 47.202579, 49.088582
0.995199, 39.684328, 47.403889, 49.258231
0.995260, 39.720666, 47.339556, 49.201141
0.995289, 39.765934, 47.469553, 49.231011
0.995656, 40.119925, 47.497666, 49.307349
0.995372, 39.779172, 47.350201, 49.274579
0.995703, 40.085879, 47.561763, 49.384318
0.995673, 40.052354, 47.505586, 49.440503
0.995961, 40.349318, 47.543696, 49.422720
0.995939, 40.306120, 47.822044, 49.589830
0.995936, 40.252028, 47.694014, 49.464576
0.995949, 40.204142, 47.587190, 49.551103
0.996250, 40.517561, 47.764914, 49.604799
0.996121, 40.298947, 47.717570, 49.724856
0.996499, 40.889318, 47.888304, 49.818472
0.996563, 40.945575, 47.922262, 49.850593
0.996396, 40.743720, 47.939422, 49.953367
0.996302, 40.620320, 47.861854, 49.917026
0.996238, 40.546479, 47.915804, 49.887713
0.996553, 40.937731, 47.987046, 49.940813
0.996150, 40.483872, 47.966636, 49.963954
0.996485, 40.900112, 48.181186, 50.097251
0.996256, 40.589529, 48.113463, 50.040834
0.996714, 41.144911, 48.220507, 50.103253
0.996435, 40.778602, 48.248980, 50.087930
0.996597, 41.032763, 48.305611, 50.173970
0.996913, 41.455158, 48.298205, 50.120641
0.997017, 41.548364, 48.326219, 50.156977
0.996541, 40.871547, 48.066527, 50.080421
0.996673, 41.076623, 48.142218, 50.109197
0.996871, 41.309602, 48.267659, 50.110668
0.996796, 41.230428, 48.265647, 50.117626
0.996816, 41.113213, 48.200737, 50.053220
0.996740, 40.936025, 48.052312, 50.065972
0.997053, 41.388488, 48.221026, 50.184634
0.996947, 41.167710, 48.098420, 50.105590
0.997192, 41.456142, 48.329146, 50.163333
0.997003, 41.210568, 48.275231, 50.166921
0.997099, 41.430452, 48.306096, 50.259743
0.997204, 41.411478, 48.229948, 50.243927
0.997020, 41.219471, 48.209877, 50.171054
0.997141, 41.413153, 48.236239, 50.241860
0.997217, 41.410495, 48.326530, 50.296359
0.997275, 41.523612, 48.342875, 50.207338
0.997307, 41.600251, 48.402375, 50.250136
0.997094, 41.230056, 48.254689, 50.256976
0.997190, 41.475579, 48.394938, 50.321551
0.997082, 41.242197, 48.366702, 50.280410
0.997348, 41.661815, 48.447086, 50.315730
0.997349, 41.675904, 48.449639, 50.301596
0.997139, 41.374828, 48.404993, 50.313698
0.997318, 41.541616, 48.494151, 50.324430
0.997122, 41.349512, 48.380685, 50.252069
0.997278, 41.551295, 48.431435, 50.359332
0.997205, 41.545000, 48.536424, 50.335329
0.997122, 41.398830, 48.539403, 50.413759
0.997160, 41.317239, 48.532517, 50.413902
0.996764, 40.739949, 48.363571, 50.307538
0.996798, 40.944538, 48.525596, 50.442384
0.996364, 40.501334, 48.631298, 50.459810
0.996551, 40.543951, 48.061144, 50.151304
0.996361, 40.351956, 48.327372, 50.178382
0.996261, 40.335091, 48.236630, 50.126273
0.996367, 40.333989, 47.882857, 50.024812
0.996169, 40.154918, 48.217090, 50.385534
0.996138, 40.202893, 48.406618, 50.395517
0.996178, 40.256708, 48.599080, 50.492609
0.996169, 40.340115, 48.875175, 50.693253
0.996253, 40.607580, 48.892564, 50.698761
0.996482, 40.658850, 48.546439, 50.683249
0.995904, 39.961748, 48.511973, 50.491003
0.996193, 40.661771, 48.466638, 50.355016
0.996188, 40.651578, 48.455572, 50.352188
0.995852, 40.772439, 48.603142, 50.468948
0.996713, 42.071095, 48.907741, 50.764786
0.996182, 42.152247, 48.783888, 50.472798
0.996057, 42.681843, 49.039304, 50.477888
0.996209, 42.840632, 49.095986, 50.574256
0.996478, 43.081967, 49.054584, 50.630106
0.995841, 42.470957, 48.979074, 50.727716
0.997394, 44.207749, 49.674197, 51.753204
0.996475, 42.047890, 48.837312, 51.357003
0.995671, 40.827624, 48.469157, 50.975385
0.994823, 39.935847, 48.154814, 50.346820
0.994908, 39.569243, 48.149192, 50.260158
0.995139, 39.608494, 48.135553, 50.208705
0.994290, 38.535670, 47.883058, 49.922144
0.994183, 38.225824, 47.808252, 49.830803
0.993100, 37.518148, 47.451068, 49.505326
0.992345, 36.995243, 47.405897, 49.527482
0.993692, 37.615013, 47.399625, 49.517789
0.993140, 37.092929, 47.539330, 49.622149
0.993229, 36.977023, 47.237593, 49.449048
0.993275, 36.958185, 47.251761, 49.340033
0.992894, 36.761470, 47.124738, 49.215153
0.992557, 36.608993, 47.189661, 49.164909
0.992368, 36.571343, 47.015855, 49.094927
0.992522, 36.587793, 46.954398, 49.008280
0.992647, 36.521595, 46.854547, 48.887214
0.992469, 36.468752, 46.858940, 48.889737
