ms-ssim, psnr-y, psnr-u, psnr-v
0.991306, 39.719892, 44.666026, 43.409002
0.991467, 39.752959, 44.729502, 43.456279
0.990771, 39.293465, 44.852829, 43.515981
0.990488, 38.890447, 44.915255, 43.423285
0.990524, 39.206270, 44.754808, 43.160498
0.989993, 38.857934, 44.897043, 43.170778
0.989474, 39.109290, 44.941548, 43.228178
0.989484, 39.157024, 44.900425, 43.124860
0.989514, 39.248549, 45.016760, 43.160241
0.988871, 38.934738, 45.175776, 43.265976
0.989364, 39.151882, 45.475726, 43.408016
0.989475, 39.094649, 45.538144, 43.564415
0.990552, 39.554082, 45.407169, 43.636730
0.990511, 39.558372, 45.344361, 43.621954
0.987793, 38.266095, 45.381172, 43.174269
0.986233, 37.780302, 44.918429, 42.668540
0.985889, 37.930672, 44.826591, 42.428823
0.986368, 38.159745, 45.202685, 42.870992
0.987844, 38.652393, 45.187660, 43.062333
0.987910, 38.675817, 45.166258, 43.091744
0.988867, 39.276329, 45.240183, 43.375867
0.991242, 39.977207, 46.137382, 44.140112
0.991859, 40.178044, 46.314197, 44.325161
0.993086, 40.641122, 46.507665, 44.580219
0.993513, 41.074089, 46.363229, 44.515165
0.994003, 41.252099, 46.487269, 44.722189
0.993625, 41.138166, 46.662597, 44.876802
0.994056, 41.306273, 46.840198, 45.074283
0.993936, 41.484305, 46.731595, 45.023013
0.994593, 41.652337, 46.890166, 45.389234
0.994591, 41.773979, 47.016544, 45.413738
0.994464, 41.735993, 46.935788, 45.367289
0.994627, 41.848547, 47.161568, 45.422747
0.994866, 41.927592, 47.103076, 45.734459
0.994958, 41.983126, 47.501954, 45.785623
0.995071, 42.109454, 47.324888, 45.781550
0.995394, 42.293474, 47.493676, 45.908504
0.995685, 42.415075, 47.623160, 46.028194
0.995633, 42.317516, 47.898255, 46.268389
0.995447, 42.188627, 47.642886, 46.085474
0.995376, 42.310002, 47.704182, 46.172957
0.995669, 42.450356, 47.895283, 46.476774
0.995684, 42.507353, 47.948637, 46.562544
0.995881, 42.784387, 47.779820, 46.373594
0.995829, 42.743030, 47.792346, 46.349850
0.996163, 42.848452, 48.072503, 46.769033
0.995878, 42.649806, 47.934072, 46.549628
0.996164, 42.815245, 48.149235, 46.843379
0.996035, 42.962294, 48.067154, 46.660150
0.996307, 43.122362, 48.197810, 46.920591
0.996263, 43.096415, 48.186205, 46.879192
0.996311, 43.140671, 48.290768, 46.968708
0.996087, 43.052401, 48.180114, 46.696791
0.996414, 43.118953, 48.396379, 46.987883
0.996307, 43.044156, 48.451145, 46.992348
0.996476, 43.325179, 48.368582, 46.979878
0.996415, 43.295597, 48.353166, 46.935884
0.996598, 43.149084, 48.491065, 47.198474
0.996350, 43.046042, 48.334783, 47.022778
0.996574, 43.123616, 48.542849, 47.198132
0.996498, 43.360022, 48.512158, 47.102006
0.996726, 43.428473, 48.721488, 47.369149
0.996717, 43.419140, 48.748275, 47.409951
0.996557, 43.270890, 48.757861, 47.384111
0.996613, 43.461862, 48.697907, 47.325275
0.996721, 43.374938, 48.821285, 47.495140
0.996654, 43.341041, 48.848747, 47.448713
0.996782, 43.466840, 48.840705, 47.439198
0.996644, 43.379750, 48.827251, 47.406542
0.996591, 43.221971, 48.647401, 47.380472
0.996596, 43.306098, 48.988718, 47.515615
0.996625, 43.314369, 48.501945, 47.379510
0.996885, 43.616301, 49.023452, 47.639592
0.996903, 43.611762, 48.734958, 47.580464
0.996961, 43.649831, 48.852148, 47.655289
0.996781, 43.442881, 48.607585, 47.482857
0.996860, 43.568941, 48.988047, 47.750136
0.996883, 43.571851, 48.783198, 47.714566
0.996938, 43.588013, 48.899337, 47.829787
0.997003, 43.735347, 48.952417, 47.792934
0.997146, 43.805375, 48.905512, 47.862213
0.996922, 43.521359, 48.703126, 47.724241
0.996869, 43.399048, 48.943261, 47.716029
0.996863, 43.463171, 49.032622, 47.694474
0.996950, 43.330693, 49.089639, 47.773921
0.996934, 43.460922, 48.925668, 47.748933
0.997007, 43.495123, 48.947504, 47.748855
0.996896, 43.551484, 49.082722, 47.774234
0.996894, 43.463591, 48.721197, 47.628178
0.996918, 43.422840, 49.178643, 47.820111
0.996929, 43.412153, 48.787239, 47.659735
0.997121, 43.645536, 49.174437, 47.858589
0.997178, 43.696788, 49.137251, 47.922908
0.996797, 43.388533, 48.786598, 47.762499
0.996840, 43.383544, 49.185661, 47.991681
0.996872, 43.606395, 49.219997, 47.959338
0.997059, 43.750120, 49.312742, 47.994596
0.996956, 43.665403, 49.149879, 47.915038
0.997043, 43.711913, 49.241725, 48.011715
0.996887, 43.709325, 49.259495, 47.922949
0.997131, 43.679369, 49.389128, 48.197551
0.996916, 43.607027, 49.114921, 47.945306
0.997043, 43.555247, 49.242492, 48.083304
0.997133, 43.806933, 49.237841, 48.077272
0.997219, 43.861473, 49.289107, 48.160442
0.997056, 43.788311, 49.226646, 48.177629
0.997093, 43.753034, 49.308516, 48.142006
0.997042, 43.738351, 49.249669, 48.094888
0.997179, 43.850731, 49.273641, 48.235415
0.997061, 43.841484, 49.221086, 48.123055
0.997183, 43.928458, 49.243422, 48.172235
0.997006, 43.668003, 49.044217, 47.979959
0.996974, 43.616795, 49.055947, 48.092367
0.996895, 43.720209, 49.022255, 47.895765
0.996848, 43.512369, 49.262738, 48.029771
0.997174, 43.901957, 49.262518, 48.012375
0.997272, 43.966507, 49.271051, 48.041131
0.996550, 43.360082, 48.941626, 47.489908
0.996689, 43.447517, 49.014145, 47.636263
0.996930, 43.804694, 48.938205, 47.536336
0.997000, 43.771470, 49.213249, 47.983440
0.997023, 43.864752, 49.022307, 47.847180
0.997176, 43.968631, 49.062822, 47.890710
0.996772, 43.567211, 49.004910, 47.799408
0.996652, 43.528109, 48.679788, 47.641788
0.996872, 43.664262, 48.966213, 47.837821
0.997035, 43.688003, 49.290048, 48.193938
0.997152, 43.929726, 49.229210, 48.124240
0.997262, 44.000698, 49.250656, 48.186548
0.996885, 43.588326, 49.030119, 47.825321
0.996850, 43.496318, 49.128231, 47.861058
0.996731, 43.497503, 49.007502, 47.624291
0.996816, 43.442107, 49.226973, 47.849444
0.997071, 43.870052, 49.143828, 47.891833
0.997212, 43.939240, 49.154061, 47.908027
0.996620, 43.376842, 49.150522, 47.782439
0.996704, 43.405346, 48.906424, 47.644363
0.996908, 43.601176, 48.996781, 47.676688
0.996853, 43.593864, 49.129244, 47.763628
0.996933, 43.658463, 49.016951, 47.671576
0.996906, 43.642927, 48.932442, 47.651378
0.996933, 43.841097, 49.139068, 47.908389
0.996806, 43.762064, 48.583908, 47.626442
0.996804, 43.693869, 49.054270, 47.819322
0.996870, 43.795938, 48.973410, 47.789054
0.997175, 44.165419, 49.168406, 47.915280
0.997175, 44.168014, 49.058675, 47.966881
0.997001, 43.982680, 49.171959, 47.971045
0.996906, 43.855732, 48.824466, 47.806088
0.996984, 43.958080, 49.138213, 47.902032
0.996961, 43.881542, 48.812302, 47.772985
0.996919, 43.733191, 48.876886, 47.734016
0.996960, 43.731228, 48.838459, 47.781501
0.996952, 43.938211, 49.061562, 47.785843
0.996956, 43.834986, 48.686670, 47.640160
0.997057, 43.869408, 49.074235, 47.833308
0.997032, 43.843860, 48.728680, 47.676306
0.997124, 43.991375, 49.007139, 47.917216
0.997160, 44.008929, 48.999938, 47.917014
0.997037, 43.800064, 49.132338, 47.908470
0.996929, 43.772029, 48.727416, 47.635053
0.997050, 43.960070, 49.188850, 47.953231
0.996987, 43.821602, 48.764034, 47.735834
0.997025, 43.911715, 49.007035, 47.880776
0.996992, 43.891246, 48.968371, 47.823307
0.996909, 43.755451, 49.058098, 47.826546
0.996959, 43.757034, 48.814683, 47.948555
0.996866, 43.686457, 49.020850, 47.882337
0.996842, 43.640526, 48.937593, 47.857873
0.997135, 43.917975, 49.123541, 47.958197
0.997161, 43.937053, 49.024909, 47.984997
0.996947, 43.605950, 48.984951, 47.994268
0.996993, 43.653385, 49.180531, 48.027412
