ms-ssim, psnr-y, psnr-u, psnr-v
0.996057, 39.758650, 46.921233, 47.318943
0.995106, 38.861183, 46.606327, 46.853094
0.994887, 38.884676, 46.603523, 46.735712
0.994828, 38.855400, 46.448432, 46.715321
0.995114, 38.965460, 46.454737, 46.813081
0.994582, 38.709036, 46.151008, 46.427453
0.994443, 38.718474, 46.256703, 46.478744
0.994268, 38.580875, 46.223551, 46.429028
0.994488, 38.710745, 46.135883, 46.325984
0.994150, 38.474244, 46.263452, 46.452231
0.994199, 38.421177, 46.238080, 46.436854
0.994230, 38.305511, 46.290803, 46.495637
0.994679, 38.678173, 46.246613, 46.473909
0.994052, 38.240229, 46.112975, 46.134679
0.993662, 38.114110, 45.980768, 46.181822
0.993342, 37.780460, 45.987076, 46.255822
0.993502, 38.007158, 46.007040, 46.070391
0.993486, 37.950082, 46.126203, 46.388776
0.993488, 37.912447, 46.096894, 46.390110
0.993897, 38.201047, 46.144029, 46.397127
0.993916, 38.193791, 45.990751, 46.214546
0.994228, 38.474383, 46.232575, 46.540891
0.994259, 38.421572, 46.137195, 46.527248
0.994357, 38.468415, 46.244416, 46.519492
0.994756, 38.893569, 46.318243, 46.483874
0.995272, 39.033330, 46.765256, 47.042096
0.995515, 39.337863, 46.677795, 47.013758
0.995736, 39.411490, 46.811830, 47.250308
0.996048, 39.853405, 46.812518, 47.241355
0.996154, 39.902003, 47.052365, 47.431724
0.996262, 40.091187, 47.120739, 47.457451
0.996360, 39.971632, 47.277277, 47.666661
0.996640, 40.430674, 47.279506, 47.670318
0.996500, 40.181836, 47.191846, 47.507604
0.996550, 40.344546, 47.314376, 47.496238
0.996620, 40.246251, 47.731232, 47.805656
0.996987, 40.793136, 47.804083, 48.046032
0.996713, 40.376354, 47.761720, 47.807701
0.996657, 40.329916, 47.670051, 47.839644
0.996596, 40.183729, 47.629688, 47.594000
0.997081, 40.883152, 47.902796, 47.926101
0.996772, 40.431997, 47.838931, 47.724512
0.996743, 40.476964, 47.698117, 47.763706
0.996784, 40.601951, 47.742340, 47.752388
0.997110, 40.836917, 47.855088, 47.982498
