ms-ssim, psnr-y, psnr-u, psnr-v
0.997526, 43.222997, 49.339361, 49.416961
0.997439, 43.096827, 49.252631, 49.363160
0.997347, 43.004059, 49.124926, 49.230138
0.997309, 42.938155, 49.067394, 49.207326
0.997265, 42.910762, 49.039774, 49.176270
0.997206, 42.889331, 49.067815, 49.192528
0.996985, 42.740368, 49.019862, 49.131644
0.996970, 42.731463, 48.994402, 49.073761
0.996930, 42.664563, 48.885650, 49.028764
0.997016, 42.826647, 49.024805, 49.078555
0.996993, 42.752318, 48.952519, 48.992489
0.996999, 42.789463, 48.979383, 49.017418
0.996934, 42.717400, 48.965750, 48.989648
0.996879, 42.635354, 48.930098, 48.944539
0.996796, 42.595039, 48.797355, 48.838709
0.996731, 42.425985, 48.805218, 48.816221
0.996726, 42.633567, 48.880057, 48.915604
0.996698, 42.502813, 48.750376, 48.813344
0.996778, 42.676128, 48.789457, 48.851447
0.996708, 42.594568, 48.668310, 48.775178
0.997577, 43.386400, 49.274248, 49.357985
0.997770, 43.574615, 49.373811, 49.552984
0.997918, 43.723925, 49.538427, 49.724856
0.998086, 43.924189, 49.746319, 49.924962
0.997920, 43.817888, 49.834628, 50.026385
0.998243, 44.058228, 50.009893, 50.211989
0.998339, 44.154252, 50.032881, 50.233324
0.998366, 44.176586, 50.101385, 50.289596
0.998598, 44.450160, 50.625738, 50.828596
0.998670, 44.536345, 50.776304, 51.047945
0.998734, 44.621692, 50.948708, 51.193116
0.998811, 44.744089, 51.061488, 51.305291
0.998784, 44.724267, 51.020737, 51.299222
0.998749, 44.702105, 50.910845, 51.208411
0.998719, 44.662573, 50.839969, 51.168652
0.998698, 44.653134, 50.796613, 51.086358
0.998642, 44.602222, 50.734117, 51.050268
0.998623, 44.574530, 50.693711, 50.983388
0.998617, 44.563118, 50.659516, 50.958693
0.998598, 44.582844, 50.520879, 50.850340
0.998491, 44.438282, 50.513171, 50.818355
0.998521, 44.453229, 50.528969, 50.806489
0.998575, 44.475926, 50.643312, 50.903135
0.998558, 44.461091, 50.597228, 50.874266
0.998528, 44.447441, 50.576042, 50.893598
0.998517, 44.439115, 50.597228, 50.857083
0.998519, 44.438658, 50.582894, 50.877216
0.998524, 44.439228, 50.552664, 50.874186
0.998535, 44.451263, 50.609809, 50.920663
0.998541, 44.431135, 50.672279, 50.951385
0.998519, 44.490165, 50.660806, 50.906105
0.998545, 44.538601, 50.693559, 50.918649
0.998502, 44.532147, 50.598200, 50.884400
0.998451, 44.489954, 50.490639, 50.806019
0.998520, 44.560170, 50.667792, 50.948627
0.998523, 44.530218, 50.702667, 51.024696
0.998536, 44.595622, 50.782777, 51.034940
0.998454, 44.586370, 50.741996, 51.031054
0.998452, 44.574698, 50.805312, 51.129000
0.998610, 44.617646, 50.837360, 51.110529
0.998682, 44.691779, 50.971716, 51.291494
0.998719, 44.736591, 51.046535, 51.281503
0.998712, 44.693656, 50.999027, 51.256363
0.998738, 44.749698, 50.981182, 51.242547
0.998699, 44.706548, 50.965688, 51.244022
0.998702, 44.722338, 50.963490, 51.232754
0.998613, 44.697730, 50.906587, 51.224884
0.998548, 44.692792, 50.811750, 51.169249
0.998560, 44.725486, 50.870282, 51.262460
0.998594, 44.693656, 50.972612, 51.333905
0.998496, 44.714921, 50.708110, 51.038001
0.998503, 44.672070, 50.669997, 50.973999
0.998494, 44.694439, 50.803901, 51.098427
0.998623, 44.744361, 50.951790, 51.266471
0.998425, 44.701523, 50.828044, 51.168993
0.998424, 44.626242, 50.749192, 51.027833
0.998472, 44.691770, 50.764553, 51.062237
0.998559, 44.716137, 50.852957, 51.153411
0.998360, 44.601113, 50.730337, 51.059824
0.998402, 44.585545, 50.588263, 50.875860
0.998487, 44.697009, 50.744625, 51.019913
0.998587, 44.688680, 50.779189, 51.106828
0.998649, 44.716735, 50.817961, 51.114571
0.998665, 44.778852, 50.793170, 51.099938
0.998666, 44.751961, 50.838862, 51.146192
0.998517, 44.672275, 50.648454, 51.006909
0.998531, 44.662501, 50.687523, 51.048858
0.998585, 44.700037, 50.719017, 51.113223
0.998635, 44.720227, 50.888637, 51.233619
0.998676, 44.758165, 50.925983, 51.298079
0.998608, 44.741151, 50.877136, 51.195346
0.998469, 44.666169, 50.725713, 51.095826
0.998374, 44.603666, 50.765175, 51.148144
0.998516, 44.672935, 50.853988, 51.182064
0.998560, 44.690963, 50.905222, 51.218925
0.998543, 44.678261, 50.935835, 51.236911
0.998539, 44.658132, 50.929211, 51.239251
0.998531, 44.660266, 50.931794, 51.224624
0.998518, 44.656999, 50.927354, 51.222724
0.998370, 44.600271, 50.910363, 51.200842
0.998411, 44.619279, 50.763387, 51.054005
0.998581, 44.709087, 50.886318, 51.155451
0.998575, 44.698528, 50.944494, 51.224538
0.998572, 44.689495, 51.009293, 51.242633
0.998643, 44.729246, 51.040154, 51.307669
0.998660, 44.721439, 51.046120, 51.366545
0.998673, 44.729924, 51.010856, 51.305555
0.998679, 44.732253, 50.969597, 51.271796
0.998686, 44.782806, 50.960562, 51.267518
0.998690, 44.768381, 51.024944, 51.297201
0.998723, 44.808499, 50.986904, 51.309783
0.998715, 44.806444, 50.949843, 51.302124
0.998730, 44.848175, 50.946276, 51.272146
0.998722, 44.822543, 50.972042, 51.265337
0.998727, 44.938057, 50.957311, 51.246105
0.998718, 44.825507, 51.042805, 51.310928
0.998733, 44.820906, 51.055667, 51.346594
0.998722, 44.810521, 50.997879, 51.284655
0.998716, 44.805315, 50.969026, 51.272320
0.998713, 44.818711, 50.931875, 51.241853
0.998689, 44.780562, 50.966583, 51.264814
0.998695, 44.771641, 51.009211, 51.266995
0.998684, 44.748828, 50.958530, 51.236998
0.998696, 44.787106, 50.972612, 51.216079
0.998689, 44.777942, 50.977099, 51.261153
0.998681, 44.780297, 50.968375, 51.228341
0.998651, 44.775318, 50.987231, 51.250710
0.998652, 44.777384, 50.937290, 51.223760
0.998477, 44.604225, 50.778799, 51.025769
0.998530, 44.707781, 50.866939, 51.127479
0.998483, 44.600530, 50.767041, 51.093478
0.998613, 44.724591, 50.926467, 51.226093
0.998508, 44.666278, 50.776226, 51.160046
0.998435, 44.569973, 50.700522, 51.019336
0.998463, 44.699576, 50.762455, 51.101617
0.998608, 44.743069, 50.853830, 51.175652
0.998502, 44.740467, 50.791840, 51.123932
0.998442, 44.577278, 50.773733, 51.061738
0.998536, 44.638262, 50.896160, 51.148399
0.998687, 44.747155, 50.951871, 51.172492
0.998625, 44.710417, 50.803901, 51.100442
0.998606, 44.747204, 50.736973, 51.035023
0.998630, 44.739967, 50.820244, 51.087111
0.998668, 44.702875, 50.873389, 51.118026
0.998610, 44.761846, 50.717556, 51.002556
0.998614, 44.654671, 50.772565, 51.144919
0.998691, 44.704040, 50.890236, 51.250014
0.998769, 44.748157, 51.096497, 51.418815
0.998736, 44.770052, 50.983633, 51.315514
0.998711, 44.790026, 50.910443, 51.241592
0.998723, 44.802331, 50.973672, 51.278177
0.998743, 44.738579, 51.053174, 51.334348
0.998786, 44.807390, 51.100862, 51.429218
0.998810, 44.842010, 51.059408, 51.386319
0.998711, 44.737279, 50.895279, 51.279752
0.998707, 44.738342, 50.839573, 51.240898
0.998689, 44.696697, 50.834042, 51.265250
0.998771, 44.846827, 50.984042, 51.366902
0.998698, 44.802085, 50.763543, 51.146362
0.998715, 44.843997, 50.838862, 51.178472
0.998675, 44.810758, 50.832226, 51.146447
0.998774, 44.856157, 51.043633, 51.288599
0.998696, 44.799034, 50.854226, 51.160556
0.998701, 44.835814, 50.786213, 51.118195
0.998693, 44.834405, 50.843133, 51.206001
0.998792, 44.861918, 50.986740, 51.290529
0.998694, 44.754906, 50.871397, 51.125367
0.998705, 44.852759, 50.838545, 51.078247
0.998670, 44.823621, 50.911247, 51.118954
0.998775, 44.966483, 51.012254, 51.322755
0.998672, 44.794530, 50.837044, 51.146362
0.998691, 44.814913, 50.780281, 51.093646
0.998692, 44.791528, 50.880647, 51.105651
0.998778, 44.940593, 50.996157, 51.241419
0.998804, 44.986582, 51.083513, 51.350061
0.998845, 44.999452, 51.207206, 51.458024
