ms-ssim, psnr-y, psnr-u, psnr-v
0.996248, 48.588732, 50.633799, 49.863773
0.994610, 46.981553, 50.012310, 49.032413
0.995255, 47.525023, 49.827169, 49.185012
0.996785, 43.504753, 49.690491, 49.229319
0.996189, 42.668290, 49.721860, 49.005014
0.995489, 41.978905, 49.378496, 48.504299
0.995464, 41.417681, 49.093340, 48.414392
0.995378, 41.389468, 48.869042, 48.172620
0.995337, 41.282393, 49.092282, 48.355174
0.995263, 41.829837, 49.322099, 48.348530
0.995010, 41.268426, 49.234124, 48.232420
0.994611, 41.064899, 49.027409, 48.076477
0.994995, 41.314305, 48.887869, 48.072084
0.994758, 42.014329, 49.440503, 48.034328
0.994643, 41.773248, 49.140618, 48.011591
0.994638, 42.449333, 49.017210, 48.041131
0.995451, 42.833697, 48.906829, 48.057476
0.995218, 42.435866, 48.953953, 48.104524
0.995683, 42.713613, 49.141153, 48.433479
0.995293, 42.493033, 49.195234, 48.451008
0.995544, 42.477417, 49.134420, 48.497377
0.995576, 42.647306, 49.050445, 48.463755
0.996138, 42.911734, 49.006776, 48.451190
0.996094, 43.219176, 49.227628, 48.644920
0.996183, 43.240063, 49.509923, 48.934481
0.996565, 43.137123, 49.363892, 48.827998
0.996376, 43.217853, 49.310851, 48.826605
0.996352, 43.012925, 49.166738, 48.818852
0.996159, 42.639340, 49.197455, 48.710094
0.996338, 42.442846, 49.204992, 48.580898
0.996061, 42.509631, 49.450426, 48.600214
0.996126, 42.626640, 49.560399, 48.653515
0.996360, 42.415885, 49.329409, 48.445856
0.996238, 42.938312, 49.724061, 48.768449
0.996296, 42.398514, 49.236365, 48.548025
0.996036, 42.852840, 49.305460, 48.446949
0.995976, 42.482349, 49.192041, 48.398182
0.996024, 42.751995, 49.349505, 48.503145
0.996498, 42.678346, 49.394737, 48.677096
0.996252, 43.202270, 49.738764, 49.071655
0.996032, 42.719332, 49.437238, 48.643537
0.996146, 43.005624, 49.511845, 48.809923
0.996541, 42.971118, 49.667853, 48.946839
0.996445, 42.727083, 49.752225, 48.997195
0.996401, 42.420548, 49.738457, 48.991043
0.996306, 42.581098, 49.550515, 48.966367
0.996378, 42.428347, 49.419868, 48.715811
0.996222, 42.674076, 49.154382, 48.543036
0.995838, 41.328634, 49.010511, 48.256826
0.997935, 49.385053, 52.482083, 51.980470
0.996245, 46.361875, 51.672380, 50.910363
0.996238, 45.683806, 51.286232, 50.289039
0.996373, 45.701719, 51.151881, 50.130099
0.996839, 46.064205, 50.995420, 49.989105
0.996395, 45.828839, 51.268653, 50.222334
0.996158, 45.652738, 50.648152, 49.899478
0.995970, 45.839578, 50.445488, 49.678128
0.996755, 46.577411, 50.728564, 49.747118
0.996257, 46.527240, 51.014394, 49.842980
0.996477, 46.878684, 51.543468, 50.404163
0.996655, 47.290536, 51.756133, 50.599547
0.997436, 48.575719, 51.790446, 51.034857
0.996759, 47.641949, 51.718505, 50.698608
0.996681, 47.625715, 51.409428, 50.476651
0.996632, 47.641930, 51.581948, 50.757409
0.997330, 48.259870, 51.650309, 50.594387
0.996830, 47.531442, 51.694755, 50.637421
0.996793, 47.586619, 51.328769, 50.332443
0.996783, 47.615099, 51.453832, 50.463579
0.997585, 48.382739, 51.511229, 50.554515
0.996923, 47.586208, 51.171724, 50.248134
0.997096, 47.715269, 51.172577, 50.151372
0.997123, 47.645159, 51.185402, 50.257322
0.997412, 47.908601, 51.316132, 50.328856
0.996979, 47.419097, 50.949195, 50.194301
0.996891, 47.204521, 51.039657, 50.045244
0.996611, 45.956131, 51.054919, 50.175666
0.997381, 46.573493, 50.962352, 50.023894
0.996772, 45.732452, 51.073822, 50.017869
0.996995, 45.755469, 50.807510, 49.825916
0.998043, 45.450419, 51.508092, 50.996239
0.997396, 44.458507, 51.657463, 50.842025
0.997266, 44.368586, 51.331247, 50.583714
0.997418, 44.176475, 50.943441, 50.260504
0.997475, 44.094064, 51.112634, 50.347526
0.997140, 43.746134, 50.290781, 49.876993
0.997185, 43.698078, 50.384395, 49.828421
0.997089, 43.622303, 50.337794, 49.753579
0.997137, 43.789091, 50.347526, 49.907573
0.997008, 44.108819, 50.154612, 49.794785
0.997238, 44.171435, 50.403233, 49.961305
0.997018, 44.514718, 50.491149, 49.863015
0.997379, 44.675717, 50.665513, 50.145842
0.997134, 44.692706, 50.645277, 50.199211
0.997080, 44.396171, 50.640970, 50.129629
0.997033, 44.423571, 50.802568, 50.179333
0.997108, 44.198015, 50.567641, 50.011526
0.996970, 44.304897, 50.681952, 50.048934
0.996964, 44.495648, 50.588562, 49.891716
0.996974, 44.704449, 50.808844, 50.052890
0.997112, 44.480312, 50.422873, 49.854750
0.996923, 44.399517, 50.335681, 49.822349
0.996964, 44.372076, 50.332302, 49.854561
0.996918, 44.301030, 50.328856, 49.817222
0.996869, 43.943500, 50.295104, 49.762826
0.996650, 43.694758, 50.358200, 49.787207
0.997875, 50.027254, 52.543573, 51.887387
0.996625, 48.281293, 51.283692, 50.497649
0.997593, 49.717644, 52.286203, 51.636038
0.997645, 49.991609, 52.504416, 51.667210
0.997087, 49.730059, 51.780124, 51.281503
0.997533, 50.495987, 52.678273, 51.741510
0.996860, 49.597531, 51.755449, 50.730568
0.997483, 50.283453, 52.374023, 51.373424
0.997473, 50.192410, 52.173489, 51.223933
0.996777, 49.291168, 51.609239, 50.611459
0.996666, 48.896037, 51.685618, 51.139832
0.997615, 50.036823, 52.167365, 51.659850
0.996479, 48.242170, 51.375213, 50.833173
0.996719, 48.144641, 51.316132, 50.772565
0.996684, 48.026553, 51.424240, 50.799276
0.997393, 48.645051, 51.514830, 50.755857
0.996760, 47.969432, 51.475656, 50.763854
0.996988, 47.834178, 51.177019, 50.386175
0.998222, 46.965499, 51.406544, 50.549704
0.997137, 45.354266, 50.893678, 50.079426
0.996998, 45.176463, 50.474397, 49.556396
0.997063, 45.261340, 50.581999, 49.558044
0.997547, 45.835092, 50.535894, 49.425917
0.997086, 45.090671, 50.443106, 49.601706
0.996957, 44.903775, 49.830176, 49.189336
0.996977, 44.997783, 49.961951, 49.154597
0.997201, 45.317571, 49.940363, 48.997402
0.996783, 44.807720, 49.967705, 49.123008
0.996838, 44.853616, 50.225560, 49.384318
0.996814, 44.913679, 49.914342, 49.073340
0.997084, 45.151983, 50.071468, 49.107539
0.997045, 45.178234, 50.236970, 49.341657
0.996624, 45.089924, 49.934838, 49.168944
0.996669, 44.950943, 50.100184, 49.386354
0.996743, 45.017055, 49.978781, 49.297470
0.997013, 45.225380, 50.145100, 49.431460
0.996665, 44.840062, 50.059426, 49.307849
0.996632, 44.699979, 49.978846, 49.180477
0.996627, 44.777506, 50.250481, 49.629324
0.997152, 45.341060, 50.198187, 49.380304
0.996799, 45.122321, 50.073655, 49.194639
0.996808, 45.111634, 50.152857, 49.313744
0.996837, 45.005463, 50.117961, 49.287779
0.996976, 45.242476, 50.095585, 49.308794
0.996654, 44.922279, 50.062929, 49.210314
0.996568, 44.876983, 50.036297, 49.264389
0.996598, 44.828007, 50.030518, 49.283632
0.997052, 45.153066, 50.142810, 49.365187
0.996556, 44.867897, 50.057048, 49.276951
0.996559, 44.718111, 50.122584, 49.192366
0.996630, 44.845842, 49.956334, 49.054637
0.996918, 45.139079, 50.172275, 49.305294
0.996211, 44.326639, 50.225628, 49.393207
0.996527, 44.917858, 50.337653, 49.508875
0.996592, 44.907783, 50.067561, 49.291487
0.996953, 45.306095, 50.250757, 49.390714
0.996653, 45.102498, 50.235869, 49.440102
0.996556, 44.778656, 50.020095, 49.235764
0.996880, 44.945932, 50.096651, 49.245449
0.996527, 44.747437, 49.830489, 49.020902
0.996392, 44.599270, 49.603252, 48.800815
0.996844, 44.550719, 49.789069, 48.872309
0.996476, 44.414601, 49.786649, 48.621513
0.996502, 44.559369, 49.557279, 48.539682
0.996862, 44.458539, 49.293702, 48.372030
0.996834, 44.329053, 49.195234, 48.351739
0.996237, 43.716036, 49.057836, 48.062145
0.996441, 44.107493, 49.338018, 48.195314
0.996449, 43.843256, 48.984848, 47.928608
0.998675, 49.941681, 52.644115, 52.557878
0.998292, 48.556664, 52.232803, 52.228772
0.998156, 48.236381, 52.080640, 52.019929
0.998011, 47.725438, 51.624843, 51.622854
0.998095, 48.073903, 51.357181, 51.380315
0.997908, 47.397218, 51.105399, 51.209616
0.997839, 47.236386, 51.212372, 51.053424
0.997865, 47.136325, 50.983306, 50.804999
0.997890, 47.313041, 50.794187, 50.793248
0.997687, 46.801559, 50.665361, 50.592220
0.997682, 46.874778, 50.820401, 50.656861
0.997690, 46.735819, 50.700905, 50.538107
0.997876, 47.122814, 50.760824, 50.585503
0.997742, 46.846200, 50.847488, 50.447005
0.997708, 46.858189, 51.088116, 50.662779
0.997647, 46.761877, 50.581999, 50.381121
0.997794, 46.888359, 50.713483, 50.493120
0.997702, 46.781812, 50.731262, 50.500793
0.997672, 46.751924, 50.891116, 50.545638
0.997720, 46.932233, 50.896641, 50.545121
0.997792, 46.983562, 50.853592, 50.522716
0.997752, 47.051877, 50.656786, 50.479998
0.997709, 47.117625, 50.783011, 50.588711
0.997702, 46.995218, 50.712024, 50.516179
0.997730, 47.034961, 50.830805, 50.582372
0.997655, 47.133874, 50.708340, 50.506941
0.997644, 47.253354, 51.029732, 50.747798
0.997581, 47.186412, 50.987886, 50.689661
0.997666, 47.386341, 50.975222, 50.878492
0.997560, 47.317994, 51.077328, 51.017853
0.997415, 47.114707, 50.679437, 50.769219
0.997449, 47.175116, 50.625361, 50.685462
0.997328, 46.811298, 50.773500, 50.764553
0.997339, 46.951756, 50.927112, 50.788635
0.998231, 47.017257, 52.370759, 51.089875
0.997578, 45.674029, 51.778062, 50.834279
0.997590, 45.439921, 51.598113, 50.481818
0.997199, 44.868562, 51.051265, 49.986570
0.997168, 44.938850, 50.925096, 49.703681
0.997051, 44.844166, 50.791214, 49.490174
0.997272, 45.252725, 50.830489, 49.663629
0.996918, 44.414268, 50.583341, 49.461581
0.996989, 45.102504, 50.668553, 49.427802
0.996890, 44.839437, 50.561110, 49.162651
0.997225, 45.095124, 51.024036, 49.609681
0.996792, 44.430132, 50.646487, 49.339361
0.996812, 44.528143, 50.666577, 49.160019
0.996991, 44.523888, 50.579094, 49.209825
0.996651, 44.152798, 50.429199, 49.038050
0.996642, 44.284840, 50.284653, 48.872258
0.996433, 43.621403, 50.249032, 48.828047
0.998258, 48.649407, 51.698897, 51.837949
0.996998, 46.600744, 51.054005, 51.187372
0.997620, 47.020218, 51.186601, 51.170017
0.996767, 46.049018, 51.101617, 50.774668
0.996701, 46.028547, 50.807353, 50.545490
0.997526, 46.752996, 51.105230, 50.708340
0.996660, 45.543992, 50.826625, 50.469094
0.996878, 45.893781, 50.596630, 50.282009
0.997053, 45.802684, 50.908033, 50.625136
0.997424, 46.102801, 50.370390, 50.266806
