ms-ssim, psnr-y, psnr-u, psnr-v
0.998322, 43.225564, 49.605751, 47.944047
0.998213, 42.928580, 49.636511, 47.828562
0.998231, 43.005540, 49.488551, 47.861097
0.998219, 43.047797, 49.473226, 47.909235
0.998286, 43.228634, 49.549928, 47.982252
0.998292, 43.105225, 49.626393, 48.177372
0.998321, 43.196995, 49.648997, 48.174032
0.998341, 43.344527, 49.667128, 48.264117
0.998360, 43.514393, 49.704168, 48.212165
0.998317, 43.412997, 49.687822, 48.214843
0.998314, 43.297010, 49.758138, 48.161808
0.998328, 43.410084, 49.758262, 48.291208
0.998366, 43.505260, 49.716361, 48.211085
0.998320, 43.242090, 49.687276, 48.245193
0.998284, 43.147073, 49.642929, 48.163857
0.998273, 43.228740, 49.640049, 48.109750
0.998246, 43.175071, 49.592796, 47.990737
0.998405, 43.341572, 49.787704, 48.355085
0.998416, 43.248003, 49.804119, 48.356870
0.998452, 43.571466, 49.819097, 48.413397
0.998483, 43.660495, 49.865289, 48.439936
0.998782, 43.982684, 50.604787, 49.052855
0.998777, 43.930209, 50.641801, 49.070498
0.998816, 44.052206, 50.703816, 49.141528
0.998947, 44.120602, 50.958368, 49.361191
0.999104, 44.401711, 51.850705, 50.099317
0.999138, 44.467836, 51.922148, 50.220140
0.999148, 44.449320, 51.969686, 50.346255
0.999201, 44.546725, 52.084640, 50.343644
0.999224, 44.645673, 52.241202, 50.564523
0.999256, 44.729609, 52.387780, 50.565859
0.999270, 44.814552, 52.523135, 50.857004
0.999341, 44.862737, 52.762278, 51.027502
0.999285, 44.810506, 52.593612, 50.865666
0.999288, 44.767273, 52.492136, 50.747102
0.999284, 44.732849, 52.537724, 50.778799
0.999328, 44.794638, 52.668022, 50.818906
0.999264, 44.801578, 52.489939, 50.716403
0.999248, 44.829716, 52.410880, 50.752834
0.999193, 44.853053, 52.430682, 50.634931
0.999304, 45.007383, 52.523950, 50.746482
0.999231, 44.995482, 52.356720, 50.703203
0.999216, 44.948987, 52.340379, 50.616639
0.999209, 44.985539, 52.360759, 50.630181
0.999276, 45.119365, 52.454356, 50.694629
0.999226, 44.977792, 52.444047, 50.805469
0.999285, 45.145936, 52.525466, 50.788635
0.999218, 45.046509, 52.430682, 50.800373
0.999216, 45.036376, 52.500706, 50.867257
0.999219, 45.018571, 52.459405, 50.862724
0.999279, 45.141276, 52.493293, 50.830489
0.999236, 45.040498, 52.439130, 50.863519
0.999238, 45.051339, 52.409064, 50.835463
0.999233, 45.032954, 52.397277, 50.827886
0.999310, 45.190044, 52.673205, 50.960319
0.999266, 45.105132, 52.593494, 50.918085
0.999278, 45.164893, 52.722695, 51.021232
0.999255, 45.035794, 52.628090, 50.923403
0.999325, 45.227438, 52.792421, 51.019913
0.999261, 45.077261, 52.645193, 50.911890
0.999281, 45.141127, 52.664770, 50.872274
0.999257, 45.057104, 52.603927, 50.821267
0.999328, 45.198849, 52.676462, 50.941821
0.999252, 45.071746, 52.398635, 50.780749
0.999277, 45.124553, 52.577065, 50.887997
0.999271, 45.125703, 52.495493, 50.808059
0.999325, 45.200106, 52.626539, 50.925741
0.999264, 45.127114, 52.379994, 50.839257
0.999267, 45.156569, 52.527331, 50.900328
0.999266, 45.154054, 52.629523, 50.885039
0.999358, 45.219973, 52.862278, 51.049604
0.999317, 45.234567, 52.665974, 50.962270
0.999312, 45.135165, 52.643037, 50.939555
0.999292, 45.074356, 52.484161, 50.879370
0.999369, 45.090803, 52.912454, 51.203937
0.999339, 45.087127, 52.888814, 51.201272
0.999337, 45.125131, 52.878433, 51.221601
0.999322, 45.046827, 52.869212, 51.229293
0.999370, 45.107582, 52.979493, 51.301948
0.999324, 45.131568, 52.836279, 51.230590
0.999325, 45.098370, 52.838032, 51.263245
0.999321, 45.099129, 52.812800, 51.193373
0.999351, 45.103596, 52.909524, 51.256712
0.999292, 45.006201, 52.791678, 51.175994
0.999264, 45.026344, 52.714285, 50.818355
0.999290, 45.032959, 52.780661, 50.941174
0.999349, 45.048176, 52.858249, 51.037836
0.999303, 45.027158, 52.763386, 51.003131
0.999299, 45.019870, 52.685525, 50.936886
0.999289, 44.974492, 52.709296, 50.914383
0.999328, 44.956723, 52.858500, 51.012254
0.999275, 44.994432, 52.693999, 50.962433
0.999292, 44.991711, 52.680447, 50.935996
0.999281, 44.982408, 52.771521, 50.964060
0.999340, 44.954658, 52.771398, 50.917602
0.999301, 44.881452, 52.884760, 51.026099
0.999346, 44.893648, 52.969022, 51.096497
0.999301, 44.744648, 52.876031, 51.019748
0.999303, 44.686177, 52.850201, 51.035684
0.999111, 44.809313, 52.743974, 50.849389
0.999272, 44.847428, 52.821777, 51.054587
0.999151, 45.205553, 52.746426, 51.163878
0.999126, 45.412226, 52.676221, 51.195518
0.999119, 45.680466, 52.763879, 51.233360
0.999254, 45.907926, 53.085082, 51.272845
0.999117, 45.844388, 52.893126, 51.347482
0.999167, 45.911503, 53.022806, 51.493177
0.999163, 45.921046, 52.987006, 51.501549
0.999219, 45.840578, 53.236889, 51.683985
0.999118, 45.394365, 53.262784, 51.551286
0.999104, 45.016145, 53.107951, 51.485646
0.999269, 44.935843, 53.418757, 51.736452
0.999280, 44.526359, 52.972639, 51.647356
0.999289, 44.527126, 53.020715, 51.594349
0.999282, 44.663531, 52.902906, 51.472454
0.999367, 44.841523, 53.477724, 51.839940
0.999310, 44.781375, 52.971089, 51.574917
0.999319, 44.774335, 53.026991, 51.677555
0.999313, 44.723291, 52.922661, 51.562198
0.999366, 44.853820, 53.382536, 51.856098
0.999326, 44.693032, 53.003893, 51.669986
0.999331, 44.738317, 53.046663, 51.680241
0.999329, 44.764456, 52.931996, 51.637843
0.999372, 44.819759, 53.407602, 51.872617
0.999326, 44.721981, 52.960509, 51.567805
0.999325, 44.679687, 52.981694, 51.629868
0.999332, 44.682359, 52.938530, 51.650309
0.999355, 44.735398, 53.224958, 51.734411
0.999315, 44.676664, 52.681414, 51.568179
0.999302, 44.666441, 52.851080, 51.561358
0.999319, 44.687309, 52.883367, 51.509568
0.999377, 44.765847, 53.361993, 51.802471
0.999350, 44.757448, 53.042984, 51.684465
0.999346, 44.715688, 53.102488, 51.717924
0.999355, 44.782565, 53.002071, 51.674967
0.999371, 44.732369, 53.394908, 51.815122
0.999355, 44.786973, 53.114087, 51.752424
0.999347, 44.687443, 53.050345, 51.657940
0.999359, 44.863476, 53.056269, 51.684946
0.999381, 44.743934, 53.437413, 51.817598
0.999366, 44.847657, 52.978587, 51.709801
0.999349, 44.717991, 53.018495, 51.706228
0.999357, 44.838086, 53.063916, 51.702079
0.999371, 44.742428, 53.412747, 51.859696
0.999319, 44.724369, 52.915131, 51.612828
0.999340, 44.732040, 53.028300, 51.686003
0.999356, 44.712904, 53.115823, 51.713571
0.999394, 44.742754, 53.573264, 51.886380
0.999373, 44.756484, 53.291753, 51.734120
0.999360, 44.688910, 53.241973, 51.713958
0.999365, 44.747734, 53.164980, 51.667593
0.999401, 44.734613, 53.588724, 51.890508
0.999368, 44.741506, 53.047320, 51.679474
0.999370, 44.699220, 53.262784, 51.769042
0.999365, 44.648428, 53.186102, 51.726742
0.999398, 44.676362, 53.614413, 51.953816
0.999365, 44.676114, 53.252022, 51.816608
0.999345, 44.594148, 53.160390, 51.757012
0.999338, 44.620610, 52.962958, 51.645832
0.999409, 44.679668, 53.609173, 51.986232
0.999379, 44.716533, 53.256710, 51.766496
0.999369, 44.611517, 53.247201, 51.769532
0.999377, 44.633983, 53.174716, 51.784250
0.999415, 44.663917, 53.655199, 51.957395
0.999374, 44.660199, 53.242798, 51.831387
0.999375, 44.618769, 53.328063, 51.845818
0.999381, 44.709140, 53.290085, 51.869007
0.999405, 44.559295, 53.697593, 51.983556
0.999378, 44.780189, 53.389500, 51.917180
0.999369, 44.918232, 53.347460, 51.881654
0.999375, 45.082146, 53.245137, 51.866402
0.999402, 45.157568, 53.597817, 51.917991
0.999364, 45.278100, 53.228109, 51.809286
0.999342, 45.316429, 53.196838, 51.747938
0.999341, 45.399599, 53.234556, 51.724221
0.999424, 45.627179, 53.791126, 52.011843
0.999384, 45.676316, 53.404746, 51.873319
0.999381, 45.709975, 53.517387, 51.989837
0.999399, 45.752551, 53.457738, 51.953510
0.999453, 45.796014, 53.859848, 52.103852
0.999433, 45.850644, 53.525745, 51.928951
0.999432, 45.845921, 53.600952, 51.983453
0.999430, 45.780748, 53.435975, 51.913027
0.999456, 45.811029, 53.814593, 52.063521
0.999426, 45.816050, 53.463522, 51.877233
0.999422, 45.764307, 53.520171, 51.914444
0.999411, 45.792970, 53.334238, 51.822652
0.999442, 45.772252, 53.729778, 52.018684
0.999401, 45.749091, 53.229891, 51.806223
0.999389, 45.722565, 53.459184, 51.884368
0.999402, 45.784024, 53.420189, 51.887185
0.999455, 45.843211, 53.983320, 52.159322
0.999414, 45.847418, 53.610969, 51.945546
0.999421, 45.802182, 53.649306, 52.014744
0.999426, 45.775220, 53.558451, 51.961795
0.999456, 45.771637, 53.923557, 52.079377
0.999424, 45.783654, 53.608724, 52.011325
0.999425, 45.727795, 53.598116, 51.967020
0.999438, 45.867894, 53.587533, 51.970507
0.999463, 45.782062, 53.941933, 52.087063
0.999443, 45.963310, 53.555938, 51.974510
0.999429, 45.760911, 53.646589, 51.991177
0.999432, 45.947381, 53.526185, 51.949424
0.999456, 45.815291, 53.886718, 52.078325
0.999392, 45.857349, 53.383956, 51.816905
0.999409, 45.707591, 53.489789, 51.894639
0.999419, 45.859841, 53.447348, 51.928240
0.999456, 45.796032, 53.812084, 52.047723
0.999417, 45.790151, 53.563778, 51.906047
0.999413, 45.668563, 53.430085, 51.875727
0.999409, 45.732177, 53.454705, 51.895749
0.999439, 45.662989, 53.897897, 52.085272
0.999407, 45.577943, 53.511971, 51.978516
0.999406, 45.548602, 53.675357, 52.039377
0.999401, 45.436496, 53.598265, 52.027095
0.999434, 45.400073, 53.923075, 52.175424
0.999401, 45.217849, 53.514898, 51.997160
0.999387, 44.983932, 53.506122, 51.937699
0.999358, 44.703226, 53.314202, 51.780320
0.999439, 44.810447, 54.003425, 52.128358
0.999407, 44.514064, 53.703553, 52.036043
0.999398, 44.196764, 53.669285, 52.018891
0.999413, 44.496910, 53.569853, 51.971738
0.999443, 44.462202, 53.919377, 52.196555
0.999416, 44.484368, 53.463088, 51.980573
0.999409, 44.448281, 53.567333, 52.053157
0.999414, 44.439749, 53.488479, 52.057132
0.999438, 44.439609, 53.841657, 52.194826
0.999417, 44.463713, 53.529416, 52.050648
0.999415, 44.460122, 53.495907, 52.011014
0.999408, 44.424031, 53.409316, 51.940551
0.999424, 44.441289, 53.744108, 52.110945
0.999367, 44.761426, 53.406602, 51.906451
0.999366, 44.818365, 53.427501, 51.923569
0.999368, 44.778289, 53.342673, 51.813440
0.999400, 44.733014, 53.779752, 52.018373
0.999373, 44.827234, 53.389500, 51.867705
0.999367, 44.816409, 53.496344, 51.907361
0.999378, 44.844907, 53.434538, 51.899078
0.999389, 44.674823, 53.711051, 52.037397
0.999371, 44.583462, 53.453117, 51.912723
0.999364, 44.369107, 53.493138, 51.899380
0.999372, 44.243326, 53.418900, 51.875627
0.999411, 44.011682, 53.633028, 51.953510
0.999393, 44.119344, 53.359309, 51.811560
0.999382, 44.113543, 53.339016, 51.755840
0.999374, 44.119546, 53.141003, 51.637558
0.999371, 44.053552, 53.364114, 51.724705
0.999350, 44.120413, 53.010536, 51.592373
0.999243, 44.015307, 52.886787, 51.449826
