ms-ssim, psnr-y, psnr-u, psnr-v
0.993552, 37.791398, 43.932510, 43.532884
0.992365, 37.159295, 44.010755, 43.692618
0.991754, 37.036608, 43.398741, 42.807311
0.991280, 36.869403, 43.565200, 42.706597
0.992200, 37.145910, 43.302461, 42.632473
0.990848, 36.745247, 43.172456, 42.336125
0.991324, 36.868124, 43.199901, 42.457144
0.991118, 36.769835, 43.184528, 42.504277
0.991941, 37.076126, 43.242620, 42.496882
0.990761, 36.715619, 43.054267, 42.351509
0.990989, 36.736504, 42.952720, 42.137443
0.991071, 36.690383, 42.911791, 42.132148
0.991838, 37.068768, 43.035072, 42.332053
0.989334, 36.136129, 42.573020, 41.956740
0.988165, 35.726007, 42.410710, 41.693494
0.985141, 34.891628, 41.891314, 41.068476
0.984857, 34.658597, 41.998688, 41.057837
0.982254, 34.337380, 41.662783, 40.911971
0.982215, 34.330494, 41.686887, 40.745105
0.981732, 34.255878, 41.726422, 40.868483
0.983023, 34.621835, 41.729002, 40.942801
0.982197, 34.455144, 41.729623, 40.957320
0.983757, 34.822938, 41.869328, 41.069426
0.984381, 34.996018, 41.911205, 41.068734
0.985866, 35.365874, 41.955851, 41.228013
0.985968, 35.342819, 42.214348, 41.446797
0.986256, 35.532225, 42.193098, 41.328309
0.987275, 35.777447, 42.287438, 41.521320
0.988318, 36.095729, 42.184026, 41.494868
0.988234, 35.914376, 42.392831, 41.560014
0.988050, 35.906913, 42.157136, 41.332647
0.988809, 36.028025, 42.463345, 41.475602
0.990343, 36.485294, 42.172532, 41.554128
0.989538, 36.117413, 42.256318, 41.613036
0.990273, 36.410363, 42.341664, 41.643748
0.990245, 36.388721, 42.520700, 41.840806
0.991299, 36.735026, 42.606753, 41.944200
0.990776, 36.639598, 42.746892, 42.152437
0.990585, 36.597316, 42.633190, 41.966446
0.990978, 36.685499, 42.860074, 42.168869
0.991843, 37.073730, 42.890373, 42.287483
0.991339, 36.807255, 42.915705, 42.345398
0.991398, 36.892368, 42.757185, 42.234339
0.991484, 36.760506, 42.998651, 42.237709
0.991944, 37.064920, 42.874540, 42.275756
0.991530, 36.742704, 42.945690, 42.344134
0.991847, 36.843562, 42.800462, 42.204073
0.991583, 36.751570, 43.110097, 42.424401
0.992386, 37.055025, 43.018455, 42.339307
0.991551, 36.741565, 42.968519, 42.377909
0.991901, 36.885133, 42.931177, 42.235321
0.991863, 36.726069, 43.007630, 42.432678
0.992495, 37.113602, 43.014879, 42.400968
0.992044, 36.844866, 42.907181, 42.422819
0.992460, 37.028377, 43.062913, 42.471904
0.992253, 36.892390, 43.078297, 42.566307
0.992974, 37.247102, 42.993857, 42.417368
0.992655, 37.042428, 43.052134, 42.548504
0.992555, 37.008202, 42.964364, 42.461978
0.992107, 36.907285, 42.944675, 42.333380
0.992612, 37.078568, 42.951357, 42.253876
0.992422, 37.106209, 43.222138, 42.437748
0.992650, 37.112624, 42.645804, 42.064349
0.992457, 37.126272, 42.800238, 42.109356
0.993236, 37.524478, 43.011527, 42.549758
0.992763, 37.365876, 43.006510, 42.590167
0.992528, 37.281679, 42.835878, 42.316783
0.992566, 37.187249, 43.000575, 42.428561
0.993080, 37.469616, 43.083835, 42.434744
0.992152, 37.175302, 43.009988, 42.273544
0.992923, 37.445727, 43.090190, 42.569874
0.992445, 37.263547, 43.030120, 42.559957
0.993246, 37.543130, 43.266391, 42.623783
0.992614, 37.367309, 43.350701, 42.515696
