ms-ssim, psnr-y, psnr-u, psnr-v
0.997201, 48.417186, 52.281792, 51.367081
0.997045, 47.332251, 50.824181, 50.089061
0.997510, 48.772107, 51.334968, 51.532881
0.995034, 47.168277, 50.591698, 50.897122
0.996338, 49.102036, 50.781763, 50.862167
0.996806, 50.129981, 51.179327, 51.079417
0.997476, 50.820047, 51.814232, 51.862297
0.996909, 50.262511, 51.286232, 51.205743
0.996763, 50.084207, 51.323374, 51.168055
0.996997, 50.361846, 51.495291, 51.013077
0.997375, 50.821700, 51.736355, 51.641550
0.996961, 50.491715, 51.375660, 51.161578
0.996886, 50.434850, 51.483720, 51.259759
0.996871, 50.279802, 51.330893, 51.104558
0.997357, 50.911729, 51.855998, 51.753009
0.996842, 50.319324, 51.396195, 51.191915
0.996907, 50.480399, 51.719280, 51.232234
0.997224, 50.826920, 51.557625, 51.123679
0.997944, 51.708111, 52.213556, 51.925092
0.997424, 50.918689, 51.687348, 51.402492
0.997478, 50.789533, 51.963639, 51.629868
0.997570, 50.888617, 52.037293, 51.688405
0.998224, 51.667402, 52.686008, 52.424755
0.997840, 51.189771, 52.401353, 52.029278
0.997992, 51.274592, 52.432735, 52.097614
0.998035, 51.380091, 52.348654, 52.154502
0.998511, 52.208487, 53.336345, 53.291336
0.998111, 51.391793, 52.580251, 52.211603
0.998328, 51.590117, 52.674773, 52.505345
0.998219, 51.351506, 52.625704, 52.195582
0.998643, 52.107424, 53.671409, 53.388504
0.998272, 51.140553, 52.613790, 52.364127
0.998443, 51.156769, 52.869717, 52.568815
0.998269, 50.812634, 52.377176, 52.117520
0.998700, 51.842280, 53.603940, 53.292309
0.998381, 50.821188, 52.458717, 51.905440
0.998548, 50.935774, 52.854726, 52.400221
0.998442, 50.578852, 52.316538, 51.972046
0.998794, 51.312449, 53.341688, 53.118228
0.998422, 50.211681, 52.283114, 51.976770
0.998573, 50.075578, 52.532466, 52.167151
0.998476, 49.701688, 52.226486, 51.936579
0.998818, 49.963163, 52.812675, 52.569874
0.998435, 48.948911, 52.039481, 51.748133
0.998474, 48.748018, 51.811758, 51.418454
0.998264, 48.044453, 51.567899, 51.266820
0.998642, 49.080691, 51.794188, 51.597360
0.998234, 48.447781, 51.512060, 51.159365
0.998264, 48.323284, 51.323020, 50.965037
0.998196, 48.177072, 51.575479, 51.004280
0.998581, 48.422565, 51.570143, 51.159790
0.998194, 47.866238, 51.486105, 50.996649
0.998167, 47.449881, 51.205915, 50.729258
0.997841, 45.761021, 51.132382, 50.664374
0.998183, 45.890112, 51.422973, 50.983633
0.997871, 45.798601, 51.203249, 50.769685
0.998012, 46.230010, 51.148738, 50.583863
0.997905, 46.188808, 51.164304, 50.529484
0.998092, 46.821231, 51.189257, 50.744548
0.997852, 46.798299, 51.374229, 50.565636
0.997786, 46.940070, 51.034444, 50.577977
0.997976, 47.615127, 51.270399, 50.783480
0.998313, 47.697398, 51.404292, 51.017935
0.997811, 46.436596, 50.966095, 50.556144
0.997910, 46.328550, 51.121991, 50.788009
0.997947, 46.436969, 51.149163, 50.662855
0.998234, 46.662763, 51.221688, 50.711870
0.997943, 46.352248, 51.125621, 50.690348
0.997848, 46.109767, 51.021644, 50.719248
0.997775, 45.961464, 50.856051, 50.479707
0.997861, 45.717225, 51.064152, 50.567492
0.997695, 45.490456, 50.931552, 50.445994
0.999331, 53.529673, 55.419818, 55.545102
