ms-ssim, psnr-y, psnr-u, psnr-v
0.997952, 42.267913, 50.572248, 46.860236
0.997457, 41.107021, 50.462782, 46.678038
0.997251, 40.993811, 49.908658, 46.099999
0.997094, 40.566475, 49.414341, 46.013100
0.997606, 41.548918, 49.132338, 47.028002
0.997220, 41.042204, 48.654232, 47.091052
0.997419, 41.331863, 48.702739, 46.933761
0.997026, 40.571371, 48.859459, 46.966827
0.997580, 41.442019, 48.908400, 47.537777
0.997296, 40.784171, 48.829889, 47.511093
0.997280, 40.828119, 48.616676, 47.540884
0.997123, 40.495273, 48.351650, 47.962639
0.997629, 41.475119, 48.397326, 48.453974
0.997074, 40.443584, 48.237977, 48.217393
0.996779, 39.880314, 48.163387, 47.906900
0.996010, 38.785823, 47.461772, 47.051605
0.996345, 39.184787, 47.404749, 47.719921
0.995766, 38.698577, 47.753437, 47.099900
0.996043, 38.687955, 47.367976, 47.342630
0.995858, 38.565612, 47.363463, 47.066007
0.996554, 39.363130, 47.585956, 47.297168
0.996229, 39.168564, 47.472392, 47.027148
0.996188, 39.235404, 47.593701, 46.439150
0.996248, 39.075534, 47.758219, 45.693551
0.996527, 39.562269, 47.576359, 45.578243
0.996388, 39.214451, 47.439379, 45.367468
0.997151, 41.916845, 46.682164, 47.192597
0.996623, 41.218947, 46.682954, 47.299057
0.996141, 40.825821, 46.433584, 47.092253
0.996050, 40.646459, 46.093738, 46.623185
0.996141, 40.910618, 46.327550, 46.848423
0.995691, 40.273644, 46.111963, 46.633380
0.995797, 40.503267, 45.787871, 46.360014
0.995761, 40.522863, 45.945780, 46.644200
0.995446, 40.521344, 45.577466, 46.356098
0.995596, 40.437383, 45.585124, 46.259869
0.995582, 40.430672, 45.588450, 46.061066
0.995346, 40.302043, 45.611450, 46.115878
0.995560, 40.502613, 45.709271, 46.195914
0.995177, 40.027980, 45.591755, 46.090796
0.995225, 40.003592, 45.261866, 45.770830
0.994678, 39.584788, 45.213193, 45.558277
0.997178, 42.642707, 47.776967, 48.165950
0.996631, 41.978930, 47.982907, 48.423222
0.996082, 41.831968, 47.333873, 47.851391
0.995984, 41.335914, 47.559570, 47.825440
0.996023, 41.376759, 47.086418, 47.236627
0.995924, 41.279350, 46.917802, 47.372493
0.995649, 41.178880, 47.104214, 47.538258
0.995668, 40.962805, 46.793508, 47.367940
0.996268, 41.686111, 47.026655, 47.604387
0.996021, 41.797065, 46.923703, 47.500671
0.996330, 42.034501, 47.238248, 47.858191
0.996282, 41.816330, 47.382255, 47.924120
0.996443, 42.008819, 47.181786, 47.655251
0.996326, 42.125444, 47.179301, 47.717763
0.996050, 41.893742, 47.110039, 47.679170
0.995877, 41.778084, 46.804860, 47.354026
0.995993, 41.420869, 47.123931, 47.562692
0.996010, 41.867654, 47.330524, 47.754253
0.996121, 41.919293, 47.320138, 47.804437
0.996032, 41.961519, 47.190276, 47.693286
0.996257, 41.942039, 47.143164, 47.659963
0.996256, 42.079598, 47.276267, 47.814354
0.995902, 41.970992, 46.918090, 47.322671
0.995979, 41.952373, 47.044273, 47.430750
0.996159, 41.880478, 46.949649, 47.318873
0.995829, 41.801289, 46.774209, 47.212206
0.996310, 42.129800, 47.175150, 47.491115
0.996242, 42.032544, 47.350307, 47.463661
0.996311, 42.078060, 46.954786, 47.136283
0.996203, 42.085557, 47.166622, 47.264518
0.996080, 42.153464, 47.116912, 47.284873
0.995910, 41.957001, 46.819531, 47.056797
0.996144, 42.014534, 47.003873, 47.252869
0.995683, 41.791462, 46.973218, 47.203913
0.995414, 41.550033, 46.647512, 47.005541
0.995109, 41.184371, 46.521276, 46.901167
0.997764, 41.581657, 57.729532, 58.009613
0.997206, 40.742705, 57.810259, 57.951889
0.997021, 40.476691, 57.833941, 57.904164
0.996952, 40.693947, 57.896528, 57.992338
0.996904, 40.398000, 57.727214, 58.036069
0.996582, 40.211804, 57.678063, 58.098294
0.996392, 39.883352, 57.630972, 58.102081
0.998974, 45.155367, 54.434720, 54.868197
0.998757, 44.547468, 54.286553, 54.283232
0.998806, 44.320779, 54.298987, 54.349435
0.998708, 44.177626, 54.204102, 54.195360
0.998641, 43.947125, 54.464314, 54.205990
0.998750, 43.791883, 54.602015, 54.170601
0.998909, 44.189148, 54.730064, 54.571845
0.998783, 43.964671, 54.682488, 54.300390
0.998823, 44.006301, 54.583438, 54.272760
0.998801, 44.237496, 54.296883, 54.212174
0.998879, 44.035281, 54.386139, 54.467595
0.998818, 44.250535, 54.393481, 54.282009
0.998776, 44.039743, 54.399939, 54.207363
0.998878, 44.444267, 54.244266, 53.975662
0.999019, 44.802267, 54.622939, 54.557861
0.998889, 44.374913, 54.247557, 54.089299
0.998875, 44.470280, 54.399221, 54.413422
0.998816, 44.508204, 54.424239, 54.252413
0.998947, 44.429662, 54.563076, 54.493928
0.998698, 43.941977, 54.331906, 54.172134
0.998797, 44.181221, 54.160397, 54.121334
0.998731, 44.347001, 53.948561, 53.901576
0.998901, 44.240544, 54.283931, 54.446679
0.998770, 44.176709, 54.364009, 54.175201
0.998793, 44.353261, 54.394915, 54.361161
0.998808, 44.263688, 54.399041, 54.330139
0.999070, 44.915629, 54.743642, 54.870797
0.998852, 44.247449, 54.437979, 54.596753
0.998949, 44.668946, 54.617840, 54.798975
0.998877, 44.556865, 54.461036, 54.666999
0.999021, 44.628985, 54.702072, 54.859009
0.998966, 44.948101, 54.509915, 54.524853
0.999008, 44.762680, 54.321493, 54.575394
0.998955, 44.690714, 54.422795, 54.524853
0.999038, 44.655966, 54.545964, 54.793272
0.999003, 44.941823, 54.504580, 54.418827
0.999024, 44.884371, 54.552838, 54.577077
0.998919, 44.563207, 54.546336, 54.653087
0.999027, 44.333130, 54.611993, 54.857813
0.998886, 44.537758, 54.728708, 54.807247
0.998957, 44.239368, 54.348371, 54.577825
0.998847, 44.052392, 54.329963, 54.617085
0.998979, 44.304958, 54.643584, 54.877403
0.999012, 44.319902, 54.445228, 54.898291
0.998862, 44.261283, 54.492461, 54.556931
0.999021, 44.564223, 54.118305, 54.052525
0.998901, 44.211697, 54.447405, 54.254322
0.999109, 44.953776, 54.517470, 54.424780
0.998921, 44.341680, 54.077951, 53.856045
0.999018, 44.629869, 54.261097, 53.828419
0.998912, 44.087536, 53.594983, 53.539269
0.998901, 43.940685, 53.553721, 53.905259
0.998884, 44.374988, 59.700213, 60.000000
0.998596, 43.428125, 59.510389, 60.000000
0.998637, 43.860652, 59.488899, 59.927461
0.998376, 42.882782, 59.516215, 59.906361
0.998539, 43.514488, 59.612899, 59.979689
0.998348, 43.158626, 59.514466, 59.775680
0.998366, 43.020366, 59.544291, 59.817347
0.998310, 42.921333, 59.446236, 59.713615
0.998408, 43.156903, 59.280760, 59.688671
0.998313, 43.017368, 59.248846, 59.558397
0.998284, 42.893335, 59.295142, 59.513301
0.998146, 42.625146, 59.061090, 59.438212
0.998261, 42.903180, 58.985622, 59.453126
0.998082, 42.332814, 58.861013, 59.325724
0.998124, 42.566966, 58.877590, 59.299023
0.997915, 42.059231, 58.884138, 59.263673
0.997987, 42.237898, 58.885146, 59.341937
0.997739, 41.619794, 58.842002, 59.300132
0.999437, 46.018901, 55.561489, 56.214492
0.999369, 46.006423, 55.050928, 55.498852
0.999212, 45.260777, 54.811981, 55.389730
0.999216, 45.386136, 54.849244, 55.228850
0.999323, 45.386795, 54.937727, 55.306665
0.999248, 45.443760, 54.740729, 54.971993
0.999271, 45.371541, 54.692461, 54.984296
0.999253, 45.416437, 54.700532, 54.968718
0.999349, 45.356844, 54.929406, 54.931840
0.999239, 45.345376, 54.521160, 54.717300
0.999292, 45.456401, 54.456306, 54.763309
0.999263, 45.345337, 54.280088, 54.475259
0.999377, 45.279485, 54.734715, 54.943419
0.999292, 45.497927, 54.403171, 54.898895
0.999347, 45.325799, 54.635238, 54.868797
