ms-ssim, psnr-y, psnr-u, psnr-v
0.991400, 35.737577, 44.328250, 44.516511
0.989837, 35.269214, 44.505610, 44.555535
0.989615, 35.234784, 44.505554, 44.558420
0.987002, 35.037411, 44.013463, 44.135819
0.987900, 35.247041, 43.932365, 44.070740
0.986980, 35.103358, 43.714392, 43.849541
0.987115, 35.142257, 43.633419, 43.542907
0.984738, 34.872242, 43.311127, 43.212609
0.988084, 35.427568, 43.774123, 43.717060
0.985290, 34.947841, 43.648551, 43.579887
0.987095, 35.497847, 43.878687, 43.746949
0.987830, 35.704568, 43.963876, 43.689066
0.978811, 33.927189, 43.386798, 42.702746
0.972265, 32.753061, 42.952592, 42.357998
0.969568, 32.321560, 43.072343, 42.230885
0.964882, 31.958675, 42.716185, 41.888333
0.966819, 32.103834, 42.709515, 41.972344
0.969010, 32.086149, 43.064404, 42.411982
0.969814, 32.317930, 42.882734, 42.254215
0.970740, 32.468167, 43.060592, 42.435543
0.972944, 32.768444, 42.903885, 42.171747
0.974545, 33.056555, 42.808729, 42.247212
0.976709, 33.262252, 42.998079, 42.553617
0.979019, 33.577171, 42.885115, 42.451628
0.978165, 33.604047, 42.875816, 42.485605
0.979000, 33.756344, 43.066556, 42.773841
0.981341, 33.964297, 43.218390, 42.900071
0.982446, 34.300587, 43.024454, 42.771719
0.982900, 34.358641, 43.377498, 43.042091
0.982859, 34.426130, 43.338735, 42.997611
0.982001, 34.305854, 43.104952, 42.836153
0.983229, 34.797440, 43.283347, 43.048070
0.983660, 34.715758, 43.480788, 43.230563
0.984166, 34.672040, 43.273974, 43.021761
0.985431, 34.871044, 43.335278, 43.095464
0.987078, 35.450219, 43.309926, 43.079463
0.986284, 35.075093, 43.503128, 43.362629
0.986041, 35.064678, 43.433948, 43.272423
0.986249, 35.058818, 43.360834, 43.186279
0.987266, 35.419814, 43.447348, 43.196933
0.986679, 35.021156, 43.451963, 43.351786
0.986085, 34.916550, 43.241918, 43.126547
0.986256, 34.828218, 43.349432, 43.216736
0.987483, 35.348009, 43.302935, 43.082629
0.986844, 35.076866, 43.262397, 43.066279
0.986678, 35.033524, 43.289195, 43.136412
0.986771, 34.922577, 43.383445, 43.132589
0.986951, 35.110172, 43.222658, 42.866727
0.986350, 34.910247, 43.649140, 43.325259
0.986747, 34.985927, 43.174865, 42.973931
0.985790, 34.687603, 42.899538, 42.903784
0.985563, 34.144734, 43.256254, 43.052858
0.987557, 34.196860, 43.314062, 43.172185
0.987886, 34.290521, 43.728409, 43.550768
0.988384, 34.638238, 43.768330, 43.562845
0.989152, 34.377889, 43.537311, 43.380960
0.990555, 34.688181, 43.567585, 43.464144
0.989575, 34.427633, 43.785420, 43.671181
0.989601, 34.437674, 43.926164, 43.664675
0.989376, 34.316901, 43.741100, 43.533443
0.990417, 34.683117, 43.596534, 43.380832
0.989839, 34.535236, 43.645231, 43.440333
0.989527, 34.449250, 43.824140, 43.645955
0.989707, 34.467668, 43.872785, 43.791220
0.990745, 35.017889, 43.832843, 43.709382
0.989485, 34.268649, 43.951684, 43.906829
0.988291, 34.120519, 43.631433, 43.561306
0.987894, 34.009447, 43.557741, 43.558392
0.988117, 34.292526, 43.488159, 43.464043
0.987573, 33.838777, 43.528182, 43.442291
0.987570, 33.945009, 43.333059, 43.282376
0.987572, 33.984792, 43.379555, 43.347544
0.987712, 34.214927, 43.231935, 43.164966
0.987945, 34.089377, 43.339480, 43.288305
0.988048, 33.995778, 43.259221, 43.115903
0.987401, 33.713345, 43.105632, 42.978962
0.987963, 34.216010, 43.075822, 42.883912
0.988234, 34.025700, 43.253331, 42.995143
0.987911, 34.009949, 43.239472, 43.052779
0.987789, 33.889575, 43.129145, 42.987071
0.988867, 34.358276, 43.243981, 43.137875
0.988619, 34.064816, 43.408530, 43.234501
0.988512, 34.128672, 43.461887, 43.346600
0.988352, 34.031209, 43.336134, 43.166087
0.989239, 34.468949, 43.413519, 43.347276
0.989165, 34.273739, 43.582058, 43.397159
0.989132, 34.355717, 43.671743, 43.506926
