ms-ssim, psnr-y, psnr-u, psnr-v
0.993723, 37.568922, 43.437355, 43.925922
0.993681, 37.556597, 43.384340, 43.886096
0.991488, 36.526744, 42.590948, 43.228603
0.990774, 36.414246, 42.477204, 43.173227
0.992963, 37.010079, 42.880393, 43.430099
0.992514, 36.862548, 42.705674, 43.300551
0.991342, 36.313501, 42.650373, 43.175582
0.990999, 36.258509, 42.519431, 43.098656
0.991106, 36.275485, 42.385928, 43.084538
0.988927, 35.824692, 42.426349, 43.175135
0.991469, 36.323745, 42.579980, 43.185586
0.991205, 36.254964, 42.427991, 43.112085
0.990322, 36.176008, 42.397537, 42.992104
0.984229, 34.070681, 41.463169, 41.688107
0.979944, 33.246395, 41.187261, 41.249015
0.971555, 32.084380, 40.738024, 41.054603
0.969275, 31.533596, 40.214255, 40.382999
0.968213, 31.287200, 40.846284, 40.900472
0.971575, 31.691934, 40.534752, 40.664639
0.979915, 32.603180, 40.576883, 40.785346
0.979646, 32.551255, 40.545557, 40.786345
0.986198, 33.565742, 40.938398, 41.494114
0.986327, 33.600532, 40.956288, 41.412089
0.982816, 33.238946, 40.722510, 41.697568
0.987050, 34.417674, 41.260691, 42.062746
0.986983, 34.419215, 41.267824, 42.048047
0.984789, 34.343177, 41.660375, 42.447126
0.984724, 34.344180, 41.664733, 42.440410
0.987840, 34.950493, 41.730720, 42.449416
0.987697, 34.944321, 41.725103, 42.439302
0.983877, 33.794450, 41.516540, 41.995983
0.983923, 33.810565, 41.521542, 42.003068
0.987566, 34.650717, 41.726955, 42.307404
0.987616, 34.665351, 41.745171, 42.328420
0.982589, 33.670170, 41.274846, 41.820739
0.981940, 33.741762, 41.597285, 42.035491
0.986185, 34.612880, 41.545607, 42.201518
0.986141, 34.612391, 41.495852, 42.178404
0.987528, 34.647339, 41.837273, 42.228620
0.987406, 34.643704, 41.899966, 42.261987
0.985555, 34.484732, 41.914728, 42.287163
0.985624, 34.535649, 41.940846, 42.294872
0.987199, 34.854972, 41.772354, 42.386086
0.987191, 34.874972, 41.845289, 42.432564
0.987767, 34.984928, 41.814598, 42.436548
0.987723, 34.996249, 41.813846, 42.445432
0.987920, 34.877229, 41.895355, 42.542449
0.987704, 34.840011, 41.853540, 42.531999
0.986008, 34.247111, 41.321588, 42.259903
0.986255, 34.297920, 41.223864, 42.269949
0.989168, 35.099401, 41.840647, 42.786091
0.989008, 35.066537, 41.735742, 42.741461
0.986590, 34.612893, 41.715254, 42.750488
0.986651, 34.639943, 41.691781, 42.735572
0.989191, 34.984652, 42.321396, 43.003997
0.989037, 34.956974, 42.329601, 43.028614
0.986284, 34.430792, 42.368487, 42.896858
0.986345, 34.431122, 42.350982, 42.930447
0.989267, 34.958186, 42.477135, 43.250217
0.989124, 34.960734, 42.474484, 43.278395
0.985450, 33.615392, 42.276934, 42.789546
0.985508, 33.642141, 42.287946, 42.808318
0.988432, 34.797895, 42.229937, 43.024598
0.988392, 34.791679, 42.234285, 43.038600
0.986899, 34.513051, 42.055615, 42.846095
0.986976, 34.519360, 42.013023, 42.845844
0.985631, 34.525717, 42.232912, 42.852777
0.983202, 33.965596, 42.262163, 43.213566
0.984254, 34.108090, 42.143321, 42.975457
0.983792, 34.080556, 42.339943, 43.169507
0.989231, 34.914131, 42.524370, 43.151480
0.989222, 34.902855, 42.563837, 43.181042
0.987565, 34.335699, 42.266905, 43.058865
0.987599, 34.337897, 42.284802, 43.049306
0.986046, 33.661632, 41.791342, 42.612339
0.985964, 33.631778, 41.778327, 42.588665
0.987682, 33.666410, 41.922818, 42.725636
0.991851, 35.132308, 42.370354, 42.848719
0.991810, 35.139765, 42.360556, 42.917682
