ms-ssim, psnr-y, psnr-u, psnr-v
0.993315, 40.679387, 44.155643, 44.403135
0.992250, 40.243215, 43.891266, 43.833583
0.992211, 40.222352, 43.905691, 43.831630
0.990434, 39.372073, 43.855380, 43.609877
0.992422, 40.300922, 43.794904, 43.830071
0.989862, 39.263390, 43.587101, 43.260077
0.989897, 39.149148, 43.235736, 42.917427
0.992147, 40.056121, 43.627660, 43.461237
0.992176, 40.025626, 43.589186, 43.423700
0.989372, 39.093526, 43.497073, 42.880722
0.990361, 39.316164, 43.146851, 42.810422
0.989096, 38.949631, 43.356470, 43.109284
0.992559, 40.449339, 43.673109, 43.609143
0.988072, 38.514816, 42.783703, 42.173822
0.987586, 38.346340, 42.707363, 42.109293
0.980163, 36.406863, 42.206022, 40.931617
0.980781, 36.551978, 41.515329, 40.834650
0.977388, 35.796188, 41.736131, 40.584757
0.978477, 35.994972, 41.655277, 40.591085
0.986044, 37.890923, 42.066447, 41.593521
0.985924, 37.839610, 42.027479, 41.572127
0.984370, 37.411364, 42.379126, 41.959584
0.984577, 37.756605, 41.878780, 41.610636
0.984663, 37.869128, 42.484820, 42.083566
0.988855, 39.067376, 42.427934, 42.389598
0.987809, 38.796302, 42.425814, 42.073143
0.987645, 38.726549, 42.385781, 42.086220
0.985414, 37.922564, 42.499790, 42.070623
0.988157, 38.668618, 42.216367, 41.978075
0.984876, 37.695822, 42.481980, 41.940938
0.986159, 38.186476, 42.839122, 42.437017
0.990319, 39.633035, 42.910288, 42.712228
0.990481, 39.682282, 42.946974, 42.761761
0.987411, 38.593785, 42.913206, 42.635820
0.986772, 38.273656, 42.749899, 42.468014
0.989874, 39.323932, 42.997299, 42.707557
0.987639, 38.528754, 42.944624, 42.696133
0.991320, 39.915358, 43.356315, 43.296721
0.991365, 39.953811, 43.420777, 43.328288
0.988326, 38.740951, 43.294146, 42.766897
0.987675, 38.636080, 43.068735, 42.696727
0.989970, 39.554329, 43.247821, 43.054530
0.990022, 39.471812, 43.260754, 42.693806
0.989879, 39.408783, 43.234720, 42.671203
0.988188, 38.811611, 43.100838, 42.379599
0.990837, 39.872113, 43.041225, 42.906303
0.988542, 38.841528, 42.664734, 41.974315
0.988588, 38.990086, 42.743079, 42.464725
0.986467, 38.669285, 43.027554, 42.635617
0.990087, 39.554021, 43.119738, 42.949107
0.986622, 38.456526, 43.196974, 42.989976
0.986354, 38.544535, 42.899182, 42.872406
0.985329, 38.132237, 42.896451, 42.905832
0.989358, 39.099039, 43.117853, 43.207628
0.984278, 37.759013, 42.700439, 42.998768
0.986204, 38.321971, 42.690983, 43.141487
0.986201, 38.322583, 43.188709, 43.439715
0.990700, 39.741567, 43.415107, 43.629058
0.985791, 38.294997, 42.884659, 43.124058
0.987275, 38.502531, 42.871623, 43.224726
0.986732, 38.058476, 42.726698, 43.051003
0.990374, 39.116323, 43.111885, 43.390780
0.989363, 39.002165, 42.771558, 43.218171
0.989078, 38.891063, 42.744697, 43.209170
0.987454, 38.300861, 42.615516, 43.237219
0.989942, 38.940198, 42.483446, 42.875501
0.986262, 37.956711, 42.004175, 42.656184
0.987069, 38.026358, 42.314372, 42.791194
0.991252, 39.366571, 42.543116, 43.214371
0.991262, 39.395909, 42.571123, 43.214167
0.986861, 37.991803, 42.248021, 42.438650
0.986162, 37.550566, 41.861677, 41.888393
0.989766, 38.501558, 42.034710, 42.315483
0.987443, 37.488312, 41.961355, 42.185448
0.991598, 38.959202, 42.203856, 42.702758
0.991557, 38.968444, 42.217051, 42.711693
0.989242, 37.888413, 42.318116, 42.442777
0.987896, 37.453263, 41.928992, 42.095756
0.990083, 38.166440, 42.059498, 42.320017
0.987812, 37.052790, 41.849378, 42.027001
0.990822, 38.466250, 42.068881, 42.458510
