ms-ssim, psnr-y, psnr-u, psnr-v
0.995542, 42.177783, 45.584928, 44.199877
0.994916, 41.685114, 46.153241, 45.097551
0.994641, 41.371801, 45.925112, 45.018205
0.994445, 41.230029, 45.362862, 43.961995
0.994665, 41.332956, 45.755888, 44.605372
0.994458, 41.251577, 45.549156, 44.281245
0.994302, 41.201986, 45.588436, 44.584475
0.994119, 40.980070, 45.067119, 43.731647
0.994631, 41.362450, 45.442343, 44.352550
0.994239, 41.133797, 44.886183, 43.554884
0.994585, 41.408302, 45.292950, 44.509769
0.994441, 41.146679, 45.200421, 44.216595
0.994537, 41.306454, 44.946128, 44.076538
0.994029, 40.881935, 45.053276, 44.123799
0.993225, 40.603051, 44.838136, 43.868789
0.992150, 40.080871, 44.153390, 42.835437
0.991766, 39.838887, 44.261534, 43.272928
0.992862, 40.347913, 44.254311, 43.256407
0.993172, 40.570409, 44.238558, 43.290389
0.993405, 40.867825, 44.553650, 43.547499
0.993198, 40.796518, 44.388626, 43.461652
0.993880, 41.085755, 44.783473, 43.948305
0.994428, 41.422185, 44.864748, 43.825857
0.994675, 41.739152, 45.292081, 44.271280
0.994543, 41.764054, 45.266008, 44.151098
0.994786, 41.941183, 45.529072, 44.585171
0.995373, 42.198216, 45.433790, 44.613033
0.994895, 42.138339, 45.458028, 44.471238
0.995327, 42.710874, 46.153241, 45.172692
0.995567, 42.710004, 46.366264, 45.380797
0.996103, 43.060288, 46.255330, 45.241122
0.995603, 42.909607, 46.519396, 45.544205
0.995431, 42.645020, 46.286224, 45.262800
0.995579, 42.673937, 45.995848, 44.705492
0.996052, 42.928924, 46.237633, 45.052382
0.995629, 42.756396, 46.328960, 45.121315
0.995779, 42.820700, 46.326186, 45.276116
0.995709, 42.708418, 45.943424, 44.716267
0.996297, 43.066153, 46.371833, 45.293471
0.995715, 42.757861, 45.851072, 44.957609
0.995934, 42.972706, 46.236491, 45.265934
0.995682, 42.749427, 46.161455, 45.208209
0.996221, 43.011717, 46.199637, 45.191894
0.995910, 42.931494, 46.412305, 45.355800
0.995793, 42.836086, 46.596040, 45.493678
0.995783, 42.706866, 46.325965, 45.116733
0.996338, 43.079722, 46.741808, 45.568143
0.995681, 42.679764, 46.401069, 45.289201
0.995833, 42.882394, 46.283852, 45.206967
0.995776, 42.927876, 46.208553, 45.171460
0.996230, 43.172689, 46.472049, 45.408360
0.995722, 42.892344, 46.074471, 44.906133
0.995946, 43.212719, 46.771000, 45.680172
0.996021, 43.127665, 46.959644, 45.653829
0.996377, 43.478033, 46.969316, 45.763937
0.995954, 43.324244, 46.916760, 45.643530
0.995841, 43.082058, 47.109838, 45.842776
0.995694, 42.998677, 46.608566, 45.455707
0.996444, 43.429178, 47.089016, 45.771224
0.995850, 42.910059, 46.839614, 45.625981
0.995802, 42.866308, 46.705894, 45.481676
0.995733, 42.771968, 46.791435, 45.515220
0.996205, 43.055081, 46.929885, 45.606047
0.995522, 42.598574, 46.520615, 45.000358
0.995725, 42.976504, 46.766324, 45.540391
0.995284, 42.513667, 46.105628, 44.797102
0.996092, 42.919267, 46.703074, 45.394277
0.995489, 42.581704, 46.139425, 44.729359
0.995643, 42.672826, 46.555556, 45.278765
0.995514, 42.510489, 46.125983, 44.645311
0.996348, 42.923670, 46.738307, 45.340806
0.995537, 42.317224, 46.258927, 44.850098
0.995699, 42.588081, 46.548120, 45.210012
0.995478, 42.114709, 46.084117, 44.702282
0.996239, 42.614910, 46.367727, 45.206382
0.995499, 42.055148, 45.880121, 44.360438
0.995808, 42.524116, 46.453611, 45.076066
0.995531, 42.173081, 45.753705, 44.296819
0.996234, 42.463697, 46.297823, 45.003145
0.995473, 41.967308, 45.564730, 44.041501
0.995738, 42.393838, 45.998419, 44.439531
0.995844, 42.188106, 45.994446, 44.185994
0.996341, 42.667082, 45.936332, 44.861845
0.995961, 42.468899, 45.957585, 44.314609
0.995770, 42.385954, 45.616953, 44.310744
0.995740, 42.347911, 45.565841, 44.028096
0.996322, 42.794435, 46.184788, 44.820432
0.995768, 42.590901, 45.884446, 44.184127
