ms-ssim, psnr-y, psnr-u, psnr-v
0.997463, 39.115736, 43.758098, 46.210459
0.997492, 39.206838, 43.760344, 46.221367
0.997483, 39.162251, 43.763878, 46.223879
0.997499, 39.255365, 43.758609, 46.224890
0.997481, 39.140133, 43.734565, 46.199308
0.997497, 39.267681, 43.726319, 46.185476
0.997369, 39.163134, 43.671622, 46.066174
0.997360, 39.190676, 43.663857, 46.046460
0.997337, 39.139355, 43.642561, 46.019793
0.997346, 39.182007, 43.646211, 46.022218
0.997351, 39.185102, 43.648249, 46.035303
0.997365, 39.226239, 43.706765, 46.046932
0.997358, 39.170059, 43.701183, 46.069573
0.997361, 39.222346, 43.698571, 46.054808
0.997357, 39.205032, 43.700007, 46.056542
0.997359, 39.220646, 43.699060, 46.058409
0.997350, 39.192344, 43.689432, 46.052654
0.997361, 39.223647, 43.695655, 46.057331
0.997355, 39.210400, 43.688609, 46.053337
0.997363, 39.268733, 43.687756, 46.053442
0.997350, 39.204904, 43.676983, 46.066121
0.997584, 39.310208, 43.834229, 46.280024
0.997602, 39.367159, 43.838092, 46.281131
0.997601, 39.358002, 43.831536, 46.257831
0.998083, 39.745631, 44.603426, 47.237248
0.998082, 39.725832, 44.607302, 47.226429
0.998103, 39.794716, 44.636868, 47.244257
0.998108, 39.790606, 44.638669, 47.232766
0.998541, 40.215854, 45.677816, 48.821782
0.998543, 40.196348, 45.690288, 48.829939
0.998556, 40.236433, 45.762765, 48.911240
0.998559, 40.238813, 45.763625, 48.920125
0.998771, 40.460161, 46.310684, 49.912425
0.998778, 40.459761, 46.317936, 49.923233
0.998772, 40.467143, 46.315452, 49.925474
0.998776, 40.469872, 46.319025, 49.926756
0.998797, 40.487179, 46.256538, 49.870853
0.998803, 40.487283, 46.261440, 49.865731
0.998797, 40.494427, 46.270791, 49.880226
0.998804, 40.497656, 46.269135, 49.888539
0.998805, 40.498745, 46.281796, 49.891907
0.998801, 40.494688, 46.278171, 49.903747
0.998797, 40.497300, 46.275792, 49.900306
0.998798, 40.497499, 46.280772, 49.903620
0.998798, 40.497510, 46.280439, 49.905022
0.998798, 40.495484, 46.280107, 49.904831
0.998797, 40.498022, 46.282100, 49.904257
0.998798, 40.498225, 46.286948, 49.907701
0.998792, 40.502691, 46.287336, 49.919265
0.998803, 40.503191, 46.288917, 49.914789
0.998794, 40.508323, 46.294133, 49.921184
0.998766, 40.490263, 46.268003, 49.892352
0.998820, 40.521206, 46.364752, 50.085603
0.998826, 40.522871, 46.359648, 50.059889
0.998826, 40.522801, 46.359958, 50.055332
0.998832, 40.523216, 46.358464, 50.061938
0.998918, 40.605814, 46.664804, 50.551406
0.998925, 40.607609, 46.664834, 50.550888
0.998924, 40.606580, 46.659636, 50.541354
0.998927, 40.607376, 46.657613, 50.535599
0.998977, 40.679343, 46.871701, 51.019171
0.998982, 40.681524, 46.876302, 51.021232
0.998981, 40.681261, 46.877350, 51.021727
0.998985, 40.682856, 46.878080, 51.020325
0.999023, 40.743614, 47.002599, 51.304499
0.999026, 40.744320, 47.003514, 51.305996
0.999051, 40.754147, 47.019988, 51.356736
0.999057, 40.755344, 47.027148, 51.366723
0.999061, 40.760983, 47.052067, 51.399522
0.999064, 40.761616, 47.051340, 51.408797
0.999063, 40.761463, 47.052729, 51.406634
0.999065, 40.763075, 47.055176, 51.407265
0.999066, 40.763242, 47.055772, 51.414209
0.999066, 40.763584, 47.056897, 51.415744
0.999066, 40.763745, 47.055639, 51.415383
0.999067, 40.764370, 47.062758, 51.417912
0.999067, 40.763609, 47.059512, 51.418183
0.999067, 40.763417, 47.059479, 51.419357
0.999067, 40.763364, 47.059412, 51.419086
0.999067, 40.763568, 47.061632, 51.420080
0.999062, 40.767521, 47.055738, 51.413217
0.999050, 40.763500, 47.038436, 51.346061
0.999051, 40.762795, 47.038897, 51.343307
0.999055, 40.765173, 47.043646, 51.344373
0.999063, 40.772124, 47.066637, 51.398263
0.999065, 40.772577, 47.069955, 51.406364
0.999065, 40.773309, 47.069092, 51.403842
0.999067, 40.773913, 47.066836, 51.404022
0.999079, 40.789121, 47.104950, 51.491798
0.999081, 40.790448, 47.110307, 51.497775
0.999081, 40.790366, 47.110475, 51.496855
0.999083, 40.791590, 47.111681, 51.493360
0.999096, 40.805997, 47.152323, 51.555386
0.999096, 40.806658, 47.152052, 51.559304
0.999097, 40.806811, 47.151003, 51.558558
0.999099, 40.808236, 47.154184, 51.564627
0.999104, 40.801719, 47.142861, 51.547747
0.999105, 40.827431, 47.141544, 51.545700
0.999106, 40.823238, 47.144616, 51.541981
0.999106, 40.832188, 47.141713, 51.553895
0.999106, 40.828576, 47.143873, 51.557531
0.999105, 40.827600, 47.143941, 51.551193
0.999096, 40.825346, 47.126755, 51.506156
0.999114, 40.370268, 45.875829, 52.276284
0.999046, 40.336241, 45.784931, 51.866502
0.999005, 40.314036, 45.746924, 51.733439
0.999005, 40.312331, 45.742447, 51.710574
0.999006, 40.318587, 45.744453, 51.681393
0.999008, 40.324435, 45.728240, 51.655745
0.998996, 40.308556, 45.706457, 51.585138
0.998953, 40.292935, 45.684204, 51.500720
0.998923, 40.237750, 45.568295, 51.044213
