ms-ssim, psnr-y, psnr-u, psnr-v
0.994109, 39.659038, 48.536098, 50.344350
0.992251, 38.748778, 48.582261, 50.332936
0.991689, 38.667327, 48.588897, 50.348302
0.991227, 38.340662, 48.544201, 50.377280
0.992141, 38.772208, 48.392507, 50.224050
0.991067, 38.389817, 48.212726, 50.018262
0.990504, 37.966002, 47.637927, 49.519073
0.992044, 38.738457, 47.600559, 49.523042
0.990989, 38.162305, 47.760203, 49.589593
0.991341, 38.377695, 47.688729, 49.492377
0.990938, 37.947879, 47.718919, 49.516507
0.992139, 38.761826, 47.690528, 49.488436
0.989538, 37.602739, 47.298882, 49.376633
0.988421, 37.288324, 47.354770, 49.346981
0.987060, 36.907988, 47.227909, 49.207652
0.986216, 36.617659, 46.943003, 48.889030
0.986171, 36.666310, 47.056599, 48.986241
0.985875, 36.577802, 46.998776, 48.863621
0.986176, 36.546199, 46.962810, 48.834770
0.986595, 36.676843, 46.750644, 48.755707
0.986287, 36.571107, 46.613851, 48.656815
0.986518, 36.640576, 46.394597, 48.454659
0.986187, 36.604215, 46.650404, 48.417967
0.987493, 37.058591, 46.465814, 48.315947
0.988207, 37.300936, 46.801739, 48.651222
0.988382, 37.360408, 46.731994, 48.575449
0.989115, 37.458167, 46.845963, 48.687634
0.990398, 38.100944, 46.748239, 48.665050
0.990417, 37.986324, 47.039722, 48.952212
0.990777, 38.089884, 47.009762, 48.875879
0.991276, 38.280775, 47.157468, 49.047932
0.992293, 38.811781, 46.964948, 48.940094
0.992164, 38.775847, 47.377514, 49.228610
0.992157, 38.640356, 47.397405, 49.121837
0.993337, 39.460500, 47.371070, 49.171420
0.993692, 39.596086, 47.484646, 49.386185
0.993273, 39.376597, 47.062294, 48.989596
0.993132, 39.289182, 47.273275, 49.190580
0.994172, 39.826827, 47.373881, 49.165017
0.993712, 39.527812, 47.603523, 49.291653
0.993832, 39.685104, 47.442886, 49.179506
0.993532, 39.543604, 47.626857, 49.270941
0.994197, 39.857337, 47.568422, 49.274799
0.993572, 39.408779, 47.673216, 49.397573
0.993729, 39.663125, 47.446685, 49.270059
0.993447, 39.308994, 47.617094, 49.345243
0.994099, 39.813551, 47.769981, 49.413430
0.993531, 39.442821, 47.730382, 49.364680
0.993422, 39.421840, 47.600897, 49.368905
0.993100, 39.270868, 47.670738, 49.349112
0.993466, 39.483928, 47.851510, 49.445949
0.991882, 38.803311, 47.187069, 48.613738
0.992461, 39.089778, 47.371176, 48.748421
0.992335, 38.940264, 47.554891, 48.864926
0.992925, 39.255950, 47.602735, 48.784873
0.992334, 38.953378, 47.698577, 48.891049
0.992339, 39.005233, 47.548882, 48.804328
0.992041, 38.842604, 47.578150, 48.843950
0.992085, 38.816870, 47.627536, 48.796318
