ms-ssim, psnr-y, psnr-u, psnr-v
0.993046, 40.885095, 46.085686, 45.082593
0.991005, 40.176164, 45.961490, 44.608903
0.991985, 40.569106, 46.167048, 44.854862
0.990221, 40.605920, 46.495579, 45.003457
0.990901, 40.983948, 46.751292, 45.375820
0.990627, 40.997143, 46.979195, 45.463212
0.991898, 41.348347, 46.835887, 45.396950
0.990663, 40.817273, 46.904201, 45.072417
0.990750, 41.008132, 47.002631, 45.271859
0.989965, 40.816754, 46.840765, 45.176570
0.991018, 41.197752, 46.845963, 45.283305
0.989227, 40.869341, 46.712568, 45.152938
0.989342, 40.917977, 46.912389, 45.298776
0.991128, 41.424305, 46.591109, 45.253512
0.988769, 40.325541, 45.983482, 44.788990
0.985432, 38.742824, 45.471841, 44.073153
0.985584, 38.476295, 45.254342, 43.808417
0.985829, 38.362369, 45.170157, 43.843663
0.987127, 38.828730, 45.075436, 43.953838
0.985815, 38.718334, 45.466446, 44.193579
0.986734, 39.335105, 45.877923, 44.496185
0.986627, 39.525730, 46.112735, 44.820812
0.988833, 40.106410, 45.982758, 44.914911
0.988007, 40.070550, 46.278862, 45.149588
0.989206, 40.198104, 46.337914, 45.053493
0.989214, 39.919140, 46.078890, 45.181918
0.990934, 40.491620, 46.011305, 45.361349
0.989691, 40.230728, 45.901092, 45.145920
0.989631, 40.273269, 46.073292, 45.106457
0.990032, 40.534978, 46.397553, 45.378203
0.990755, 40.732905, 46.025061, 45.085618
0.991584, 40.986616, 46.672673, 45.763674
0.991883, 41.123354, 46.581280, 45.913842
0.992418, 40.929592, 46.276401, 45.720010
0.992163, 40.710485, 46.115292, 45.539591
0.991227, 39.759547, 45.588309, 44.818361
0.991030, 39.536745, 45.435032, 44.682565
0.991580, 39.540355, 45.333220, 44.768679
0.992189, 40.175191, 45.719450, 44.812534
0.990746, 40.297530, 46.301858, 45.332196
0.991005, 40.938063, 46.717677, 45.807211
0.990679, 40.917800, 47.058883, 46.046487
0.993067, 42.313165, 47.734635, 47.138002
0.993104, 41.659675, 46.875255, 45.945139
0.991039, 40.685238, 46.224426, 45.125698
0.992169, 40.194982, 45.255741, 44.596546
0.990315, 39.650927, 44.990071, 43.916550
0.990007, 39.894317, 45.228545, 44.596509
0.992056, 40.883995, 45.887393, 45.426793
0.991003, 41.381354, 46.359309, 45.735240
0.992613, 42.676275, 47.342736, 46.586177
0.991240, 42.735260, 48.255997, 47.267608
0.992828, 43.008532, 48.702691, 47.787018
0.991097, 42.662655, 47.755847, 46.894403
0.992540, 42.949046, 47.507678, 46.607789
0.992397, 43.439218, 48.043788, 46.896189
0.992598, 43.610108, 48.175702, 46.920110
0.994138, 44.406118, 48.621228, 47.900224
0.993397, 44.673532, 49.279269, 48.347327
0.993976, 45.530459, 49.964213, 48.650553
0.995492, 46.301664, 50.964467, 49.595942
0.994700, 45.797970, 50.913338, 49.329576
0.994987, 45.922862, 51.093059, 49.528067
0.995852, 46.418216, 51.233273, 49.851978
0.996067, 46.317183, 51.327795, 49.959303
0.995464, 46.174780, 50.894639, 49.676313
0.996376, 46.385451, 51.475656, 49.877564
0.995755, 45.279155, 50.975222, 49.300021
0.995455, 45.091008, 49.963696, 48.633867
0.994880, 44.409737, 48.826406, 47.940679
0.995144, 44.142750, 48.221848, 47.334473
0.995202, 43.677526, 47.797995, 46.623006
0.993902, 42.518483, 46.797528, 45.713957
0.994047, 42.269396, 46.073503, 45.362559
0.993781, 42.162468, 45.953525, 45.365652
0.995400, 43.208371, 46.911908, 46.213919
0.994608, 42.589555, 46.500584, 45.446026
0.995174, 43.319416, 46.977213, 46.269273
0.994680, 42.882908, 47.035471, 45.863592
0.995956, 43.674180, 47.274805, 46.237368
0.994422, 42.839085, 46.529123, 45.479821
0.994531, 43.061307, 46.407060, 45.363769
0.994272, 42.468088, 46.269135, 45.659641
0.995069, 43.285722, 46.809234, 46.096124
0.993816, 42.390081, 46.497935, 45.992589
0.993492, 42.140186, 46.613971, 45.982060
0.993477, 42.326240, 46.863052, 46.094135
0.995104, 43.079135, 47.506944, 46.604955
0.993529, 42.008669, 47.301822, 46.273857
0.993245, 41.689792, 47.293672, 46.303082
0.992376, 40.950882, 46.918475, 45.948650
0.993810, 41.325323, 46.916712, 45.857361
0.992867, 41.030598, 46.875413, 45.928773
0.992692, 41.030515, 46.854989, 45.721080
0.992219, 40.914886, 46.782807, 45.584511
0.993330, 41.346640, 46.786008, 45.603486
0.992433, 41.067786, 46.756940, 45.513394
0.992915, 41.158473, 46.787967, 45.542182
0.992099, 40.890094, 46.751384, 45.431548
0.993523, 41.651560, 46.792605, 45.882643
0.992995, 41.714753, 46.731073, 45.603130
0.993419, 41.579648, 46.817965, 45.673794
0.993513, 41.766293, 47.088817, 45.726461
0.993928, 41.907624, 46.897050, 45.693237
0.993312, 41.624675, 47.013168, 45.815385
0.993370, 41.674305, 46.933471, 45.661177
0.993051, 41.323212, 46.813769, 45.417435
0.993842, 41.593224, 46.544125, 45.119169
0.993075, 41.077406, 46.290914, 44.947388
0.992908, 41.019433, 46.085924, 45.013947
0.994776, 42.326387, 46.660784, 45.525798
0.995602, 42.957910, 47.116912, 46.021670
0.997128, 45.155308, 49.174114, 48.066653
0.995331, 43.130069, 47.896408, 46.946067
0.994898, 42.782546, 47.444261, 46.314030
0.994524, 42.388316, 46.959184, 45.740980
0.995370, 42.721228, 47.249166, 46.291635
0.994636, 42.180896, 46.990457, 46.050002
0.994718, 42.206276, 46.965499, 45.655038
0.994222, 42.276111, 46.879224, 45.556964
0.995034, 42.616456, 46.839065, 46.019011
0.993002, 41.133660, 46.126524, 44.979227
0.993301, 41.323279, 46.345549, 45.416187
0.992865, 40.815991, 46.639238, 45.647974
0.994459, 41.745385, 47.045164, 46.053757
0.993317, 41.345285, 46.928809, 45.614868
0.993573, 41.719219, 47.101571, 45.765468
0.992756, 41.363210, 47.021662, 45.750548
0.993738, 41.223054, 46.329341, 45.282052
0.993373, 41.171131, 46.452317, 45.366414
0.993033, 41.074089, 46.509765, 45.372226
0.992978, 41.718900, 46.773961, 45.424043
0.994165, 42.376621, 46.774085, 45.913130
0.991951, 40.484120, 45.603273, 44.932753
0.991937, 40.327939, 45.191126, 44.656742
0.993779, 41.432090, 44.141972, 44.423354
0.992194, 39.307162, 43.861750, 43.732502
0.996229, 42.060221, 47.233593, 45.869128
0.995938, 43.074516, 47.798466, 46.454593
0.993531, 40.536222, 45.192742, 43.855111
0.991346, 38.109482, 43.391321, 43.038875
0.991198, 39.378298, 44.841190, 44.521603
