ms-ssim, psnr-y, psnr-u, psnr-v
0.991378, 33.103349, 44.549363, 44.510228
0.986431, 31.282077, 43.951069, 43.874709
0.987019, 31.683666, 43.972212, 43.857043
0.985210, 31.126248, 43.627059, 43.402106
0.986603, 31.877377, 43.546637, 43.355736
0.982309, 30.760108, 42.608012, 42.594074
0.985246, 31.799824, 43.130632, 42.986086
0.983289, 31.214106, 43.014918, 42.884481
0.987243, 32.339629, 43.212582, 43.094986
0.982366, 30.971823, 42.963113, 42.827484
0.984254, 31.480781, 43.188627, 42.982587
0.981822, 30.681246, 42.779820, 42.560757
0.985342, 31.608236, 43.018900, 42.849070
0.974838, 29.108763, 42.377188, 42.227553
0.969547, 28.478124, 42.297515, 42.103957
0.958468, 26.989538, 41.615540, 41.624493
0.952214, 26.509099, 41.453149, 41.218848
0.937659, 25.331115, 41.153045, 41.146523
0.928297, 25.071025, 41.118473, 41.101004
0.913052, 24.231472, 40.664579, 40.846949
0.902586, 24.016450, 40.585511, 40.581373
0.894491, 23.779544, 40.143504, 40.288419
0.895622, 24.036310, 40.447330, 40.736966
0.891399, 23.661661, 40.139134, 40.408758
0.891715, 23.912212, 40.361308, 40.348634
0.892512, 23.605925, 40.287820, 40.489333
0.895787, 23.937040, 40.532585, 40.687530
0.892971, 23.672696, 40.284075, 40.397523
0.899692, 24.108190, 40.218132, 40.241336
0.898260, 23.758610, 40.146873, 40.210545
0.900894, 24.132816, 40.265212, 40.258788
0.898934, 23.798682, 40.076201, 40.100118
0.904606, 24.222197, 40.094039, 40.093420
0.905636, 23.886605, 40.095891, 40.174974
0.910166, 24.181214, 40.229859, 40.195139
0.908616, 23.837309, 39.895462, 39.915882
0.913348, 24.293868, 39.938062, 39.928698
0.909623, 23.580748, 39.999200, 40.035128
0.915218, 23.978116, 40.350520, 40.379634
0.915969, 23.797978, 40.308769, 40.421120
0.925425, 24.558058, 40.263688, 40.314966
0.921101, 24.016310, 40.255248, 40.511220
0.927426, 24.441740, 40.640743, 40.702536
0.922424, 24.026881, 40.511462, 40.605896
0.933165, 24.921509, 40.566438, 40.559286
0.926648, 24.330898, 40.566327, 40.682021
0.933999, 24.822977, 40.806207, 40.843172
0.932034, 24.537682, 40.491076, 40.660988
0.939577, 25.263138, 40.669488, 40.607635
0.934538, 24.566803, 40.506575, 40.740566
0.942918, 25.081209, 40.852917, 41.165940
0.938855, 24.774829, 40.466851, 40.910451
0.947386, 25.508711, 40.763885, 40.842112
0.942267, 24.896524, 40.817088, 41.028039
0.947649, 25.428781, 41.120337, 41.206130
0.943236, 24.979038, 40.970648, 41.029171
0.948767, 25.648288, 40.998871, 40.949697
0.945267, 25.132996, 40.867687, 41.024878
0.949890, 25.626478, 41.146353, 41.249875
0.947175, 25.271552, 41.105567, 41.098360
0.951327, 25.769816, 41.095792, 41.074523
0.946547, 25.282586, 41.020523, 41.104785
0.951097, 25.723765, 41.310470, 41.372557
0.947842, 25.319427, 41.126660, 41.203533
0.951457, 25.659635, 41.075925, 41.154337
0.945498, 24.994748, 40.807706, 40.940211
0.947909, 25.400057, 41.093813, 41.147423
0.945624, 25.002537, 40.953698, 41.063294
0.950922, 25.605107, 41.008890, 41.147584
0.947208, 25.094812, 40.950468, 41.155604
0.950593, 25.448945, 41.220686, 41.400521
0.946126, 24.988504, 41.088660, 41.231629
0.952904, 25.623935, 41.140358, 41.301306
0.947604, 24.925635, 41.060789, 41.087153
0.952342, 25.487148, 41.221549, 41.328070
0.948227, 25.133901, 40.917015, 41.064843
0.955524, 25.815570, 41.013299, 41.349065
0.950899, 25.300108, 41.041777, 41.200292
0.953247, 25.765021, 41.166324, 41.412982
0.948535, 25.215270, 40.866247, 40.980545
0.955750, 25.873592, 41.076076, 41.083957
0.950491, 25.348369, 41.055559, 41.109974
0.954504, 25.850429, 41.270102, 41.313035
0.951128, 25.355920, 40.999741, 41.075566
0.956091, 25.984393, 41.177694, 41.199992
0.949770, 25.314622, 41.018207, 41.169053
0.955281, 25.905994, 41.437513, 41.597031
0.951989, 25.487577, 41.386373, 41.463087
0.956508, 26.040879, 41.335429, 41.373022
0.951436, 25.411177, 41.155978, 41.260491
0.956083, 25.946194, 41.463525, 41.593831
0.953020, 25.508403, 41.238783, 41.418110
0.957466, 26.061700, 41.466694, 41.576941
0.952305, 25.574376, 41.366509, 41.496671
0.954932, 25.894529, 41.704510, 41.752102
0.954494, 25.600389, 41.487748, 41.630067
0.958546, 26.115182, 41.535163, 41.676452
0.954529, 25.734799, 41.368456, 41.538942
0.957704, 26.146132, 41.702831, 41.788498
0.955864, 25.787601, 41.582614, 41.657424
0.959492, 26.331342, 41.736851, 41.702995
0.954659, 25.828332, 41.631129, 41.627592
0.958308, 26.207598, 41.951211, 41.933486
0.955290, 25.621308, 41.656126, 41.631623
0.959376, 26.348102, 41.763903, 41.760129
0.955270, 25.880547, 41.557224, 41.601288
0.957990, 26.287733, 41.961529, 41.839542
0.955924, 25.939151, 41.789560, 41.692994
0.960104, 26.492513, 41.835492, 41.715167
0.955522, 25.883857, 41.547757, 41.508959
0.959452, 26.347894, 41.957518, 41.878468
0.956561, 25.992178, 41.746759, 41.743905
