ms-ssim, psnr-y, psnr-u, psnr-v
0.994970, 41.146937, 48.242453, 48.119757
0.994555, 40.838120, 48.286549, 48.268840
0.994176, 40.822435, 48.227521, 48.141921
0.993890, 40.803459, 48.146384, 48.185990
0.994166, 41.005077, 47.967656, 47.913425
0.993010, 40.621803, 48.126949, 48.085400
0.993271, 40.694551, 48.032670, 47.868791
0.993392, 40.802434, 48.134195, 48.093544
0.993828, 40.938880, 48.011839, 47.910846
0.993512, 40.825604, 48.137759, 48.074928
0.993670, 40.818687, 48.076058, 47.987087
0.992890, 40.391033, 48.085065, 47.906457
0.993947, 40.816518, 48.103471, 47.789720
0.991788, 39.619581, 47.837663, 47.546029
0.990589, 38.395966, 47.724241, 47.645197
0.991242, 39.405747, 47.806914, 47.730189
0.990931, 39.579643, 47.964759, 47.850238
0.992214, 40.225259, 47.824216, 47.502284
0.992313, 40.285104, 48.111058, 47.924080
0.992722, 40.514464, 48.185862, 47.793130
0.993293, 40.724023, 48.313339, 48.081627
0.994651, 41.475190, 48.230208, 48.100314
0.994608, 41.344619, 48.519474, 48.399714
0.994486, 41.570410, 48.532471, 48.285978
0.994800, 41.764590, 48.694335, 48.538890
0.995572, 42.136859, 48.752234, 48.593561
0.995715, 42.478715, 49.163726, 49.053588
0.996399, 42.851021, 49.219942, 49.075394
0.996416, 42.858299, 49.416733, 49.452551
0.996491, 42.987139, 49.464749, 49.467861
0.996986, 43.326696, 49.551338, 49.546697
0.996663, 42.867761, 49.614628, 49.562049
0.996737, 43.138331, 49.618089, 49.572372
0.996544, 43.063682, 49.531517, 49.596239
0.996946, 43.426880, 49.572608, 49.682609
0.996662, 43.120664, 49.629085, 49.678249
0.996755, 43.274134, 49.731039, 49.872055
0.996842, 43.244236, 49.622388, 49.802687
0.997078, 43.425249, 49.666525, 49.781192
0.996851, 43.357219, 49.809293, 49.971653
0.997079, 43.596336, 49.736985, 49.836699
0.996977, 43.365337, 49.710565, 49.856326
0.997191, 43.490524, 49.738948, 49.795904
0.996977, 43.403262, 49.744844, 49.949307
0.996960, 43.366515, 49.658083, 49.703498
0.996780, 43.154218, 49.514175, 49.629803
0.997036, 43.469567, 49.645992, 49.685760
0.996873, 43.500063, 49.629624, 49.657661
0.996797, 43.486446, 49.781688, 49.774628
0.997125, 43.805539, 49.804867, 49.759125
0.996819, 43.561783, 49.781998, 49.824226
0.996807, 43.556743, 49.853427, 49.890509
0.996885, 43.395386, 49.847382, 49.794660
0.997096, 43.683743, 49.811539, 49.777847
0.996942, 43.808009, 49.968028, 49.963631
0.997252, 44.065144, 49.964924, 50.064318
0.997042, 43.851526, 50.132248, 50.123456
0.997266, 43.921149, 49.988195, 50.028156
0.997152, 43.714453, 50.000106, 50.113677
0.997503, 43.895735, 50.025533, 50.035049
0.997256, 43.673717, 50.060417, 50.091989
0.997286, 43.681008, 49.956657, 50.087664
0.997253, 43.553958, 49.911659, 50.075180
0.997444, 43.864590, 49.997825, 50.081085
0.997164, 43.439118, 49.956851, 50.040703
0.997264, 43.697448, 49.960982, 50.141530
0.997163, 43.670726, 49.944929, 50.125200
0.997469, 44.105249, 50.133861, 50.212879
0.997227, 43.979074, 50.038072, 50.178857
0.997213, 44.091890, 50.152047, 50.350916
0.997509, 44.270712, 50.058700, 50.300688
0.997296, 44.085987, 50.244341, 50.378418
0.997501, 44.093404, 50.142271, 50.148134
0.997223, 43.750503, 50.121847, 50.215275
0.997276, 43.931329, 49.962791, 50.036692
0.997089, 43.929968, 50.042611, 50.181167
0.997432, 44.274752, 50.064384, 50.169428
0.997306, 44.122576, 50.177635, 50.207611
0.997459, 44.178039, 50.123054, 50.126273
0.997386, 44.017082, 50.258843, 50.298593
0.997684, 44.271048, 50.147257, 50.231124
0.997456, 43.880793, 50.187355, 50.222266
0.997489, 44.017879, 50.136551, 50.181439
0.997305, 44.006375, 50.230093, 50.322043
0.997611, 44.355801, 50.240826, 50.266667
0.997306, 43.818112, 50.197914, 50.325764
0.997464, 44.163354, 50.144224, 50.317833
0.997319, 44.081035, 50.261404, 50.344632
0.997563, 44.202215, 50.286184, 50.272145
0.997408, 43.910059, 50.257114, 50.260573
0.997386, 44.003921, 50.259189, 50.250205
0.997324, 44.030209, 50.190418, 50.234080
0.997491, 44.275153, 50.190758, 50.314959
0.997205, 44.071717, 50.182390, 50.287994
0.997361, 44.033008, 50.099251, 50.190894
0.997274, 44.112358, 50.149078, 50.211031
0.997450, 44.313756, 50.066502, 50.153802
0.997274, 44.026497, 50.078297, 50.097851
0.997429, 43.981400, 49.946023, 50.065112
0.997317, 43.937957, 49.985076, 50.080089
0.997450, 44.189306, 50.107527, 50.234768
0.997381, 44.183133, 50.175938, 50.285488
0.997357, 44.207986, 50.234080, 50.390309
0.997458, 44.271662, 50.211784, 50.380907
0.997297, 43.845076, 50.077833, 50.145572
0.997800, 41.005578, 49.125459, 51.146956
0.997367, 40.333583, 49.286286, 51.207292
0.997137, 40.059293, 49.495625, 51.369581
0.996772, 39.693049, 49.218309, 51.266559
0.996903, 39.879448, 49.030797, 51.031633
0.996569, 39.392606, 49.032987, 50.976283
0.996380, 39.312674, 48.790888, 50.820008
0.996335, 39.440412, 48.484945, 50.443467
0.996702, 39.792873, 48.399940, 50.348726
0.996407, 39.629459, 48.165437, 49.975280
0.996530, 39.644180, 48.257131, 50.149618
0.996267, 39.413956, 48.329146, 50.473162
0.996786, 40.137797, 48.522071, 50.700445
0.996529, 39.735686, 48.264292, 50.503134
0.996395, 39.310144, 48.193508, 50.272353
0.996270, 39.169392, 48.012664, 50.198051
0.996693, 39.993670, 48.164583, 50.411609
0.996324, 39.214926, 47.879536, 50.074848
0.996261, 39.329257, 47.855923, 50.071667
0.996279, 39.283268, 47.499278, 49.931244
0.996543, 39.826693, 47.835168, 50.122986
0.996438, 39.538630, 47.595274, 49.827795
0.996405, 39.460279, 47.893357, 49.957238
0.996217, 39.267054, 47.696774, 49.761283
0.996587, 39.887756, 47.756274, 49.937728
0.996108, 39.104103, 47.458177, 49.558338
0.996115, 38.911521, 47.440933, 49.615404
0.996276, 39.160217, 47.258897, 49.371724
0.996486, 39.567088, 47.343832, 49.656035
0.996299, 39.309156, 47.307568, 49.568181
0.996196, 39.146306, 47.265420, 49.612303
0.996049, 38.972518, 47.144076, 49.466074
0.996454, 39.618019, 47.271536, 49.551632
0.996182, 38.816503, 47.253631, 49.449335
0.996218, 38.933348, 47.238076, 49.416961
0.996188, 39.029736, 47.234937, 49.466074
0.996512, 39.628766, 47.308761, 49.576390
0.996124, 39.085595, 47.199773, 49.433976
0.996358, 39.359914, 47.287316, 49.453988
0.996332, 39.347288, 47.208469, 49.574321
0.996694, 39.935496, 47.293043, 49.531400
0.996302, 39.394601, 47.257649, 49.307460
0.996539, 39.738279, 47.329008, 49.434090
0.996272, 39.303500, 47.302032, 49.252137
0.996670, 39.980330, 47.291261, 49.451345
0.996500, 39.585178, 47.231801, 49.339473
0.996483, 39.488660, 47.294790, 49.419811
0.996477, 39.511380, 47.136216, 49.342833
0.996615, 39.890729, 47.266948, 49.483341
0.996342, 39.419086, 47.178722, 49.335053
0.996410, 39.713339, 47.072911, 49.228282
0.996375, 39.636784, 47.121747, 49.251204
0.996657, 40.094359, 47.296608, 49.396552
0.996436, 39.730607, 47.301927, 49.378835
0.996489, 39.921183, 47.301262, 49.411039
0.996412, 39.747987, 47.234110, 49.407796
0.996594, 39.993744, 47.267678, 49.345467
0.996341, 39.740098, 47.288118, 49.259660
0.996269, 39.680557, 47.391825, 49.415309
0.996385, 39.928539, 47.360268, 49.390487
0.996726, 40.351017, 47.331758, 49.488841
0.996156, 39.247305, 47.272822, 49.242437
0.996400, 39.643110, 47.262886, 49.317530
0.996281, 39.490872, 47.356649, 49.412689
0.996699, 40.213063, 47.345671, 49.473746
0.996292, 39.401458, 47.338567, 49.415936
0.996254, 39.482925, 47.431218, 49.436379
0.996051, 39.224730, 47.132442, 49.196426
0.996428, 39.779353, 47.371888, 49.209064
0.996481, 39.636423, 47.072114, 49.189877
0.996463, 39.617486, 47.223540, 49.355568
0.996320, 39.154069, 47.025997, 49.213956
0.996640, 39.918372, 47.367513, 49.354950
0.996365, 39.446196, 47.002501, 49.212651
0.996426, 39.629514, 46.965272, 49.155455
0.996119, 39.027658, 46.702705, 48.850797
0.996369, 39.572112, 46.981081, 49.111149
0.996136, 39.345014, 46.521627, 48.721440
0.996145, 39.482584, 47.029909, 49.218418
0.996272, 39.636811, 46.794754, 49.150308
0.996487, 40.030373, 47.026950, 49.413031
0.996492, 39.920895, 46.710093, 48.994971
0.996457, 39.847788, 47.076167, 49.343281
0.996328, 39.786753, 46.977993, 49.244846
0.996723, 40.346407, 47.084252, 49.270390
0.996479, 39.774605, 46.641703, 48.895241
0.996510, 39.905164, 46.988828, 49.152023
0.996542, 39.883449, 46.738909, 48.967549
0.996732, 40.314947, 47.091419, 49.243915
0.996377, 39.548903, 46.608744, 48.824814
0.996507, 39.958859, 46.954301, 49.116037
0.996265, 39.480515, 46.814051, 48.926890
0.996555, 39.938284, 47.054151, 49.157549
0.996376, 39.533810, 46.623365, 48.683445
0.996348, 39.499350, 47.012316, 49.099321
0.996230, 39.422643, 46.845806, 48.942954
0.996443, 39.760474, 47.042359, 48.980877
0.996314, 39.556758, 46.501690, 48.602528
0.996409, 39.550606, 46.896827, 48.802299
0.996318, 39.606338, 46.784454, 48.880510
0.996609, 39.983060, 46.832114, 48.875829
0.996495, 39.783592, 46.487153, 48.493782
0.996478, 39.718592, 46.971822, 48.933869
0.996358, 39.578257, 46.773650, 48.831233
0.996578, 39.846704, 46.784143, 48.854750
0.996439, 39.558861, 46.639779, 48.718237
0.996300, 39.429142, 46.968805, 49.016223
0.996362, 39.572821, 46.840261, 48.843550
0.996500, 39.857447, 47.160110, 49.166307
0.996312, 39.612090, 46.779576, 48.976241
0.996290, 39.708374, 47.001063, 48.914386
0.996344, 39.834405, 46.948325, 48.856152
0.996559, 40.098404, 46.806922, 48.819895
0.996201, 39.464641, 46.451051, 48.599930
0.996439, 39.857365, 46.433728, 48.504623
0.996200, 39.367485, 46.609102, 48.694191
0.996519, 39.971959, 46.700784, 48.650744
0.996252, 39.428783, 46.727697, 48.667015
0.996397, 39.755961, 46.804142, 48.651508
0.996148, 39.283782, 46.687511, 48.721197
0.996409, 39.666212, 46.594707, 48.568553
0.996151, 39.196181, 46.478628, 48.549331
0.996195, 39.332169, 46.297133, 48.436070
0.996072, 39.104480, 46.475037, 48.468149
0.996104, 39.362455, 46.506177, 48.401834
0.995857, 38.863963, 46.431635, 48.276940
0.995931, 38.933274, 46.394597, 48.207676
0.995666, 38.666996, 46.379791, 48.159162
0.995004, 38.046061, 46.467634, 48.373464
0.998156, 44.751961, 52.418494, 52.384167
0.997598, 44.237128, 52.236946, 52.201637
0.997572, 44.288880, 51.961283, 51.923772
0.997331, 44.209793, 51.806124, 51.925396
0.997666, 44.381793, 51.749205, 51.671805
0.997255, 44.093838, 51.585232, 51.391165
0.997288, 44.018771, 51.330185, 51.321606
0.997219, 44.038471, 51.335943, 51.201530
0.997486, 44.110632, 51.350328, 51.095574
0.997169, 43.690644, 51.235785, 50.789572
0.997254, 43.587216, 51.075742, 50.625211
0.997233, 43.503471, 51.060823, 50.558070
0.997021, 43.412111, 50.926467, 50.358695
0.996981, 43.582704, 50.878492, 50.217741
0.996740, 43.457327, 50.838308, 50.188580
0.996826, 43.518449, 50.690654, 50.116153
