ms-ssim, psnr-y, psnr-u, psnr-v
0.997553, 41.669423, 48.054560, 49.250601
0.997088, 40.873232, 48.110973, 49.255704
0.996810, 40.566018, 48.091737, 49.074287
0.996842, 40.652126, 47.957749, 49.026263
0.996927, 40.767822, 47.954737, 49.025795
0.996720, 40.478110, 47.900143, 48.925160
0.996659, 40.576094, 47.794973, 48.851197
0.996746, 40.765571, 48.010025, 48.962413
0.996778, 40.835554, 47.971576, 48.972433
0.996523, 40.543082, 47.791836, 48.789013
0.996531, 40.586657, 47.743076, 48.769284
0.996613, 40.765801, 47.832398, 48.804823
0.996675, 40.871628, 47.757946, 48.776899
0.996337, 40.171475, 47.707794, 48.686381
0.996130, 39.974768, 47.482711, 48.574839
0.996040, 39.904423, 47.441909, 48.577421
0.995934, 39.858693, 47.465551, 48.568881
0.995934, 39.764688, 47.493419, 48.577656
0.996019, 39.953575, 47.453424, 48.514842
0.996144, 40.106194, 47.542771, 48.586872
0.996149, 40.215460, 47.578001, 48.560920
0.996245, 40.214347, 47.606452, 48.579629
0.996430, 40.470419, 47.658063, 48.604701
0.996416, 40.517148, 47.621954, 48.577609
0.996891, 41.211276, 47.631463, 48.856002
0.997190, 41.331684, 47.877817, 49.022411
0.997379, 41.599891, 48.000227, 49.156636
0.997471, 41.809454, 47.915925, 49.144042
0.997685, 42.239406, 48.066903, 49.290933
0.997703, 42.283952, 48.165907, 49.295419
0.997663, 42.153357, 48.107389, 49.268131
0.997756, 42.160723, 48.486049, 49.531868
0.997985, 42.641363, 48.530240, 49.642990
0.997913, 42.553200, 48.578924, 49.556749
0.997936, 42.606946, 48.573337, 49.557867
0.997948, 42.538691, 48.769775, 49.712273
0.998064, 42.757243, 48.696218, 49.666525
0.998005, 42.617019, 48.795626, 49.670147
0.997967, 42.623822, 48.657389, 49.530991
0.997818, 42.384427, 48.637294, 49.519715
0.998074, 42.765006, 48.795725, 49.758323
0.997985, 42.649728, 48.780441, 49.770731
0.997905, 42.449855, 48.696652, 49.634893
0.997924, 42.288390, 48.757567, 49.702220
0.998020, 42.618945, 48.832179, 49.752902
0.997893, 42.374341, 48.698825, 49.570837
0.997938, 42.397772, 48.789013, 49.676495
0.997960, 42.327640, 48.710626, 49.661639
0.998099, 42.612874, 48.645015, 49.592677
0.997983, 42.336320, 48.698149, 49.623643
0.997880, 42.212319, 48.726298, 49.691523
0.997873, 42.231171, 48.688164, 49.594695
0.998059, 42.569995, 48.833823, 49.682912
0.997964, 42.441462, 48.824765, 49.702038
0.997880, 42.312146, 48.749496, 49.650259
0.997863, 42.211628, 48.668502, 49.533683
0.998056, 42.528410, 48.880460, 49.807859
0.997959, 42.310254, 48.848747, 49.684912
0.998021, 42.324840, 48.983352, 49.762579
0.998032, 42.351646, 48.821087, 49.611230
0.998098, 42.559711, 48.877640, 49.756228
0.998002, 42.372590, 48.898527, 49.727671
0.997991, 42.440213, 48.940554, 49.665800
0.997973, 42.378145, 48.725472, 49.508817
0.998209, 42.883314, 48.936062, 49.761468
0.998087, 42.636843, 48.849047, 49.710687
0.998040, 42.492452, 48.778227, 49.617194
0.998064, 42.324617, 48.919871, 49.720026
0.998138, 42.726481, 48.927399, 49.777599
0.997939, 42.373986, 48.763691, 49.622448
0.997987, 42.400181, 48.931983, 49.802874
0.997997, 42.368431, 48.974285, 49.806924
0.998139, 42.704683, 49.049659, 49.834001
0.998110, 42.763248, 48.932085, 49.745028
0.998060, 42.709260, 49.100486, 49.897059
0.998027, 42.606168, 49.017055, 49.758385
0.998130, 42.812859, 49.052278, 49.822286
0.998058, 42.784520, 48.898780, 49.617373
0.998031, 42.578342, 48.942341, 49.669241
0.997912, 42.225330, 48.927297, 49.663025
0.998114, 42.731741, 48.969347, 49.780510
0.997987, 42.505429, 48.815080, 49.622209
0.998008, 42.484499, 49.027149, 49.815785
0.997960, 42.457956, 48.972999, 49.712761
0.998097, 42.704905, 48.982630, 49.701003
0.998070, 42.735777, 48.897819, 49.654952
0.997987, 42.591706, 49.044949, 49.849459
0.997859, 42.306767, 48.929130, 49.783361
0.998084, 42.733471, 49.099321, 49.916131
0.998022, 42.644881, 48.971867, 49.769063
0.997996, 42.673986, 49.037006, 49.835255
0.998010, 42.667118, 49.109290, 49.879085
0.998116, 42.842228, 49.070498, 49.901262
0.997966, 42.573406, 48.883533, 49.754010
