ms-ssim, psnr-y, psnr-u, psnr-v
0.994432, 40.842951, 46.329929, 47.320560
0.993451, 40.136677, 45.931403, 46.816211
0.992997, 39.320005, 44.688987, 45.906599
0.993376, 39.680137, 45.428794, 46.770086
0.993876, 40.222146, 45.504658, 46.795969
0.993517, 39.849834, 44.988385, 46.565972
0.993122, 39.611634, 44.642464, 46.187968
0.993388, 39.573577, 44.875200, 46.219265
0.993688, 40.098817, 44.984317, 46.442079
0.993254, 39.805018, 45.022868, 46.317099
0.993535, 40.143967, 44.893482, 46.094507
0.993372, 39.817148, 44.612898, 45.951164
0.993511, 40.013010, 44.882515, 46.277147
0.992909, 39.441912, 44.487879, 45.996243
0.992308, 39.173799, 44.101901, 45.141681
0.991340, 38.477711, 43.644718, 44.807247
0.991368, 38.466084, 43.582786, 44.755899
0.991014, 38.348255, 43.711113, 44.444375
0.991385, 38.746679, 43.981983, 44.445591
0.991195, 38.736142, 44.203862, 44.820377
0.991849, 39.339051, 44.362531, 45.103585
0.992138, 39.467064, 45.195393, 45.663169
0.992264, 39.935987, 45.426293, 45.729727
0.992506, 40.016711, 45.679912, 45.950548
0.993730, 40.848195, 46.104515, 46.273250
0.993468, 40.632175, 46.469426, 46.771264
0.993817, 40.876925, 46.703529, 46.847035
0.994273, 41.201835, 47.056996, 47.314060
0.994711, 41.691687, 47.150733, 47.377229
0.994821, 41.589598, 47.188774, 47.318873
0.995042, 41.656320, 47.267851, 47.584461
0.995065, 41.552357, 47.291994, 47.431110
0.995388, 41.874586, 47.508853, 47.599247
0.995452, 41.823892, 47.413147, 47.584722
0.995480, 41.746725, 47.421454, 47.519221
0.995474, 41.738885, 47.448061, 47.492358
0.995657, 41.835340, 47.492212, 47.552219
0.995436, 41.594549, 47.417316, 47.356862
0.995709, 41.869664, 47.560685, 47.548845
0.995706, 41.821249, 47.739086, 47.667118
0.995876, 41.925800, 47.716492, 47.751223
0.995961, 41.955853, 47.780953, 47.742301
0.995966, 42.006411, 47.964922, 47.930186
0.995871, 41.775722, 47.899741, 47.775522
0.996135, 42.026292, 48.095729, 47.882337
0.996155, 42.136444, 48.050731, 47.876378
0.996117, 42.151285, 48.140859, 48.119884
0.996152, 42.245979, 48.106336, 48.140434
0.996292, 42.358540, 48.161893, 48.225528
0.996279, 42.316796, 48.244454, 48.282598
0.996442, 42.478472, 48.312853, 48.369836
0.996449, 42.515024, 48.485681, 48.307773
0.996509, 42.551467, 48.511603, 48.530333
0.996662, 42.722954, 48.509614, 48.595353
0.996615, 42.796880, 48.586872, 48.674598
0.996627, 42.768241, 48.476310, 48.604749
0.996785, 42.902220, 48.638056, 48.752625
0.996692, 42.777370, 48.711547, 48.703899
0.996683, 42.727364, 48.755022, 48.759771
0.996777, 42.851033, 48.726249, 48.746419
0.996706, 42.844577, 48.601489, 48.798344
0.996719, 42.771558, 48.628873, 48.691634
0.996849, 42.923182, 48.635485, 48.574792
0.996777, 42.917229, 48.596344, 48.719159
0.996795, 42.901663, 48.629491, 48.650744
0.996763, 42.858437, 48.484440, 48.500053
0.996776, 42.853022, 48.501345, 48.634200
0.996681, 42.737285, 48.496317, 48.505039
0.996727, 42.831051, 48.548724, 48.551291
0.996750, 42.878351, 48.624218, 48.702207
0.996729, 42.839323, 48.606781, 48.503791
0.996746, 43.000270, 48.716151, 48.679644
0.996824, 43.056503, 48.742416, 48.818653
0.996689, 42.949512, 48.731210, 48.743148
0.996737, 43.114875, 48.842452, 48.902626
0.996809, 43.141722, 48.907437, 49.026107
0.996674, 43.053019, 48.834670, 48.952263
0.996685, 43.171674, 48.856803, 49.060355
0.996695, 43.158697, 48.915045, 49.107857
0.996838, 43.174256, 48.883583, 49.103666
0.996572, 43.156752, 48.873063, 49.027826
0.996267, 42.878326, 48.681568, 48.879704
0.996502, 43.194016, 49.002371, 49.124979
0.996673, 43.213272, 49.082141, 49.185066
0.996531, 43.354657, 49.259715, 49.498063
0.996471, 43.155036, 49.099003, 49.361416
0.996692, 43.501307, 49.426488, 49.495045
0.996952, 43.762347, 49.588881, 49.705203
0.996910, 43.867316, 49.447441, 49.662483
0.996682, 43.875206, 49.352816, 49.478772
0.996855, 44.183560, 49.631539, 49.679642
0.997060, 44.428379, 49.701186, 49.946023
0.996872, 44.146799, 49.718560, 49.813100
0.996646, 43.885100, 49.377084, 49.544291
0.996804, 44.124804, 49.570423, 49.773329
0.996861, 44.188939, 49.467803, 49.770237
0.996630, 43.951486, 49.405636, 49.730855
0.996407, 43.739839, 49.337626, 49.812912
0.996395, 43.958809, 49.520298, 49.907892
0.996488, 44.104600, 49.546991, 49.980013
0.996108, 43.957334, 49.544467, 49.864278
0.996127, 44.313651, 49.590423, 49.889238
0.996036, 44.366003, 49.753394, 49.993333
0.996597, 44.800106, 50.013618, 50.318254
0.996189, 44.317246, 49.760728, 49.946281
0.996400, 44.335349, 49.612482, 49.971199
0.996320, 44.231815, 49.778404, 50.126273
0.996784, 44.661572, 50.053286, 50.534420
0.996514, 44.300035, 49.761900, 50.139040
0.996552, 44.328329, 49.841220, 50.245651
0.996109, 43.828147, 49.943385, 50.339062
0.996676, 44.356698, 50.082812, 50.458579
0.996598, 44.268296, 49.978846, 50.418349
0.996499, 44.148972, 49.967705, 50.342163
0.996657, 44.218285, 50.034720, 50.347808
0.996622, 44.088476, 49.869145, 50.187491
0.996426, 43.988795, 49.706360, 49.908977
0.996365, 43.967043, 49.348158, 49.584970
0.996237, 43.714357, 49.205969, 49.643890
0.996410, 43.847213, 49.275737, 49.635612
0.996218, 43.891590, 49.325780, 49.581773
0.996043, 43.759132, 49.132392, 49.527131
0.996139, 43.663956, 49.211129, 49.469591
