ms-ssim, psnr-y, psnr-u, psnr-v
0.987725, 36.808362, 45.487008, 45.989638
0.986752, 36.077399, 45.002426, 45.733605
0.987953, 37.204403, 46.146363, 46.931670
0.993041, 38.775266, 46.281464, 47.143097
0.988381, 36.826400, 45.752631, 46.591049
0.984286, 35.437262, 44.263740, 45.227698
0.986951, 35.564296, 43.679734, 44.867417
0.995243, 40.082422, 47.667156, 48.251637
0.991229, 37.501199, 47.170765, 47.412788
0.991690, 37.885785, 47.156960, 47.481324
0.989831, 37.196070, 47.268303, 47.599284
0.990332, 37.576194, 47.232352, 47.592989
0.987899, 36.767420, 47.107058, 47.292728
0.981570, 34.755860, 46.345999, 46.431263
0.977153, 34.176538, 46.160205, 46.526135
0.963045, 31.813338, 44.701052, 44.948019
0.949605, 30.642835, 41.412053, 42.199917
0.952471, 31.239090, 42.002572, 42.453554
0.985368, 36.068051, 45.183187, 45.935772
0.960288, 32.013131, 44.047523, 44.442327
0.925728, 30.185559, 42.310754, 43.156007
0.937007, 30.945271, 42.928221, 43.462451
0.930617, 30.768795, 42.561603, 43.498735
0.944853, 31.624997, 42.992286, 43.670817
0.942386, 31.549438, 42.923913, 43.591539
0.948030, 31.883629, 42.804015, 43.693763
0.945084, 31.820913, 42.948966, 43.686217
0.954999, 32.421191, 42.807721, 43.739542
0.955388, 32.254292, 42.701593, 43.700862
0.946437, 31.476896, 42.504045, 43.282862
0.954790, 32.171537, 42.961837, 43.597608
0.950712, 32.097706, 42.805184, 43.534575
0.969312, 34.596961, 45.059674, 45.366885
0.958674, 33.509908, 44.463823, 45.010723
0.959071, 33.424029, 43.944486, 44.570500
0.941427, 32.192743, 43.563526, 44.090553
0.945560, 32.134858, 43.403076, 44.126000
0.936607, 31.960584, 43.373910, 44.048699
0.950632, 32.887501, 43.115502, 44.097495
0.951416, 33.060988, 43.311938, 44.138793
0.930664, 32.185748, 43.375129, 43.802515
0.948697, 33.028864, 43.692024, 44.141955
0.938836, 32.401274, 43.655487, 43.820620
0.947022, 33.069564, 44.002524, 44.182416
0.942362, 32.978239, 43.990420, 44.166534
0.960233, 34.118507, 44.098500, 44.297444
0.942787, 32.817683, 44.045108, 44.176513
0.946613, 32.875674, 44.108425, 44.339122
0.946626, 32.943874, 43.827679, 44.068610
0.953391, 33.547214, 43.985914, 44.374382
0.954013, 33.634559, 44.215854, 44.496387
0.953894, 31.906442, 42.612101, 43.214836
0.979957, 35.292278, 43.607887, 44.184039
0.966137, 33.510525, 43.632787, 43.634939
0.969142, 33.898542, 43.597698, 43.863320
0.964729, 33.679808, 43.880566, 43.971854
0.968705, 34.068150, 43.975320, 43.856219
0.964886, 33.482410, 44.039421, 43.883418
0.968424, 33.614773, 43.458634, 43.750734
0.970698, 33.553674, 43.670483, 43.622885
0.971633, 33.683584, 43.865383, 44.238728
0.971512, 33.621453, 43.964265, 44.309241
0.973272, 33.603975, 43.916951, 44.457143
0.971856, 33.349636, 44.175610, 44.458289
0.972059, 33.374319, 44.130097, 44.457888
0.973494, 33.385367, 43.834324, 44.413566
0.974189, 33.647331, 44.066150, 44.620030
0.975261, 33.925433, 44.333479, 44.604272
0.978108, 34.456442, 44.333939, 44.916205
0.980384, 34.912998, 44.626247, 45.039703
0.976747, 34.376222, 44.909559, 45.255260
0.979947, 35.005888, 44.885525, 45.244847
0.981826, 35.507584, 45.008843, 45.272627
0.982662, 35.459394, 44.968002, 45.456590
0.982319, 35.696882, 45.046967, 45.424588
0.981965, 35.480119, 44.941060, 45.240989
0.982500, 35.661284, 44.843615, 45.133703
0.983129, 35.524781, 44.783752, 45.151529
0.983398, 35.854478, 44.986412, 45.267561
0.982570, 35.510876, 44.944315, 45.291981
0.982494, 35.454316, 44.981381, 45.334867
0.983765, 35.704058, 44.962216, 45.410022
0.983817, 35.725483, 44.976808, 45.420431
0.982549, 35.615041, 45.067935, 45.482446
0.982502, 35.653217, 45.197851, 45.584581
0.983131, 35.704615, 45.135914, 45.567262
0.982251, 35.666281, 45.260071, 45.738024
0.981461, 35.428152, 45.187725, 45.541785
0.980443, 35.307788, 45.123492, 45.450710
0.980889, 35.400415, 45.036085, 45.467318
0.977986, 34.938877, 45.141106, 45.517385
0.978699, 34.894456, 45.437082, 45.682757
0.982638, 35.677892, 45.261603, 45.444747
0.980407, 35.088505, 45.651277, 45.645773
0.982386, 35.420253, 45.535113, 45.544985
0.983419, 35.775544, 45.612399, 45.753293
0.984541, 35.960187, 45.548398, 45.712548
0.984381, 36.084193, 45.879840, 45.972330
0.984577, 36.116735, 45.853020, 45.994558
0.984620, 36.135540, 45.863442, 46.008912
0.985343, 36.261462, 45.741567, 46.091962
0.984537, 36.167171, 46.046093, 46.254556
0.985153, 36.290953, 45.955605, 46.012527
0.985722, 36.455743, 45.976844, 45.956324
0.986339, 36.506309, 45.789082, 46.081824
0.985901, 36.542164, 45.853497, 46.149987
0.985880, 36.499330, 45.706409, 45.942962
0.985272, 36.420403, 45.875653, 46.021931
0.986255, 36.574707, 45.901574, 46.133287
0.985502, 36.530698, 45.950343, 45.950805
0.985835, 36.545608, 46.057410, 46.219347
0.985646, 36.540785, 46.058225, 46.220629
0.986807, 36.714114, 46.041402, 46.087141
0.987432, 36.880890, 46.116171, 46.170528
0.987389, 36.816892, 46.078705, 46.234382
0.987357, 36.793250, 46.056647, 46.215446
0.987357, 36.762021, 46.055833, 46.249195
0.987842, 36.887795, 45.998551, 46.339092
0.987340, 36.939233, 46.211195, 46.577159
0.986907, 36.855988, 46.154717, 46.550070
0.986996, 36.927996, 46.220466, 46.608654
0.988122, 37.219076, 46.311604, 45.641877
0.986938, 37.043252, 46.401536, 45.876182
0.987735, 37.205838, 46.508948, 46.277037
0.987056, 37.113711, 46.384834, 46.322657
0.988679, 37.567950, 46.332197, 46.309012
0.988003, 37.350247, 46.525080, 46.467692
0.989250, 37.676807, 46.504982, 46.511136
0.988715, 37.419336, 46.644231, 46.619862
0.989787, 37.778683, 46.634461, 46.692316
0.989974, 37.861873, 46.641463, 46.704230
0.989159, 37.574463, 46.735927, 46.761606
0.989200, 37.571314, 46.574552, 46.686022
0.989024, 37.609426, 46.695847, 46.581013
0.988884, 37.446517, 46.523558, 46.587335
0.988345, 37.220072, 46.548156, 46.561570
0.988533, 37.387289, 46.621688, 46.661509
0.988366, 37.457303, 46.729201, 46.851042
0.988730, 37.546139, 46.675733, 46.883642
0.988517, 37.440002, 46.687754, 46.798401
0.989622, 37.879504, 46.773247, 46.991566
0.988757, 37.571466, 46.726716, 46.836453
0.989973, 37.786286, 46.922388, 47.050283
0.988551, 37.406425, 47.074937, 47.235282
0.989043, 37.490900, 47.005312, 47.134362
0.988955, 37.569065, 47.099165, 47.169644
0.990218, 38.018375, 47.180050, 47.342171
0.989037, 37.667768, 47.281248, 47.303048
0.989060, 37.623325, 47.121848, 47.310936
0.988850, 37.848954, 47.150631, 47.332251
0.989749, 37.996873, 46.891567, 47.065045
0.988992, 37.811170, 47.068097, 47.188501
0.988412, 37.727589, 46.925854, 47.072313
0.987783, 37.402784, 46.790674, 47.286513
0.988986, 37.834436, 46.706947, 47.209086
0.989017, 37.944605, 46.964462, 47.347334
0.988609, 37.696606, 46.785915, 47.207715
0.988233, 37.624981, 46.936399, 47.281039
0.988879, 37.727766, 46.768321, 47.141342
0.987576, 37.254900, 46.820095, 47.163297
0.987641, 37.118295, 46.843127, 47.180969
0.987355, 36.891914, 46.850253, 47.305816
0.988921, 37.393032, 46.772999, 47.079526
0.987369, 36.929261, 46.773681, 47.207647
0.987673, 36.847452, 46.696304, 47.081922
0.987626, 36.865063, 46.728740, 46.974484
0.989638, 37.461406, 46.560802, 46.938846
0.988137, 37.001717, 46.635121, 46.955238
0.988626, 37.151139, 46.612118, 47.070055
0.988924, 37.270155, 46.542478, 47.095390
0.989584, 37.428599, 46.468096, 46.955109
0.988802, 37.215447, 46.578819, 47.009402
0.988874, 37.251230, 46.580064, 47.000311
0.988283, 37.098633, 46.592239, 47.038008
0.989426, 37.418123, 46.475587, 47.069358
0.988456, 36.958582, 46.521715, 47.114162
0.990002, 37.537764, 46.657824, 47.352573
0.988571, 37.022686, 46.774829, 47.401846
0.990674, 37.774438, 46.594499, 47.203640
0.989600, 37.316037, 46.633680, 47.118490
0.989504, 37.260962, 46.606625, 46.983033
0.989623, 37.264754, 46.498197, 47.009402
0.990763, 37.720449, 46.362552, 46.848171
0.990154, 37.486031, 46.601944, 47.046352
0.990051, 37.474720, 46.472896, 47.023862
0.989757, 37.443842, 46.746760, 47.157298
0.991143, 37.941369, 46.675582, 47.242253
0.991182, 37.961013, 46.675521, 47.247575
0.990061, 37.514754, 46.721045, 47.139824
0.989628, 37.394227, 46.720677, 46.896827
0.990605, 37.727647, 46.668131, 46.973705
0.989771, 37.478827, 46.843348, 47.011760
0.990239, 37.599639, 46.712416, 46.894818
0.990069, 37.617591, 46.722362, 46.992055
0.990266, 37.642026, 46.587988, 46.989578
0.988058, 36.868298, 46.736941, 47.064482
0.989166, 37.196981, 46.748146, 47.153913
0.989887, 37.421562, 46.820158, 47.186523
0.991371, 37.969105, 46.837617, 47.211932
0.990417, 37.646729, 46.641072, 47.091285
0.990835, 37.834068, 46.845617, 47.358671
0.990635, 37.787530, 46.957793, 47.524120
