ms-ssim, psnr-y, psnr-u, psnr-v
0.989232, 36.928811, 45.127374, 44.448349
0.983937, 35.594433, 44.488759, 43.663539
0.985310, 36.188922, 44.314975, 43.655532
0.984743, 36.223872, 44.791661, 43.590198
0.989233, 37.082633, 45.223183, 44.369049
0.987260, 36.609478, 45.069505, 44.322780
0.988103, 36.669734, 45.058942, 44.411550
0.985674, 36.190282, 44.966488, 44.216783
0.987944, 36.726328, 45.002776, 44.285994
0.985558, 36.101712, 44.583794, 43.813636
0.984529, 35.779178, 44.505996, 43.646377
0.987542, 36.374883, 44.506676, 43.750209
0.978844, 34.467082, 43.499246, 42.856978
0.976019, 33.682535, 42.787528, 41.935307
0.966776, 32.390012, 41.871704, 41.125055
0.963350, 31.844806, 41.176899, 40.633407
0.957975, 30.919736, 40.463608, 40.145761
0.951347, 29.972959, 40.096571, 39.509853
0.953262, 30.540665, 39.862131, 39.175941
0.952796, 30.135654, 39.838871, 39.062323
0.956754, 30.965378, 39.777432, 39.338180
0.951320, 30.051008, 39.215376, 38.297664
0.953928, 30.542888, 38.999715, 38.126068
0.943993, 29.987622, 38.998711, 38.021420
0.957995, 30.907503, 39.236261, 38.239328
0.944963, 29.933341, 38.441829, 37.514284
0.947527, 30.087852, 38.785050, 37.796613
0.943334, 29.492568, 38.527978, 37.442730
0.955793, 30.695694, 39.352637, 38.392975
0.945935, 30.250928, 38.986132, 37.596967
0.961858, 31.140972, 39.425420, 38.295440
0.964782, 31.535402, 39.851701, 38.550129
0.971162, 32.304366, 40.162528, 39.039528
0.965633, 31.561449, 39.906304, 38.572441
0.964058, 31.499219, 39.711010, 38.258881
0.964316, 31.399198, 39.874428, 38.250683
0.969372, 31.907890, 39.999363, 38.651121
0.964580, 31.312260, 39.959839, 38.363585
0.965661, 31.343912, 39.963347, 38.246703
0.962830, 31.162120, 40.111945, 38.328321
0.966916, 31.767984, 39.955967, 38.401396
0.961543, 30.870146, 39.951285, 38.184664
0.962355, 31.052279, 39.545447, 37.983456
0.960414, 30.738927, 39.536224, 37.842931
0.964470, 31.246147, 39.412268, 38.085073
0.958344, 30.429968, 39.310890, 37.776909
0.960204, 30.396838, 38.999658, 37.641864
0.957798, 30.302579, 39.060643, 37.330108
0.961556, 30.644823, 38.986519, 37.555793
0.955146, 29.928954, 38.815606, 37.332544
0.952086, 29.830026, 38.699356, 37.666943
0.962387, 30.299519, 38.547278, 38.339850
0.961316, 30.383446, 38.246355, 38.303807
0.973158, 32.039475, 39.735445, 39.326456
0.958778, 30.206369, 38.227308, 38.003765
0.949711, 29.912686, 38.014883, 37.267195
0.962822, 29.868972, 37.702058, 37.518007
0.956105, 29.397959, 37.232163, 36.625615
0.950751, 29.080671, 37.221209, 36.459487
0.964529, 30.676692, 37.851875, 37.352333
0.948208, 29.211036, 37.433965, 36.791425
0.957452, 29.265543, 37.289487, 36.647464
0.951878, 29.479478, 37.749325, 36.786297
0.959641, 30.397790, 38.100322, 37.231880
0.963586, 30.006236, 37.852384, 37.042785
0.954535, 29.127436, 37.364340, 36.676922
0.953371, 29.274767, 37.539793, 36.708504
0.961234, 29.761906, 37.564075, 36.924641
0.953700, 29.312147, 37.643958, 36.659866
0.946929, 29.331828, 37.270037, 36.615044
0.960721, 30.175919, 37.695049, 37.031100
0.946477, 29.668411, 37.647680, 36.711988
0.948295, 29.577642, 37.483050, 36.614395
0.945995, 29.022013, 37.377981, 36.601851
0.955812, 30.259425, 37.851601, 37.177565
0.940676, 29.046160, 37.575942, 36.671876
0.941232, 28.868603, 37.513107, 36.971151
0.957240, 29.145079, 37.437948, 36.947115
0.936568, 29.013551, 37.880945, 36.955426
0.948071, 29.607183, 37.837703, 36.958508
0.939125, 28.906222, 37.564749, 36.720708
0.940823, 28.912658, 37.400535, 36.748532
0.938009, 28.604263, 37.317449, 36.607225
0.948598, 28.712168, 37.301927, 36.592747
0.941755, 28.444991, 37.297944, 36.719238
0.947896, 28.582370, 37.236951, 36.593943
0.941850, 28.187193, 36.892670, 36.340737
0.934036, 28.207390, 36.925575, 36.152456
0.955063, 29.374668, 36.954521, 36.526638
0.946727, 28.390443, 36.715446, 36.319553
0.943347, 28.297368, 36.545051, 35.970580
0.945822, 28.604966, 36.733250, 36.118920
0.952677, 29.256322, 36.972134, 36.375893
0.956304, 28.992176, 36.950708, 36.662917
0.939885, 28.361510, 37.008649, 36.272625
0.944793, 28.376733, 37.055047, 36.309458
0.933640, 28.199901, 36.806097, 35.934676
0.946135, 29.842504, 37.423268, 36.649964
0.935165, 29.422789, 37.165696, 36.356520
0.932877, 29.459072, 37.478424, 36.750298
0.949975, 30.548912, 38.209829, 37.616827
0.943377, 30.314515, 38.493635, 37.790731
0.947280, 30.178262, 38.647411, 37.899898
0.943191, 29.953792, 38.996269, 38.081954
0.955376, 30.846163, 39.273542, 38.523754
0.951675, 30.658967, 39.440709, 38.445236
0.952015, 30.732842, 39.488563, 38.428075
0.949969, 30.605372, 39.488418, 38.391112
0.955768, 30.892261, 39.295436, 38.441515
0.950175, 30.416512, 39.050843, 38.170075
0.951233, 30.482691, 38.920740, 38.085069
0.949075, 30.426600, 38.913913, 38.324327
0.955171, 30.940267, 38.954717, 38.263563
0.948922, 30.422480, 38.814961, 38.434097
0.948438, 30.541223, 39.038771, 38.415867
0.942591, 30.288734, 39.103110, 38.260929
0.953767, 30.984859, 39.286247, 38.358500
0.944737, 30.566244, 39.298446, 38.230481
0.946554, 30.635273, 39.114831, 37.914397
0.944468, 30.553872, 39.426340, 38.117559
0.952965, 31.052840, 39.130572, 38.134865
0.946005, 30.675105, 39.327404, 38.150482
0.942687, 30.441421, 38.999316, 37.750575
0.941531, 30.234381, 38.803199, 37.642640
0.951334, 31.027740, 39.058969, 38.156254
0.938057, 30.240761, 38.864027, 37.633662
0.947821, 30.795821, 38.704035, 37.462702
0.943984, 30.090756, 38.321558, 37.197633
0.952609, 30.880152, 38.683026, 37.418190
0.944813, 30.521573, 38.652636, 36.980694
0.947237, 30.764645, 38.944395, 37.075858
0.946830, 30.578135, 39.110761, 37.354218
0.955052, 31.267525, 39.268550, 37.663223
0.945163, 30.833314, 39.427448, 37.316824
0.946959, 31.244755, 39.427705, 36.989053
0.944722, 30.904007, 39.351295, 37.203896
0.955465, 31.840345, 39.685742, 37.979988
0.947640, 31.571200, 40.051353, 37.591773
0.948772, 31.590076, 39.694104, 37.560725
0.942777, 31.363717, 39.850284, 37.560265
0.953772, 31.836021, 39.642083, 37.838126
0.943898, 31.519364, 39.876797, 37.561658
0.948172, 31.828230, 40.047161, 37.858020
0.949551, 31.762836, 39.853931, 37.766016
0.955831, 31.832153, 39.784633, 38.085845
0.948992, 31.461014, 39.738365, 37.961171
0.949639, 31.648593, 39.986811, 38.136562
0.949900, 31.089263, 39.542689, 38.049042
0.959110, 31.994216, 39.940343, 38.418515
0.951727, 31.229104, 39.907306, 38.126758
0.954092, 31.323716, 39.902823, 38.215482
0.953359, 31.005632, 39.683039, 38.012499
0.958582, 31.557844, 39.975578, 38.576543
