ms-ssim, psnr-y, psnr-u, psnr-v
0.999334, 48.399545, 53.859372, 54.100845
0.999254, 48.239312, 54.107216, 54.228363
0.999257, 48.187697, 54.235270, 54.105036
0.999270, 48.495672, 54.083621, 53.898057
0.999285, 48.272625, 54.137695, 54.016880
0.999296, 48.532831, 54.105874, 53.964606
0.999282, 48.302447, 54.148692, 54.078451
0.999294, 48.594186, 53.990011, 53.919698
0.999291, 48.400222, 53.927419, 53.812084
0.999271, 48.389829, 54.030707, 53.888633
0.999272, 48.336516, 54.053519, 54.079784
0.999308, 48.725654, 53.865875, 53.968343
0.999326, 48.493103, 53.915683, 53.918734
0.999332, 48.752527, 54.140737, 54.071123
0.999334, 48.517934, 54.146152, 54.115110
0.999346, 48.627685, 54.205990, 54.093479
0.999404, 48.888021, 54.428573, 54.291627
0.999509, 49.502245, 55.087153, 55.168872
0.999567, 49.856847, 55.679647, 55.710120
0.999593, 50.107594, 55.725681, 55.887469
0.999704, 50.521155, 56.529592, 56.667465
0.999658, 50.472344, 56.024096, 56.153050
0.999690, 50.580472, 56.475703, 56.798307
0.999688, 50.604937, 56.420188, 56.788652
0.999775, 50.970310, 57.804751, 58.187536
0.999719, 50.806077, 56.539275, 56.912997
0.999747, 50.907531, 57.136351, 57.463152
0.999728, 50.899406, 56.649952, 56.966795
0.999803, 51.198823, 58.518872, 58.983558
0.999749, 50.979711, 57.130624, 57.452264
0.999762, 50.991078, 57.556821, 57.807504
0.999747, 50.940627, 57.221786, 57.424802
0.999803, 51.211382, 58.394623, 58.821584
0.999740, 50.979303, 57.445744, 57.570582
0.999757, 51.135048, 57.494151, 57.740364
0.999738, 51.053195, 57.053555, 57.557935
0.999795, 51.304323, 58.165694, 58.491617
0.999728, 51.013447, 57.104782, 57.491956
0.999754, 51.162281, 57.154928, 57.594113
0.999729, 51.016473, 56.869672, 57.523899
0.999787, 51.274243, 57.715259, 58.294463
0.999719, 50.983592, 56.883960, 57.222130
0.999739, 51.083618, 57.061168, 57.433456
0.999719, 51.052427, 56.796437, 57.038041
0.999788, 51.303509, 57.634751, 58.377993
0.999725, 51.173645, 57.003579, 57.449365
0.999737, 51.145492, 56.908837, 57.485742
0.999715, 51.059263, 56.850064, 57.293532
0.999773, 51.286430, 57.350165, 57.835920
0.999712, 51.261066, 56.666255, 57.261498
0.999741, 51.363087, 56.811423, 57.248682
0.999709, 51.181722, 56.685657, 57.243151
0.999764, 51.333373, 57.292483, 57.823663
0.999713, 51.305357, 56.809860, 57.059181
0.999733, 51.374140, 56.820816, 56.846909
0.999705, 51.312229, 56.841867, 57.044306
0.999744, 51.393163, 57.054878, 57.318767
0.999706, 51.286035, 56.682923, 57.035076
0.999709, 51.358384, 56.807359, 56.985636
0.999703, 51.037339, 56.698437, 57.019627
0.999803, 54.641543, 58.499453, 58.665913
0.999642, 53.561817, 55.865781, 55.761144
0.999662, 53.686233, 56.026184, 55.967846
0.999614, 53.318817, 55.506487, 55.371732
0.999705, 53.772173, 56.601407, 56.551336
0.999620, 53.257882, 55.430273, 55.224941
0.999650, 53.300036, 55.716921, 55.556800
0.999622, 53.172787, 55.389505, 55.356268
0.999712, 53.635135, 56.388294, 56.477151
0.999620, 53.154491, 55.439841, 55.291210
0.999664, 53.323158, 55.993418, 55.878125
0.999641, 53.240736, 55.699212, 55.683746
0.999722, 53.620934, 56.691434, 56.760432
0.999616, 53.035767, 55.433460, 55.259371
0.999658, 53.249990, 55.719596, 55.736412
0.999636, 53.180270, 55.432549, 55.382522
0.999713, 53.517680, 56.578522, 56.703925
0.999623, 53.171536, 55.159882, 55.113094
0.999641, 53.183897, 55.464542, 55.412786
0.999599, 53.091020, 54.983064, 55.070573
0.999675, 53.315250, 55.881658, 55.872578
0.999576, 52.893633, 55.062412, 54.944640
0.999604, 52.943020, 55.123259, 55.081479
0.999563, 52.868518, 54.957683, 54.877403
0.999642, 53.112919, 55.578644, 55.514832
0.999525, 52.747009, 55.014381, 54.810008
0.999573, 52.982794, 55.036355, 55.028673
0.999519, 52.811243, 54.608037, 54.454488
0.999603, 53.121904, 55.676033, 55.504866
0.999496, 52.768993, 54.938946, 54.806261
0.999546, 53.017711, 54.781105, 54.657275
0.999490, 52.840350, 54.707656, 54.491911
0.999572, 53.174750, 55.181102, 55.236895
0.999470, 52.754222, 54.629746, 54.663183
0.999513, 52.896331, 54.792290, 54.696495
0.999484, 52.734667, 54.761163, 54.615576
0.999579, 53.034882, 55.413466, 55.356716
0.999513, 52.713007, 54.864400, 54.784830
0.999534, 52.672843, 55.027221, 54.933260
0.999506, 52.609985, 54.925150, 54.750058
0.999618, 53.029642, 55.646754, 55.452403
0.999525, 52.761817, 54.931840, 54.766823
0.999560, 52.792979, 54.981422, 54.783261
0.999485, 52.550837, 54.614821, 54.439790
0.999600, 52.932060, 55.519011, 55.464542
0.999500, 52.474242, 54.781301, 54.616896
0.999532, 52.629224, 54.825422, 54.572405
0.999502, 52.574470, 54.633722, 54.634101
0.999599, 52.961862, 55.532969, 55.432322
0.999506, 52.516935, 54.741312, 54.530214
0.999534, 52.670854, 54.884221, 54.924339
0.999485, 52.552567, 54.602767, 54.585124
0.999574, 52.864735, 55.167372, 55.118173
0.999465, 52.385719, 54.311984, 54.113429
0.999508, 52.522174, 54.636565, 54.463404
0.999471, 52.378867, 54.304778, 54.164136
0.999573, 52.713281, 55.190566, 55.115210
0.999460, 52.286534, 54.420269, 54.092643
0.999479, 52.342921, 54.607472, 54.283057
0.999468, 52.302451, 54.365255, 54.226293
0.999585, 52.736869, 55.478785, 55.222988
0.999472, 52.260133, 54.609544, 54.492278
0.999518, 52.458143, 54.787773, 54.494111
0.999463, 52.236455, 54.574834, 54.377738
0.999573, 52.604461, 55.427543, 55.115845
0.999461, 52.246036, 54.538916, 54.527810
0.999506, 52.375008, 54.843873, 54.721744
0.999463, 52.182178, 54.592060, 54.419368
0.999477, 52.113728, 54.852829, 54.649093
0.999469, 52.798904, 55.391308, 54.880811
0.999096, 51.367393, 52.934045, 52.231277
0.999068, 50.669636, 52.915386, 52.190615
0.999308, 51.329654, 54.072953, 53.449943
0.999078, 50.007199, 52.743974, 52.068136
0.999214, 50.381032, 53.177153, 52.557526
0.999082, 49.756397, 52.927518, 52.275404
0.999317, 50.613035, 53.664433, 52.990248
0.999137, 49.809106, 52.741155, 52.146055
0.999068, 49.303808, 52.382362, 51.796947
0.999261, 50.429774, 53.065632, 52.422477
0.999061, 49.307058, 52.346080, 51.833971
0.999199, 50.133895, 52.937633, 52.384618
0.999037, 49.633246, 52.664409, 52.122830
0.999253, 50.544991, 53.557712, 52.911689
0.999116, 50.480362, 53.141272, 52.351789
0.999044, 50.546599, 52.786104, 52.175747
0.999199, 51.191615, 53.763909, 53.220305
0.999015, 49.686503, 52.462392, 51.906754
0.999101, 50.030255, 52.892999, 52.576829
0.998973, 49.509821, 52.595270, 52.109568
0.999137, 49.946410, 53.057586, 52.533867
0.998996, 49.064451, 52.395579, 51.697934
0.998884, 48.526478, 52.041358, 51.468887
0.999089, 49.186863, 52.589114, 52.028550
0.998992, 49.046662, 52.347758, 51.692060
0.998811, 48.609773, 51.736938, 51.292284
0.999064, 49.013717, 52.326437, 51.731109
0.998756, 47.216401, 51.323992, 50.783714
0.998904, 47.162661, 51.371368, 50.767896
0.998737, 47.274744, 51.230158, 50.380836
0.998821, 47.831448, 51.147295, 50.467932
0.999666, 50.077352, 56.255574, 56.596940
0.999402, 49.286590, 54.719618, 54.987172
0.999379, 49.261061, 54.310049, 54.601827
0.999363, 49.163001, 54.117632, 54.513967
0.999392, 49.005636, 54.031697, 54.504212
0.999285, 48.517146, 53.352393, 53.752141
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
0.999726, 52.525203, 55.909520, 56.931606
0.999352, 49.483731, 53.486006, 54.853228
0.999401, 50.152671, 53.474967, 54.459580
0.999268, 49.430588, 53.003763, 54.271714
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
0.999713, 52.861081, 57.480266, 57.780054
0.999514, 51.923163, 55.705027, 55.812774
0.999527, 51.715892, 55.465918, 55.748148
0.999622, 51.972585, 55.958328, 56.181362
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
0.999603, 53.228212, 56.219674, 56.938685
0.999302, 51.426864, 54.514889, 54.632207
0.999185, 50.529724, 54.090970, 54.161926
0.999358, 50.693062, 54.673303, 54.561027
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
0.999655, 54.158317, 56.890006, 56.966147
0.999331, 51.944195, 54.785615, 54.725418
0.999450, 52.275569, 54.935696, 54.961154
0.999306, 51.158301, 54.739370, 54.508443
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
0.999651, 53.547411, 56.751477, 56.823638
0.999343, 51.866603, 54.760773, 54.637702
0.999430, 51.544003, 54.922314, 54.911194
0.999336, 50.795282, 54.464497, 54.738012
0.999425, 50.655573, 54.834737, 55.011074
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
0.999602, 52.631613, 56.387159, 56.526369
0.999408, 51.560098, 55.046759, 55.152191
0.999339, 51.622523, 54.583438, 54.706885
0.999489, 52.037423, 55.422770, 55.291210
1.000000, 60.000000, 60.000000, 60.000000
0.999467, 52.146669, 54.890647, 55.187768
0.999386, 51.927783, 54.630125, 54.818894
0.999501, 52.512429, 55.172301, 55.279985
0.999367, 51.759332, 54.667763, 54.731807
1.000000, 60.000000, 60.000000, 60.000000
0.999624, 53.050904, 56.633410, 56.632509
0.999439, 52.164173, 55.149204, 55.030125
0.999380, 51.761214, 54.761748, 54.725999
0.999453, 51.884042, 54.983064, 55.063248
0.999311, 52.051145, 54.655180, 54.286378
0.998865, 50.202368, 52.359973, 52.169083
0.998759, 49.827638, 52.227139, 51.876932
0.999007, 50.479198, 52.772632, 52.619743
0.998952, 50.265472, 52.445191, 52.253339
0.998964, 50.130989, 52.132936, 51.977386
0.999010, 50.564374, 52.481622, 52.164897
0.999060, 50.666520, 52.832398, 52.473321
0.998879, 50.565283, 52.612720, 52.291391
