ms-ssim, psnr-y, psnr-u, psnr-v
0.996482, 42.685709, 47.843133, 48.953646
0.995636, 41.898573, 47.566114, 48.603614
0.995468, 41.911840, 47.710140, 48.633962
0.994985, 41.661223, 47.455782, 48.579065
0.995612, 42.015169, 47.598984, 48.642917
0.995235, 41.643848, 47.286373, 48.521190
0.995436, 41.802128, 47.528840, 48.586590
0.995116, 41.638641, 47.254947, 48.262326
0.995509, 42.043942, 47.542031, 48.714987
0.995234, 41.642846, 47.264552, 48.473512
0.995518, 41.970081, 47.465115, 48.581791
0.995243, 41.718227, 47.294336, 48.458953
0.995279, 41.953505, 47.606602, 48.711934
0.994490, 41.456461, 47.180731, 48.307156
0.994383, 41.436080, 47.259591, 48.307067
0.993901, 40.930246, 46.949455, 48.101450
0.993950, 40.954645, 47.094355, 48.180800
0.993568, 40.810016, 46.781812, 47.636717
0.994123, 41.079528, 47.134935, 48.052645
0.994289, 41.213906, 46.994370, 48.039885
0.994829, 41.643929, 47.226739, 48.186506
0.995411, 42.003430, 47.580912, 48.555635
0.995615, 42.050314, 47.568757, 48.634580
0.996043, 42.460628, 47.691677, 48.720469
0.996225, 42.661473, 47.678635, 48.767909
0.996664, 43.090356, 48.208065, 49.092705
0.996768, 43.142837, 48.218430, 49.099109
0.996952, 43.358800, 48.235241, 49.146504
0.997216, 43.616616, 48.277642, 49.197401
0.997217, 43.648940, 48.321656, 49.175515
0.997294, 43.787236, 48.465768, 49.346924
0.997444, 43.994481, 48.631821, 49.508526
0.997552, 44.110977, 48.583202, 49.424433
0.997556, 44.131936, 48.701434, 49.545934
0.997508, 44.093358, 48.745296, 49.566293
0.997525, 44.082662, 48.686478, 49.492783
0.997685, 44.319206, 48.787879, 49.631778
0.997634, 44.274308, 48.867034, 49.614509
0.997575, 44.146008, 48.778375, 49.567060
0.997627, 44.185931, 48.775916, 49.575681
0.997698, 44.348455, 48.831084, 49.704655
0.997649, 44.273370, 48.691634, 49.578637
0.997693, 44.306324, 48.814584, 49.708737
0.997560, 44.107275, 48.680125, 49.558691
0.997769, 44.496212, 48.896909, 49.781254
0.997598, 44.298785, 48.743978, 49.614807
0.997702, 44.441189, 48.919007, 49.804555
0.997637, 44.305823, 48.780343, 49.699909
0.997785, 44.554000, 49.078766, 49.891271
0.997602, 44.334734, 48.858507, 49.650319
0.997710, 44.507123, 49.162866, 49.852356
0.997556, 44.244855, 48.868590, 49.537606
0.997802, 44.494602, 49.181071, 49.866679
0.997475, 44.000150, 48.794046, 49.401546
0.997679, 44.351148, 49.230192, 49.908275
0.997555, 44.099312, 48.856653, 49.683700
0.997948, 44.502668, 49.187498, 49.958077
0.997813, 44.250036, 49.270280, 50.017738
0.997725, 44.105455, 49.026263, 49.789069
0.997739, 44.126051, 49.170182, 49.891081
0.997915, 44.361544, 49.082985, 49.863647
0.997768, 44.279402, 49.140244, 49.910765
0.997716, 44.227694, 49.032048, 49.893115
0.997749, 44.238693, 49.067184, 49.863394
0.997934, 44.389939, 49.136022, 50.016299
0.997750, 44.216495, 48.981289, 49.919457
0.997720, 44.167516, 49.010355, 49.892670
0.997693, 44.107984, 49.124926, 50.001605
0.997708, 44.216417, 49.009110, 49.913703
0.997124, 43.733734, 48.702787, 49.522808
0.997309, 43.935065, 48.761044, 49.524035
0.997434, 43.846048, 48.830486, 49.595705
0.997587, 44.083233, 48.894231, 49.719904
0.997371, 43.954960, 48.825958, 49.681398
