ms-ssim, psnr-y, psnr-u, psnr-v
0.996861, 39.402243, 46.935273, 44.316313
0.995914, 38.330019, 46.408941, 43.881984
0.995975, 38.433237, 46.359422, 43.802781
0.995887, 38.492920, 46.438949, 43.928321
0.996227, 38.795851, 46.398378, 43.921515
0.995908, 38.399042, 46.675491, 44.150912
0.996058, 38.621181, 46.576685, 44.052624
0.995915, 38.485227, 46.593666, 43.996010
0.996253, 38.936036, 46.526633, 44.091706
0.996065, 38.705210, 46.633920, 43.902393
0.995898, 38.703669, 46.413334, 43.442896
0.995958, 38.733024, 46.423962, 43.543570
0.996206, 39.012103, 46.329061, 43.542377
0.995890, 38.547515, 46.346280, 43.394766
0.995527, 38.184866, 46.346420, 43.401022
0.995316, 37.955084, 46.455255, 43.184067
0.995106, 37.810533, 46.139579, 42.928093
0.995246, 38.018353, 46.285646, 43.140627
0.995108, 37.827735, 46.223032, 42.750697
0.995161, 37.823009, 46.168828, 42.921384
0.995186, 37.921385, 45.970113, 42.927454
0.995219, 37.912998, 46.248288, 42.968041
0.995430, 38.095105, 46.214764, 43.117934
0.995495, 38.233450, 46.242440, 43.305599
0.995957, 38.753295, 46.246558, 43.414134
0.996005, 38.679815, 46.713822, 43.958197
0.996168, 38.901110, 46.695086, 44.048533
0.996222, 38.771275, 46.740048, 44.208376
0.996648, 39.520278, 46.680616, 44.204411
0.996425, 38.941275, 46.978675, 44.269310
0.996907, 39.321031, 47.529799, 45.315454
0.997049, 39.656812, 47.509404, 45.447214
0.997342, 40.192195, 47.492871, 45.425702
0.997144, 39.736096, 47.681462, 45.561137
0.997169, 39.666799, 47.673712, 45.630424
0.997191, 39.439490, 47.776069, 45.681166
0.997507, 40.032666, 47.705373, 45.694567
0.997394, 39.759410, 47.817823, 45.734264
0.997315, 39.617447, 47.807150, 45.810961
0.997262, 39.248243, 47.892033, 45.804507
0.997569, 39.851876, 47.866079, 45.961155
0.997365, 39.547591, 48.005452, 46.130826
0.997300, 39.489089, 47.783104, 45.911020
0.997271, 39.338475, 47.833149, 45.849585
0.997526, 39.782371, 47.858509, 45.925839
0.997386, 39.482554, 47.974110, 46.002884
0.997277, 39.300528, 47.750447, 45.832052
0.997206, 39.164253, 47.782205, 45.907284
0.997501, 39.585859, 47.769669, 45.825218
0.997288, 39.033161, 47.927678, 45.988576
0.997405, 39.326825, 47.885260, 46.086294
0.997382, 39.354029, 47.874180, 46.137516
0.997548, 39.504881, 47.865281, 46.048638
0.997270, 39.029702, 48.024557, 46.051052
0.997430, 39.269898, 47.988030, 46.133903
0.997332, 39.115345, 48.027536, 46.156545
0.997597, 39.671252, 47.979754, 46.127352
0.997420, 39.375089, 47.982948, 46.124494
0.997382, 39.280725, 48.021911, 46.165781
0.997378, 39.137732, 48.005905, 46.143546
0.997617, 39.666639, 48.021746, 46.166590
0.997165, 38.874400, 48.093670, 46.147275
0.997322, 39.306141, 47.965167, 45.967434
0.997287, 39.084492, 48.068616, 45.988991
0.997644, 39.664554, 48.023152, 46.140838
0.997444, 39.275401, 48.139500, 46.259897
0.997383, 39.103563, 48.056184, 46.190055
0.997339, 39.042942, 48.088882, 46.165296
0.997645, 39.668761, 48.042791, 46.191031
0.997385, 39.212231, 48.036193, 46.152486
0.997412, 39.436786, 48.074552, 46.211276
0.997224, 39.125467, 48.084939, 46.172228
0.997559, 39.717862, 48.072753, 46.234272
0.997250, 39.292067, 48.057726, 46.186939
0.997335, 39.482996, 48.005000, 46.167587
0.997400, 39.322626, 48.097201, 46.262542
0.997639, 39.715725, 48.076937, 46.247409
0.997472, 39.289799, 48.166933, 46.363059
0.997477, 39.344891, 48.158821, 46.272725
0.997480, 39.378530, 48.196992, 46.393944
0.997678, 39.643548, 48.097747, 46.282433
0.997368, 39.116531, 48.114434, 46.246256
0.997439, 39.170343, 48.108991, 46.214137
0.997381, 39.156409, 48.178914, 46.219128
0.997669, 39.651054, 48.132160, 46.263452
0.997367, 39.024739, 48.154302, 46.296133
0.997397, 39.211368, 48.131482, 46.270736
0.997428, 39.140665, 48.147958, 46.323551
0.997690, 39.663484, 48.110847, 46.274465
0.997518, 39.428202, 48.156988, 46.256345
0.997529, 39.288966, 48.201986, 46.253704
0.997484, 39.368414, 48.165651, 46.177982
0.997656, 39.683286, 48.071625, 46.149289
0.997422, 39.256233, 48.164455, 46.285923
0.997457, 39.247269, 48.146299, 46.197868
0.997423, 39.141335, 48.130380, 46.176198
0.997661, 39.702441, 48.143536, 46.242578
0.997533, 39.424969, 48.224185, 46.359958
0.997554, 39.468651, 48.190499, 46.273802
0.997442, 39.221526, 48.144386, 46.190841
0.997653, 39.627597, 48.136868, 46.257556
0.997460, 39.272714, 48.183202, 46.370936
0.997405, 39.417652, 48.126102, 46.165242
0.997347, 39.194441, 48.146937, 46.216809
0.997596, 39.591534, 48.090814, 46.169098
0.997386, 39.146310, 48.154856, 46.200150
0.997381, 39.190285, 47.975868, 46.068282
0.997351, 39.249522, 48.070496, 46.192495
0.997627, 39.641248, 48.071583, 46.218092
0.997374, 39.306049, 48.148937, 46.311883
0.997430, 39.405068, 48.057851, 46.202650
0.997346, 39.239062, 48.081208, 46.295299
0.997688, 39.695197, 48.002859, 46.269659
0.997443, 39.283858, 48.065734, 46.279831
0.997431, 39.268119, 48.105198, 46.235888
0.997438, 39.265204, 48.071959, 46.437198
0.997699, 39.699200, 48.050689, 46.377696
0.997419, 39.307202, 48.155069, 46.383445
0.997564, 39.358251, 48.114645, 46.318690
0.997492, 39.203930, 48.155964, 46.311325
0.997746, 39.689935, 48.142133, 46.367321
0.997441, 38.990163, 48.213763, 46.428656
0.997546, 39.306449, 48.158651, 46.360662
0.997535, 39.335577, 48.176730, 46.375913
0.997738, 39.772913, 48.110847, 46.352382
0.997576, 39.383833, 48.129405, 46.286311
0.997565, 39.362749, 48.110720, 46.280689
0.997481, 39.277092, 48.113421, 46.327354
0.997737, 39.744071, 48.120856, 46.321036
0.997497, 39.379656, 48.251158, 46.531322
0.997492, 39.369856, 48.109202, 46.363793
0.997512, 39.404018, 48.144258, 46.528830
0.997708, 39.714015, 48.041753, 46.359366
0.997431, 39.195894, 48.223276, 46.399544
0.997540, 39.467648, 48.138184, 46.440413
0.997534, 39.381436, 48.311439, 46.539569
0.997692, 39.712392, 48.102545, 46.275184
0.997531, 39.478838, 48.082214, 46.265492
0.997457, 39.454771, 48.074677, 46.298633
0.997458, 39.390460, 48.158096, 46.406747
0.997708, 39.771399, 48.118573, 46.272062
0.997446, 39.363906, 48.200048, 46.326459
0.997481, 39.425372, 48.180500, 46.305865
0.997479, 39.355466, 48.187107, 46.331385
0.997687, 39.678531, 48.177029, 46.277341
0.997460, 39.278096, 48.239975, 46.361198
0.997457, 39.438909, 48.281984, 46.298494
0.997409, 39.357902, 48.297809, 46.283042
0.997652, 39.774978, 48.275450, 46.156976
0.997478, 39.542330, 48.377589, 46.343359
0.997428, 39.467289, 48.349956, 46.284593
0.997230, 39.204398, 48.111438, 46.132565
0.997628, 39.781528, 48.130549, 46.108636
0.997435, 39.379479, 48.259793, 46.283125
0.997469, 39.542611, 48.216658, 46.249195
0.997406, 39.338015, 48.195056, 46.299912
0.997627, 40.241198, 47.991517, 46.174334
0.997474, 39.912200, 48.086994, 46.345774
0.997483, 39.946833, 48.088882, 46.356774
0.997341, 39.748519, 48.113970, 46.320030
0.997554, 40.175422, 47.964555, 46.100902
0.997267, 39.706114, 48.054893, 46.130880
0.997307, 39.742168, 47.931926, 46.001820
0.997352, 39.709538, 47.970923, 46.091617
0.997521, 40.127209, 47.770527, 46.022531
0.997391, 39.715302, 47.921373, 46.166698
0.997220, 39.679451, 47.650619, 45.759573
0.997205, 39.590244, 47.693593, 45.934775
0.997481, 39.971151, 47.680545, 46.013594
0.997271, 39.742780, 47.765654, 46.016484
0.997292, 39.730351, 47.655479, 45.914707
0.997273, 39.652313, 47.757596, 46.012735
0.997491, 39.862109, 47.748622, 46.013152
0.997290, 39.528622, 47.838733, 46.113854
0.997353, 39.698223, 47.745751, 45.914402
0.997201, 39.366748, 47.730034, 46.060934
0.997491, 39.897118, 47.705142, 45.998162
0.997309, 39.517913, 47.838297, 46.174658
0.997328, 39.784698, 47.742495, 45.955014
0.997172, 39.544948, 47.797406, 45.917914
0.997490, 39.941621, 47.705411, 45.948804
0.997196, 39.563405, 47.665557, 45.869002
0.997308, 39.703931, 47.511755, 45.712063
0.997203, 39.445513, 47.541624, 45.793409
0.997452, 39.896886, 47.720885, 45.854224
0.997324, 39.667321, 47.789564, 45.907894
0.997311, 39.664993, 47.681348, 45.771495
0.997187, 39.528821, 47.743890, 45.804482
0.997377, 39.715066, 47.606828, 45.853070
0.997176, 39.412365, 47.673445, 45.865604
0.997253, 39.557811, 47.535670, 45.707257
0.997218, 39.594706, 47.492431, 45.924181
0.997444, 39.751652, 47.553332, 45.802548
0.997135, 39.379784, 47.635431, 45.818743
0.997216, 39.532923, 47.616115, 45.635336
0.997269, 39.525796, 47.732662, 45.824769
0.997468, 39.846317, 47.504925, 45.600787
0.996977, 39.105706, 47.285431, 45.076463
0.997132, 39.005331, 47.522646, 45.461859
0.997219, 39.186798, 47.639100, 45.504866
0.997523, 39.671940, 47.617019, 45.528358
0.997098, 39.209631, 47.709525, 45.484519
0.997104, 39.153898, 47.687772, 45.437675
0.997081, 39.133036, 47.588723, 45.440594
0.997509, 39.680766, 47.642394, 45.426384
0.997227, 39.138743, 47.659507, 45.447191
0.997303, 39.314604, 47.596960, 45.467410
0.997146, 39.131208, 47.664376, 45.443697
0.997508, 39.707529, 47.536373, 45.509290
0.997169, 39.170050, 47.552182, 45.555863
0.997287, 39.332164, 47.634599, 45.561559
0.997095, 39.141907, 47.459883, 45.382094
0.997438, 39.542515, 47.361084, 45.269402
0.997040, 38.858752, 47.368047, 45.252813
