ms-ssim, psnr-y, psnr-u, psnr-v
0.998023, 37.070126, 45.241316, 45.316097
0.997984, 37.091694, 45.250847, 45.269929
0.997971, 37.074794, 45.164760, 45.284009
0.997988, 37.086249, 45.166451, 45.285924
0.997896, 37.029687, 45.135000, 45.148969
0.997851, 37.007155, 45.132875, 45.185616
0.997889, 37.026792, 45.083433, 45.165059
0.997858, 37.023161, 45.099914, 45.150953
0.997869, 37.025751, 45.102361, 45.135787
0.997823, 36.989020, 45.104366, 45.117030
0.997809, 36.945422, 45.058504, 45.035711
0.997774, 36.956688, 45.077449, 45.028030
0.997800, 36.991519, 45.032845, 45.064356
0.997812, 37.000703, 45.033738, 45.057981
0.997793, 36.978047, 45.026370, 45.048051
0.997637, 36.903950, 44.989947, 45.014237
0.997564, 36.811580, 44.972361, 44.923833
0.997463, 36.738274, 44.903105, 44.832516
0.997418, 36.707038, 44.883980, 44.803266
0.997410, 36.706490, 44.895393, 44.802853
0.997440, 36.730586, 44.814390, 44.674469
0.996439, 34.996784, 44.831346, 44.588740
0.995841, 33.998006, 42.822363, 42.541267
0.996870, 34.772794, 43.449352, 43.445806
0.996940, 35.224984, 44.642141, 44.325479
0.996972, 34.764683, 44.981094, 44.689160
0.997041, 34.594628, 45.302752, 44.831921
0.997018, 34.813748, 45.182133, 44.932164
0.997303, 35.287433, 45.804705, 45.390519
0.997123, 34.930895, 46.224207, 46.038024
0.997561, 35.781384, 46.729385, 46.325089
0.997005, 34.958757, 46.889306, 46.893224
0.997355, 35.761078, 47.187069, 46.682954
0.997616, 36.242643, 47.624442, 47.428802
0.997857, 36.268232, 48.014520, 47.641977
0.997464, 35.999141, 47.806796, 47.539626
0.997667, 36.260039, 48.164797, 47.919476
0.997852, 36.292901, 48.191574, 47.680660
0.997894, 36.501122, 48.178700, 47.683182
0.997787, 36.263517, 47.959134, 47.633806
0.997851, 36.332715, 48.027743, 47.696122
0.997803, 36.315930, 47.920404, 47.603111
0.997744, 36.300515, 47.702684, 47.351617
0.997782, 36.275696, 47.637852, 47.381542
0.997718, 36.254904, 47.574793, 47.259209
0.997701, 36.235232, 47.407009, 47.011891
0.997670, 36.220651, 47.588199, 47.091585
0.997642, 36.203723, 47.407583, 46.916680
0.997638, 36.200699, 47.322143, 46.737925
0.997635, 36.190973, 47.151646, 46.843820
0.997595, 36.168510, 47.194475, 46.760710
0.997576, 36.276289, 47.040051, 46.593874
0.997545, 36.262965, 47.094923, 46.730336
0.997517, 36.237744, 46.934822, 46.714678
0.997546, 36.200302, 47.039656, 46.599739
0.997624, 36.328383, 47.129043, 46.615854
0.997692, 36.388838, 47.044570, 46.487298
0.997724, 36.367217, 47.033595, 46.785511
0.997810, 36.422095, 47.087084, 46.819030
0.997932, 36.465731, 47.406542, 46.934211
0.997985, 36.486579, 47.508412, 47.115570
0.998008, 36.508404, 47.593738, 47.117281
0.998034, 36.509662, 47.571178, 47.214882
0.998115, 36.535032, 48.009407, 47.606490
0.998113, 36.470631, 47.646865, 47.011236
0.998106, 36.459049, 48.024227, 47.321545
0.998135, 36.483927, 48.104355, 47.552850
0.998164, 36.518080, 48.023358, 47.483696
0.998185, 36.531685, 47.891953, 47.295909
0.998216, 36.575098, 48.008500, 47.384717
0.998215, 36.557958, 48.020713, 47.389038
0.998244, 36.575330, 48.108274, 47.485595
0.998250, 36.571804, 48.145279, 47.522757
0.998257, 36.589576, 48.137887, 47.510028
0.998316, 36.629225, 48.299571, 47.552182
0.998321, 36.641354, 48.314842, 47.566858
0.998325, 36.642154, 48.323206, 47.570396
0.998326, 36.625367, 48.333140, 47.603148
0.998348, 36.635909, 48.396785, 47.654036
0.998351, 36.640240, 48.389357, 47.669137
0.998350, 36.642338, 48.376333, 47.682915
0.998354, 36.639426, 48.371941, 47.677604
0.998384, 36.656988, 48.475071, 47.738737
0.998390, 36.655645, 48.500560, 47.732237
0.998390, 36.654242, 48.490282, 47.729454
0.998391, 36.649984, 48.492170, 47.726558
0.998399, 36.650431, 48.516417, 47.746294
0.998401, 36.649786, 48.508088, 47.748234
0.998400, 36.649956, 48.518084, 47.739241
0.998401, 36.648294, 48.518038, 47.725785
0.998417, 36.665139, 48.593655, 47.794856
0.998421, 36.668032, 48.601772, 47.805184
0.998420, 36.668405, 48.614401, 47.811637
0.998420, 36.665242, 48.606923, 47.812109
0.998496, 36.678941, 48.648117, 47.820426
0.998498, 36.680019, 48.656910, 47.835643
0.998502, 36.682887, 48.675559, 47.859146
0.998501, 36.682953, 48.671861, 47.856560
0.998513, 36.687605, 48.708254, 47.869270
0.998515, 36.688673, 48.708980, 47.859544
0.998514, 36.689883, 48.715811, 47.860420
0.998516, 36.689174, 48.715569, 47.861934
0.998530, 36.703196, 48.761681, 47.890389
0.998531, 36.704662, 48.771199, 47.897130
0.998531, 36.703237, 48.765407, 47.903842
0.998551, 36.709940, 48.708496, 47.900907
0.998560, 36.717464, 48.640581, 47.857395
0.998543, 36.705594, 48.761387, 47.872942
0.998544, 36.707236, 48.763054, 47.871664
0.998542, 36.706829, 48.765064, 47.860580
0.998539, 36.706767, 48.757322, 47.854094
0.998548, 36.719625, 48.775031, 47.876218
0.998549, 36.721291, 48.790888, 47.881497
0.998542, 36.708375, 48.790493, 47.879216
0.998503, 36.623381, 48.730431, 47.791836
0.998489, 36.544772, 48.723285, 47.753165
0.998506, 36.712192, 48.808536, 47.937759
0.998508, 36.712925, 48.913320, 48.089470
0.998612, 37.442873, 49.520356, 48.696314
0.998497, 37.156720, 49.744475, 48.920837
0.998490, 37.413412, 49.825165, 49.030536
0.998425, 36.776052, 49.666525, 48.861665
0.998443, 37.186052, 49.643890, 49.014768
0.998311, 36.701083, 49.663809, 48.698487
0.998139, 37.259377, 48.924651, 48.357450
0.998151, 37.666650, 50.005779, 49.342385
0.998042, 38.546534, 49.938370, 49.285456
0.997867, 38.972916, 50.650119, 49.533156
0.998111, 39.823766, 51.003295, 50.250688
0.997904, 40.416143, 51.379419, 50.781529
0.997621, 41.304972, 51.390626, 50.661868
0.997373, 42.869654, 52.787218, 51.686579
0.997665, 44.331385, 54.991490, 53.699273
0.997869, 47.487897, 57.770293, 56.309569
0.999595, 55.388265, 60.000000, 60.000000
0.999879, 56.925983, 60.000000, 60.000000
0.999879, 56.926143, 60.000000, 60.000000
0.999879, 56.915319, 60.000000, 60.000000
0.999876, 56.890325, 60.000000, 60.000000
0.999851, 56.522709, 60.000000, 60.000000
0.999846, 55.298158, 60.000000, 60.000000
0.999858, 55.008441, 60.000000, 60.000000
0.999848, 54.115699, 60.000000, 60.000000
0.999858, 53.117559, 60.000000, 60.000000
0.999848, 52.718610, 60.000000, 60.000000
0.999858, 52.383857, 60.000000, 60.000000
0.999850, 51.720079, 60.000000, 60.000000
0.999833, 51.092367, 60.000000, 60.000000
0.999852, 50.501707, 60.000000, 60.000000
0.999856, 50.518363, 60.000000, 60.000000
0.999854, 50.516106, 60.000000, 60.000000
0.999839, 50.490730, 60.000000, 60.000000
0.999859, 50.495128, 60.000000, 60.000000
0.999866, 50.524922, 60.000000, 60.000000
0.999970, 50.979262, 60.000000, 60.000000
0.999969, 50.978630, 60.000000, 60.000000
0.999970, 50.955342, 60.000000, 60.000000
0.999971, 51.015958, 60.000000, 60.000000
0.999971, 51.020139, 60.000000, 60.000000
0.999970, 51.014517, 60.000000, 60.000000
0.999971, 51.005122, 60.000000, 60.000000
0.999971, 51.002453, 60.000000, 60.000000
0.999971, 50.997695, 60.000000, 60.000000
0.999971, 50.985391, 60.000000, 60.000000
0.999972, 50.990013, 60.000000, 60.000000
0.999972, 50.970595, 60.000000, 60.000000
0.999972, 50.959851, 60.000000, 60.000000
0.999971, 50.945851, 60.000000, 60.000000
0.999972, 50.949154, 60.000000, 60.000000
0.999972, 50.965301, 60.000000, 60.000000
0.999972, 50.954347, 60.000000, 60.000000
0.999972, 50.944635, 60.000000, 60.000000
0.999972, 50.947978, 60.000000, 60.000000
0.999972, 50.942813, 60.000000, 60.000000
0.999972, 50.940081, 60.000000, 60.000000
0.999972, 50.935734, 60.000000, 60.000000
0.999972, 50.940648, 60.000000, 60.000000
0.999972, 50.941518, 60.000000, 60.000000
0.999972, 50.941477, 60.000000, 60.000000
0.999972, 50.942894, 60.000000, 60.000000
0.999972, 50.945142, 60.000000, 60.000000
0.999973, 50.950310, 60.000000, 60.000000
0.999973, 50.944170, 60.000000, 60.000000
0.999972, 50.935916, 60.000000, 60.000000
0.999972, 50.923927, 60.000000, 60.000000
0.999973, 50.952866, 60.000000, 60.000000
0.999973, 50.944737, 60.000000, 60.000000
0.999973, 50.944554, 60.000000, 60.000000
0.999973, 50.963796, 60.000000, 60.000000
0.999973, 50.964935, 60.000000, 60.000000
0.999973, 50.960501, 60.000000, 60.000000
0.999973, 50.950229, 60.000000, 60.000000
0.999973, 50.955443, 60.000000, 60.000000
0.999973, 50.960827, 60.000000, 60.000000
0.999973, 50.963490, 60.000000, 60.000000
0.999973, 50.962514, 60.000000, 60.000000
0.999973, 50.964365, 60.000000, 60.000000
0.999973, 50.971369, 60.000000, 60.000000
0.999973, 50.971084, 60.000000, 60.000000
0.999973, 50.971104, 60.000000, 60.000000
0.999973, 50.971491, 60.000000, 60.000000
0.999973, 50.976079, 60.000000, 60.000000
0.999973, 50.975161, 60.000000, 60.000000
0.999973, 50.974896, 60.000000, 60.000000
0.999973, 50.978956, 60.000000, 60.000000
0.999973, 50.979038, 60.000000, 60.000000
0.999973, 50.978548, 60.000000, 60.000000
0.999973, 50.977813, 60.000000, 60.000000
0.999973, 50.976650, 60.000000, 60.000000
0.999973, 50.977283, 60.000000, 60.000000
0.999973, 50.977323, 60.000000, 60.000000
0.999973, 50.979160, 60.000000, 60.000000
0.999973, 50.980957, 60.000000, 60.000000
0.999973, 50.983061, 60.000000, 60.000000
0.999973, 50.981141, 60.000000, 60.000000
0.999973, 50.981692, 60.000000, 60.000000
0.999973, 50.978466, 60.000000, 60.000000
0.999973, 50.979303, 60.000000, 60.000000
0.999973, 50.978405, 60.000000, 60.000000
0.999973, 50.979507, 60.000000, 60.000000
0.999977, 52.965699, 60.000000, 60.000000
0.999973, 53.754461, 60.000000, 60.000000
0.999977, 55.889112, 60.000000, 60.000000
0.999973, 57.071698, 60.000000, 60.000000
0.999987, 58.250570, 60.000000, 60.000000
0.999996, 58.359304, 60.000000, 60.000000
0.999996, 58.351048, 60.000000, 60.000000
0.999996, 58.357071, 60.000000, 60.000000
