ms-ssim, psnr-y, psnr-u, psnr-v
0.997309, 43.242101, 47.890710, 48.432707
0.996894, 42.583655, 47.432301, 47.710563
0.996910, 42.499909, 47.156045, 47.644629
0.996803, 42.441768, 47.242426, 47.593102
0.996921, 42.680145, 47.273796, 47.838059
0.996794, 42.494934, 47.139216, 47.705642
0.996882, 42.557778, 47.110106, 47.475817
0.996761, 42.457259, 47.072147, 47.509551
0.996924, 42.638661, 47.179199, 47.848332
0.996925, 42.590623, 47.327987, 47.821847
0.996901, 42.570131, 47.258412, 47.928608
0.996937, 42.562411, 47.294056, 47.812542
0.996668, 41.964999, 46.997111, 47.530353
0.996207, 41.247117, 46.781564, 47.049424
0.996052, 41.077740, 46.498662, 46.532876
0.995729, 40.649338, 46.265079, 46.530970
0.995455, 40.461065, 45.957942, 46.116998
0.995569, 40.713201, 46.315899, 46.673884
0.996102, 41.302093, 46.321651, 46.924121
0.996397, 41.922818, 46.774023, 46.970232
0.996654, 42.390612, 46.975718, 47.340192
0.996688, 42.523770, 47.247713, 47.492944
0.996861, 42.835055, 47.506466, 47.795091
0.997223, 43.180066, 47.876658, 48.081125
0.997341, 43.407795, 47.916167, 48.128812
0.997318, 43.376076, 47.961293, 48.272998
0.997436, 43.659322, 48.117137, 48.506794
0.997462, 43.655698, 47.900384, 48.075389
0.997760, 44.017924, 48.177115, 48.533308
0.997939, 44.195942, 48.574134, 48.774195
0.998055, 44.465093, 48.974903, 49.329018
0.998017, 44.489885, 48.841803, 49.160019
0.998004, 44.571611, 48.914233, 49.178750
0.997961, 44.466519, 48.810320, 49.053221
0.998152, 44.667729, 49.103295, 49.261749
0.998043, 44.546698, 48.793997, 49.044112
0.998070, 44.536058, 48.611418, 48.926890
0.998069, 44.435756, 48.613359, 48.907843
0.998264, 44.633827, 49.063663, 49.392130
0.998201, 44.493460, 48.836415, 49.109609
0.998078, 44.295630, 48.700129, 49.044635
0.998102, 44.271039, 48.703899, 48.994919
0.998123, 44.257400, 48.675510, 48.927654
0.998082, 44.228268, 48.611939, 48.860512
0.998202, 44.435947, 48.910023, 49.244956
0.998143, 44.312384, 48.731259, 49.064241
0.998151, 44.443360, 48.871303, 49.044897
0.998105, 44.289286, 48.768940, 49.022567
0.998185, 44.446620, 48.952673, 49.187552
0.998180, 44.394920, 48.796466, 49.124926
0.998152, 44.351121, 48.701096, 48.965699
0.998142, 44.323869, 48.696652, 49.139656
0.998175, 44.493043, 48.995281, 49.328683
0.998154, 44.399620, 48.713921, 49.181826
0.998161, 44.526410, 48.905715, 49.231503
0.998160, 44.405048, 48.761387, 49.158032
0.998173, 44.563323, 49.081033, 49.375729
0.998124, 44.386470, 48.760162, 49.021370
0.998195, 44.560538, 48.780491, 49.137946
0.998102, 44.382575, 48.750376, 49.015859
0.998197, 44.578054, 48.993161, 49.325892
0.998206, 44.495061, 48.781869, 49.114283
0.998142, 44.504511, 48.826605, 49.063873
0.998123, 44.361063, 48.703223, 48.999161
0.998227, 44.665720, 48.901360, 49.374713
0.998157, 44.537137, 48.747249, 49.080770
0.998165, 44.611060, 48.707721, 49.107167
0.998213, 44.663054, 48.921142, 49.266590
0.998221, 44.737818, 49.086153, 49.550927
0.998174, 44.577072, 48.931678, 49.406148
0.998254, 44.757010, 48.998954, 49.440388
0.998218, 44.633912, 49.022047, 49.398707
0.998291, 44.804906, 49.042230, 49.394567
0.998335, 44.736038, 49.022775, 49.351918
0.998258, 44.716586, 49.010926, 49.255265
0.998342, 44.966212, 49.257297, 49.588466
0.998383, 44.984548, 49.355175, 49.711297
0.998290, 44.792196, 49.060040, 49.392923
0.998299, 44.821138, 49.073340, 49.367947
0.998379, 44.941167, 49.245284, 49.598259
0.998298, 44.861938, 48.992851, 49.287724
0.998283, 44.804527, 48.759722, 49.128710
0.998322, 44.745770, 48.934328, 49.159320
0.998369, 44.907566, 49.414341, 49.675346
0.998324, 44.794117, 49.129564, 49.468495
0.998424, 44.966171, 49.244846, 49.475478
0.998378, 44.899428, 49.289992, 49.701247
0.998469, 45.066522, 49.482646, 49.777351
0.998440, 44.978807, 49.339249, 49.656216
0.998392, 44.931637, 49.244846, 49.485829
0.998359, 44.830627, 49.155026, 49.322378
0.998425, 44.937961, 49.318866, 49.603669
0.998281, 44.830687, 49.059147, 49.232213
0.998259, 44.854069, 49.041916, 49.218636
0.998299, 44.867787, 49.155563, 49.246654
0.998305, 44.899227, 49.314857, 49.631000
0.998309, 44.836464, 49.179452, 49.432832
0.998300, 44.861634, 49.137678, 49.425346
