ms-ssim, psnr-y, psnr-u, psnr-v
0.994250, 44.931576, 50.625136, 49.334214
0.993354, 44.180709, 50.662248, 49.060355
0.992944, 44.037790, 50.503500, 48.560124
0.992415, 43.458591, 50.351199, 48.472182
0.993026, 43.945836, 50.251724, 48.813889
0.992452, 43.357399, 50.173835, 48.412131
0.992407, 43.432088, 50.203375, 48.385176
0.992407, 43.241290, 50.184906, 48.476447
0.992798, 43.965418, 50.080023, 48.660356
0.992222, 43.212801, 50.227551, 48.792615
0.992620, 43.473767, 50.442529, 48.777047
0.992493, 43.221868, 50.520291, 48.964518
0.992864, 43.747003, 50.538771, 48.906171
0.992447, 43.108421, 50.453222, 48.735786
0.992017, 42.777827, 50.395945, 48.598325
0.991359, 42.267218, 50.137021, 48.322807
0.991624, 42.294314, 50.147864, 48.284617
0.991672, 42.367161, 50.142002, 48.302877
0.991516, 42.548800, 49.996718, 48.374271
0.992158, 42.845762, 50.064120, 48.341807
0.993099, 43.913672, 50.187014, 48.713678
0.992623, 43.437017, 50.156774, 48.583061
0.994410, 44.473835, 50.741609, 49.029389
0.994135, 44.304550, 50.644143, 49.128817
0.995350, 45.371592, 50.863360, 49.401943
0.995356, 45.125263, 50.935511, 49.528242
0.995415, 45.445249, 50.849548, 49.511029
0.995723, 45.571444, 50.867019, 49.610098
0.996391, 46.246201, 51.088367, 50.071203
0.995985, 45.621099, 50.915268, 49.773267
0.996309, 46.043242, 51.176763, 50.045837
0.996192, 45.963155, 51.207378, 49.991381
0.996801, 46.618501, 51.227217, 50.275199
0.996540, 46.184346, 51.111203, 50.119569
0.996120, 46.045942, 51.207292, 50.027369
0.996126, 45.675311, 50.980773, 49.757522
0.996699, 46.310001, 51.159875, 50.006889
0.996198, 45.885668, 51.149927, 49.993333
0.996212, 45.958296, 50.980773, 49.848767
0.995927, 45.617694, 51.068234, 49.828421
0.996408, 46.084726, 51.150352, 50.046891
0.995855, 45.497967, 50.949519, 49.869651
0.996005, 45.761537, 51.105315, 49.874840
0.995755, 45.485493, 51.032211, 49.913447
0.996423, 46.108324, 51.051431, 50.215617
0.996083, 45.658994, 50.876737, 49.977095
0.995972, 45.811731, 51.102625, 50.103120
0.995725, 45.419495, 50.930745, 49.903683
0.996156, 46.136231, 51.257408, 50.206039
0.995471, 45.477255, 50.771320, 49.792982
0.995537, 45.784610, 50.876977, 49.827544
0.995561, 45.645809, 50.919696, 49.790125
0.996292, 46.394938, 51.270923, 50.162047
0.995873, 45.991534, 51.062986, 49.799823
0.995768, 45.988965, 50.936886, 49.781006
0.995820, 45.984154, 50.877774, 49.774009
0.996241, 46.454809, 51.249841, 50.079558
0.995834, 45.774499, 50.931633, 49.767209
0.995971, 45.973297, 50.979466, 49.803995
0.995922, 45.893610, 51.031220, 49.833185
0.996298, 46.215575, 51.002228, 50.004996
0.995942, 45.617944, 50.802881, 49.533800
0.996006, 45.643138, 50.836569, 49.626393
0.995630, 45.274548, 50.669693, 49.481547
0.996322, 45.984470, 50.930502, 49.821661
0.995536, 45.083491, 50.769141, 49.333096
0.995781, 45.326160, 50.728718, 49.381208
0.995577, 45.206698, 50.702513, 49.429002
0.996101, 45.934973, 50.950168, 49.835569
0.995458, 45.180430, 50.620321, 49.447441
0.995378, 45.206579, 50.807745, 49.393603
0.995532, 45.211726, 50.760125, 49.358828
0.995994, 45.701077, 51.012336, 49.671900
0.995431, 45.132460, 50.969597, 49.435922
0.995768, 45.430484, 51.146192, 49.254991
0.995501, 45.262172, 51.074490, 49.407000
0.996011, 45.816317, 51.116509, 49.653447
0.995820, 45.557527, 51.095323, 49.619104
0.995145, 45.269222, 50.685462, 49.364342
0.995090, 45.131664, 50.695470, 49.293702
0.995562, 45.104292, 50.630332, 49.456517
0.995102, 44.792570, 50.742382, 49.507129
0.995523, 45.143246, 50.887277, 49.448991
0.995487, 45.104683, 50.924451, 49.341601
0.995707, 45.202540, 50.977099, 49.446351
0.995246, 45.014966, 50.930341, 49.350851
0.995519, 45.282563, 50.749657, 49.336507
0.995351, 45.090019, 50.722864, 49.214228
0.995833, 45.643944, 50.803116, 49.517031
0.995283, 45.098312, 50.615137, 49.231339
0.995527, 45.350377, 50.845112, 49.351637
0.995322, 45.249095, 50.666956, 49.195018
0.995865, 45.839672, 50.737205, 49.571899
0.995349, 45.346737, 50.752756, 49.356636
0.995520, 45.613390, 50.623405, 49.352311
0.995513, 45.319384, 50.671062, 49.287281
0.996105, 45.976528, 50.867974, 49.699604
0.995534, 45.443891, 50.775915, 49.460084
0.995536, 45.471078, 50.796457, 49.583963
0.996010, 45.502859, 50.866541, 49.324274
0.996282, 45.889694, 50.800216, 49.648035
0.995941, 45.353327, 50.843449, 49.341321
0.995966, 45.492764, 50.829622, 49.370765
0.995874, 45.130219, 50.737591, 49.350290
0.996480, 45.867366, 50.723711, 49.683336
0.996047, 45.482072, 50.740295, 49.516448
0.996172, 45.777271, 50.845112, 49.692920
0.996123, 45.743407, 50.777084, 49.626034
0.996481, 46.210017, 50.976609, 49.960207
0.996148, 45.739203, 50.876179, 49.556513
0.996117, 45.651630, 50.765719, 49.538837
0.995891, 45.252900, 50.705579, 49.502071
0.996319, 45.781137, 50.819614, 49.740974
0.995962, 45.140739, 50.483712, 49.279987
0.996218, 45.632170, 50.713944, 49.612899
0.996016, 45.431092, 50.749734, 49.321430
0.996263, 45.813327, 50.778175, 49.635972
0.996150, 45.401017, 50.682486, 49.191175
0.996053, 45.443463, 50.714174, 49.200002
0.995824, 45.075153, 50.613035, 48.969604
0.996141, 45.641393, 50.860419, 49.439185
0.995751, 45.090550, 50.803901, 49.321709
0.995912, 45.503663, 50.758728, 49.480275
0.995696, 45.270060, 50.789182, 49.288332
0.996010, 45.875684, 50.849310, 49.666102
0.995543, 45.249843, 50.612210, 49.183716
0.995763, 45.465740, 50.788791, 49.340761
0.995728, 45.239627, 50.917441, 49.255704
0.996126, 45.742447, 50.889836, 49.645091
0.995935, 45.272709, 50.867974, 49.427459
0.995765, 45.328911, 50.947978, 49.396608
0.995333, 45.037602, 50.725020, 49.188363
0.995891, 45.668358, 50.994518, 49.525553
0.995369, 45.052278, 51.061488, 49.339137
0.995544, 45.302116, 50.935673, 49.378553
0.995538, 45.181365, 51.099686, 49.343673
0.995904, 45.609416, 51.114318, 49.489305
0.995473, 45.260317, 50.931956, 49.389581
0.995747, 45.530721, 51.047364, 49.457610
0.995555, 45.383507, 50.831436, 49.168029
0.996015, 45.872836, 50.784807, 49.583371
0.995788, 45.509621, 50.815444, 49.400921
0.995655, 45.531367, 50.997551, 49.391733
0.995574, 45.124839, 50.812536, 49.214446
0.996054, 45.755107, 50.953495, 49.557396
0.995604, 45.136233, 50.808923, 49.280649
0.995603, 45.184380, 50.801705, 49.343898
0.995301, 45.043568, 50.848597, 49.288388
0.995999, 45.570404, 50.824575, 49.366200
0.995667, 44.985323, 50.805705, 49.095562
0.995732, 45.284290, 50.847092, 49.297082
0.995550, 44.914356, 50.641952, 49.190256
0.996251, 45.716350, 50.869406, 49.616716
0.995774, 45.177048, 50.750741, 49.196372
0.995702, 45.179985, 50.643539, 49.243696
0.995822, 44.978797, 50.506135, 48.940656
0.996177, 45.433750, 50.751671, 49.285788
0.995567, 44.779445, 50.539287, 49.268407
0.995958, 45.200980, 50.778253, 49.340593
0.995747, 45.033109, 50.842500, 49.197130
0.995959, 45.413449, 50.831121, 49.370990
0.995925, 45.044911, 50.698914, 49.175461
0.995659, 45.134421, 50.812772, 49.374488
0.995487, 44.957662, 50.750974, 49.196047
0.996062, 45.561172, 50.874664, 49.546756
0.995627, 45.164599, 50.754229, 49.432603
0.995599, 45.407452, 50.799354, 49.542120
0.995677, 45.227362, 50.731802, 49.509632
0.995988, 45.740003, 50.733345, 49.722471
0.995478, 45.213983, 50.738364, 49.390657
0.995620, 45.448002, 50.667944, 49.367327
0.995892, 45.511116, 50.920179, 49.482241
0.996033, 45.884360, 50.910443, 49.727854
0.995900, 45.444633, 50.980365, 49.642809
0.995709, 45.577949, 51.134921, 49.762023
0.995465, 45.318059, 51.004855, 49.730610
0.995937, 45.894047, 51.186516, 50.084672
0.995575, 45.611148, 51.014147, 49.658324
0.995467, 45.678328, 51.050434, 49.716728
0.995507, 45.632063, 51.148314, 49.658505
0.995991, 46.146148, 51.198351, 50.066435
0.995493, 45.521049, 51.077830, 49.724489
0.995901, 45.772566, 51.099350, 49.630222
0.995586, 45.470469, 51.065651, 49.641669
0.995871, 45.904428, 51.138307, 49.848075
0.995395, 45.344249, 50.810807, 49.419583
0.995566, 45.618348, 51.211425, 49.654410
0.995495, 45.354529, 50.992879, 49.504977
0.996020, 45.906840, 51.170870, 49.794474
0.995742, 45.469332, 50.998453, 49.571899
0.995623, 45.496500, 50.829858, 49.605156
0.995567, 45.276941, 50.753919, 49.419469
0.995865, 45.837241, 51.113645, 49.774195
0.995364, 45.356000, 50.904259, 49.556690
0.995599, 45.501777, 50.909318, 49.564170
0.995550, 45.452551, 50.867416, 49.549340
0.995883, 45.981815, 51.136021, 49.900115
0.995864, 45.700829, 51.139917, 49.751055
0.995379, 45.438821, 50.690425, 49.484267
0.995107, 45.156948, 50.716710, 49.462214
0.995845, 45.835310, 50.881206, 49.563168
0.995377, 45.313920, 50.690425, 49.365694
0.995633, 45.526502, 50.781997, 49.448417
0.995643, 45.382364, 50.890236, 49.368736
0.995904, 45.640802, 50.866064, 49.357367
0.995283, 45.023075, 50.800373, 49.411096
0.995747, 45.481876, 50.995256, 49.502710
0.995761, 45.553920, 51.134836, 49.462042
0.996149, 45.957242, 51.079500, 49.820973
0.995784, 45.334928, 50.971553, 49.429745
0.995761, 45.399729, 51.170956, 49.685639
0.995663, 45.150276, 51.179840, 49.598140
0.996284, 45.907640, 51.389549, 50.045113
0.995931, 45.205261, 51.281065, 49.636211
0.995730, 45.067673, 51.156727, 49.561106
0.995273, 44.651622, 50.678370, 49.405068
0.995696, 45.137765, 50.860340, 49.597071
0.995522, 45.035748, 50.995174, 49.554984
0.995611, 45.064953, 50.932360, 49.405693
0.995500, 45.010992, 50.877216, 49.300798
0.995885, 45.504647, 51.014641, 49.627111
0.995402, 45.045598, 50.881365, 49.227082
0.995685, 45.324655, 50.806803, 49.351693
0.995404, 45.030680, 50.745322, 49.264939
0.995966, 45.588845, 50.848359, 49.411096
0.995637, 45.273253, 50.791292, 49.186417
0.995631, 45.470061, 50.916717, 49.267856
0.995632, 45.302868, 50.744161, 49.225392
0.995883, 45.723508, 50.806175, 49.334103
0.995539, 45.313189, 50.756478, 49.164371
0.995701, 45.499198, 50.747257, 49.117633
0.995519, 45.267079, 50.769219, 49.036170
0.995958, 45.875508, 50.813636, 49.433061
0.995570, 45.171894, 50.574405, 49.097256
0.995654, 45.405393, 50.653148, 49.053745
0.995622, 45.199685, 50.695853, 49.104727
0.996102, 45.745254, 50.698914, 49.302240
0.995737, 45.322174, 50.679894, 49.208304
0.995792, 45.414487, 50.614537, 49.153900
0.995765, 45.154176, 50.621825, 49.082510
0.996107, 45.637048, 50.795830, 49.144417
0.995677, 45.122512, 50.715096, 48.985364
0.995885, 45.392323, 50.637496, 48.906880
0.995520, 45.008389, 50.616865, 48.938307
0.995862, 45.432561, 50.643085, 49.038311
0.995094, 44.823740, 50.309707, 48.708980
0.995486, 45.236901, 50.542978, 48.970530
0.995381, 45.041944, 50.517500, 48.855001
0.995381, 45.115876, 50.379769, 48.956874
0.994923, 44.600018, 50.381690, 48.913370
