ms-ssim, psnr-y, psnr-u, psnr-v
0.997750, 45.305548, 48.956618, 46.917994
0.997216, 44.472538, 48.932034, 46.885168
0.997170, 44.189195, 48.757224, 46.750058
0.997158, 44.800151, 48.657532, 46.902987
0.996903, 44.405475, 48.696700, 46.806203
0.995576, 44.132101, 47.696276, 44.966243
0.996601, 45.340636, 48.487797, 45.877923
0.996295, 44.961031, 48.759722, 45.994921
0.998620, 47.823663, 51.383630, 49.256034
0.998675, 47.878807, 51.386768, 49.288000
0.998676, 47.875069, 51.352285, 49.281091
0.998672, 47.870956, 51.310400, 49.249395
0.998669, 47.860789, 51.288424, 49.239263
0.998674, 47.873721, 51.234745, 49.212651
0.998673, 47.870217, 51.249493, 49.200870
0.998672, 47.858499, 51.200327, 49.183824
0.998683, 48.317938, 51.309078, 49.333432
0.998002, 47.070005, 49.031110, 47.413399
0.998041, 48.588308, 49.480853, 48.243845
0.998253, 50.175446, 50.836253, 49.415366
0.998188, 49.155697, 49.737169, 48.185046
0.998779, 48.393587, 51.566777, 49.674862
0.998789, 48.404022, 51.571641, 49.701734
0.998797, 48.413668, 51.549330, 49.709102
0.998767, 48.374719, 51.536685, 49.681276
0.998803, 48.426612, 51.564720, 49.691280
0.998773, 48.199445, 51.520006, 49.648696
0.998405, 48.066089, 51.253492, 49.390091
0.998654, 48.568166, 51.973791, 50.028352
0.998669, 48.596827, 51.812352, 49.901262
0.998548, 49.557882, 52.093496, 49.889683
0.998553, 49.917762, 52.867194, 51.222206
0.998572, 48.367217, 52.325435, 50.641196
0.998576, 48.358332, 52.447939, 50.743620
0.998610, 48.175563, 52.436160, 50.590204
0.998576, 48.713933, 52.495377, 50.661337
0.998596, 48.725229, 52.518011, 50.666121
0.998461, 50.167988, 50.069414, 49.356524
0.998805, 53.050345, 52.614266, 51.873921
0.998964, 53.124880, 54.893462, 53.253676
0.998606, 52.115213, 54.114774, 52.541115
0.998610, 52.083824, 54.218711, 52.414174
0.998542, 51.789880, 53.966068, 52.167043
0.998772, 52.200718, 54.187661, 52.304777
0.998617, 51.809311, 53.991318, 52.254106
0.998593, 51.653121, 53.874932, 52.140184
0.998526, 51.474100, 53.835033, 52.074436
0.998440, 51.654338, 53.439139, 51.468156
0.998459, 51.647380, 53.440866, 51.490604
0.998623, 51.723421, 53.531326, 51.596419
0.998629, 51.079500, 52.967731, 50.858592
0.999102, 51.516216, 53.528828, 51.259846
0.998980, 50.018622, 53.494595, 51.633094
