ms-ssim, psnr-y, psnr-u, psnr-v
0.997727, 38.467871, 47.434286, 46.710582
0.997425, 37.955529, 47.968962, 47.354026
0.997291, 37.898501, 48.068365, 47.535892
0.997140, 37.676313, 48.002489, 47.547252
0.997213, 37.902124, 47.620145, 47.067997
0.997300, 37.645055, 47.457705, 47.103545
0.997329, 37.675404, 47.456798, 46.933310
0.997315, 37.677730, 47.409844, 46.865522
0.997448, 37.911862, 47.309252, 46.691707
0.997309, 37.568480, 47.458213, 46.805516
0.997349, 37.602472, 47.531755, 46.868911
0.997294, 37.496545, 47.400592, 46.845932
0.997494, 37.808927, 47.393398, 46.715351
0.997138, 37.026596, 47.394185, 46.814427
0.996895, 36.473101, 47.291401, 46.606267
0.996806, 36.377371, 47.169848, 46.640260
0.996443, 35.737543, 46.967346, 46.343667
0.996754, 36.225404, 46.904329, 46.371615
0.996629, 35.967098, 46.805266, 46.138079
0.996745, 36.199810, 46.695817, 46.077728
0.996768, 36.383021, 46.610655, 45.796354
0.996909, 36.512731, 46.615166, 45.936130
0.996840, 36.395413, 46.606715, 45.929028
0.996942, 36.560325, 46.571798, 45.971428
0.997219, 37.119901, 46.446448, 45.773760
0.997291, 37.090612, 46.865553, 46.372972
0.997335, 37.066928, 46.886696, 46.340636
0.997423, 37.350519, 46.955044, 46.434359
0.997759, 37.986556, 46.821443, 46.217710
0.997374, 37.855989, 47.429668, 46.927974
0.997657, 37.687674, 47.524562, 46.996328
0.997488, 37.950482, 47.405466, 46.884977
0.998008, 38.348852, 47.248094, 46.687541
0.997869, 38.097692, 47.731348, 47.178620
0.997955, 38.263490, 47.620974, 47.229941
0.997905, 38.141176, 47.330347, 47.012546
0.998085, 38.433453, 47.349139, 46.900752
0.997987, 38.277008, 47.585582, 47.327846
0.997822, 38.230365, 47.529799, 47.101070
0.997824, 38.272455, 47.629914, 47.378761
0.997963, 38.459910, 47.506026, 47.177871
0.997873, 38.306953, 47.660610, 47.411387
0.997866, 38.248350, 47.643378, 47.365701
0.997833, 38.142346, 47.578411, 47.252003
0.997978, 38.361378, 47.455745, 47.083020
0.997856, 38.246819, 47.669061, 47.387930
0.997808, 38.090633, 47.699460, 47.346980
0.997731, 38.204120, 47.567826, 47.260943
0.997809, 38.380940, 47.493090, 47.149955
0.997751, 38.129218, 47.530537, 47.226498
0.997601, 37.857025, 47.234006, 46.774178
0.997706, 38.046850, 47.442958, 47.055871
0.997899, 38.344199, 47.398229, 47.113256
0.997764, 38.028309, 47.608706, 47.190651
0.997811, 38.057675, 47.637171, 47.265351
0.997827, 38.096511, 47.483112, 47.185773
0.997985, 38.328327, 47.387823, 47.043118
0.997897, 38.149140, 47.608894, 47.307183
0.997926, 38.259360, 47.731039, 47.357713
0.997858, 38.106359, 47.632029, 47.290667
0.998045, 38.336360, 47.632785, 47.242115
0.997883, 38.092732, 47.812188, 47.477749
0.997901, 38.098651, 47.670051, 47.336343
0.997874, 38.118999, 47.743154, 47.470900
0.998059, 38.395362, 47.585021, 47.255674
0.997849, 38.105214, 47.622368, 47.257857
0.997866, 38.058966, 47.555967, 47.190924
0.997894, 38.046824, 47.632861, 47.370607
0.998093, 38.359602, 47.695471, 47.357288
0.997903, 38.070017, 47.691639, 47.450235
0.997877, 37.994580, 47.567566, 47.153439
0.997930, 38.135670, 47.720847, 47.432517
0.998141, 38.371532, 47.672110, 47.314376
0.997985, 38.149939, 47.924120, 47.639024
0.997969, 38.127831, 47.834218, 47.365701
0.997938, 38.194413, 47.912579, 47.581883
