ms-ssim, psnr-y, psnr-u, psnr-v
0.996347, 44.656508, 49.152052, 48.826757
0.995796, 44.072408, 49.092959, 48.783518
0.995437, 43.552037, 48.014380, 47.657734
0.995556, 43.075255, 47.640105, 47.056834
0.994228, 41.581626, 46.858490, 46.432978
0.993907, 41.586222, 46.756985, 45.966785
0.994556, 41.764730, 46.604722, 45.811758
0.995099, 42.838504, 46.910637, 46.274413
0.994166, 40.484043, 46.682130, 45.800324
0.994725, 41.877966, 46.449457, 45.705607
0.994065, 42.556258, 46.591518, 46.170031
0.994608, 42.848761, 46.614257, 46.268725
0.990594, 40.513610, 46.079507, 45.191512
0.988882, 38.758084, 45.546110, 44.924888
0.990174, 39.580574, 45.495974, 44.942945
0.996397, 42.603357, 47.864996, 47.440318
0.994339, 40.472802, 47.095290, 46.579777
0.987409, 36.282878, 44.426627, 43.352560
0.995583, 41.537108, 46.832006, 46.258547
0.985112, 36.465391, 43.655596, 42.897653
0.987362, 37.960643, 44.111976, 43.570862
0.988017, 38.099673, 44.094297, 43.530371
0.994931, 41.075531, 46.678081, 46.190227
0.982977, 36.532814, 43.070959, 42.366000
0.987736, 37.681053, 43.248278, 42.935896
0.995281, 41.236024, 46.582996, 46.089180
0.993634, 40.237546, 46.582600, 46.109512
0.985116, 37.284286, 43.573402, 42.787187
0.985949, 38.542948, 43.452828, 43.190690
0.984982, 37.543484, 43.753463, 43.257762
0.985218, 37.730399, 45.000457, 44.044739
0.985869, 37.809042, 44.922573, 43.948402
0.979886, 35.850187, 43.468965, 42.823055
0.983678, 37.314244, 43.194620, 42.558986
0.984289, 36.185115, 42.795346, 42.237966
0.983715, 36.995101, 43.779491, 43.173313
0.984087, 37.026077, 43.690925, 43.125625
0.979041, 34.120956, 42.207966, 41.661115
0.982679, 35.959364, 42.934420, 42.379066
0.983499, 36.897916, 43.280827, 42.902129
0.993614, 40.521560, 45.910530, 45.639107
0.993050, 39.984009, 46.082023, 45.818372
0.985626, 39.579666, 44.150552, 44.331881
0.982515, 37.605795, 43.567321, 43.113230
0.982204, 37.706061, 43.625079, 43.088668
0.993309, 42.067578, 46.214251, 46.070056
0.992461, 41.372799, 46.288364, 46.217053
0.983552, 36.779547, 43.202085, 43.250440
0.982790, 35.919942, 43.906233, 43.307621
0.980476, 34.740551, 43.231487, 42.752837
0.979396, 35.341893, 43.521851, 42.850921
0.985287, 36.998452, 43.353482, 43.008746
0.987379, 38.827507, 43.728575, 43.653122
0.985850, 36.663844, 44.502663, 43.729895
0.987331, 36.716742, 43.569609, 43.202297
0.986462, 38.351421, 44.756324, 43.974087
0.984521, 36.185197, 43.991203, 43.185773
0.993139, 39.570674, 46.165796, 45.725809
0.981825, 35.339609, 42.877447, 42.555946
0.982214, 36.520741, 42.666229, 42.581645
0.982593, 38.107870, 44.149248, 43.702142
0.982331, 35.913118, 43.281475, 43.235833
0.982591, 35.814808, 43.135371, 43.179469
0.983075, 35.867765, 43.159983, 43.318238
0.983945, 36.202290, 43.309875, 43.041726
0.984687, 35.024946, 44.113927, 43.533980
0.979474, 36.503492, 43.356256, 42.839016
0.992586, 42.123461, 46.918957, 46.749998
0.992132, 41.880477, 47.308764, 47.057673
0.986616, 38.158073, 44.611065, 44.546514
0.984956, 37.315314, 44.988875, 44.296195
0.990657, 40.612112, 45.606835, 46.058788
0.985669, 38.344309, 43.876683, 44.213154
0.986504, 38.612837, 43.917464, 44.225523
0.983967, 35.287307, 43.788845, 43.258892
0.986825, 37.579639, 43.053878, 43.190696
0.987802, 39.110514, 43.716027, 43.659856
0.993496, 40.495786, 45.637036, 45.699605
0.992528, 39.979537, 45.526166, 45.469134
0.983204, 35.093956, 43.398298, 43.224465
0.980032, 36.313783, 43.394762, 42.768919
0.984948, 37.527459, 43.657843, 43.383672
0.993036, 38.147845, 45.805508, 45.630343
0.982801, 34.601691, 43.651717, 42.951632
0.985620, 35.864257, 43.409381, 42.998824
0.989685, 40.351888, 44.641741, 44.489033
0.987925, 39.691874, 44.331465, 43.853678
0.991346, 38.443413, 45.278201, 44.953180
0.989955, 37.952102, 45.273278, 44.970618
0.982019, 37.102439, 43.348691, 42.735632
0.988230, 39.229626, 43.949338, 43.704591
0.986302, 37.726546, 43.872537, 43.327664
0.991732, 39.089157, 46.042722, 45.333269
0.984182, 35.967334, 45.225579, 44.213751
0.983989, 39.487901, 43.931225, 43.518885
0.985123, 40.210985, 44.537300, 43.994649
0.981490, 35.650207, 43.413323, 42.620361
0.993087, 41.092931, 46.323158, 45.865565
0.993123, 41.114336, 46.318374, 45.859729
0.993781, 39.482805, 45.142282, 44.901982
0.989535, 36.985997, 44.423230, 43.970918
0.984247, 36.818178, 43.753773, 43.229450
0.994349, 42.613830, 46.397853, 46.180183
0.994081, 42.341513, 46.545346, 46.264369
0.988200, 39.633838, 44.912041, 44.387132
0.987336, 38.858262, 43.641199, 43.326991
0.988804, 42.625390, 45.609693, 45.050582
0.997505, 49.604523, 50.588721, 51.485314
0.996307, 47.560486, 48.687134, 50.772445
0.997797, 50.830773, 50.372096, 52.114353
0.998434, 51.864157, 51.090729, 53.616684
0.998819, 53.840546, 51.350871, 56.042501
0.998979, 53.648600, 51.449307, 55.970726
0.999144, 54.711785, 53.192872, 56.669658
0.998683, 53.110577, 50.409682, 55.819002
0.996552, 46.876393, 48.523045, 50.136411
0.995540, 46.519656, 48.772338, 49.685617
0.995021, 45.113965, 48.595610, 49.268272
0.994229, 43.963084, 48.456587, 48.980132
0.993299, 44.021805, 48.324360, 48.721421
0.992625, 42.713845, 47.842536, 48.186807
0.992532, 44.311853, 48.301126, 48.871504
0.991501, 41.830251, 47.499585, 47.614573
0.989969, 40.122563, 46.681577, 46.818441
0.989788, 41.539378, 46.887457, 47.088805
0.989978, 40.990540, 46.680726, 46.905161
0.989858, 41.782461, 46.859531, 47.514509
0.990044, 41.767501, 46.686399, 47.352395
0.990853, 42.508193, 46.188492, 47.125602
0.990499, 41.940649, 46.114415, 46.585056
0.991012, 42.474516, 46.819055, 46.945145
0.990219, 41.584060, 46.118836, 45.874413
0.993576, 42.838056, 47.007902, 46.706056
0.989096, 40.744870, 45.026378, 44.384450
0.989251, 41.958862, 45.659407, 44.250282
0.993283, 43.980144, 46.528253, 45.480444
0.989740, 42.182712, 45.543575, 44.187100
0.993389, 43.782840, 47.440399, 46.136461
0.992007, 43.622771, 47.346097, 45.758882
0.995722, 45.530600, 48.770241, 47.834676
0.994464, 44.481418, 48.514698, 46.937262
0.995906, 44.465782, 49.092911, 47.685699
0.994384, 43.078197, 47.856794, 46.961963
0.994926, 43.563941, 47.499944, 46.989761
0.991711, 41.138072, 46.428148, 45.462990
0.989824, 40.589864, 45.665578, 45.150275
0.988307, 38.811679, 45.413295, 44.985064
0.988915, 39.806340, 45.594677, 45.319069
0.989440, 39.998723, 45.614759, 45.243149
0.989482, 40.919042, 45.852896, 45.870771
0.993601, 42.258229, 47.150709, 46.988833
0.993123, 41.829555, 47.250320, 47.129043
0.989198, 40.832505, 45.598084, 45.549813
0.989646, 40.518457, 45.669587, 45.433222
0.988187, 40.221353, 45.328006, 45.189329
