ms-ssim, psnr-y, psnr-u, psnr-v
0.997204, 44.067666, 47.263252, 46.243862
0.996115, 42.799228, 45.809637, 45.026950
0.997203, 43.983108, 46.843272, 46.034862
0.996108, 42.653603, 45.901946, 44.935595
0.996855, 43.370223, 46.401383, 45.430681
0.995920, 42.433768, 45.807252, 44.555268
0.996799, 43.100094, 46.398359, 45.322760
0.996530, 42.915657, 46.182253, 45.138836
0.996509, 43.054141, 46.390915, 45.260303
0.996494, 43.195977, 46.546786, 45.391131
0.996543, 43.238868, 46.421314, 45.403617
0.996483, 43.159813, 46.353473, 45.320509
0.993464, 40.569536, 44.558149, 43.464611
0.990854, 39.161863, 43.109764, 42.123111
0.985331, 37.462972, 42.079667, 41.129715
0.990506, 39.180535, 42.980216, 42.049998
0.990326, 38.970614, 42.990234, 42.052160
0.989984, 38.913078, 42.995506, 42.074962
0.991211, 39.322312, 43.265650, 42.330543
0.991282, 39.426655, 43.428145, 42.464506
0.990006, 38.960744, 43.094469, 42.350633
0.991112, 39.423571, 43.307106, 42.412250
0.991440, 39.736880, 43.415340, 42.670649
0.988410, 38.796746, 43.045553, 42.068894
0.987964, 38.510421, 42.910359, 42.089819
0.992093, 39.615729, 43.453470, 42.801624
0.987856, 37.968636, 42.496688, 41.582327
0.991557, 39.297756, 43.099437, 42.326043
0.989075, 38.122569, 42.407514, 41.491199
0.989447, 38.361504, 42.248797, 41.110850
0.989989, 38.196854, 42.347023, 41.180538
0.991935, 38.955738, 42.866620, 41.710252
0.990153, 38.177588, 41.457308, 41.342144
0.990688, 38.495223, 41.872898, 41.360551
0.989625, 38.082237, 42.109671, 41.324490
0.991322, 38.506240, 42.249673, 41.573247
0.988003, 37.915038, 42.150668, 41.201937
0.988860, 38.433084, 42.399412, 41.523174
0.988541, 38.439769, 42.460463, 41.842269
0.992433, 39.991095, 43.434156, 42.741830
0.990340, 39.309500, 43.119188, 42.276960
0.991922, 39.931108, 43.331533, 42.553560
0.992323, 40.154560, 43.592141, 42.988065
0.991154, 39.948248, 43.514383, 42.699445
0.991269, 40.080678, 43.470015, 42.606403
0.990637, 39.680564, 43.473762, 42.557492
0.991019, 39.590001, 43.462790, 42.649715
0.991917, 41.479531, 44.001432, 43.570822
0.993199, 42.150690, 44.397987, 44.070231
0.992832, 41.879120, 44.309343, 43.586636
0.992805, 41.138821, 43.979461, 43.193053
0.989372, 39.418472, 43.192781, 42.206352
0.990668, 40.259915, 43.371930, 42.563618
0.990721, 40.404953, 43.900408, 43.126483
0.993564, 42.153410, 44.692223, 44.105145
0.992419, 41.740262, 44.443457, 43.861105
0.992333, 41.469836, 44.640964, 43.882930
0.993673, 42.378319, 45.251883, 44.397014
0.992412, 41.705423, 44.889141, 43.909527
0.992048, 41.644668, 44.617792, 43.880081
0.991375, 41.207270, 44.257400, 43.539963
0.993894, 42.549739, 44.880116, 44.485017
0.991521, 41.643910, 44.317702, 43.840245
0.991262, 41.368466, 44.266464, 44.001643
0.994391, 42.985838, 44.989817, 44.820540
0.992087, 41.528273, 44.440369, 43.888966
0.992629, 41.941568, 44.599405, 44.116245
0.991770, 41.455348, 44.490271, 44.189473
0.993980, 42.065514, 45.040679, 44.881427
0.991526, 40.847628, 44.288142, 44.038424
0.991126, 40.414502, 44.195234, 43.884993
0.994489, 41.765314, 45.052455, 44.867961
0.994144, 41.689737, 44.997799, 44.919557
0.991373, 40.553205, 44.654903, 44.191770
0.992891, 41.504352, 44.976531, 44.338567
0.993006, 41.356129, 45.062739, 44.339787
0.994433, 42.369609, 45.542962, 44.935857
0.992838, 41.438964, 45.069170, 44.467458
0.992661, 41.509133, 45.120673, 44.305513
0.992544, 41.302037, 45.012723, 44.253809
0.993714, 41.982348, 45.427342, 44.629434
0.993314, 41.581966, 45.226979, 44.272949
0.993412, 41.657627, 45.011160, 44.104474
0.992524, 40.934401, 44.860542, 43.551426
0.993601, 41.627670, 45.074501, 44.109773
0.990062, 40.337919, 43.960356, 43.342572
0.993361, 41.470453, 44.675203, 44.106197
0.993374, 41.295767, 44.273725, 43.887256
0.993540, 41.141940, 44.262904, 43.938922
0.993570, 41.138601, 44.146151, 44.202064
0.992107, 40.229590, 43.666028, 43.659398
0.992665, 40.332719, 43.544346, 43.568607
0.992098, 40.017869, 43.482828, 43.559531
0.993587, 40.768489, 44.079788, 44.121049
0.992203, 40.090575, 43.590988, 43.533614
0.990924, 39.821434, 43.299415, 43.214615
0.993913, 41.257799, 44.238012, 44.177092
0.990661, 40.048217, 43.708933, 43.306665
0.992411, 41.110209, 44.078750, 43.279297
0.992035, 40.822344, 44.071623, 43.252824
0.993923, 42.032882, 44.716201, 44.008955
0.991479, 40.955069, 44.274113, 43.280327
0.992030, 41.248967, 44.324797, 43.369328
0.992276, 41.113633, 44.396120, 43.321475
0.993860, 41.842537, 44.934918, 44.020177
0.992118, 41.008074, 44.548629, 43.628373
0.992350, 41.062978, 44.318187, 43.498732
0.990931, 40.421455, 43.793251, 43.068420
0.993374, 41.514441, 44.409766, 43.922168
0.989896, 40.208134, 43.562901, 43.253272
0.991678, 41.040997, 43.926354, 43.461375
0.990628, 40.647051, 43.828448, 43.401247
0.993359, 41.765509, 44.476931, 44.100105
0.991418, 41.003553, 44.289644, 43.937199
0.992469, 41.651629, 44.472505, 44.144661
0.992196, 41.375831, 44.283577, 44.124487
0.993049, 41.848147, 44.496863, 44.299541
0.991005, 41.122795, 44.188279, 44.100806
0.992510, 41.727117, 44.563692, 44.508562
0.993117, 42.170909, 44.770065, 44.474226
0.993314, 42.601116, 44.743257, 44.635364
0.995405, 44.183817, 46.240726, 46.132866
0.990859, 41.581450, 44.174014, 44.087939
0.992689, 42.497595, 44.754920, 44.719671
0.991539, 41.815633, 44.442207, 44.325205
0.993618, 42.841777, 45.085098, 44.970354
0.991350, 41.933799, 44.474632, 44.223116
0.991926, 42.250764, 44.468025, 44.395769
0.991525, 42.076867, 44.352136, 44.351638
0.993336, 43.040226, 45.138448, 45.050340
0.991680, 42.238774, 44.691122, 44.571990
