ms-ssim, psnr-y, psnr-u, psnr-v
0.998069, 43.715173, 48.251927, 48.584945
0.997231, 42.038610, 47.138348, 47.462742
0.997446, 42.118435, 47.400864, 47.415963
0.997122, 41.446803, 46.819528, 47.056289
0.997600, 41.773258, 47.298310, 47.487459
0.997191, 41.092393, 46.582970, 46.812524
0.997278, 41.775580, 46.987993, 47.053773
0.996813, 41.533602, 46.554843, 46.719451
0.997358, 42.743367, 47.491150, 47.525235
0.996684, 41.978981, 46.501694, 46.831545
0.996220, 41.465218, 46.144734, 46.377526
0.996931, 42.281936, 46.894938, 46.945145
0.995501, 40.536383, 45.443779, 46.089356
0.994013, 39.281234, 44.607839, 45.315223
0.994906, 39.543571, 44.853579, 45.243236
0.993686, 38.187571, 43.899419, 44.651628
0.993558, 37.802372, 43.866863, 44.601972
0.995136, 38.798863, 44.481607, 44.949835
0.994916, 38.248017, 44.141244, 44.955756
0.994213, 37.725629, 43.900501, 44.738524
0.994757, 38.389338, 44.045526, 44.921816
0.994292, 37.922950, 43.642640, 44.788649
0.995443, 39.013562, 44.500963, 45.379140
0.994585, 38.216888, 43.969667, 45.239999
0.995097, 38.637866, 44.337205, 45.461583
0.994290, 37.873134, 44.182837, 45.138400
0.995415, 38.526406, 44.737506, 45.597442
0.994470, 37.217044, 43.956173, 45.174789
0.994520, 37.228581, 43.797780, 44.930766
0.993509, 36.583725, 43.479971, 44.749733
0.993846, 36.767218, 43.395535, 44.489823
0.992534, 36.323780, 43.247384, 44.584943
0.993456, 36.959737, 43.318350, 44.785062
0.992813, 36.766502, 43.321581, 44.651374
0.993812, 37.693300, 43.583308, 44.828093
0.992574, 36.993728, 43.149799, 44.663870
0.993059, 37.347355, 43.279020, 44.652830
0.992450, 37.079877, 43.313709, 44.638948
0.994384, 38.529005, 44.114263, 45.017083
0.992945, 37.711213, 43.759825, 44.549265
0.992385, 37.161778, 43.641561, 44.731694
0.994430, 38.228991, 44.159222, 45.128135
0.992341, 36.677418, 43.429933, 44.891500
0.992455, 36.548754, 43.255173, 44.619572
0.991521, 36.036064, 43.098064, 44.478890
0.992057, 36.550165, 43.253499, 44.538338
0.990514, 35.856225, 42.826472, 44.315070
0.991303, 36.512713, 43.366533, 44.600316
0.991139, 36.464350, 43.345032, 44.625177
0.992791, 37.389033, 43.942528, 44.959024
0.991740, 36.370325, 43.315873, 44.580196
0.992303, 36.685704, 43.515145, 44.748539
0.991775, 36.392787, 43.267926, 44.634083
0.992601, 36.870628, 43.588086, 44.675135
0.991605, 36.313449, 43.259045, 44.401156
0.991944, 36.425221, 43.250220, 44.498945
0.990830, 36.053457, 43.082580, 44.440563
0.991513, 36.315555, 43.247684, 44.255044
0.989692, 35.578725, 42.830297, 44.306162
0.990621, 35.922714, 42.729046, 44.069898
0.989874, 36.010455, 42.868241, 44.374945
0.992111, 36.914647, 43.161825, 44.499574
0.991116, 36.379256, 42.900823, 44.281767
0.991489, 36.464030, 43.331533, 44.719912
0.993397, 37.370698, 43.786487, 44.920322
0.992431, 36.649122, 43.405512, 44.782594
0.992692, 36.439515, 43.268664, 44.650892
0.993480, 36.796647, 43.620532, 44.841241
0.992830, 36.389556, 43.404394, 44.890749
0.993473, 36.635395, 43.722553, 45.102521
0.993323, 36.433556, 43.604229, 44.600701
0.994168, 36.946679, 43.820064, 44.896376
0.993408, 36.467664, 43.395668, 44.624891
0.993853, 36.806064, 43.602614, 44.929855
0.993311, 36.652276, 43.641105, 44.745789
0.994348, 37.400902, 44.283671, 45.125917
0.992892, 36.886736, 44.074837, 44.900826
0.993598, 37.474069, 44.284728, 44.887389
0.993412, 37.287280, 44.062210, 44.797048
0.994415, 38.238943, 44.882016, 45.378250
0.993724, 37.743783, 44.502010, 45.219355
0.994139, 37.946788, 44.784582, 45.343952
0.993799, 37.669265, 44.282039, 44.961604
0.994368, 37.970746, 44.838679, 45.386529
0.993386, 37.208047, 44.213950, 45.006338
0.993340, 37.311045, 44.261497, 45.030780
0.992994, 37.029832, 43.920416, 45.017616
0.993917, 37.705333, 44.600676, 45.232227
0.991825, 36.533692, 43.483991, 44.707417
0.991790, 36.532248, 43.510289, 44.682857
0.991021, 36.210233, 43.294454, 44.487965
0.991951, 36.688687, 43.613712, 44.690072
0.991140, 36.453238, 43.424451, 44.867481
0.991685, 36.748446, 43.326879, 44.553795
0.991484, 36.923128, 43.618731, 45.016392
0.993280, 37.749692, 43.949971, 44.898121
0.992104, 37.072070, 43.657810, 45.078774
0.992462, 37.126314, 43.536224, 44.732659
0.992236, 37.003660, 43.488688, 45.180939
0.993456, 37.399001, 43.744316, 44.774266
0.992306, 36.703334, 43.545284, 45.005374
0.992421, 36.549170, 43.179102, 44.567316
0.991855, 36.416211, 43.155191, 44.974762
0.992963, 36.915545, 43.509340, 44.833436
0.991721, 36.316500, 43.100337, 44.752166
0.991862, 36.300881, 42.905292, 44.715282
0.991611, 36.306512, 43.203012, 44.925014
0.993006, 36.938449, 43.624518, 44.953207
0.991853, 36.471153, 43.455635, 45.165828
0.992329, 36.583600, 43.208616, 44.779465
0.992021, 36.593281, 43.564409, 45.307226
0.993167, 37.187994, 43.612786, 45.154918
0.992316, 36.728860, 43.636863, 45.434681
0.992558, 36.755720, 43.406903, 44.998468
0.992444, 36.831058, 44.024474, 45.486992
0.993589, 37.270738, 44.052625, 45.160612
0.992951, 36.930318, 44.122637, 45.670550
0.993218, 36.976746, 43.702482, 45.162448
0.992929, 36.892909, 44.043128, 45.460003
0.994154, 37.483547, 44.140439, 45.389185
0.993245, 36.955894, 43.835496, 45.212419
0.993450, 36.888483, 43.880287, 45.191311
0.993335, 36.861748, 43.524011, 45.088493
0.994164, 37.358369, 44.073148, 45.223243
0.993646, 36.990053, 43.772693, 45.289513
0.994263, 37.097271, 43.623696, 45.221159
0.993901, 37.079051, 43.754309, 45.414747
0.994821, 37.697044, 44.223384, 45.422621
0.993649, 36.913447, 43.667444, 45.130420
