ms-ssim, psnr-y, psnr-u, psnr-v
0.997269, 44.839396, 53.847431, 51.474545
0.997270, 44.842094, 53.733701, 51.460600
0.996904, 44.235233, 53.249411, 50.884190
0.996904, 44.235786, 53.233866, 50.881979
0.996895, 44.230012, 53.228552, 50.873779
0.997005, 44.397043, 52.975213, 50.947312
0.997010, 44.406582, 52.968981, 50.948338
0.997007, 44.398571, 52.961229, 50.944493
0.996986, 44.346050, 52.952473, 50.921367
0.996796, 44.356124, 53.049561, 50.806804
0.996779, 44.347855, 53.020020, 50.799921
0.996797, 44.345738, 53.034713, 50.806556
0.996909, 44.351886, 52.983297, 50.823965
0.996895, 44.345423, 52.981147, 50.838818
0.996899, 44.346607, 52.977054, 50.852280
0.996091, 43.512978, 52.938866, 50.757687
0.996100, 43.523655, 52.893479, 50.760080
0.996065, 43.518148, 52.922270, 50.787733
0.996876, 44.316133, 52.837653, 50.763028
0.996873, 44.310397, 52.872460, 50.759958
0.996880, 44.316940, 52.860794, 50.790205
0.997376, 45.041859, 53.385359, 51.362880
0.997371, 45.043188, 53.392331, 51.371847
0.997388, 45.056739, 53.398075, 51.382816
0.997974, 45.716994, 53.442250, 51.605087
0.997966, 45.700586, 53.473327, 51.636373
0.997972, 45.707572, 53.476883, 51.643139
0.998281, 46.203216, 53.826236, 52.001249
0.998282, 46.191553, 53.826111, 52.011228
0.998287, 46.206405, 53.847181, 52.023118
0.998281, 46.206475, 53.833954, 52.038253
0.998433, 46.420314, 54.003036, 52.277154
0.998434, 46.417795, 54.015880, 52.285607
0.998429, 46.387150, 54.028761, 52.286915
0.998414, 46.347775, 54.039590, 52.464029
0.998414, 46.360646, 54.038154, 52.473947
0.998412, 46.367228, 54.038807, 52.462030
0.998289, 46.336931, 54.299746, 52.633904
0.998289, 46.332809, 54.306825, 52.633809
0.998286, 46.334082, 54.309743, 52.635133
0.998528, 46.495011, 54.526219, 52.718460
0.998538, 46.499601, 54.533093, 52.738358
0.998525, 46.487355, 54.520087, 52.738455
0.998408, 46.390139, 54.686972, 52.760390
0.998405, 46.393019, 54.691675, 52.764966
0.998391, 46.398806, 54.663230, 52.766915
0.998536, 46.521141, 54.935823, 52.914702
0.998558, 46.539448, 54.929245, 52.944953
0.998555, 46.526505, 54.912602, 52.932281
0.998462, 46.353524, 54.981993, 53.039484
0.998461, 46.351522, 54.970323, 53.045506
0.998488, 46.370494, 54.982317, 53.037617
0.998485, 46.351143, 54.989464, 53.018574
0.998232, 46.303844, 55.054985, 53.131558
0.998248, 46.327208, 55.041637, 53.146528
0.998665, 46.956390, 55.260982, 53.395483
0.998667, 46.949402, 55.253719, 53.415691
0.998654, 46.946135, 55.266350, 53.433833
0.998639, 46.922438, 55.249747, 53.441794
0.998473, 46.707810, 55.225820, 53.566979
0.998488, 46.712201, 55.217588, 53.560306
0.998478, 46.706874, 55.223246, 53.557265
0.998521, 46.659422, 55.496927, 53.056743
0.998524, 46.659064, 55.477420, 53.109463
0.998521, 46.646873, 55.450400, 53.102509
0.998594, 46.843363, 55.783163, 53.622043
0.998596, 46.841999, 55.813914, 53.630119
0.998594, 46.838682, 55.816273, 53.552125
0.998553, 46.803214, 55.960638, 53.543260
0.998554, 46.803572, 55.966741, 53.552709
0.998581, 46.829763, 55.968167, 53.550607
0.998577, 46.802436, 55.947848, 53.530693
0.998667, 46.996148, 56.029287, 53.784770
0.998671, 47.004136, 56.006831, 53.784770
0.998671, 47.026043, 55.994724, 53.729807
0.998692, 47.077069, 56.017324, 53.809106
0.998692, 47.077049, 55.995749, 53.800196
0.998691, 47.068565, 55.981834, 53.770135
0.998651, 47.015669, 55.941771, 53.685392
0.998652, 47.014327, 55.942581, 53.688162
0.998669, 47.035407, 55.941366, 53.710145
0.998653, 46.995961, 55.911110, 53.661019
0.998742, 47.168397, 55.789999, 53.765717
0.998748, 47.183580, 55.787654, 53.774311
0.998747, 47.181082, 55.753792, 53.752613
0.998804, 47.326965, 55.698317, 53.731023
0.998804, 47.322811, 55.688567, 53.731266
0.998803, 47.314556, 55.673317, 53.703369
0.998709, 47.330970, 55.590010, 53.614692
0.998708, 47.331158, 55.590570, 53.606053
0.998707, 47.318716, 55.604221, 53.604044
0.998970, 47.654292, 55.838751, 53.902014
0.998967, 47.662250, 55.856182, 53.918117
0.998942, 47.623525, 55.836972, 53.793525
