ms-ssim, psnr-y, psnr-u, psnr-v
0.997126, 43.962131, 51.962649, 52.357541
0.997135, 44.073161, 52.065012, 52.336292
0.997068, 44.072602, 52.059699, 52.325632
0.996889, 43.654019, 51.936672, 52.252905
0.996832, 43.691088, 51.877224, 52.152205
0.997084, 44.118192, 51.882676, 52.190630
0.996905, 43.767940, 51.839381, 52.118930
0.996990, 43.955258, 51.886568, 52.146452
0.996876, 43.875584, 51.814701, 52.087643
0.996929, 43.902901, 51.787273, 52.169177
0.996958, 43.926606, 51.837168, 52.193752
0.996893, 43.941633, 51.686691, 52.050486
0.996824, 43.830537, 51.640897, 51.995753
0.996836, 44.006958, 51.625317, 52.019271
0.996565, 43.591376, 51.602324, 51.983332
0.996581, 43.608577, 51.542371, 51.996671
0.996326, 43.259150, 51.468168, 51.877894
0.996704, 43.753050, 51.609793, 52.029481
0.996699, 43.642253, 51.614961, 52.007013
0.996728, 43.805065, 51.597087, 51.957915
0.996689, 43.745116, 51.584293, 51.884018
0.997183, 44.194718, 51.977067, 52.316580
0.997179, 44.292814, 51.983653, 52.329100
0.997364, 44.592316, 52.012953, 52.393910
0.997433, 44.447456, 52.036611, 52.372183
0.997672, 44.382893, 52.432819, 52.730324
0.997911, 45.072727, 52.674962, 52.991949
0.997986, 45.349999, 52.664510, 53.011216
0.997928, 45.094990, 52.641815, 52.980302
0.997989, 45.004266, 52.704256, 53.023760
0.998041, 44.958631, 52.823783, 53.105714
0.998150, 45.153697, 52.833680, 53.212993
0.998361, 45.572579, 52.982088, 53.324921
0.998206, 45.087550, 52.994663, 53.345727
0.998217, 45.161427, 52.983297, 53.331596
0.998228, 45.156863, 53.004784, 53.316701
0.998363, 45.533685, 53.009419, 53.411231
0.998291, 45.382375, 52.958994, 53.310857
0.998207, 45.211216, 52.983240, 53.312845
0.998208, 45.261396, 52.973399, 53.271828
0.998287, 45.484093, 52.957848, 53.260144
0.998300, 45.451853, 52.936535, 53.273799
0.998216, 45.283423, 52.897325, 53.219802
0.998136, 45.128147, 52.919979, 53.173024
0.998072, 44.979269, 52.912774, 53.096065
0.998102, 45.116015, 52.803945, 53.047377
0.997985, 44.958790, 52.768157, 53.037215
0.997858, 44.728818, 52.773918, 52.987909
0.997919, 44.918851, 52.730976, 52.986295
0.997982, 45.008730, 52.720062, 52.958650
0.998036, 45.203197, 52.780622, 53.055278
0.997895, 44.980841, 52.754853, 53.021143
0.997872, 44.834411, 52.742953, 53.002874
0.997593, 44.313622, 52.700854, 52.941040
0.998914, 43.094716, 55.296299, 53.262786
0.998823, 43.036185, 55.114758, 53.063194
0.998781, 43.007207, 54.765320, 52.661191
0.998762, 42.983568, 54.641775, 52.557058
0.998738, 42.970869, 54.476883, 52.381904
0.998728, 42.966844, 54.585168, 52.477153
0.998718, 42.956519, 54.545193, 52.457200
0.998733, 42.977331, 54.491943, 52.401815
0.998707, 42.940223, 54.319512, 52.323306
0.998714, 42.957972, 54.459364, 52.427442
0.998705, 42.961431, 54.422211, 52.419187
0.998704, 42.954408, 54.370201, 52.317469
0.998742, 42.976330, 54.448451, 52.416759
0.998727, 42.964331, 54.394852, 52.298924
0.998737, 42.977056, 54.444497, 52.358539
0.998727, 42.959012, 54.330498, 52.290762
0.998731, 42.952965, 54.295361, 52.264999
0.998735, 42.943264, 54.320296, 52.295480
0.998732, 42.937864, 54.326571, 52.318606
0.998734, 42.933341, 54.289442, 52.235118
0.998747, 42.939310, 54.365763, 52.286098
0.998770, 42.963313, 54.501822, 52.379246
0.998798, 42.989359, 54.574350, 52.462461
0.998804, 42.983025, 54.545028, 52.422831
0.998783, 42.963256, 54.555359, 52.425719
0.998805, 42.983695, 54.573934, 52.455976
0.998808, 42.984457, 54.603955, 52.472489
0.998828, 42.990560, 54.539418, 52.474180
0.998806, 42.971597, 54.521975, 52.420755
0.998823, 42.990035, 54.647856, 52.503849
0.998820, 42.984087, 54.570113, 52.467165
0.998837, 42.989613, 54.655047, 52.496992
0.998819, 42.985353, 54.580837, 52.493079
0.998828, 42.987856, 54.611492, 52.524588
0.998844, 42.995605, 54.590086, 52.547927
0.998859, 42.987448, 54.722113, 52.457966
0.998864, 43.011571, 54.805805, 52.564115
0.998847, 42.997704, 54.755258, 52.514697
0.998837, 42.994111, 54.753958, 52.506274
0.998884, 43.011222, 54.775145, 52.516663
0.998862, 43.006393, 54.819150, 52.548813
0.998874, 42.994875, 54.778628, 52.569664
0.998872, 42.993805, 54.833683, 52.572284
0.998890, 43.044320, 54.783509, 52.569297
0.998889, 43.035205, 54.823725, 52.477820
0.998867, 43.006716, 54.757685, 52.388782
0.998887, 42.975986, 54.814932, 52.445527
0.998892, 42.971919, 54.782812, 52.431500
0.998861, 42.963869, 54.782376, 52.390491
0.998861, 42.964421, 54.786912, 52.430637
0.998868, 42.969282, 54.782027, 52.450519
0.998891, 42.808116, 54.848707, 52.516146
0.998841, 42.745858, 54.790492, 52.406505
0.998859, 42.724241, 54.841277, 52.568616
0.998840, 42.712309, 54.797486, 52.494469
0.998877, 42.721536, 54.835183, 52.531436
0.998848, 42.714888, 54.826631, 52.504623
0.998861, 42.724268, 54.852959, 52.517543
0.998847, 42.714975, 54.858900, 52.547615
0.998861, 42.700601, 54.840040, 52.505707
0.998839, 42.728396, 54.836684, 52.481463
0.998850, 42.892653, 54.829098, 52.346083
0.998860, 42.891889, 54.841542, 52.348671
0.998843, 42.867287, 54.762021, 52.314258
0.998834, 42.859178, 54.792676, 52.333116
0.998112, 43.352516, 51.056285, 52.751739
0.997420, 43.029327, 49.254626, 51.059909
0.997771, 43.398796, 49.783429, 51.877268
0.997289, 42.504286, 49.839637, 51.694992
0.997886, 43.482545, 50.628607, 52.493593
0.997662, 43.057396, 50.443003, 52.373334
0.997044, 42.113456, 50.077790, 52.065292
0.997622, 42.750556, 50.186807, 52.197837
0.997237, 42.433979, 50.286259, 52.189335
0.996969, 42.152612, 50.346936, 52.163067
0.997434, 42.557755, 50.326605, 52.246384
0.996901, 42.107941, 50.094703, 52.085862
0.996968, 42.153112, 50.212271, 52.118128
0.996928, 42.159388, 50.077937, 51.950277
0.997137, 42.245078, 50.162754, 52.123797
0.996309, 41.440108, 49.707675, 51.673887
0.996686, 41.969664, 49.605072, 51.704295
0.995857, 41.454835, 49.619734, 51.510525
0.996245, 41.658920, 49.498091, 51.443039
0.995668, 41.305204, 49.328550, 51.248197
0.995607, 41.085544, 49.327507, 51.242443
0.994643, 40.800634, 48.938569, 50.839310
0.995232, 41.233580, 49.046791, 51.091400
0.994128, 40.414706, 48.509985, 50.452259
0.994905, 40.959978, 48.747066, 50.629846
0.993928, 40.341859, 48.445326, 50.291805
0.994940, 41.058412, 48.599766, 50.483965
0.993973, 40.900864, 48.146212, 50.031409
0.993536, 40.562760, 48.746892, 50.308454
0.996327, 42.078879, 49.674656, 51.519976
0.994585, 40.536452, 49.633060, 51.349170
0.994615, 40.459574, 49.358280, 51.018408
0.995196, 40.874427, 49.523058, 51.028241
0.995712, 41.167165, 49.332923, 51.008744
0.995185, 40.801760, 49.476813, 51.017932
0.994959, 40.679415, 49.238297, 50.850791
0.994901, 40.586478, 49.340562, 50.994870
0.995418, 40.909903, 49.235647, 50.884561
0.994777, 40.462735, 49.277270, 51.027837
0.994453, 40.335474, 49.164326, 50.832142
0.994568, 40.398262, 49.290963, 51.036072
0.995053, 40.662127, 49.162270, 50.909115
0.994167, 40.111720, 49.261125, 50.987113
0.993455, 39.650533, 49.076734, 50.759098
0.993925, 39.879137, 49.146523, 50.904043
0.994358, 40.254377, 48.906879, 50.644516
0.993888, 40.075737, 49.143380, 50.765939
0.993525, 39.916074, 48.940522, 50.529964
0.993846, 39.955484, 48.961651, 50.724059
0.994204, 40.167430, 48.865740, 50.533470
0.993734, 40.003265, 48.952964, 50.368245
0.994068, 40.069726, 48.987266, 50.534584
0.994353, 40.247515, 48.762321, 50.323263
0.993779, 39.923570, 48.829568, 50.309233
0.993693, 39.814281, 48.642074, 50.216261
0.994090, 40.017397, 48.829967, 50.305001
0.994504, 40.307830, 48.669280, 50.214220
0.993946, 39.906541, 48.780737, 50.188653
0.993737, 39.956933, 48.642859, 50.148093
0.993837, 40.100206, 48.770503, 50.291185
0.994204, 40.342421, 48.766356, 50.246744
0.993632, 40.021935, 48.746458, 50.190985
0.993721, 40.006048, 48.636798, 49.997409
0.993333, 39.772185, 48.512516, 49.843187
0.994029, 40.062878, 48.509676, 49.925921
0.993098, 39.545037, 48.417771, 49.849650
0.993300, 39.580893, 48.638598, 49.951559
0.993737, 39.795309, 48.540079, 49.833719
0.993062, 39.410058, 48.749565, 50.037808
0.992731, 39.289932, 48.418114, 49.822991
0.992901, 39.448661, 48.634511, 50.008577
0.993337, 39.608909, 48.463359, 49.818512
0.992762, 39.405152, 48.545696, 49.957383
0.992458, 39.364717, 48.306050, 49.801337
