ms-ssim, psnr-y, psnr-u, psnr-v
0.997845, 47.377548, 49.985490, 50.473704
0.997556, 46.984535, 49.559678, 50.163206
0.997455, 46.898499, 49.350086, 50.016601
0.997407, 46.787113, 49.244968, 49.968765
0.997487, 46.808449, 49.128199, 49.867581
0.997405, 46.718637, 49.040465, 49.779901
0.997333, 46.639859, 48.962884, 49.744253
0.997222, 46.503521, 48.795056, 49.608673
0.997427, 46.698652, 49.069755, 49.790468
0.997328, 46.638800, 48.845449, 49.646694
0.997169, 46.355157, 48.645447, 49.474706
0.997265, 46.508740, 48.738776, 49.515869
0.997325, 46.529455, 48.862950, 49.609282
0.997011, 46.211839, 48.551631, 49.328177
0.996925, 46.080154, 48.547874, 49.264966
0.996767, 45.932548, 48.509244, 49.207949
0.996683, 45.884721, 48.307600, 49.078140
0.996717, 45.877913, 48.412116, 49.192733
0.996694, 45.994669, 48.532029, 49.228894
0.996675, 45.965288, 48.447920, 49.193889
0.997018, 46.304311, 48.718032, 49.404866
0.997157, 46.396816, 48.795232, 49.486048
0.997177, 46.352396, 48.745220, 49.496310
0.997377, 46.622413, 48.980247, 49.608647
0.997584, 46.888926, 49.175629, 49.755308
0.997627, 46.964711, 49.108182, 49.721247
0.997745, 47.119382, 49.272143, 49.867496
0.997835, 47.160392, 49.381322, 49.990577
0.998043, 47.361299, 49.631541, 50.183388
0.997924, 47.226970, 49.464674, 50.084435
0.997919, 47.267066, 49.522694, 50.098942
0.997939, 47.211372, 49.567176, 50.173150
0.998184, 47.584874, 49.968448, 50.422475
0.998020, 47.391732, 49.703503, 50.242635
0.998060, 47.419350, 49.666461, 50.224739
0.998094, 47.442904, 49.687019, 50.247726
0.998252, 47.667541, 49.944370, 50.464016
0.998150, 47.584043, 49.790965, 50.315556
0.998193, 47.664547, 49.717497, 50.278185
0.998196, 47.645154, 49.752733, 50.352434
0.998273, 47.784031, 49.961288, 50.423913
0.998179, 47.683330, 49.762164, 50.289449
0.998199, 47.656889, 49.646266, 50.259035
0.998161, 47.618365, 49.593705, 50.221993
0.998239, 47.693485, 49.799399, 50.357184
0.998136, 47.534098, 49.465777, 50.232775
0.998168, 47.589373, 49.586293, 50.207556
0.998108, 47.442888, 49.622603, 50.232745
0.998254, 47.575837, 49.797489, 50.287838
0.998051, 47.270872, 49.540808, 50.118857
0.998015, 47.235957, 49.593389, 50.152414
0.998033, 47.216978, 49.532340, 50.083312
0.998172, 47.394471, 49.780314, 50.272502
0.997848, 46.909065, 49.503518, 50.013780
0.997678, 46.786878, 49.367918, 49.970406
0.997793, 46.962103, 49.467494, 49.965341
0.998087, 47.328299, 49.696551, 50.205853
0.997955, 47.208605, 49.498608, 50.102621
0.997972, 47.224345, 49.557845, 50.096393
0.997929, 47.172072, 49.606978, 50.140331
0.998208, 47.484384, 49.690959, 50.205792
0.997876, 47.142857, 49.550939, 50.088812
0.997932, 47.263256, 49.545609, 50.061588
0.997941, 47.238209, 49.457940, 50.023270
0.998238, 47.597022, 49.704180, 50.202116
0.997935, 47.270432, 49.527190, 50.102888
0.997981, 47.234447, 49.398577, 50.066177
0.997909, 47.179985, 49.365663, 50.043953
0.998091, 47.335140, 49.525396, 50.084553
0.997854, 47.085163, 49.175940, 49.939422
0.997835, 47.077339, 49.264599, 49.998192
0.997847, 47.152785, 49.355231, 50.004658
0.998117, 47.431119, 49.500571, 50.065265
0.997811, 47.141161, 49.325620, 49.979657
0.997763, 47.110029, 49.294510, 49.963990
0.997741, 47.019646, 49.175820, 49.877743
0.998025, 47.363293, 49.457428, 50.028286
0.997772, 47.066733, 49.245991, 49.966434
0.997811, 47.030433, 49.187225, 49.902445
0.997769, 47.050612, 49.153817, 49.905990
0.997974, 47.261963, 49.324727, 49.977090
0.997797, 47.009336, 49.060896, 49.876672
0.997785, 47.046572, 49.170908, 49.953079
0.997800, 47.100149, 49.246722, 49.990115
0.998043, 47.338123, 49.381272, 49.980119
0.997824, 47.158206, 49.277344, 49.936450
0.997722, 47.101748, 49.231832, 49.964047
0.997729, 47.064466, 49.067252, 49.865557
0.997913, 47.218471, 49.310185, 50.006283
0.997598, 46.907126, 49.164063, 49.859771
0.997664, 46.923972, 49.069638, 49.778275
0.997602, 46.919249, 49.081494, 49.744608
0.997790, 47.075480, 49.184173, 49.851443
0.997618, 46.922773, 49.029207, 49.767216
0.997611, 46.975341, 49.116405, 49.839190
0.997515, 46.906277, 49.004935, 49.731672
0.997700, 46.993092, 49.044301, 49.758186
0.997454, 46.829777, 48.975642, 49.675248
0.997379, 46.692354, 48.889200, 49.616097
0.997191, 46.426362, 48.718248, 49.421732
0.999961, 53.604917, 56.327623, 55.837305
0.999962, 53.566560, 56.330486, 55.815019
0.999911, 52.848513, 56.324762, 55.807506
0.999198, 48.989580, 56.293164, 55.705381
0.997857, 46.517000, 56.517774, 55.508477
0.995983, 44.485318, 55.438046, 54.824341
0.994487, 43.333392, 54.464710, 53.992831
0.994457, 43.349896, 53.732065, 53.697155
0.994212, 43.180833, 52.492101, 53.291762
0.995210, 43.949676, 52.125924, 53.224307
0.997054, 45.321664, 52.391697, 53.784477
0.998833, 47.907002, 51.297354, 53.719350
0.999633, 51.105315, 50.524662, 53.453978
0.999758, 51.127591, 50.004455, 52.982664
0.999777, 51.024230, 49.323486, 52.474129
0.999803, 51.187780, 48.941545, 52.512784
0.999780, 50.771467, 48.651733, 52.137432
0.999761, 50.395164, 48.202991, 51.793095
0.999785, 50.500718, 47.850923, 51.664478
0.999746, 50.085152, 47.733995, 51.545018
0.999746, 49.834200, 47.307704, 51.144951
0.999728, 49.506531, 46.870784, 50.673734
0.999726, 49.318862, 46.563638, 50.393879
0.999714, 49.084862, 46.332168, 50.206005
0.999730, 49.043621, 46.234826, 50.141709
0.999690, 48.763356, 45.993770, 49.562796
0.999717, 48.903094, 46.161434, 49.831181
0.999728, 49.004347, 46.215015, 49.911440
0.999735, 49.074724, 46.263498, 50.036113
0.999742, 49.118960, 46.289276, 50.082691
0.999743, 49.114685, 46.275286, 50.061471
0.999742, 49.111819, 46.270592, 50.072775
0.999741, 49.103428, 46.249737, 50.026011
0.999750, 49.188006, 46.266111, 50.107402
0.999752, 49.183128, 46.253149, 50.093963
0.999753, 49.181435, 46.249921, 50.092452
0.999753, 49.173010, 46.246829, 50.094911
0.999757, 49.215335, 46.275163, 50.149983
0.999756, 49.198737, 46.277242, 50.160047
0.999758, 49.223933, 46.279124, 50.174206
0.999758, 49.219989, 46.276221, 50.169712
0.999761, 49.261859, 46.298328, 50.245303
0.999762, 49.266863, 46.309219, 50.251749
0.999762, 49.269104, 46.309616, 50.257035
0.999763, 49.267163, 46.309752, 50.256666
0.999765, 49.299422, 46.326988, 50.306805
0.999767, 49.309876, 46.331595, 50.326074
0.999767, 49.313012, 46.330573, 50.326043
0.999767, 49.310995, 46.337765, 50.327480
0.999770, 49.351347, 46.356265, 50.351114
0.999770, 49.360500, 46.358483, 50.360553
0.999771, 49.365895, 46.357894, 50.364681
0.999771, 49.363967, 46.362458, 50.362065
0.999773, 49.402402, 46.376116, 50.383765
0.999773, 49.403508, 46.383005, 50.394132
0.999774, 49.404575, 46.384127, 50.398102
0.999774, 49.402320, 46.385426, 50.399373
0.999776, 49.436557, 46.399548, 50.431270
0.999777, 49.444655, 46.399093, 50.431302
0.999777, 49.445688, 46.398131, 50.433896
0.999777, 49.444559, 46.399055, 50.434761
0.999778, 49.458432, 46.406348, 50.451454
0.999778, 49.459367, 46.410202, 50.457763
0.999778, 49.460947, 46.411471, 50.458665
0.999778, 49.458586, 46.413336, 50.457119
0.999779, 49.467199, 46.413882, 50.461469
0.999779, 49.469181, 46.416904, 50.463210
0.999779, 49.470438, 46.416650, 50.462823
0.999779, 49.469392, 46.419509, 50.463371
0.999780, 49.482618, 46.416396, 50.470053
0.999780, 49.487394, 46.420030, 50.470666
0.999780, 49.488373, 46.420068, 50.468599
0.999780, 49.486666, 46.422154, 50.465759
0.999780, 49.495510, 46.424431, 50.479009
0.999780, 49.496897, 46.425882, 50.484094
0.999780, 49.499357, 46.426620, 50.486331
0.999780, 49.499170, 46.425029, 50.490937
0.999780, 49.500830, 46.424520, 50.496621
0.999780, 49.503906, 46.425996, 50.495711
0.999780, 49.503318, 46.424571, 50.494607
0.999780, 49.503001, 46.427180, 50.496914
0.999780, 49.507618, 46.420005, 50.497694
0.999724, 49.111760, 46.218485, 50.018057
0.999723, 49.114117, 46.218351, 49.986905
0.999721, 49.111984, 46.240738, 50.024815
0.999738, 49.208625, 46.352446, 50.029570
0.999932, 53.622588, 54.483145, 55.461328
0.999962, 54.310097, 57.734563, 56.486939
0.999962, 54.311388, 57.757680, 56.487972
0.999962, 54.312073, 57.784227, 56.487714
0.999939, 54.017325, 57.276609, 56.226635
0.999763, 52.754402, 56.534317, 56.159434
0.999067, 49.539289, 52.237883, 52.584829
0.999150, 49.801309, 52.525417, 52.763389
0.999081, 49.663529, 52.485417, 52.691847
0.999373, 50.419617, 53.733571, 53.795994
0.999090, 49.647155, 52.530190, 52.756548
0.999078, 49.621679, 52.216244, 52.602369
0.999051, 49.501224, 52.189335, 52.603108
0.999221, 49.919656, 52.791910, 52.989178
0.998939, 49.200630, 51.828724, 52.212817
0.999061, 49.435361, 52.056114, 52.358240
0.998935, 49.159409, 51.764410, 52.141560
0.999152, 49.582790, 52.402067, 52.600311
0.998948, 49.122647, 51.888045, 52.175248
0.998946, 49.136704, 51.770245, 52.064033
0.998868, 48.931010, 51.749032, 52.059140
0.999107, 49.395366, 52.345287, 52.514180
0.998784, 48.681754, 51.546301, 51.844476
0.998778, 48.705260, 51.493811, 51.748642
0.998742, 48.589798, 51.538857, 51.795505
0.998935, 49.003799, 51.876286, 52.076827
