ms-ssim, psnr-y, psnr-u, psnr-v
0.997993, 42.167082, 47.361038, 47.428805
0.997727, 41.753454, 48.361869, 48.408739
0.997721, 41.848114, 48.378082, 48.417328
0.997589, 41.723335, 48.444900, 48.421740
0.997516, 41.428796, 48.035775, 48.038246
0.997516, 41.589028, 48.439898, 48.446866
0.997450, 41.518893, 48.409181, 48.401110
0.997016, 40.674070, 48.167641, 48.130050
0.996769, 44.259077, 48.357200, 49.888353
0.996398, 43.968909, 48.336695, 49.851751
0.996599, 44.142551, 48.433709, 49.839526
0.996247, 43.929256, 48.086116, 49.597799
0.996136, 43.719127, 47.915734, 49.303143
0.995982, 43.598903, 47.951236, 49.332699
0.995716, 43.319979, 47.885024, 49.245625
0.995453, 43.017332, 47.806736, 49.171554
0.994686, 42.336255, 47.378281, 48.795013
0.994945, 42.546921, 47.442329, 48.884063
0.994753, 42.447244, 47.348017, 48.629413
0.994825, 42.546706, 46.996100, 48.393533
0.994832, 42.612472, 46.750080, 48.134160
0.995176, 42.900011, 46.967742, 48.230504
0.995123, 42.815457, 46.955890, 48.325897
0.995062, 42.743648, 46.805794, 48.243581
0.995210, 42.894026, 47.018073, 48.284730
0.995781, 43.380408, 47.276873, 48.505811
0.995786, 43.368293, 47.242877, 48.400909
0.995873, 43.500416, 47.350111, 48.503367
0.995797, 43.334504, 47.279057, 48.438967
0.996051, 43.636128, 47.313103, 48.513874
0.995884, 43.397651, 46.829784, 48.294310
0.996196, 42.211907, 47.851983, 48.751739
0.996055, 42.238475, 48.264019, 49.016962
0.996186, 42.393933, 48.462382, 49.135558
0.996060, 42.300931, 48.243949, 49.031225
0.996553, 42.603600, 48.151929, 48.921395
0.996579, 42.716739, 48.493499, 49.160597
0.996590, 42.756762, 48.498133, 49.182227
0.996804, 42.917033, 48.725008, 49.288157
0.997096, 43.262929, 48.475443, 49.101247
0.997093, 43.182824, 48.678743, 49.262837
0.997187, 43.353226, 48.816128, 49.422012
0.997190, 43.320485, 48.682316, 49.285451
0.997369, 43.489784, 48.405746, 49.115837
0.997221, 43.329581, 48.549368, 49.200539
0.997195, 43.242950, 48.614785, 49.250843
0.997081, 43.129364, 48.458315, 49.185302
0.996984, 43.111787, 48.313298, 49.072985
0.996987, 43.071513, 48.494934, 49.131735
0.996969, 43.010085, 48.390691, 49.073805
0.996938, 42.931805, 48.351921, 49.043487
0.996838, 42.914653, 48.084306, 48.909268
0.996818, 42.869390, 48.090764, 48.928932
0.996822, 42.874440, 48.031074, 48.898885
0.996701, 42.824000, 47.911539, 48.792400
0.996235, 42.196123, 47.504364, 48.496615
0.998139, 47.199514, 52.777049, 51.360297
0.997808, 46.879268, 52.957791, 51.494956
0.997801, 46.965659, 52.873103, 51.401091
0.997691, 46.761648, 52.882551, 51.354988
0.997723, 46.748346, 52.854941, 51.313878
0.997613, 46.692415, 52.970123, 51.431214
0.997597, 46.759840, 53.016264, 51.350554
0.997602, 46.756216, 53.069066, 51.438636
0.997717, 46.847787, 53.021434, 51.422839
0.997569, 46.695804, 53.102930, 51.454288
0.997567, 46.765587, 53.075889, 51.537990
0.997549, 46.663328, 53.055103, 51.509787
0.997728, 46.775081, 53.071594, 51.473659
0.997517, 46.444836, 53.015393, 51.379650
0.997204, 46.198766, 52.443084, 50.735101
0.997286, 46.273556, 52.382456, 50.703832
0.997735, 46.615244, 52.406959, 50.701003
0.997431, 46.370328, 52.323157, 50.596695
0.997456, 46.536556, 52.226445, 50.614892
0.997422, 46.298946, 52.046258, 50.405702
0.997692, 46.432245, 52.019871, 50.400168
0.997402, 46.214754, 51.913822, 50.408918
0.997410, 46.455851, 51.967024, 50.429702
0.997361, 46.236577, 51.857750, 50.302949
0.997457, 46.215800, 51.810125, 50.238009
0.997289, 46.131162, 51.689898, 50.146833
0.997266, 46.079258, 51.599265, 50.106868
0.996995, 45.736934, 51.477771, 49.884879
0.999489, 56.026419, 58.605587, 59.148238
0.999325, 55.282434, 58.092520, 58.863977
0.999332, 55.312301, 58.125529, 58.905910
0.999328, 55.250125, 58.055496, 58.934848
0.999334, 55.103971, 57.945019, 58.720860
0.999368, 55.359070, 57.944116, 58.697387
0.999371, 55.369488, 57.940867, 58.695455
0.999371, 55.346493, 57.892423, 58.759248
0.999355, 55.215452, 57.803413, 58.580009
0.999364, 55.358996, 57.607398, 58.366882
0.999369, 55.379705, 57.597885, 58.383832
0.999358, 55.328486, 57.641283, 58.361511
0.999365, 55.234302, 57.592719, 58.387030
0.999326, 55.206743, 57.219693, 58.049942
0.999334, 55.200114, 57.280172, 58.058276
0.999321, 55.186720, 57.287617, 58.078529
0.999385, 55.373307, 57.721849, 58.461243
0.999424, 55.641237, 57.710199, 58.511158
0.999433, 55.648840, 57.770673, 58.558323
0.999417, 55.598889, 57.796601, 58.565818
0.999431, 55.519544, 57.759756, 58.544825
0.999440, 55.727083, 57.739211, 58.454942
0.999449, 55.729413, 57.715677, 58.461650
0.999448, 55.731094, 57.696192, 58.476320
0.999448, 55.590453, 57.718934, 58.518571
0.999432, 55.652115, 57.576761, 58.297776
0.999438, 55.647617, 57.572615, 58.368673
0.999429, 55.609530, 57.586395, 58.431648
0.999414, 55.446750, 57.509915, 58.311706
0.999386, 55.456718, 57.180140, 58.145531
0.999381, 55.411989, 57.256064, 58.191545
0.999210, 54.937723, 56.796440, 57.614087
0.999279, 55.032779, 57.010843, 57.724766
0.999149, 54.579714, 56.468389, 57.268565
0.999223, 54.797573, 56.593581, 57.374320
0.999175, 54.592360, 56.440456, 57.228872
0.999737, 56.688279, 60.000000, 60.000000
0.999673, 56.138266, 60.000000, 60.000000
0.999679, 56.220439, 60.000000, 60.000000
0.999671, 56.099393, 60.000000, 60.000000
0.999682, 55.973966, 60.000000, 60.000000
0.999646, 55.849829, 60.000000, 60.000000
0.999660, 55.935791, 60.000000, 60.000000
0.999649, 55.890346, 60.000000, 60.000000
0.999668, 55.859232, 60.000000, 60.000000
0.999631, 55.757643, 60.000000, 60.000000
0.999642, 55.916559, 60.000000, 60.000000
0.999644, 55.840864, 60.000000, 60.000000
0.999671, 55.921713, 60.000000, 60.000000
0.999596, 55.517968, 60.000000, 60.000000
0.999640, 55.895413, 60.000000, 60.000000
0.999613, 55.708914, 60.000000, 60.000000
0.999676, 55.997604, 60.000000, 60.000000
0.999601, 55.613302, 60.000000, 60.000000
0.999656, 56.073699, 60.000000, 60.000000
0.999645, 56.009702, 60.000000, 60.000000
0.999682, 56.013463, 60.000000, 60.000000
0.999659, 56.009529, 60.000000, 60.000000
0.999668, 56.094732, 60.000000, 60.000000
0.999661, 56.034583, 60.000000, 60.000000
0.999684, 56.031879, 60.000000, 60.000000
0.999616, 55.736875, 60.000000, 60.000000
0.999625, 55.783230, 60.000000, 60.000000
0.999638, 55.794690, 60.000000, 60.000000
0.999676, 55.943131, 60.000000, 60.000000
0.999626, 55.644957, 59.728294, 59.913826
0.999555, 55.508297, 58.237472, 58.478158
0.999512, 55.593762, 58.178947, 58.709000
0.999627, 56.522945, 58.753370, 59.710901
0.999661, 57.062417, 58.813833, 59.791103
0.999645, 57.410778, 59.315085, 60.000000
0.999767, 59.008452, 60.000000, 60.000000
0.999744, 59.130109, 60.000000, 60.000000
0.999853, 60.000000, 60.000000, 60.000000
0.999824, 60.000000, 60.000000, 60.000000
0.999889, 60.000000, 60.000000, 60.000000
0.999878, 60.000000, 60.000000, 60.000000
0.999913, 60.000000, 60.000000, 60.000000
0.999917, 60.000000, 60.000000, 60.000000
0.999959, 60.000000, 60.000000, 60.000000
0.999979, 60.000000, 60.000000, 60.000000
0.999974, 60.000000, 60.000000, 60.000000
0.999968, 60.000000, 60.000000, 60.000000
0.999973, 60.000000, 60.000000, 60.000000
0.999978, 60.000000, 60.000000, 60.000000
0.999994, 60.000000, 60.000000, 60.000000
0.999996, 60.000000, 60.000000, 60.000000
0.999995, 60.000000, 60.000000, 60.000000
0.999996, 60.000000, 60.000000, 60.000000
0.999996, 60.000000, 60.000000, 60.000000
0.999996, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
1.000000, 60.000000, 60.000000, 60.000000
0.999695, 55.875322, 59.693848, 59.153722
0.999389, 53.798079, 57.065660, 56.720037
0.999402, 53.779941, 56.402054, 56.005136
0.999342, 53.500069, 56.059900, 55.693965
0.999507, 54.159007, 56.783567, 56.495209
0.999307, 53.257627, 55.281603, 55.075032
0.999396, 53.687421, 55.688698, 55.505592
0.999297, 53.231301, 55.153142, 55.088483
0.999486, 54.079006, 56.366499, 56.216919
0.999335, 53.413329, 55.383434, 55.273395
0.999371, 53.525731, 55.421651, 55.303273
0.999293, 53.170031, 55.079885, 54.908880
0.999548, 54.551534, 57.483527, 57.298964
0.999271, 53.292551, 56.037841, 55.809162
0.999282, 53.317479, 55.648707, 55.468675
0.999203, 53.090466, 55.138826, 54.966077
0.999388, 53.795196, 56.069739, 55.855463
0.999096, 52.740078, 54.623496, 54.475745
0.999178, 53.008187, 54.778628, 54.626018
0.999036, 52.610121, 54.457018, 54.366000
0.999302, 53.406036, 55.467960, 55.318635
0.999034, 52.644572, 54.655809, 54.417158
0.999052, 52.631189, 54.583668, 54.377502
0.998956, 52.404966, 54.336395, 54.146656
0.999094, 52.612686, 54.558008, 54.406031
0.998889, 52.111028, 54.211380, 54.077616
0.998867, 51.977912, 54.159403, 53.954977
0.999962, 60.000000, 60.000000, 60.000000
0.999898, 60.000000, 60.000000, 60.000000
0.999889, 60.000000, 60.000000, 60.000000
0.999887, 60.000000, 60.000000, 60.000000
0.999886, 60.000000, 60.000000, 60.000000
0.999812, 60.000000, 60.000000, 60.000000
0.999766, 59.169136, 60.000000, 60.000000
0.999765, 59.158018, 60.000000, 60.000000
0.999804, 59.631688, 60.000000, 60.000000
0.999782, 59.338794, 60.000000, 60.000000
0.999779, 59.311249, 60.000000, 60.000000
0.999773, 59.268725, 60.000000, 60.000000
0.999793, 59.464572, 60.000000, 60.000000
0.999748, 59.021159, 60.000000, 60.000000
0.999690, 58.405164, 60.000000, 60.000000
0.999735, 58.597551, 60.000000, 60.000000
0.999773, 58.927935, 60.000000, 60.000000
0.999739, 58.595453, 60.000000, 60.000000
0.999753, 58.740120, 60.000000, 60.000000
0.999746, 58.683022, 60.000000, 60.000000
0.999769, 58.879122, 60.000000, 60.000000
0.999750, 58.700664, 60.000000, 60.000000
0.999747, 58.638513, 60.000000, 60.000000
0.999744, 58.598286, 60.000000, 60.000000
0.999753, 58.641693, 60.000000, 60.000000
0.999735, 58.491655, 60.000000, 60.000000
0.999731, 58.389830, 60.000000, 60.000000
0.999293, 50.778423, 54.030358, 53.726729
0.998939, 49.631575, 53.229853, 52.964784
0.998796, 49.113603, 52.488192, 52.365181
