ms-ssim, psnr-y, psnr-u, psnr-v
0.996607, 40.296594, 50.560397, 50.731806
0.996314, 40.123349, 50.942263, 51.239705
0.996077, 40.017734, 50.887440, 51.152050
0.995807, 39.896109, 50.735204, 50.984567
0.996082, 40.016457, 50.579204, 50.776152
0.995778, 39.808960, 50.593537, 50.764245
0.995576, 39.598914, 50.567395, 50.741079
0.995467, 39.479439, 50.521947, 50.674242
0.995949, 40.044556, 50.397181, 50.558452
0.995499, 39.694614, 50.602619, 50.711338
0.995568, 39.603687, 50.438287, 50.529112
0.995396, 39.491717, 50.507979, 50.612555
0.995807, 39.932486, 50.326543, 50.519790
0.995033, 39.242833, 50.321982, 50.367551
0.994949, 39.053105, 50.377310, 50.509315
0.994731, 38.836363, 50.228190, 50.314122
0.994478, 38.507259, 50.106244, 50.117398
0.994489, 38.601867, 50.180879, 50.209198
0.994439, 38.601393, 50.206248, 50.213215
0.994150, 38.463506, 50.269602, 50.227304
0.994551, 38.784847, 50.137009, 50.044305
0.994435, 38.806487, 50.205944, 50.170948
0.994696, 39.046488, 50.022891, 49.980321
0.994687, 39.049112, 49.983323, 49.989189
0.994927, 39.351976, 49.920595, 49.937678
0.994982, 39.245252, 50.121659, 50.120079
0.995237, 39.334108, 50.254237, 50.292766
0.995271, 39.544297, 50.187291, 50.221688
0.995811, 39.940661, 50.151303, 50.147463
0.995892, 39.886697, 50.355075, 50.322357
0.996016, 39.975148, 50.337056, 50.393180
0.996035, 40.000310, 50.338685, 50.486007
0.996552, 40.490558, 50.314309, 50.398992
0.996323, 40.300314, 50.607018, 50.674648
0.996384, 40.427772, 50.520150, 50.545910
0.996382, 40.258496, 50.529243, 50.549790
0.996863, 40.747600, 50.507522, 50.517961
0.996522, 40.370019, 50.626530, 50.636353
0.996708, 40.691800, 50.719712, 50.758442
0.996594, 40.426919, 50.653402, 50.702264
0.996974, 40.843280, 50.611954, 50.629176
0.996590, 40.500070, 50.742592, 50.759202
0.996684, 40.603691, 50.782847, 50.797626
0.996459, 40.437132, 50.763105, 50.749993
0.996972, 40.929293, 50.688383, 50.726526
0.996515, 40.317910, 50.735616, 50.743762
0.996651, 40.590154, 50.705059, 50.748512
0.996630, 40.580209, 50.690252, 50.755475
0.996986, 40.885473, 50.707958, 50.687093
0.996475, 40.224258, 50.741973, 50.732012
0.996705, 40.569508, 50.780799, 50.828036
0.996574, 40.513426, 50.648418, 50.735891
0.997070, 40.920768, 50.639643, 50.652661
0.996730, 40.493138, 50.839381, 50.862867
0.996846, 40.888529, 50.863963, 50.881115
0.996678, 40.656104, 50.886516, 50.972402
0.997107, 41.038156, 50.791604, 50.826844
0.996798, 40.792239, 50.774697, 50.846526
0.996882, 40.946533, 50.796616, 50.842301
0.996854, 40.777589, 50.653739, 50.673802
0.997130, 41.041308, 50.636252, 50.666969
0.996938, 40.854505, 50.665786, 50.749029
0.996797, 40.793582, 50.827861, 50.853154
0.996850, 40.639378, 50.846596, 50.896518
0.997244, 41.103201, 50.780626, 50.830282
0.996830, 40.642457, 50.943416, 50.965191
0.996972, 40.889078, 50.964902, 50.981768
0.996879, 40.770939, 50.762552, 50.855236
0.997224, 41.076571, 50.825371, 50.890749
0.996894, 40.797258, 50.847971, 50.882713
0.996895, 40.854772, 50.956620, 50.970951
0.996812, 40.533832, 51.029049, 51.099010
0.997260, 41.116594, 50.908650, 50.981913
0.996829, 40.674835, 50.986022, 51.055915
0.996967, 40.856605, 51.085664, 51.145554
0.996922, 40.711939, 50.974905, 51.013646
0.997211, 41.069724, 50.906007, 50.955536
0.996686, 40.722564, 50.952395, 51.090058
0.996810, 40.753954, 51.012658, 51.069169
0.996774, 40.780355, 50.977227, 51.090058
0.997257, 41.092049, 50.993121, 51.038907
0.996650, 40.615164, 50.853965, 50.928744
0.996859, 40.926356, 50.939851, 50.989370
0.996700, 40.573157, 50.856471, 50.878737
0.997260, 41.109158, 50.805086, 50.824880
0.996815, 40.696092, 50.894487, 50.856789
0.996938, 40.866572, 50.997204, 50.948570
0.996874, 40.809536, 50.756820, 50.781910
0.997217, 41.054594, 50.760652, 50.783055
0.996835, 40.608595, 50.820816, 50.859474
0.996923, 40.939444, 50.752302, 50.713968
0.996971, 40.833808, 50.832563, 50.778163
0.997200, 41.044201, 50.787675, 50.705673
0.996748, 40.568512, 50.988569, 50.837588
0.996816, 40.713014, 50.951925, 50.879660
0.996803, 40.576278, 50.998334, 50.867218
0.997243, 41.055525, 50.854742, 50.770749
0.996774, 40.632792, 50.932731, 50.798078
0.997034, 40.849742, 51.080308, 51.060871
0.996790, 40.667352, 50.931653, 50.941579
0.997270, 41.046517, 50.863963, 50.792647
0.996900, 40.723983, 50.858272, 50.852942
0.996880, 40.850382, 50.846315, 50.865555
0.996653, 40.602052, 50.842582, 50.844096
0.997250, 41.053716, 50.890393, 50.890393
0.996740, 40.641243, 50.795954, 50.770437
0.996727, 40.725571, 50.846244, 50.779516
0.996672, 40.664489, 50.869272, 50.842829
0.997175, 41.067055, 50.882394, 50.828282
0.996720, 40.709411, 50.937225, 50.855730
0.996861, 40.861123, 50.973961, 50.913227
0.996774, 40.622649, 50.733487, 50.683461
0.997156, 41.014360, 50.764798, 50.668490
0.996784, 40.644665, 50.958607, 50.842230
0.996942, 40.976257, 51.018078, 50.881861
0.996709, 40.543585, 50.784757, 50.745620
0.997084, 41.015921, 50.895769, 50.791117
0.996519, 40.586579, 50.851602, 50.812909
0.996620, 40.738730, 50.823689, 50.789343
0.996237, 40.269236, 50.487790, 50.476162
0.997116, 40.934104, 50.317645, 50.146833
0.996704, 40.575836, 50.549034, 50.419856
0.996736, 40.760028, 50.557397, 50.473155
