ms-ssim, psnr-y, psnr-u, psnr-v
0.996848, 46.522291, 50.641390, 50.370107
0.996819, 46.317610, 50.763001, 50.341664
0.996861, 46.387088, 50.754854, 50.303882
0.996824, 46.278823, 50.674750, 50.259589
0.996805, 46.251755, 50.565975, 50.153345
0.996862, 46.211318, 50.671230, 50.268214
0.996808, 46.228797, 50.796267, 50.302048
0.996769, 46.169428, 50.795710, 50.318175
0.996814, 46.233100, 50.666394, 50.263653
0.996830, 46.367856, 50.725703, 50.305001
0.996860, 46.352606, 50.755820, 50.290875
0.996843, 46.357474, 50.783507, 50.308579
0.996749, 46.153853, 50.766251, 50.308299
0.996598, 45.997387, 50.690966, 50.199111
0.996624, 46.020974, 50.781112, 50.275065
0.996460, 45.678763, 50.634675, 50.169712
0.996378, 45.514765, 50.593105, 50.178402
0.996386, 45.663100, 50.521392, 50.040353
0.996302, 45.491131, 50.466307, 49.985952
0.996174, 45.553557, 50.395561, 49.927090
0.996725, 46.449303, 50.707958, 50.167934
0.997803, 48.668891, 52.362932, 51.510772
0.997889, 48.820506, 52.404437, 51.698505
0.998149, 49.347173, 53.071712, 52.309913
0.998054, 49.182437, 52.978863, 52.187367
0.998268, 49.521000, 53.430156, 52.710529
0.998293, 49.478631, 53.539642, 52.905863
0.998291, 49.499525, 53.588245, 53.027425
0.998402, 49.610428, 53.692675, 53.205892
0.998337, 49.479351, 53.874015, 53.308248
0.998149, 49.285789, 53.836618, 53.000328
0.998150, 49.183212, 53.359214, 52.436323
0.998152, 49.131711, 53.104115, 52.333910
0.998084, 48.866025, 52.611350, 52.001310
0.997889, 48.816376, 52.754252, 52.071172
0.997703, 48.605655, 52.461439, 52.022918
0.997789, 48.381820, 52.171184, 52.159825
0.997524, 48.131223, 51.916345, 51.871510
0.997513, 48.408940, 52.199328, 51.754760
0.997245, 47.941901, 51.934273, 51.390936
0.997298, 47.683453, 51.970901, 51.234501
0.997231, 48.349041, 52.027955, 51.315643
0.997114, 48.047459, 51.653180, 50.924330
0.996662, 47.360947, 51.396410, 50.582385
0.996444, 47.158790, 51.412874, 50.679188
0.997513, 48.034258, 51.950641, 51.095427
0.997024, 47.187654, 51.289155, 50.672583
0.997060, 47.388362, 51.343953, 50.612455
0.997261, 47.576272, 51.578869, 50.741904
0.997384, 47.941684, 51.648856, 50.884525
0.997038, 47.204419, 50.940643, 50.566833
0.997098, 47.421070, 51.069763, 50.309139
0.997246, 47.582897, 51.157382, 50.317364
0.997517, 47.949519, 51.428514, 50.560034
0.997428, 47.557991, 51.206167, 50.435498
0.997297, 47.503646, 51.139144, 50.551436
0.997336, 47.631766, 50.943596, 50.357530
0.997378, 47.688043, 51.017016, 50.444191
0.997268, 47.576633, 50.857849, 50.386394
0.997287, 47.595897, 50.699403, 50.206309
0.997216, 47.497231, 50.727280, 50.276486
0.997072, 47.377556, 50.698517, 50.254914
0.997198, 47.519214, 50.722861, 50.205245
0.997173, 47.458291, 50.813364, 50.292859
0.997212, 47.497410, 50.984021, 50.474739
0.997067, 47.337774, 50.727828, 50.227396
0.997041, 47.208978, 50.708777, 50.231338
0.996833, 47.022423, 50.651819, 50.221749
0.996665, 46.785495, 50.745207, 50.131777
0.996988, 47.315063, 50.895093, 50.227457
0.997045, 47.354282, 51.358593, 50.448078
0.996997, 47.530218, 51.453802, 50.658257
0.997036, 47.747888, 51.521787, 50.765144
0.997155, 47.824665, 52.154632, 51.430770
0.997187, 47.849403, 52.161637, 51.584376
0.997188, 47.819267, 51.687162, 51.301186
0.996885, 47.357945, 51.251985, 50.624822
0.997248, 47.672194, 51.663840, 51.073139
0.996891, 47.400151, 51.274513, 50.698245
0.997093, 47.513401, 51.699963, 51.049082
0.997154, 47.750909, 51.523392, 50.875367
0.997145, 47.746024, 51.086744, 50.459213
0.997113, 47.582992, 50.891033, 50.169109
0.996753, 46.429846, 50.115552, 49.689663
0.997017, 46.960455, 50.311038, 49.975822
0.996438, 46.319439, 49.802888, 49.593626
0.997390, 47.538869, 50.914479, 50.615226
0.997281, 47.071284, 50.938664, 50.609218
0.997431, 47.239145, 50.802958, 50.560331
0.997570, 47.564257, 50.708846, 50.502801
0.997559, 47.421351, 50.662611, 50.494412
0.997469, 47.243830, 50.427238, 50.161099
0.997515, 47.286519, 50.597161, 49.991503
