ms-ssim, psnr-y, psnr-u, psnr-v
0.996253, 45.864480, 50.878524, 51.057283
0.995593, 45.332319, 50.243156, 50.662678
0.995099, 45.017023, 49.988611, 50.447757
0.995026, 45.050076, 49.781389, 50.116653
0.995189, 45.084273, 50.097371, 50.340598
0.993833, 43.769507, 49.356455, 49.678827
0.994224, 43.613514, 49.661175, 49.887731
0.993854, 44.195044, 49.371128, 49.575396
0.994693, 44.754255, 49.733689, 49.935878
0.994505, 44.571220, 49.557138, 49.759777
0.994079, 44.036940, 49.308900, 49.641513
0.994438, 44.568285, 49.432886, 49.724783
0.994773, 44.987403, 49.588982, 49.830344
0.993809, 44.357655, 49.245528, 49.494529
0.993947, 44.324385, 49.269496, 49.483088
0.993458, 44.039989, 48.998830, 49.385699
0.993001, 43.917918, 48.866231, 49.188836
0.993818, 44.211468, 49.050727, 49.415292
0.993926, 44.337571, 49.104595, 49.396634
0.993742, 44.307791, 48.967384, 49.422824
0.994842, 45.038979, 49.485379, 49.646694
0.994963, 44.951834, 49.454589, 49.659433
0.994583, 44.852846, 49.167532, 49.473704
0.995488, 45.452069, 49.490557, 49.893979
0.995946, 45.772022, 49.813150, 50.076875
0.996087, 46.063130, 49.897120, 50.238866
0.995741, 45.701234, 49.789528, 50.109067
0.995947, 45.801217, 49.827251, 50.233357
0.996477, 46.160844, 50.338435, 50.534191
0.996168, 45.986887, 50.070153, 50.391404
0.996340, 46.095324, 50.132942, 50.433224
0.996487, 46.196801, 50.272379, 50.620005
0.996957, 46.558260, 50.614558, 50.896803
0.996712, 46.342342, 50.396355, 50.656031
0.996606, 46.294945, 50.321764, 50.670993
0.996984, 46.638208, 50.716053, 50.891532
0.996551, 46.071408, 50.321483, 50.537962
0.995404, 45.325911, 49.920197, 50.215712
0.995749, 45.563612, 49.953079, 50.326949
0.996830, 46.492442, 50.725600, 50.866581
0.996163, 45.965388, 50.315307, 50.592806
0.996170, 45.980584, 50.361025, 50.635950
0.996111, 45.991463, 50.232164, 50.527181
0.996560, 46.277626, 50.623383, 50.841703
0.996124, 45.968446, 50.155718, 50.453932
0.995886, 45.898895, 50.169230, 50.361844
0.995735, 45.727809, 50.109067, 50.424712
0.996331, 46.179356, 50.475806, 50.715779
0.995818, 45.750520, 50.053099, 50.343326
0.995657, 45.647654, 50.049139, 50.308641
0.995816, 45.678588, 49.947920, 50.317957
0.996125, 45.833711, 50.188532, 50.453449
0.995644, 45.551626, 49.927432, 50.193954
0.995579, 45.604135, 49.752158, 50.022950
0.995889, 45.844417, 49.791324, 50.096274
0.996076, 45.982167, 50.130761, 50.372633
0.995973, 46.071141, 49.937907, 50.250827
0.995709, 45.871306, 49.791959, 50.127088
0.995864, 45.954434, 50.032723, 50.338466
0.996081, 46.053887, 50.132643, 50.423018
0.995836, 45.987394, 49.856656, 50.197715
0.995663, 45.870460, 49.898139, 50.249230
0.995906, 46.049694, 49.999438, 50.278123
0.996220, 46.160446, 50.207221, 50.535043
0.995960, 45.956852, 50.092067, 50.497921
0.995757, 45.935555, 49.952075, 50.267382
0.996048, 46.045115, 50.092985, 50.474707
0.996301, 46.115686, 50.414718, 50.765144
0.996147, 46.092756, 50.213824, 50.569410
0.996197, 46.190864, 50.310042, 50.648452
0.996355, 46.184814, 50.390864, 50.682986
0.996477, 46.268946, 50.503093, 50.870405
0.996376, 46.220976, 50.358569, 50.796337
0.996295, 46.174921, 50.276424, 50.668456
0.996501, 46.318514, 50.349480, 50.762379
0.996654, 46.366521, 50.575264, 50.898942
0.996434, 46.273719, 50.383480, 50.714378
0.996615, 46.515967, 50.559573, 50.933701
0.996755, 46.616424, 50.641860, 50.969139
0.996899, 46.674609, 50.630818, 51.021671
0.996871, 46.705357, 50.543642, 50.956331
0.996534, 46.509444, 50.383987, 50.830527
0.996440, 46.398637, 50.226938, 50.668558
0.996755, 46.697843, 50.604685, 50.978970
0.996551, 46.597943, 50.275528, 50.634574
0.996452, 46.441475, 50.269879, 50.627535
0.996477, 46.389028, 50.236784, 50.623316
0.996711, 46.578804, 50.522732, 50.873594
0.996396, 46.308042, 50.167693, 50.565083
0.996498, 46.413898, 50.288706, 50.660450
0.996522, 46.445520, 50.251288, 50.659775
0.996924, 46.727153, 50.588123, 50.926842
0.996555, 46.420621, 50.302825, 50.692801
0.996426, 46.500370, 50.310260, 50.666800
0.996338, 46.393312, 50.193076, 50.635782
0.996879, 46.865559, 50.714310, 51.097964
0.996270, 46.413676, 50.280194, 50.603186
0.996415, 46.703898, 50.385285, 50.692393
0.996232, 46.421381, 50.247911, 50.590115
0.996893, 46.963962, 50.865873, 51.114419
0.996318, 46.509172, 50.319766, 50.635010
0.996490, 46.689925, 50.541080, 50.729062
0.996277, 46.424914, 50.337902, 50.510358
0.996928, 46.942320, 50.867077, 50.955103
0.996264, 46.425201, 50.221169, 50.411339
0.996556, 46.728582, 50.531012, 50.735891
0.996223, 46.409841, 50.318674, 50.498442
0.996887, 46.964837, 50.871432, 51.023615
0.996396, 46.618882, 50.302918, 50.530291
0.996300, 46.390328, 50.279762, 50.513424
0.996314, 46.424937, 50.316647, 50.569179
0.996831, 46.853202, 50.606551, 50.926949
