ms-ssim, psnr-y, psnr-u, psnr-v
0.998963, 49.207738, 51.831728, 53.500588
0.999004, 49.208118, 51.850686, 53.468772
0.998916, 48.362317, 51.872536, 53.523821
0.998919, 48.703894, 51.821619, 53.429198
0.998899, 48.493494, 51.768198, 53.418804
0.999087, 49.203247, 51.848068, 53.551446
0.998978, 48.474111, 51.747255, 53.343911
0.999007, 48.637359, 51.798618, 53.377724
0.999065, 48.700583, 51.839292, 53.521930
0.998999, 48.412157, 51.743875, 53.245615
0.998969, 48.168967, 51.728052, 53.218220
0.998921, 47.933805, 51.743398, 53.244758
0.998964, 47.671846, 51.731851, 53.251188
0.998995, 48.180306, 51.638655, 53.152668
0.998934, 47.771701, 51.579619, 53.091160
0.999277, 49.465027, 52.354400, 54.190180
0.999269, 49.290772, 52.373985, 54.287263
0.999356, 50.010364, 52.624540, 54.422933
0.999436, 50.530783, 52.852368, 54.810893
0.999519, 50.789387, 53.168152, 55.671331
0.999612, 51.279230, 53.399927, 56.066691
0.999636, 51.431788, 53.510400, 56.227365
0.999587, 50.742738, 53.564073, 56.239299
0.999587, 50.535371, 53.585928, 56.160033
0.999677, 51.422477, 53.684542, 56.365746
0.999707, 51.532757, 53.936998, 56.653933
0.999717, 51.514724, 53.962622, 56.683819
0.999717, 51.508627, 53.956707, 56.698026
0.999706, 51.227179, 53.944396, 56.666428
0.999674, 50.806360, 53.841108, 56.525061
0.999679, 50.955753, 53.826811, 56.604046
0.999744, 51.487712, 54.037770, 56.909641
0.999742, 51.471278, 54.030724, 56.899550
0.999710, 51.026341, 53.910811, 56.722762
0.999696, 50.808359, 53.858693, 56.671139
0.999706, 50.854098, 53.806916, 56.580371
0.999698, 50.677536, 53.794675, 56.488747
0.999695, 50.650068, 53.781083, 56.494175
0.999683, 50.557051, 53.766982, 56.333476
0.999707, 50.649563, 53.829401, 56.373914
0.999696, 50.419808, 53.770987, 56.329864
0.999693, 50.402393, 53.765740, 56.313831
0.999687, 50.341640, 53.722901, 56.339087
0.999661, 50.284448, 53.620619, 56.266945
0.999694, 50.433184, 53.704768, 56.306395
0.999708, 50.595864, 53.764291, 56.458887
0.999708, 50.598683, 53.757469, 56.437519
0.999682, 50.584432, 53.735626, 56.353335
0.999720, 50.815418, 53.881732, 56.454528
0.999667, 50.544710, 53.609690, 56.282928
0.999690, 50.684436, 53.667377, 56.326005
0.999693, 50.741036, 53.675072, 56.330237
0.999689, 50.706457, 53.623623, 56.318920
0.999629, 50.152436, 53.280642, 55.996018
0.999656, 50.402886, 53.397645, 56.044132
0.999648, 50.555346, 53.305641, 55.977150
0.999708, 50.913513, 53.699261, 56.423120
0.999712, 50.939113, 53.724473, 56.515304
0.999654, 50.582824, 53.547245, 56.325259
0.999618, 50.382760, 53.396884, 56.174185
0.999710, 50.826195, 54.102595, 56.861528
0.999680, 50.723768, 53.910739, 56.764534
0.999676, 50.692504, 53.900123, 56.774729
0.999641, 50.576844, 53.739122, 56.636928
0.999679, 50.716702, 53.759191, 56.621188
0.999636, 50.493048, 53.566972, 56.581558
0.999649, 50.561296, 53.567961, 56.494692
0.999655, 50.643676, 53.566577, 56.497668
0.999658, 50.625032, 53.531855, 56.495727
0.999580, 50.085167, 53.257075, 56.198760
0.999623, 50.420215, 53.344350, 56.263143
0.999628, 50.484791, 53.323674, 56.278743
0.999636, 50.579991, 53.319190, 56.270015
0.999570, 50.358506, 53.006869, 55.958935
0.999594, 50.643314, 53.128055, 56.054404
0.999686, 50.938960, 53.680684, 56.481521
0.999687, 50.948489, 53.708851, 56.577206
0.999613, 50.655686, 53.392767, 56.289215
0.999624, 50.674462, 53.361791, 56.226149
0.999629, 50.768845, 53.408752, 56.250287
0.999695, 51.100587, 53.598457, 56.456835
0.999698, 51.165611, 53.599718, 56.445568
0.999663, 50.962423, 53.512027, 56.320287
0.999643, 50.954037, 53.372239, 56.131034
0.999681, 50.997924, 53.469867, 56.282682
0.999649, 50.857425, 53.410849, 56.168183
0.999664, 50.874108, 53.422499, 56.203474
0.999665, 50.894692, 53.420906, 56.215221
0.999676, 50.957595, 53.431497, 56.166144
0.999637, 50.866139, 53.295166, 56.005021
0.999647, 50.818996, 53.478576, 56.364491
0.999708, 51.110047, 53.624023, 56.494046
0.999708, 51.108644, 53.652497, 56.496244
0.999662, 50.927559, 53.410086, 56.263633
0.999646, 50.802496, 53.387705, 56.129488
0.999652, 50.876590, 53.431753, 56.205410
0.999710, 51.169698, 53.603837, 56.382980
0.999713, 51.216656, 53.648197, 56.362860
0.999666, 50.947975, 53.543376, 56.291065
0.999645, 50.828229, 53.353940, 56.088426
0.999711, 51.155718, 53.565654, 56.278866
0.999712, 51.226679, 53.563283, 56.264982
0.999672, 50.983940, 53.458796, 56.156084
0.999665, 50.970371, 53.438722, 56.150943
0.999684, 51.002577, 53.485427, 56.204926
0.999687, 51.030234, 53.510400, 56.271366
0.999686, 51.019929, 53.506954, 56.263020
0.999680, 50.953026, 53.524017, 56.311723
0.999717, 51.147564, 53.678655, 56.449150
0.999689, 51.065333, 53.608026, 56.394086
0.999692, 51.055083, 53.576605, 56.412194
0.999693, 51.081516, 53.560913, 56.420323
0.999691, 51.072025, 53.574360, 56.359097
0.999625, 50.454728, 53.320871, 55.901924
0.999673, 50.911760, 53.534733, 56.335720
0.999694, 51.125092, 53.660974, 56.467618
0.999734, 51.321652, 53.839985, 56.668042
0.999740, 51.357731, 53.889818, 56.712551
0.999703, 51.142244, 53.760086, 56.585254
0.999682, 51.035667, 53.675748, 56.532751
0.999761, 51.398210, 54.186758, 57.289170
0.999747, 51.384103, 54.137101, 57.281567
0.999746, 51.374327, 54.133496, 57.257143
0.999735, 51.245078, 54.039533, 57.235769
0.999756, 51.377630, 54.121199, 57.255294
0.999732, 51.222952, 54.015206, 57.124017
0.999744, 51.263603, 54.043724, 57.181503
0.999744, 51.276623, 54.049980, 57.170005
0.999751, 51.345276, 54.037329, 57.174389
0.999716, 51.025634, 53.883858, 56.938480
0.999733, 51.160799, 53.852003, 56.968232
0.999735, 51.182011, 53.817375, 56.961603
0.999743, 51.286143, 53.934200, 56.894442
0.999718, 51.154177, 53.785586, 56.839630
0.999710, 51.133119, 53.712325, 56.765772
0.999762, 51.401181, 54.036521, 57.046381
0.999761, 51.393223, 54.105429, 57.056525
0.999730, 51.181564, 54.006592, 56.997319
0.999734, 51.169167, 53.926246, 56.955703
0.999735, 51.190896, 53.887263, 56.968521
0.999769, 51.418768, 54.107891, 57.052259
0.999771, 51.438717, 54.094996, 57.046821
0.999740, 51.129348, 53.943462, 56.926750
0.999724, 51.077780, 53.763740, 56.817842
0.999765, 51.412583, 53.993703, 56.954696
0.999737, 51.192823, 53.883717, 56.887216
0.999748, 51.226708, 53.910026, 56.884810
0.999749, 51.242820, 53.898772, 56.879437
0.999755, 51.329352, 53.927105, 56.877883
0.999718, 50.971749, 53.704291, 56.621455
0.999723, 50.954371, 53.891948, 56.890899
0.999769, 51.281273, 54.008415, 56.991225
0.999768, 51.261616, 54.033292, 57.043885
0.999739, 51.015441, 53.965511, 56.911776
0.999740, 51.037066, 53.924886, 56.833055
0.999725, 50.978199, 53.878261, 56.806294
0.999751, 51.154309, 54.028891, 56.682198
0.999755, 51.161234, 54.068656, 56.744899
0.999717, 50.840700, 53.930974, 56.621987
0.999693, 50.748719, 53.683526, 56.423375
0.999728, 50.944605, 53.812212, 56.625451
0.999737, 51.021433, 53.844830, 56.576679
0.999704, 50.766380, 53.793286, 56.489135
0.999683, 50.694076, 53.706401, 56.390044
0.999708, 50.858219, 53.528653, 56.311971
0.999708, 50.804406, 53.488727, 56.323518
0.999711, 50.824950, 53.454427, 56.313583
0.999679, 50.677807, 53.294237, 56.254691
0.999698, 50.797277, 53.292505, 56.336967
0.999655, 50.620724, 53.135687, 56.060485
0.999685, 50.726800, 53.305579, 56.180917
0.999688, 50.744347, 53.314648, 56.176949
0.999681, 50.694714, 53.244941, 56.120936
0.999622, 50.161295, 53.398025, 55.962710
