ms-ssim, psnr-y, psnr-u, psnr-v
0.994867, 42.161851, 48.470201, 47.713160
0.993753, 41.483507, 47.886931, 47.160482
0.992886, 40.759603, 47.522416, 46.619218
0.991701, 39.989080, 47.223148, 46.322760
0.992108, 40.221736, 47.129582, 46.562114
0.992233, 40.509438, 47.305100, 46.760806
0.992524, 40.662017, 47.469292, 46.642170
0.992433, 40.696267, 47.311963, 46.507787
0.992401, 40.567611, 47.209024, 46.580938
0.991802, 40.327696, 46.776868, 46.159351
0.992674, 40.756238, 47.262665, 46.563966
0.992336, 40.604820, 46.932196, 46.248161
0.991590, 40.158953, 46.491512, 45.850007
0.991370, 39.976795, 46.606792, 46.142062
0.989969, 39.230882, 46.180508, 45.808477
0.987123, 38.408920, 45.354075, 45.187768
0.986027, 38.177763, 45.196219, 44.783797
0.985417, 38.055299, 45.039772, 44.782742
0.983867, 37.731653, 44.418200, 44.243669
0.982969, 37.514924, 44.358829, 44.289683
0.979818, 36.760809, 43.897975, 43.741530
0.977472, 36.282563, 43.563191, 43.437749
0.975523, 36.065632, 43.845146, 43.534746
0.973109, 35.686629, 43.612640, 42.993641
0.972752, 35.910833, 44.002357, 43.593752
0.969448, 35.063582, 43.818528, 43.253358
0.970338, 35.678606, 44.254040, 43.893568
0.969986, 35.786392, 44.049045, 43.734914
0.972079, 36.407795, 44.404496, 44.286664
0.971258, 36.115588, 44.180537, 43.980722
0.978968, 37.163260, 45.322731, 44.972248
0.976838, 37.013626, 45.052687, 44.710383
0.975494, 36.751520, 45.029091, 44.752252
0.978918, 37.107092, 44.889248, 44.779979
0.982880, 38.061328, 45.484091, 45.339489
0.980749, 37.465539, 45.183568, 45.023631
0.981471, 38.069558, 45.487084, 45.301307
0.981275, 37.691505, 45.205128, 45.164180
0.983713, 38.308059, 45.994105, 45.780585
0.981833, 37.752756, 45.243682, 45.198521
0.979740, 36.402577, 44.181569, 44.767405
0.979900, 36.805057, 44.207865, 44.787479
0.982904, 37.552126, 44.938270, 45.316919
0.980193, 37.263134, 44.416277, 44.815810
0.977963, 36.721011, 44.293359, 44.630882
0.976087, 36.887287, 44.542428, 44.553010
0.978400, 36.955275, 44.593858, 44.813008
0.974089, 37.041520, 44.832060, 44.627263
0.976701, 37.445246, 44.865480, 44.716261
0.977615, 37.464216, 44.838220, 44.830737
