ms-ssim, psnr-y, psnr-u, psnr-v
0.997714, 47.465433, 51.173267, 50.635178
0.997178, 46.815015, 51.010755, 50.327699
0.997096, 46.864992, 50.670824, 50.101108
0.996801, 46.617545, 50.380220, 50.201934
0.997365, 47.369849, 50.906543, 50.477391
0.997065, 47.017767, 50.918381, 50.629277
0.997113, 47.099001, 51.076220, 50.586763
0.997188, 47.246132, 51.140010, 50.697666
0.997623, 47.896448, 51.305843, 50.971713
0.997314, 47.401848, 51.231152, 50.844307
0.997252, 47.383729, 51.306979, 50.717215
0.997302, 47.425226, 51.283230, 50.834425
0.997500, 47.644198, 51.284789, 50.759478
0.997169, 47.246393, 51.166512, 50.648755
0.996971, 47.009023, 51.036293, 50.579171
0.996739, 46.700323, 50.891069, 50.491814
0.996695, 46.601112, 50.595631, 50.182663
0.996874, 46.871514, 50.970299, 50.588721
0.996998, 47.107653, 50.931581, 50.564093
0.997225, 47.427522, 51.130899, 50.780695
0.997488, 47.639335, 51.193023, 50.710587
0.997600, 47.831310, 51.421793, 51.059428
0.997615, 47.787269, 51.420707, 51.088345
0.997675, 47.860889, 51.578994, 51.242173
0.997968, 48.355537, 51.797171, 51.481806
0.997782, 48.077235, 51.805598, 51.513975
0.997891, 48.314900, 51.846604, 51.528294
0.997977, 48.412931, 51.971175, 51.736821
0.998316, 48.898790, 52.387124, 52.027169
0.998165, 48.831384, 52.296021, 52.059280
0.998273, 48.994091, 52.408927, 52.084128
0.998267, 49.027909, 52.497816, 52.146356
0.998628, 49.635658, 52.946750, 52.532111
0.998377, 49.334832, 52.584093, 52.342701
0.998480, 49.501463, 52.755127, 52.516974
0.998504, 49.522499, 52.850021, 52.546520
0.998664, 49.783202, 53.007217, 52.691093
0.998572, 49.865016, 52.902355, 52.618231
0.998610, 49.825607, 52.911923, 52.552047
0.998750, 50.166925, 53.143212, 52.802066
0.998810, 50.184379, 53.160403, 52.745461
0.998658, 49.960211, 52.988198, 52.623638
0.998664, 49.918980, 52.919071, 52.523033
0.998634, 49.911191, 53.041475, 52.567203
0.998758, 50.114063, 53.184656, 52.597305
0.998633, 49.918632, 52.991949, 52.502198
0.998613, 49.957311, 52.955958, 52.314307
0.998616, 49.982327, 53.256891, 52.708473
0.998745, 50.101152, 53.294175, 52.676626
0.998533, 49.782140, 53.108560, 52.461286
0.998532, 49.649153, 52.952581, 52.404033
0.998445, 49.521675, 52.925718, 52.265976
0.998622, 49.619435, 52.986698, 52.403227
0.998448, 49.379236, 52.886662, 52.151111
0.998497, 49.508686, 52.815183, 52.098439
0.998377, 49.213369, 52.664724, 52.025135
0.998637, 49.664843, 52.881087, 52.283252
0.998362, 49.180649, 52.540480, 51.983287
0.998430, 49.410696, 52.508753, 51.877447
0.998383, 49.355912, 52.712044, 52.202841
0.998598, 49.713343, 52.917879, 52.341259
0.998286, 49.140359, 52.488449, 51.918960
0.998343, 49.202252, 52.647944, 52.139140
0.998213, 48.964808, 52.391346, 51.890150
0.998565, 49.473364, 52.841034, 52.446444
0.998231, 48.880209, 52.218611, 51.841950
0.998318, 48.914531, 52.351211, 52.045701
0.998143, 48.573017, 51.968940, 51.676530
0.998503, 49.232858, 52.467063, 52.273406
0.998117, 48.598669, 51.991532, 51.956504
0.998184, 48.675408, 52.034897, 51.923923
0.998159, 48.571624, 52.184922, 52.030777
0.998424, 49.056572, 52.287914, 52.220399
0.998003, 48.369067, 51.986720, 51.867498
0.998003, 48.251680, 51.983744, 51.878162
0.997921, 48.060256, 51.948461, 51.760060
0.998218, 48.455932, 52.035221, 51.925593
0.997999, 48.164619, 52.134256, 51.984065
0.997946, 48.077407, 51.844387, 51.737599
0.997934, 48.110541, 51.969396, 51.811225
0.998256, 48.453962, 52.076640, 51.971769
0.997937, 48.156980, 52.009544, 51.729864
0.997928, 48.090824, 51.930564, 51.548826
0.997881, 48.103698, 52.037213, 51.790818
0.998120, 48.257799, 52.012953, 51.730814
0.997848, 48.083803, 51.872447, 51.597590
0.997882, 48.081608, 51.836814, 51.546011
0.997881, 48.070551, 51.795418, 51.717535
0.998098, 48.289810, 51.888807, 51.702879
0.997857, 48.102813, 51.610969, 51.453437
0.997864, 48.134627, 51.786879, 51.513194
0.997802, 48.114046, 51.635317, 51.381363
0.998194, 48.605960, 52.047326, 51.918599
0.997766, 48.082572, 51.464673, 51.455463
0.997877, 48.171820, 51.653138, 51.553383
0.997922, 48.259624, 51.800988, 51.582957
0.998217, 48.641868, 51.975650, 51.779974
0.998018, 48.485960, 51.876196, 51.711383
0.998027, 48.488471, 51.841197, 51.549654
0.998065, 48.523314, 51.904464, 51.701721
0.998230, 48.678759, 51.865671, 51.670436
0.998097, 48.527029, 51.945964, 51.788367
0.998100, 48.545903, 51.838805, 51.584961
0.998116, 48.608447, 52.009038, 51.639712
0.998242, 48.648377, 51.934047, 51.575326
0.998093, 48.605529, 51.803051, 51.585504
0.998030, 48.450993, 51.665371, 51.397770
0.998264, 48.964465, 52.099755, 51.878966
0.998396, 48.943857, 52.022087, 51.770855
0.998204, 48.735324, 51.906936, 51.832833
0.998189, 48.659795, 51.983927, 51.764279
0.998149, 48.609236, 51.837610, 51.625191
0.998286, 48.645012, 51.971723, 51.733708
0.998145, 48.616650, 51.877179, 51.630968
0.998150, 48.606596, 51.972043, 51.678876
0.998131, 48.545239, 51.799408, 51.535719
0.998273, 48.587007, 51.906082, 51.639078
0.998142, 48.618949, 51.948824, 51.590685
0.998126, 48.618807, 51.969168, 51.638613
0.998121, 48.550614, 51.758409, 51.525368
0.998271, 48.686512, 51.920358, 51.582874
0.998095, 48.605849, 51.880709, 51.408863
0.998184, 48.750570, 52.116098, 51.747861
0.998081, 48.592056, 51.763279, 51.510320
0.998329, 48.729689, 51.880128, 51.596250
0.998152, 48.670064, 51.902172, 51.600480
0.998152, 48.625149, 51.969304, 51.550607
0.998138, 48.658481, 51.827708, 51.443241
0.998315, 48.662724, 51.821046, 51.450319
0.998174, 48.588216, 51.951186, 51.543074
0.998187, 48.592674, 52.050765, 51.536214
0.998156, 48.613679, 51.933957, 51.439807
0.998327, 48.633019, 51.842747, 51.285256
0.998143, 48.555771, 51.975833, 51.437142
0.998159, 48.549077, 51.965474, 51.349526
0.998146, 48.507821, 51.872269, 51.384153
0.998324, 48.700288, 51.782726, 51.303220
0.998293, 48.834076, 52.208621, 51.774300
0.998183, 48.544073, 51.797171, 51.237391
0.998198, 48.604630, 51.992129, 51.445788
0.998367, 48.741666, 51.881603, 51.298761
0.998223, 48.606459, 51.979170, 51.401931
0.998193, 48.541260, 51.819723, 51.233461
0.998170, 48.556837, 52.001310, 51.405977
0.998376, 48.742951, 51.988690, 51.263487
0.998210, 48.655842, 52.042406, 51.294971
0.998234, 48.632606, 51.810565, 51.173950
0.998184, 48.616002, 52.026892, 51.353325
0.998374, 48.819235, 52.038464, 51.312348
0.998184, 48.677401, 52.135062, 51.475857
0.998238, 48.732536, 51.993046, 51.342452
0.998208, 48.733472, 52.145264, 51.439161
0.998295, 48.891631, 52.049975, 51.274319
0.997961, 48.442429, 51.785961, 51.195923
0.998142, 48.708586, 51.893466, 51.222807
0.998169, 48.812267, 52.097123, 51.344387
0.998372, 49.016407, 52.030221, 51.262983
0.998221, 48.884119, 52.160302, 51.293878
0.998240, 48.911738, 51.966249, 51.167460
0.998209, 48.945647, 52.071640, 51.230651
0.998374, 49.039378, 52.073368, 51.338505
0.998195, 48.961897, 52.018486, 51.182962
0.998214, 48.943306, 51.978941, 51.184295
0.998226, 49.039710, 52.047652, 51.220234
0.998385, 49.179904, 52.197933, 51.507325
0.998255, 49.135071, 52.136816, 51.381324
0.998224, 49.042342, 52.086659, 51.434480
0.998382, 49.513303, 52.497353, 51.900196
0.998558, 49.597991, 52.588878, 52.193416
0.998346, 49.340226, 52.595460, 52.026013
0.998341, 49.304686, 52.476999, 51.939752
0.998309, 49.313556, 52.559409, 51.950641
0.998512, 49.544878, 52.597094, 52.119969
0.998325, 49.295058, 52.487113, 51.904509
0.998307, 49.191987, 52.451385, 51.821619
0.998345, 49.276350, 52.563540, 51.869771
0.998492, 49.434858, 52.567307, 51.986583
0.998336, 49.315822, 52.403428, 51.903969
0.998276, 49.163041, 52.299958, 51.782770
0.998240, 49.097130, 52.353802, 51.808542
0.998426, 49.301939, 52.400656, 51.868033
0.998259, 49.102832, 52.342303, 51.793928
0.998412, 49.455069, 52.620033, 52.024304
0.998532, 49.421916, 52.567622, 52.058348
0.998293, 49.144577, 52.468956, 51.867854
0.998277, 49.071733, 52.278351, 51.703222
0.998271, 49.069931, 52.309223, 51.717750
0.998491, 49.345882, 52.462410, 51.943515
0.998294, 49.091048, 52.315493, 51.715469
0.998284, 49.047623, 52.151396, 51.593487
0.998258, 49.023780, 52.330488, 51.649576
0.998457, 49.221406, 52.295579, 51.727749
0.998278, 48.977319, 52.220689, 51.587049
0.998246, 48.962930, 52.151444, 51.590058
0.998223, 48.894490, 52.285018, 51.586047
0.998430, 49.157982, 52.242156, 51.673588
0.998188, 48.834569, 52.062634, 51.337282
0.998285, 48.964380, 52.384714, 51.512701
0.998160, 48.782916, 52.080476, 51.351543
0.998409, 48.972987, 52.327614, 51.598134
0.998183, 48.770061, 52.112466, 51.430045
0.998164, 48.696947, 51.767806, 51.181364
0.998152, 48.652291, 51.915759, 51.228958
0.998335, 48.726332, 52.001172, 51.219467
0.998161, 48.647427, 51.929389, 51.190277
0.998186, 48.659944, 51.957141, 51.222615
0.998176, 48.606470, 51.921621, 51.161585
0.998305, 48.592879, 51.912921, 51.207086
0.998163, 48.531332, 51.903250, 51.088121
0.998182, 48.553340, 51.829386, 51.048380
0.998154, 48.530644, 51.871957, 51.198673
0.998270, 48.511687, 51.901049, 51.162911
0.998218, 48.709711, 52.184538, 51.304434
0.998151, 48.440834, 51.776263, 50.993923
0.998120, 48.382888, 51.711297, 50.911403
0.998351, 48.465893, 51.903520, 51.115056
0.998121, 48.181106, 51.671884, 50.935390
0.998169, 48.175999, 51.651738, 50.854530
0.998084, 48.085267, 51.582331, 50.805086
0.998350, 48.375259, 51.813909, 51.085925
0.998090, 48.048476, 51.604085, 50.830843
0.998153, 48.078795, 51.568665, 50.801633
0.998107, 47.969937, 51.414038, 50.702741
0.998284, 48.133882, 51.537783, 50.883815
0.998090, 47.928355, 51.488539, 50.735719
0.998159, 47.964945, 51.334207, 50.693379
0.998033, 47.790300, 51.244373, 50.547619
0.998322, 48.063010, 51.546963, 50.726800
0.997976, 47.610227, 50.885485, 50.184568
0.998116, 47.584625, 50.999028, 50.280473
0.998102, 47.523682, 51.092108, 50.284402
0.998274, 47.697693, 51.154810, 50.332140
0.998058, 47.408507, 51.086744, 50.167211
0.998064, 47.461311, 50.968016, 50.211815
0.998046, 47.412115, 50.859438, 50.122941
0.998302, 48.314232, 51.783644, 51.041006
0.998105, 48.374506, 51.958324, 51.461953
0.998160, 48.617120, 52.304883, 51.826957
0.998203, 48.893692, 52.859418, 52.339570
0.998472, 49.430572, 53.076242, 52.543395
0.998281, 49.303668, 52.940184, 52.443644
0.998352, 49.374352, 52.711773, 52.246627
0.998300, 49.448598, 53.071712, 52.579313
0.998622, 50.132083, 53.508254, 53.018587
0.998415, 49.723280, 53.342472, 52.887282
0.998431, 49.655455, 53.069713, 52.675767
0.998329, 49.428170, 53.046734, 52.707554
0.998578, 49.780362, 53.279778, 52.689746
0.998251, 49.197906, 52.893486, 52.618549
0.998372, 49.076435, 52.874058, 52.429673
0.999058, 51.115216, 54.412432, 54.087337
0.998274, 49.334378, 53.145963, 52.922194
0.998228, 49.186185, 52.791138, 52.580416
0.998100, 48.940863, 52.693032, 52.434342
0.998382, 49.349375, 52.909317, 52.557476
0.998100, 48.990401, 52.669009, 52.423084
0.998182, 49.067100, 52.622577, 52.358240
0.998196, 49.115784, 52.914305, 52.545166
0.998454, 49.584192, 53.065248, 52.589510
0.998210, 49.182924, 52.722883, 52.408019
0.998254, 49.169555, 52.671100, 52.315888
0.998171, 49.116239, 52.706797, 52.367330
0.998474, 49.566428, 52.963637, 52.551369
0.998236, 49.180282, 52.722395, 52.356344
0.998327, 49.265878, 52.630910, 52.315493
0.998267, 49.264189, 52.746880, 52.331579
0.998464, 49.604139, 53.089447, 52.582832
0.998198, 49.097366, 52.684472, 52.281291
0.998211, 49.048572, 52.539544, 52.167028
0.998106, 48.840697, 52.520598, 52.186360
0.998402, 49.243987, 52.912717, 52.529567
0.998174, 48.936124, 52.661619, 52.400707
0.998162, 48.881558, 52.772381, 52.551786
0.998491, 49.426798, 53.042176, 52.822783
0.998170, 48.899352, 52.714535, 52.439931
0.998183, 48.926214, 52.692386, 52.401110
0.998125, 48.904947, 52.708906, 52.418074
0.998404, 49.197556, 52.872148, 52.513042
0.998084, 48.788483, 52.547875, 52.456537
0.998157, 48.873466, 52.603636, 52.412311
0.998056, 48.713929, 52.498641, 52.313566
0.998348, 49.059407, 52.734566, 52.445018
0.998079, 48.693636, 52.586669, 52.222672
0.998094, 48.603642, 52.571393, 52.197789
0.998046, 48.513668, 52.557946, 52.242205
0.998321, 48.870610, 52.688346, 52.386974
0.998026, 48.581101, 52.370281, 52.273896
0.998118, 48.709199, 52.668313, 52.511595
0.998087, 48.766945, 52.586564, 52.355846
0.998427, 49.208813, 52.812191, 52.610187
0.998145, 48.860268, 52.657234, 52.490506
0.998109, 48.814743, 52.627883, 52.494057
0.998105, 48.803642, 52.606646, 52.545739
0.998298, 48.893270, 52.709609, 52.589878
0.998131, 48.789794, 52.574696, 52.583673
0.998108, 48.737383, 52.507100, 52.534397
0.998092, 48.719257, 52.379597, 52.433073
0.998181, 48.662207, 52.549960, 52.415950
0.998084, 48.583501, 52.450060, 52.336441
0.997916, 48.218336, 52.349866, 52.245947
