ms-ssim, psnr-y, psnr-u, psnr-v
0.996565, 42.620644, 45.944088, 46.083458
0.995203, 41.429895, 45.621502, 45.707613
0.994582, 40.579091, 45.622158, 45.785086
0.996274, 41.581973, 45.650453, 45.589099
0.995275, 40.627203, 45.579388, 45.531146
0.995192, 40.232843, 45.182469, 45.223841
0.994771, 39.984658, 45.595728, 45.446227
0.995556, 41.214649, 45.300325, 45.287554
0.994431, 40.408728, 45.199750, 45.104661
0.994300, 39.959706, 45.146841, 44.879982
0.994379, 39.903044, 45.400751, 45.013688
0.994818, 40.198278, 44.983201, 44.806796
0.991213, 38.424847, 44.210448, 43.981527
0.988395, 37.479312, 43.619058, 43.340313
0.985868, 36.713540, 42.759415, 42.560073
0.987299, 37.235609, 42.973899, 42.598412
0.985164, 36.757576, 42.644665, 42.335910
0.985601, 37.167189, 42.510840, 42.150745
0.988147, 37.992729, 42.778192, 42.445308
0.987706, 37.846581, 43.045220, 42.392437
0.988087, 37.982188, 43.005363, 42.377847
0.987813, 37.782145, 43.097414, 42.364866
0.989270, 38.790785, 42.975837, 42.794242
0.989622, 39.858517, 43.456438, 43.220003
0.990922, 41.415344, 44.517395, 44.109302
0.993454, 43.353187, 45.693825, 45.347119
0.994036, 43.883610, 46.395539, 46.096537
0.994170, 43.753111, 46.480000, 46.057034
0.994087, 43.542459, 46.463584, 46.109264
0.992826, 42.994555, 46.190975, 45.814654
0.993996, 43.116478, 45.917159, 45.715972
0.992614, 41.817972, 45.195883, 45.001007
0.991768, 41.264498, 44.799892, 44.839996
0.993649, 42.045828, 45.011086, 45.033162
0.993712, 41.950822, 44.939210, 44.966313
0.993576, 41.601483, 44.696837, 44.930071
0.992102, 40.176932, 44.193841, 44.641277
0.992796, 40.536315, 44.181121, 44.516296
0.992130, 39.916167, 44.070106, 44.519069
0.995312, 43.619311, 46.030095, 46.174774
0.991413, 41.097297, 44.703476, 45.073913
0.990229, 40.558365, 44.154541, 44.583144
0.990045, 40.354698, 44.226666, 44.707905
0.992979, 41.825097, 44.588043, 44.943189
0.990780, 40.643012, 44.518618, 44.869953
0.992838, 41.571478, 44.539352, 44.950451
0.990715, 39.679100, 44.284153, 44.765364
0.991013, 39.780037, 44.298090, 44.717549
0.991766, 40.207144, 44.527677, 44.927087
0.993189, 41.109746, 44.498292, 44.811437
0.992782, 40.715318, 45.135733, 45.667224
0.993868, 41.405976, 44.910487, 45.240493
0.992570, 40.114492, 44.736427, 45.338181
0.992874, 40.151296, 44.922717, 45.417814
0.993425, 40.590355, 45.220377, 45.682665
0.993637, 40.683345, 44.819018, 45.215915
0.993497, 40.485280, 45.237229, 45.549573
0.992990, 40.161227, 44.936824, 45.311164
0.992850, 40.132037, 45.087642, 45.465551
0.993599, 40.669906, 45.176536, 45.462103
0.993207, 40.378623, 45.399786, 45.673985
0.993258, 40.301130, 45.513519, 45.753907
0.993029, 40.245760, 45.090495, 45.278230
0.993605, 40.524621, 45.284274, 45.391251
0.993610, 40.604506, 45.294474, 45.545892
0.993556, 40.537989, 45.654022, 45.981584
0.993504, 40.478246, 45.390820, 45.622550
0.993629, 40.562252, 45.491557, 45.737048
0.993863, 40.683206, 45.862859, 46.064161
0.993333, 40.444509, 45.397826, 45.652978
0.993289, 40.409120, 45.301170, 45.630142
0.993554, 40.356600, 45.291983, 45.639585
0.992692, 39.910185, 45.107630, 45.459025
0.992899, 39.978964, 45.055110, 45.404190
0.992231, 39.367694, 44.889221, 45.221583
0.995400, 43.743236, 46.238860, 46.565491
0.993273, 42.309853, 45.606361, 46.103008
0.991767, 41.129465, 45.300099, 45.634182
0.994480, 42.539281, 45.362637, 45.601799
0.993104, 41.358325, 45.389436, 45.530649
0.993110, 41.152386, 45.225318, 45.513839
0.994939, 42.119457, 45.278904, 45.562023
0.993355, 40.318957, 45.438878, 45.807362
0.993783, 40.719864, 45.257278, 45.582154
0.993976, 40.903399, 45.542494, 45.789888
0.994896, 41.572013, 45.405780, 45.735170
0.994014, 41.109620, 45.503471, 45.824230
0.993924, 40.955215, 45.497094, 45.787382
0.993589, 40.808314, 45.443180, 45.791285
0.994522, 41.307553, 45.378790, 45.702869
0.993547, 40.992520, 45.424420, 45.739743
0.993656, 40.944460, 45.366884, 45.580572
0.993143, 40.759110, 45.348191, 45.590411
0.994305, 41.286430, 45.471995, 45.747282
0.993184, 40.580657, 45.341839, 45.748349
0.993250, 39.974939, 45.230313, 45.630386
0.993987, 40.726044, 45.428576, 45.846007
0.994565, 41.054571, 45.394854, 45.754496
0.994290, 40.859731, 46.025751, 46.286810
0.994041, 40.586836, 45.371375, 45.762945
0.994195, 40.714434, 45.839496, 46.153656
0.995254, 41.260248, 45.520934, 45.880292
0.994191, 40.471939, 45.689687, 46.025960
0.994531, 40.560952, 45.952207, 46.192700
0.994743, 40.737503, 45.721110, 45.990165
0.995348, 40.951852, 45.869338, 46.096784
0.995130, 40.885047, 45.967804, 46.194618
0.995111, 40.877062, 46.203982, 46.428301
0.994919, 40.694343, 45.799641, 46.158680
0.995329, 40.945996, 46.020310, 46.247245
0.995180, 40.806026, 46.131058, 46.284370
0.995290, 40.869000, 46.204805, 46.376292
0.995320, 40.884064, 45.990579, 46.219456
0.995470, 40.985680, 46.130011, 46.359737
0.995255, 40.807990, 46.174942, 46.400257
0.995295, 40.893512, 46.433220, 46.626358
0.995104, 40.742369, 45.981193, 46.223913
0.995436, 41.052165, 46.323792, 46.533665
0.994962, 40.725595, 45.989083, 46.285245
0.994864, 40.631701, 46.195294, 46.478105
0.994678, 40.427417, 45.799895, 46.139392
0.995314, 41.225863, 46.030235, 46.383421
0.994490, 40.514993, 46.172852, 46.514031
0.994711, 40.578889, 45.847734, 46.175014
0.995076, 40.715518, 46.086165, 46.642504
0.995646, 41.216554, 46.043899, 46.430403
0.995067, 40.949048, 46.331420, 46.665916
0.995066, 40.914613, 45.902578, 46.378885
0.995192, 40.816391, 46.192048, 46.654926
0.995631, 41.316724, 46.158142, 46.486358
0.994852, 40.685164, 46.200790, 46.590328
0.994699, 40.427964, 46.149067, 46.554673
0.994711, 40.403059, 45.904305, 46.362408
0.995715, 41.504602, 46.179305, 46.547336
0.995067, 41.066362, 46.348631, 46.807225
0.994962, 40.756789, 45.907490, 46.405030
0.995169, 40.871538, 46.152472, 46.583089
0.995505, 41.166498, 46.354675, 46.656335
0.995077, 41.060868, 46.073212, 46.401864
0.995103, 41.048728, 46.328295, 46.665970
0.994651, 40.882336, 45.960788, 46.354437
0.995005, 40.964302, 46.244118, 46.631333
0.993877, 40.508739, 45.608406, 46.027121
0.994395, 40.604324, 45.901619, 46.298649
0.994139, 40.754682, 45.889902, 46.274856
0.995307, 41.104304, 46.224970, 46.614788
0.994421, 40.901070, 46.008523, 46.316263
0.994464, 40.770319, 46.124438, 46.447883
0.993908, 40.454516, 45.765044, 46.016173
0.994985, 40.892638, 45.972022, 46.292460
0.993993, 40.407861, 45.659321, 46.066141
0.994196, 40.522337, 45.551540, 46.004616
0.993853, 40.520759, 45.524563, 45.955884
0.994145, 40.285196, 45.430742, 45.764465
0.993792, 40.372366, 45.158092, 45.439131
0.997241, 44.016640, 48.090614, 47.845024
0.995667, 42.671112, 47.489329, 47.256773
0.996287, 43.724302, 47.889212, 47.493510
0.995642, 43.026031, 47.704847, 47.447866
0.995480, 42.781549, 48.047168, 47.767083
0.996152, 43.867624, 48.392412, 48.176737
0.995066, 42.541306, 48.153653, 47.624677
0.995265, 42.127546, 47.908206, 47.402107
0.995550, 40.433140, 48.180053, 47.815877
0.995980, 40.983967, 48.140371, 47.693123
0.995218, 40.391396, 48.283519, 47.920760
0.995435, 40.543295, 48.290514, 47.945977
0.995420, 40.655958, 48.162796, 47.712081
0.996199, 41.278289, 48.413967, 47.886699
0.995756, 40.773546, 48.200883, 47.954855
0.995772, 40.824145, 48.357359, 47.987086
0.995873, 40.737227, 48.500533, 47.998883
0.996154, 41.056159, 48.534635, 47.912381
0.996128, 40.886179, 48.934848, 48.253323
0.995961, 40.856083, 48.489300, 47.838428
0.995990, 41.081098, 48.547044, 47.956485
0.996094, 40.944136, 48.521952, 48.073001
0.995875, 41.021919, 48.488584, 47.892833
0.995825, 40.868482, 48.689748, 48.249621
0.995534, 40.748186, 48.432173, 47.921694
0.995023, 40.102883, 48.300774, 47.910947
0.996960, 43.819844, 48.319691, 48.207459
0.995959, 41.986029, 47.243523, 47.115042
0.994856, 40.608457, 46.272963, 46.316052
0.994627, 41.351528, 45.649602, 45.510188
0.994034, 41.375266, 45.826048, 45.723881
0.995205, 41.983550, 46.026065, 45.795511
0.994222, 40.866470, 45.485484, 45.474796
0.994645, 41.049892, 45.398459, 45.359459
0.993969, 40.927373, 45.385888, 45.366465
0.994973, 41.817739, 45.445739, 45.278709
0.994798, 41.768543, 45.514448, 45.466306
0.994474, 41.802243, 45.443677, 45.376340
0.994367, 42.149406, 45.234123, 45.265299
0.995479, 42.913077, 45.855183, 46.104521
0.994288, 41.847121, 44.845760, 45.261676
0.995026, 42.571044, 45.298626, 45.583402
0.994284, 42.206499, 45.212525, 45.481519
0.995260, 42.810207, 45.785899, 45.769178
0.994370, 41.056397, 45.624095, 45.502380
0.995544, 42.489092, 46.218315, 46.057981
0.994612, 41.655873, 46.232293, 46.021968
0.994446, 40.733853, 46.071499, 45.825006
0.995462, 41.299487, 46.045683, 45.699874
0.994575, 39.575272, 45.870861, 45.771707
0.995107, 40.172535, 45.749417, 45.625619
0.994473, 40.155987, 45.965605, 45.698754
0.995225, 40.826856, 45.894528, 45.612880
0.994384, 40.304513, 45.746172, 45.594772
0.995154, 40.742198, 46.173164, 45.920376
0.994649, 40.473054, 46.162956, 45.907128
0.994716, 40.630464, 46.127075, 45.878104
0.994270, 40.035340, 45.985309, 45.862881
0.994533, 40.160208, 45.792506, 45.642783
0.994159, 39.688664, 45.859885, 45.864760
0.994712, 40.161078, 46.067547, 45.947621
0.994525, 40.366125, 46.713231, 46.684845
0.995521, 40.906445, 46.763956, 46.687535
0.994874, 40.097819, 46.947370, 46.986443
0.994619, 40.129291, 46.916391, 46.957731
0.995196, 40.507169, 47.214668, 47.072731
0.995388, 40.627445, 46.992820, 47.045779
0.995740, 40.147105, 46.918686, 47.096330
0.995328, 38.812813, 47.008368, 47.228245
0.995318, 39.632568, 47.121059, 47.288005
0.994987, 39.099877, 47.088924, 47.229225
0.997347, 43.434502, 47.515556, 47.503580
0.996360, 42.186928, 47.888178, 47.752736
0.995866, 41.705758, 47.160452, 47.103183
0.995447, 41.204180, 46.909442, 46.824423
0.995999, 41.640351, 46.201334, 46.003692
0.995228, 41.158759, 46.746255, 46.397410
0.994936, 39.875246, 46.257274, 46.072402
0.996059, 41.882078, 46.400636, 46.319256
0.994834, 40.946465, 46.490246, 46.417298
0.995177, 41.097643, 46.313348, 46.234412
0.995599, 41.411736, 46.576745, 46.420157
0.996035, 41.680198, 46.307039, 46.228606
0.996352, 41.738979, 46.520609, 46.419496
0.995779, 40.956276, 46.534435, 46.435962
0.995769, 40.733986, 46.691160, 46.680956
0.995824, 40.984795, 46.442653, 46.428276
0.996147, 41.203468, 46.525881, 46.464252
0.995826, 40.886070, 46.350694, 46.334884
0.995662, 40.907122, 46.445005, 46.417768
0.996187, 41.596193, 46.549771, 46.497706
0.995727, 41.372490, 46.596281, 46.458336
0.995529, 41.034804, 46.594812, 46.375273
0.995537, 41.061204, 46.691999, 46.484036
0.996041, 41.426246, 46.516071, 46.341509
0.995681, 41.270433, 46.780831, 46.604033
0.996130, 41.578156, 46.758428, 46.681293
0.995496, 41.107880, 46.776509, 46.696765
0.996228, 41.522674, 46.827815, 46.692445
0.995547, 40.850787, 46.597963, 46.433641
0.995364, 40.256494, 46.532843, 46.312889
0.995778, 40.603170, 46.741680, 46.433335
0.996147, 40.893531, 46.656067, 46.507566
0.995740, 40.484781, 46.430327, 46.273504
0.995797, 40.510765, 46.792519, 46.601938
0.995643, 40.255722, 46.487804, 46.305082
0.996131, 41.172716, 46.610363, 46.433003
0.995974, 41.093499, 47.025330, 46.845333
0.995798, 40.696254, 46.667504, 46.559711
0.996174, 41.080660, 47.083293, 46.947126
0.996284, 41.243055, 46.749216, 46.672635
0.995108, 40.078681, 46.932010, 46.767576
0.995644, 40.780192, 46.796011, 46.793059
0.995860, 40.984964, 46.918272, 46.847941
0.996098, 41.017221, 47.041362, 46.909883
0.995868, 40.920589, 46.780941, 46.622693
0.995891, 40.893942, 47.163891, 47.033331
0.995803, 40.798584, 46.814611, 46.672742
0.995898, 40.867258, 47.044399, 47.020583
0.995581, 40.830736, 46.894470, 46.915279
0.995414, 40.898733, 46.754417, 46.867542
0.995450, 40.876615, 46.822638, 46.881261
0.994737, 40.738996, 46.614589, 46.688644
0.995333, 40.976164, 46.725966, 46.596096
0.994690, 40.865771, 46.653142, 46.428581
0.995236, 40.885465, 46.637102, 46.440264
0.994670, 40.550807, 46.533495, 46.216737
0.994764, 41.085798, 46.390562, 45.896365
0.994226, 41.397506, 46.586588, 46.026181
0.994982, 41.872049, 46.898556, 46.335096
0.994236, 41.907426, 47.002375, 46.599539
0.994970, 42.846342, 47.447350, 46.945504
0.994919, 43.233687, 47.509948, 47.176219
0.995790, 43.827675, 48.225858, 47.681260
0.995307, 42.889032, 47.927104, 47.550097
0.995542, 43.693759, 48.166120, 47.787709
0.995194, 43.731815, 48.439129, 47.827129
0.995756, 44.207915, 48.608153, 48.108224
0.995119, 43.185809, 48.252431, 47.825846
0.995470, 43.316091, 47.824371, 47.353782
0.994967, 42.677193, 47.496636, 47.019153
0.995372, 43.706261, 47.930739, 47.468661
0.995347, 43.897717, 47.927140, 47.626506
0.995540, 43.982408, 48.035775, 47.567182
0.995673, 44.100930, 47.907598, 47.560846
