ms-ssim, psnr-y, psnr-u, psnr-v
0.995967, 39.876421, 49.693929, 49.861427
0.994512, 38.595945, 48.764785, 48.705319
0.995096, 38.771040, 48.864490, 49.058981
0.994771, 38.538024, 48.713568, 48.803521
0.995860, 39.713057, 49.182395, 49.471650
0.994698, 39.343229, 48.766203, 48.977841
0.995114, 39.556021, 49.131901, 49.095194
0.994506, 38.936424, 48.930132, 48.810481
0.995606, 39.595378, 49.389928, 49.425464
0.994154, 38.296476, 48.693910, 48.967567
0.994344, 38.662003, 48.761580, 48.906744
0.993800, 38.675690, 48.845983, 48.900145
0.994600, 39.177909, 48.939523, 49.008071
0.992401, 38.563266, 48.358292, 48.326903
0.989206, 37.271841, 47.580181, 47.842377
0.984638, 35.242636, 46.744214, 47.080036
0.984376, 34.429291, 46.350231, 46.732682
0.980918, 33.322879, 45.420792, 46.372782
0.980947, 33.471063, 45.213189, 46.188636
0.978806, 33.278772, 45.053290, 46.019568
0.983791, 34.149927, 45.036803, 45.574750
0.980570, 33.619640, 44.651966, 44.679399
0.980532, 34.778073, 44.602700, 44.634049
0.978770, 34.319442, 44.559706, 44.275486
0.981737, 34.838674, 44.945759, 45.138732
0.979499, 34.836275, 45.201862, 45.497238
0.979891, 35.136137, 45.209147, 45.434012
0.978807, 35.313961, 45.381652, 45.328936
0.984665, 36.021269, 45.579419, 45.660538
0.980490, 35.691884, 45.318793, 45.277243
0.980990, 35.624644, 45.401032, 45.485054
0.981612, 36.212928, 46.060789, 45.978884
0.985032, 36.940767, 46.104355, 46.228958
0.982271, 36.562448, 46.288931, 46.729186
0.983078, 36.671328, 46.021296, 46.426276
0.982359, 36.292761, 46.166120, 46.627958
0.984264, 36.413616, 45.981055, 46.297277
0.981504, 36.151128, 46.506269, 46.785060
0.981048, 36.058928, 46.118350, 46.350482
0.979164, 35.731873, 46.230857, 46.622813
0.982669, 36.180257, 46.048016, 46.387166
0.978934, 35.541881, 45.963934, 46.353911
0.977665, 34.972417, 45.363264, 45.801306
0.976463, 34.688644, 45.402359, 45.533022
0.981410, 35.302497, 45.206301, 45.381982
0.979213, 35.672842, 44.936417, 44.740587
0.979594, 35.269828, 45.152838, 45.178971
0.975752, 33.903161, 44.786266, 44.787750
0.981209, 34.643647, 44.997845, 45.137142
0.978472, 34.199232, 44.962749, 44.726449
0.981090, 34.555945, 45.084715, 44.832924
0.979688, 34.123861, 44.892654, 44.690123
0.982914, 34.779640, 45.158700, 45.120117
0.978419, 33.599930, 45.251115, 44.973286
0.981348, 34.234596, 45.141733, 44.984982
0.980206, 34.742405, 45.163790, 45.261238
0.982450, 34.796124, 45.265407, 45.183951
0.977480, 33.881925, 45.311764, 44.766866
0.980852, 35.124031, 45.374032, 45.005309
0.981454, 35.916233, 45.871118, 45.216984
0.984968, 36.331472, 45.705855, 45.281985
0.980415, 34.449143, 45.664831, 45.014727
0.981659, 34.653445, 45.340540, 44.756393
0.979935, 34.345725, 45.818172, 45.216001
0.982992, 35.435353, 45.865688, 45.525597
0.978799, 34.753413, 45.869696, 45.582385
0.980561, 34.949637, 45.616471, 45.613007
0.979708, 35.057713, 45.701910, 45.702352
0.981779, 35.546124, 45.549833, 45.673493
0.978477, 34.652848, 45.517979, 45.442764
0.977602, 34.431577, 45.809493, 45.596254
0.974562, 34.004973, 45.499387, 45.526114
0.974386, 33.207927, 44.902278, 44.814484
0.974977, 32.582388, 44.439475, 44.153010
0.973790, 32.280212, 44.493126, 44.135373
0.977329, 33.113777, 44.370621, 44.173665
0.987440, 39.698322, 46.017575, 46.062931
0.983247, 35.638422, 45.931086, 45.334922
0.977438, 34.525841, 45.452357, 44.940385
0.977894, 35.123151, 45.695267, 45.017230
0.980559, 36.065831, 45.813615, 45.201699
0.987719, 36.860718, 46.858574, 46.693610
0.975145, 35.076898, 46.537725, 46.603674
0.979210, 36.348378, 46.698690, 46.376242
0.975659, 34.536919, 46.024150, 46.090747
0.979211, 34.453133, 45.870368, 45.998521
0.973309, 32.649084, 45.041854, 45.572020
0.976649, 33.165965, 45.023336, 45.411360
0.974211, 33.387507, 45.282532, 45.121333
0.981951, 35.719832, 45.760608, 45.628351
0.975042, 34.028628, 45.491927, 45.179745
0.976855, 34.839433, 45.850788, 45.141771
0.978676, 35.558508, 45.806203, 45.442327
0.984030, 36.871417, 46.235398, 45.798088
0.979710, 36.459402, 45.943758, 45.548637
0.980592, 36.171789, 46.250336, 45.787030
0.977833, 35.350058, 46.170115, 45.861662
0.980994, 35.184814, 46.427868, 46.053796
0.976913, 33.767060, 46.088249, 45.622105
0.978951, 33.841001, 46.055187, 45.593174
0.977693, 33.422588, 45.936814, 45.525059
0.981380, 34.207096, 46.112673, 45.681185
0.976595, 33.104385, 46.065766, 45.750375
0.978811, 33.759619, 46.206305, 45.986528
0.976284, 33.250570, 45.905355, 45.726741
0.979678, 33.717825, 45.922359, 45.690439
0.975616, 33.021817, 45.783845, 45.794036
0.977645, 33.410583, 45.857104, 45.845272
0.976098, 32.699439, 45.487361, 45.723578
0.980085, 33.380825, 45.701403, 45.991351
0.977338, 32.637992, 45.631849, 45.932460
0.979668, 33.098172, 45.828178, 45.824474
0.978011, 32.797045, 45.539172, 45.728367
0.981111, 33.442276, 45.721976, 45.836016
0.977438, 32.555634, 45.420166, 45.290483
0.977727, 33.109273, 45.639064, 45.289817
0.975412, 32.731058, 45.496046, 45.244526
0.979529, 33.424497, 45.511755, 45.496395
0.976080, 33.285140, 45.296162, 45.334893
0.978132, 33.699976, 45.325269, 45.488684
0.977478, 33.670921, 45.444601, 45.390047
0.981003, 34.324459, 45.503286, 45.648697
0.978004, 33.485104, 45.200489, 45.355278
0.979697, 34.201014, 45.528278, 45.525866
0.979237, 33.687446, 45.453069, 45.386699
0.982588, 34.969275, 45.743614, 45.881887
0.979212, 34.104504, 45.473701, 45.632464
0.980521, 34.498126, 45.592743, 45.669566
0.980054, 33.530577, 45.522432, 45.789108
0.982385, 34.136796, 45.794597, 46.195838
0.978790, 33.187110, 45.803081, 46.022119
0.979253, 33.256773, 45.729332, 46.263400
0.977809, 32.801381, 45.656751, 45.972285
0.981453, 33.772812, 46.024277, 46.278706
0.975642, 33.836829, 45.773372, 45.947040
0.976764, 34.559343, 46.222163, 46.044074
0.977285, 35.104032, 46.358797, 45.931779
0.983505, 36.337943, 46.707482, 46.584316
0.981519, 37.312938, 46.823502, 46.488076
0.983682, 39.251520, 47.123240, 47.088449
0.983451, 39.387578, 47.374542, 47.442425
0.987438, 39.908442, 47.589257, 47.523432
0.984382, 39.671238, 48.234749, 47.458622
0.984821, 39.938756, 48.191641, 47.519893
0.984448, 39.749196, 48.257998, 47.705650
