ms-ssim, psnr-y, psnr-u, psnr-v
0.997909, 44.411475, 47.536119, 49.190014
0.996730, 42.895097, 46.227973, 47.871525
0.997063, 43.093448, 46.174762, 47.883190
0.996642, 42.499795, 45.541528, 47.219892
0.996822, 42.668645, 46.012688, 47.564484
0.996411, 42.667987, 45.679223, 47.190268
0.996386, 43.056840, 46.334897, 47.754343
0.996307, 42.952398, 46.315643, 47.692169
0.996752, 43.639220, 46.550610, 48.218235
0.996798, 43.608343, 46.103646, 47.821754
0.996981, 43.386306, 46.751397, 48.431749
0.998201, 45.105328, 48.236989, 50.766942
0.992890, 40.228012, 44.068811, 46.677447
0.991300, 40.419320, 43.533267, 46.445990
0.990898, 40.561641, 43.478841, 45.768150
0.991638, 40.850545, 43.370695, 45.689461
0.992908, 42.388675, 43.923498, 46.385791
0.993885, 43.828952, 44.799770, 46.981840
0.994932, 44.818093, 45.139603, 47.753669
0.995080, 45.697583, 45.548190, 48.258716
0.996219, 47.380644, 46.528487, 49.146809
0.996797, 49.207719, 47.194717, 50.404047
0.997706, 52.321821, 49.067743, 52.285999
0.999992, 60.000000, 60.000000, 60.000000
0.997782, 52.184346, 49.083489, 53.523039
0.996449, 48.845166, 46.079672, 50.605218
0.995464, 46.247584, 45.225038, 49.110567
0.994495, 44.073119, 43.698738, 47.412479
0.994038, 42.596630, 43.402789, 46.607628
0.992945, 41.600350, 43.255087, 45.558373
0.992237, 40.682474, 43.125524, 44.942013
0.992476, 40.027637, 43.018465, 44.815810
0.992056, 39.580951, 43.060560, 44.362912
0.991904, 39.618437, 43.208980, 44.641293
0.992423, 39.269711, 43.367301, 44.687179
0.991124, 37.386118, 42.352068, 43.965836
0.990824, 37.925382, 42.266606, 43.959750
0.994784, 40.489338, 44.093002, 45.854279
0.989001, 37.063989, 41.383013, 43.514702
0.990486, 37.472051, 41.605235, 43.586868
0.989518, 36.977090, 41.543198, 43.565931
0.991730, 38.070912, 42.463601, 44.323801
0.989429, 37.007776, 41.827933, 43.809249
0.990712, 37.191171, 41.698115, 43.878792
0.990192, 36.909192, 41.607904, 43.960522
0.991198, 37.776505, 42.244474, 44.598352
0.989375, 37.124334, 41.329692, 43.716519
0.990855, 37.518174, 41.690998, 44.258072
0.988620, 36.997511, 41.395755, 43.607202
0.990411, 37.811876, 42.144556, 44.461008
0.987897, 36.738868, 40.878790, 43.160625
0.988561, 36.666995, 40.677676, 43.420460
0.986285, 36.294632, 40.570561, 43.082256
0.988401, 37.043752, 41.347248, 43.864738
0.985511, 35.935014, 40.342235, 43.218731
0.987766, 36.313086, 40.455412, 43.286013
0.985123, 35.747664, 40.124432, 43.178565
0.988549, 36.957885, 41.407063, 44.090199
0.986522, 35.953098, 40.671122, 43.358479
0.987101, 35.941027, 40.515431, 43.207287
0.985883, 35.703045, 40.658453, 43.440130
0.987033, 36.429467, 41.101142, 43.797641
0.983665, 35.682510, 40.431152, 43.116057
0.985153, 35.986580, 40.347746, 43.367093
0.983074, 35.323644, 40.257472, 43.164642
0.986437, 37.051697, 41.553868, 43.737819
0.983787, 37.088779, 41.948511, 44.137485
0.986509, 37.536105, 42.220259, 44.400717
0.983498, 37.101459, 41.967950, 43.952599
0.987640, 38.012685, 42.771964, 44.314546
0.982346, 36.834447, 41.844068, 43.609051
0.986162, 37.011179, 42.320248, 43.721849
0.983613, 36.724560, 42.039530, 43.520958
0.987811, 37.586235, 42.878415, 44.289138
0.984227, 36.683220, 42.383986, 43.688403
0.985896, 36.422095, 42.279924, 43.527249
0.984220, 36.360372, 42.211925, 43.432986
0.986798, 37.051557, 42.788785, 43.740837
0.983331, 36.044367, 41.939721, 43.367144
0.984633, 36.195093, 41.913795, 43.420059
0.984097, 36.150049, 41.871287, 43.181441
0.987126, 37.009224, 42.776417, 43.761409
0.983647, 36.194770, 42.065866, 43.286063
0.984554, 36.064476, 41.890934, 43.218366
0.983204, 35.885938, 41.897938, 43.043286
0.985840, 36.513648, 42.413720, 43.544196
0.983662, 35.613459, 41.730564, 43.125084
0.983715, 35.671113, 41.805119, 43.057522
0.985210, 36.059256, 42.067457, 43.212380
0.985507, 36.679831, 42.144955, 43.229328
0.988451, 38.898386, 43.234410, 44.191816
0.988247, 38.309938, 42.692062, 43.684075
0.986699, 38.273198, 42.363987, 43.564152
0.987722, 38.595156, 42.595471, 43.689569
0.986800, 38.352332, 42.324741, 43.483720
0.987922, 38.459241, 42.583021, 43.703591
0.987463, 38.159161, 42.609611, 43.754172
0.987711, 38.813269, 42.837907, 43.932121
0.987984, 38.697437, 42.718246, 43.864569
0.988261, 38.727909, 42.752629, 43.852333
0.987954, 38.620176, 42.547849, 43.585432
0.986915, 38.609323, 42.361305, 43.301962
0.991954, 40.376480, 43.889157, 44.437622
0.986278, 38.190802, 42.236413, 43.100479
0.986588, 38.591265, 42.662770, 43.348177
0.986016, 38.620954, 42.884488, 43.336593
0.989646, 39.600912, 43.489355, 43.883532
0.986097, 38.205218, 42.571230, 43.178770
0.987238, 38.822663, 43.072706, 43.386168
0.986351, 38.554580, 43.376646, 43.445619
0.988772, 39.165623, 43.613579, 43.728951
0.987044, 38.468114, 43.164882, 43.155910
0.987556, 38.840523, 43.557249, 43.521453
0.986778, 38.855086, 43.534183, 43.734126
0.989876, 39.710652, 43.984936, 44.223867
0.986888, 38.441351, 43.190200, 43.491705
0.987951, 39.212276, 43.621974, 43.901020
0.986537, 38.875832, 43.268344, 43.833554
0.989129, 39.361641, 43.792474, 44.391902
0.985764, 37.844170, 42.793834, 43.602056
0.986366, 37.937259, 42.510029, 43.761451
0.985059, 37.982823, 42.209427, 43.653162
0.988190, 38.748731, 43.264642, 44.141899
0.985964, 37.638357, 42.648584, 43.400467
0.985932, 38.009069, 42.690538, 43.468301
0.984660, 37.796410, 42.592942, 43.390083
0.987489, 38.221834, 42.904980, 43.517262
0.986556, 37.877704, 42.579303, 43.019447
0.985938, 37.780878, 42.278973, 42.813615
0.987564, 38.315987, 42.590784, 42.994207
0.988241, 38.370013, 42.699267, 42.998414
0.988677, 38.079951, 42.533836, 43.107030
0.992034, 40.005095, 43.846334, 44.213560
0.986930, 38.599084, 42.804266, 43.082545
0.985880, 37.821562, 42.388159, 42.597289
0.989542, 38.972837, 43.215375, 43.166805
0.987658, 38.405760, 42.832050, 42.801972
0.987251, 38.598582, 43.215381, 42.828479
0.990205, 39.093058, 43.749392, 43.446535
0.987334, 38.246075, 43.281130, 43.079068
0.988521, 38.983689, 43.629268, 43.315873
0.986662, 38.651825, 43.661641, 43.321345
0.989352, 39.517168, 44.236797, 43.844430
0.987731, 39.059852, 43.828224, 43.491012
0.987709, 39.263108, 44.033776, 43.554429
0.986859, 39.054720, 43.976020, 43.578778
0.990379, 40.075210, 44.482144, 44.257910
0.987758, 38.943658, 43.648002, 43.608419
0.988545, 39.243750, 43.652483, 43.614791
0.987158, 38.791473, 43.392887, 43.662287
0.989973, 39.496718, 43.880903, 43.903868
0.986517, 38.416403, 43.002590, 43.310254
0.986809, 38.889857, 43.192201, 43.435690
0.985472, 38.559127, 43.238179, 43.480191
0.988384, 39.227844, 43.482033, 43.954789
0.985969, 38.220783, 42.574664, 43.419224
0.985752, 38.386558, 42.418782, 43.298095
0.984762, 38.291410, 42.492801, 43.365860
0.987527, 38.847294, 42.789843, 43.691508
0.986363, 38.404821, 42.522245, 43.230103
0.985786, 38.276090, 42.423687, 43.100224
0.989068, 39.512752, 43.445753, 43.817871
0.989027, 39.090773, 43.400327, 43.723830
0.993110, 40.360153, 44.640796, 44.842055
0.987144, 38.200485, 42.525179, 42.929911
0.985145, 38.025454, 42.378680, 42.865313
0.989173, 38.814960, 43.065325, 43.534602
0.986357, 37.695398, 42.124884, 42.847546
0.987233, 38.188702, 42.387662, 42.914072
0.985856, 37.928660, 42.389114, 42.927765
0.989226, 38.820924, 42.906508, 43.447574
0.986323, 37.906965, 42.157962, 42.783785
0.985545, 37.850148, 42.154066, 42.950476
0.988643, 38.876485, 43.052192, 43.755679
0.986121, 37.832475, 42.390290, 43.195031
0.988988, 38.608616, 42.749287, 43.468063
0.986678, 38.347524, 42.540496, 43.259205
0.987469, 38.807641, 42.655663, 43.369958
0.985842, 38.087174, 42.395832, 43.366709
0.989826, 38.922194, 43.037162, 43.973696
