ms-ssim, psnr-y, psnr-u, psnr-v
0.998386, 55.077785, 51.744308, 54.230074
0.998467, 55.302511, 50.979915, 53.955049
0.998423, 55.208185, 50.784270, 53.724609
0.998575, 55.648628, 50.929785, 53.915735
0.998356, 55.027817, 51.564341, 54.296765
0.998626, 55.832945, 50.995125, 54.057869
0.998575, 55.708050, 50.886054, 53.969775
0.998690, 56.048098, 51.120343, 54.221636
0.998584, 55.753743, 51.803929, 54.698701
0.998777, 56.308562, 51.461791, 54.999678
0.998590, 55.683706, 51.590685, 54.960441
0.998407, 55.077411, 50.378259, 54.242298
0.998370, 55.039827, 50.576025, 54.043944
0.998418, 55.129608, 50.612154, 53.985930
0.998535, 55.553174, 51.621820, 54.701439
0.998595, 55.564512, 50.818506, 53.932407
0.998774, 56.193237, 51.417773, 54.482738
0.999025, 56.935616, 51.588930, 54.671419
0.999332, 58.230716, 52.760050, 56.174665
0.999217, 57.787404, 51.961875, 55.427918
0.999422, 58.744406, 52.531073, 56.152377
0.999452, 58.914368, 52.419490, 55.951968
0.999591, 59.702637, 53.854959, 57.359460
0.999521, 59.235477, 52.868163, 56.782599
0.999437, 58.468418, 52.510096, 56.268909
0.999398, 58.272628, 52.416202, 56.043550
0.999542, 58.959244, 53.402338, 56.639468
0.999500, 58.963866, 52.635641, 55.841420
0.999520, 58.996299, 52.744425, 55.854458
0.999503, 59.070726, 52.731139, 55.954936
0.999622, 59.673231, 54.456047, 57.426737
0.999572, 59.562207, 53.175131, 56.581294
0.999531, 59.168597, 53.091514, 56.147718
0.999519, 59.146392, 53.070124, 56.094555
0.999577, 59.402491, 54.028232, 56.908076
0.999458, 58.808652, 53.036165, 56.398005
0.999469, 58.698408, 53.487627, 56.799075
0.999220, 57.394956, 51.872224, 55.454504
0.999289, 57.717391, 52.085253, 55.383734
0.999168, 57.246712, 51.842393, 55.076898
0.999410, 58.315048, 53.130021, 56.227365
0.999218, 57.585024, 51.949006, 55.213285
0.999287, 57.938793, 52.090926, 55.374831
0.999152, 57.404634, 51.766935, 54.957898
0.999367, 58.310723, 53.082781, 56.153453
0.998990, 56.886650, 51.565172, 54.824693
0.999263, 57.845483, 52.185353, 55.473783
0.999063, 57.188363, 51.906756, 55.148206
0.999444, 58.957477, 53.645377, 57.112373
0.999198, 57.723136, 51.959917, 56.147598
0.998926, 56.461838, 51.435972, 55.493868
0.998964, 56.552726, 51.476508, 54.907623
0.999126, 57.086767, 52.348422, 55.784163
0.999029, 56.853023, 51.540056, 54.930748
0.998921, 56.506866, 51.448498, 54.944483
0.999055, 56.991805, 51.645806, 54.921555
0.999226, 57.601763, 52.581361, 55.680864
0.999069, 57.075110, 51.386706, 54.681034
0.999028, 57.001096, 51.652374, 54.920025
0.998950, 56.717824, 51.281750, 54.436277
0.999157, 57.327931, 53.042351, 56.122479
0.999080, 57.199681, 52.059419, 55.782078
0.999127, 57.340248, 52.498074, 56.066691
0.999541, 58.732806, 53.890528, 57.247750
0.998974, 56.361009, 51.515536, 55.203860
0.998768, 55.818726, 51.192527, 54.750149
0.998795, 55.886241, 51.006879, 54.386009
0.999092, 56.865576, 52.002597, 55.240425
0.998949, 56.431365, 51.231806, 54.521236
0.998884, 56.285701, 51.262246, 54.688707
0.998986, 56.605571, 51.397330, 54.516149
0.999173, 57.305700, 52.222672, 55.404311
0.999041, 56.905445, 51.642039, 54.856150
0.998989, 56.724807, 51.639966, 55.043530
0.998984, 56.739422, 51.609751, 55.297968
0.999097, 56.996992, 52.962089, 56.587499
0.998773, 55.839752, 51.300756, 54.928944
0.998741, 55.749711, 51.347746, 54.991711
0.998774, 55.853788, 51.157950, 54.441917
0.999032, 56.748839, 52.300696, 55.341185
0.998889, 56.305806, 51.221924, 54.368695
0.998839, 56.203746, 51.421351, 54.640509
0.998911, 56.389855, 51.330936, 54.426225
0.999135, 57.181957, 52.457354, 55.530898
0.998981, 56.672587, 51.410988, 54.670060
0.998994, 56.749422, 51.677724, 54.992534
0.999040, 56.974294, 51.651865, 54.836154
0.999208, 57.565411, 52.705391, 55.879866
0.999009, 56.839840, 51.545928, 55.117206
0.998868, 56.358972, 51.589975, 55.135420
0.998784, 55.980998, 51.283464, 54.720565
0.999114, 57.051670, 52.661673, 55.573787
0.999002, 56.750211, 51.530396, 54.628711
0.998944, 56.650547, 51.609541, 54.756731
0.999122, 57.275835, 51.793840, 54.816513
0.999261, 57.822860, 52.849518, 55.730796
0.999158, 57.501142, 51.827355, 54.877753
0.999110, 57.328323, 51.838805, 55.014828
0.999142, 57.474523, 51.867765, 54.891858
0.999369, 58.455094, 53.082663, 55.941821
0.999109, 57.308819, 51.790993, 54.906906
