ms-ssim, psnr-y, psnr-u, psnr-v
0.998527, 47.220809, 53.191905, 54.327121
0.998196, 46.177598, 52.532942, 53.844900
0.998192, 46.234817, 52.757259, 54.024056
0.998132, 46.110941, 52.446036, 53.675072
0.998353, 46.808299, 52.660496, 53.987527
0.998250, 46.549342, 52.617225, 53.970788
0.998266, 46.684339, 52.571498, 54.002583
0.998278, 46.601636, 52.666170, 54.147937
0.998403, 46.937610, 52.775621, 54.108190
0.998375, 46.651663, 52.712260, 54.099762
0.998337, 46.860656, 52.571445, 54.099911
0.998373, 46.526835, 52.720659, 54.136425
0.998457, 46.976703, 52.922081, 54.222403
0.998295, 46.553784, 52.718219, 54.222863
0.998201, 46.222182, 52.296907, 54.066585
0.998210, 46.252406, 52.327614, 54.113493
0.998197, 46.476389, 52.333017, 53.930400
0.998287, 46.466722, 52.513870, 54.140485
0.998424, 46.713133, 52.572703, 54.198328
0.998524, 47.047850, 52.879512, 54.408510
0.998712, 47.680462, 53.060436, 54.492024
0.998783, 47.807781, 53.278175, 54.725209
0.998818, 48.165921, 53.331471, 54.781068
0.998917, 48.204026, 53.584869, 54.979194
0.999031, 48.502792, 53.842793, 55.109585
0.999022, 48.566359, 53.840125, 55.311538
0.999061, 48.816365, 53.861655, 55.325941
0.999074, 48.709366, 54.057278, 55.486376
0.999162, 48.933731, 54.243993, 55.570232
0.999129, 48.781679, 54.267239, 55.686121
0.999165, 49.182827, 54.319904, 55.669405
0.999156, 49.132482, 54.393098, 55.762366
0.999213, 49.247368, 54.577842, 55.953794
0.999134, 48.606449, 54.239451, 55.711316
0.999198, 48.914661, 54.496267, 55.937042
0.999194, 48.986067, 54.779325, 56.120224
0.999312, 49.680645, 55.158748, 56.395982
0.999231, 49.217937, 54.892663, 56.251999
0.999240, 49.216950, 54.958261, 56.412194
0.999239, 49.367511, 54.832360, 56.248088
0.999325, 49.733164, 55.211937, 56.532229
0.999235, 49.283349, 54.935171, 56.412574
0.999251, 49.332215, 54.970900, 56.422993
0.999227, 49.226516, 54.806770, 56.337091
0.999290, 49.341403, 55.060135, 56.465947
0.999205, 49.070328, 54.663523, 56.305156
0.999201, 49.089302, 54.606131, 56.196828
0.999217, 48.813116, 54.655471, 56.349456
0.999321, 49.647215, 55.074193, 56.560367
0.999190, 49.097607, 54.628206, 56.147121
0.999210, 48.948712, 54.637809, 56.078779
0.999167, 48.745128, 54.471441, 56.002710
0.999263, 49.410202, 54.643379, 56.075959
0.999060, 48.667275, 53.642962, 54.853402
0.999111, 48.737659, 53.932407, 55.066833
0.999119, 48.855054, 54.138605, 55.129183
0.999243, 49.319098, 54.639834, 55.590138
0.999159, 49.052643, 54.448048, 55.676684
0.999157, 49.157069, 54.459769, 55.903278
0.999160, 49.257477, 54.385691, 55.846653
0.999249, 49.655394, 54.665899, 56.021806
0.999125, 49.235464, 54.323589, 55.760182
0.999169, 49.371761, 54.564886, 55.870446
0.999162, 49.292446, 54.452328, 55.772649
0.999300, 49.681278, 54.886139, 56.074198
0.999190, 49.254784, 54.579090, 55.985424
0.999204, 49.596029, 54.435311, 55.841532
0.999174, 49.112061, 54.489334, 55.921827
0.999249, 49.564632, 54.782463, 55.975658
0.999153, 49.009559, 54.482412, 55.742853
0.999156, 49.324150, 54.295751, 55.747641
0.999147, 49.171087, 54.376787, 55.645515
0.999220, 49.436793, 54.448694, 55.690525
0.999131, 49.184875, 54.345295, 55.827867
0.999159, 49.412943, 54.293102, 55.504254
0.999083, 48.949150, 54.246458, 55.538362
0.999185, 49.493510, 54.414434, 55.685692
