ms-ssim, psnr-y, psnr-u, psnr-v
0.996893, 46.008939, 49.762822, 49.875179
0.996100, 45.156433, 49.106766, 49.116003
0.996211, 45.194330, 49.377930, 49.112032
0.996177, 45.208767, 49.249282, 49.070012
0.996500, 45.364573, 49.611031, 49.422494
0.996159, 45.448843, 49.218300, 49.149239
0.996413, 45.779875, 49.524694, 49.439658
0.996262, 45.600141, 49.132850, 49.202228
0.996744, 46.055596, 49.437493, 49.497007
0.995897, 45.478617, 49.133325, 49.249721
0.996371, 46.075883, 49.479383, 49.446160
0.996444, 46.174855, 49.534553, 49.417497
0.997011, 47.009795, 50.297979, 49.956722
0.995582, 45.528280, 48.962793, 48.917982
0.994753, 44.790693, 48.347580, 48.271334
0.994181, 43.951685, 48.211106, 48.219947
0.994677, 44.234394, 48.366364, 48.168382
0.994109, 43.959525, 48.156003, 48.158013
0.994188, 44.113155, 48.479097, 48.388310
0.994978, 44.848773, 48.639276, 48.520900
0.996196, 45.790639, 49.136247, 48.927618
0.995355, 45.135860, 49.266337, 49.123127
0.995060, 44.865614, 48.833245, 48.804424
0.995416, 45.142287, 49.157588, 49.117919
0.995973, 45.514579, 49.194346, 49.087011
0.994995, 44.852194, 48.979467, 49.137173
0.994805, 44.702428, 48.429507, 48.748695
0.995101, 44.827829, 48.687177, 48.818932
0.995785, 45.323567, 49.117280, 48.931152
0.995180, 45.033936, 48.767643, 48.931107
0.994994, 44.820555, 48.637009, 49.021958
0.994883, 44.334839, 48.232356, 48.624531
0.995620, 44.752157, 48.646699, 48.830565
0.995401, 44.786851, 48.622483, 48.895894
0.995593, 44.969063, 48.749760, 48.917530
0.996546, 45.690751, 49.077155, 49.198322
0.995233, 44.379500, 48.703018, 48.878014
0.995525, 44.520538, 48.776317, 48.866723
0.995432, 44.316313, 48.548621, 48.769106
0.997496, 45.481240, 49.163848, 49.456047
0.996773, 44.666472, 49.084451, 49.287468
0.996563, 44.338439, 48.655177, 48.918953
0.996327, 44.181947, 48.480220, 48.745850
0.996341, 44.266795, 48.585238, 48.775705
0.995600, 43.949593, 48.171749, 48.502976
0.995533, 43.979037, 48.375827, 48.653370
0.995248, 43.603594, 48.047501, 48.207689
0.996290, 44.359642, 48.386530, 48.613900
0.995569, 43.620184, 48.100000, 48.159816
0.995502, 43.439779, 48.242343, 48.138029
0.995420, 43.304342, 48.184593, 48.132350
0.995840, 43.657117, 47.922449, 48.047667
0.995633, 43.624451, 48.272580, 48.331777
0.995524, 43.446346, 47.975613, 48.004683
0.995763, 43.701148, 48.214217, 48.355016
0.996146, 43.845489, 48.135613, 48.176661
0.995946, 43.812712, 48.155624, 48.416060
0.995816, 43.684528, 47.902337, 48.030909
0.995979, 43.801479, 48.309466, 48.182360
0.996224, 44.062862, 48.021267, 48.340967
0.995626, 43.649612, 47.932900, 48.094220
0.995696, 43.609023, 48.190647, 48.362505
0.995569, 43.473794, 47.836296, 48.076016
0.996259, 43.845136, 48.009758, 48.336498
0.995667, 43.344813, 47.854795, 48.154449
0.995630, 43.464341, 47.801001, 48.099794
0.995717, 43.511345, 47.711671, 48.011335
0.996209, 43.922709, 47.943665, 48.298383
0.995470, 43.517725, 47.759220, 48.099027
0.995664, 43.664439, 47.827042, 48.155662
0.995891, 43.711886, 47.939226, 48.134424
0.996474, 44.156619, 48.064157, 48.276048
0.996083, 43.895486, 47.994021, 48.175480
0.996044, 43.827507, 47.986010, 48.088598
0.996651, 44.423505, 48.135556, 48.395216
0.996189, 43.494313, 48.092949, 48.312492
0.996185, 43.673799, 48.172815, 48.322389
0.996142, 43.903409, 48.370705, 48.634680
0.996341, 44.067078, 48.161865, 48.449076
0.995876, 43.789112, 48.023951, 48.352953
0.995979, 43.834912, 48.161296, 48.377104
0.995780, 43.785075, 48.094183, 48.302028
0.996627, 44.398356, 48.334877, 48.366404
0.996008, 44.027189, 48.151796, 48.101778
0.996043, 44.145297, 48.264972, 48.298324
0.995944, 44.259303, 47.977759, 48.110156
0.996665, 44.962617, 48.478852, 48.431729
0.995854, 44.332050, 47.987396, 48.162150
0.996059, 44.390319, 48.351068, 48.299402
0.995949, 44.303547, 48.176508, 48.261784
0.996446, 44.550662, 48.353687, 48.303460
0.996352, 44.435597, 48.626707, 48.519065
0.996115, 44.183880, 48.229906, 48.168991
0.995933, 43.840466, 48.495795, 48.253129
0.996365, 44.074470, 48.492085, 48.303028
0.995921, 43.701136, 48.255049, 48.181998
0.996047, 43.983561, 48.523582, 48.443158
0.995792, 43.729661, 48.141429, 47.991940
0.996595, 44.554410, 48.652966, 48.497210
0.995772, 44.080450, 48.289869, 48.323000
0.995841, 44.124185, 48.377303, 48.197149
0.995665, 44.030127, 48.373654, 48.184612
0.996466, 44.482500, 48.581117, 48.312040
0.995745, 44.162641, 48.471690, 48.208169
0.995840, 44.082886, 48.431668, 48.118475
0.995612, 43.917539, 48.285277, 48.033912
0.996508, 44.542732, 48.760490, 48.381655
0.995926, 44.161934, 48.357716, 48.204620
0.996012, 44.240491, 48.422970, 48.259182
0.996046, 44.312849, 48.860341, 48.554643
0.996445, 44.667397, 48.542006, 48.311096
0.995896, 44.244031, 48.379099, 48.136349
0.995895, 44.306363, 48.342530, 47.998115
0.995599, 44.195455, 48.351445, 47.977377
0.995968, 44.430639, 48.263067, 48.036494
0.995240, 44.117621, 48.258833, 48.010968
0.995337, 44.650296, 48.275541, 48.077784
0.995219, 44.489187, 48.247587, 48.023179
0.995824, 44.756365, 48.462240, 48.170474
0.995086, 44.417828, 48.126809, 47.995044
0.995381, 44.596476, 48.151531, 48.111788
0.994877, 44.360744, 48.217466, 48.069803
0.995903, 45.065232, 48.844094, 48.712921
0.995032, 44.391813, 48.291649, 48.240525
0.995361, 44.591421, 48.403156, 48.323887
0.995110, 44.292471, 48.196326, 48.216774
0.996371, 45.076189, 48.712533, 48.647846
0.995676, 44.531613, 48.413544, 48.372498
0.995733, 44.730660, 48.448934, 48.472750
0.995546, 44.581582, 48.407473, 48.295935
0.996382, 45.220862, 48.569215, 48.776820
0.995777, 44.794453, 48.393674, 48.493376
0.995591, 44.635756, 48.234904, 48.449299
0.996426, 45.223453, 48.570154, 48.747739
0.995618, 44.411301, 48.126922, 48.271353
0.995763, 44.251339, 48.070807, 48.248749
0.995739, 44.040476, 48.372857, 48.282348
0.996484, 44.489899, 48.359385, 48.475504
