ms-ssim, psnr-y, psnr-u, psnr-v
0.997772, 46.857839, 51.782770, 52.568302
0.997053, 46.269809, 50.992246, 51.409825
0.997189, 46.278290, 50.854177, 51.391935
0.997142, 46.279456, 50.943236, 51.439726
0.997573, 46.458579, 51.221041, 51.868389
0.997202, 46.208136, 50.913978, 51.362757
0.997353, 46.168756, 50.773900, 51.391056
0.997145, 46.160895, 50.877247, 51.392734
0.997477, 46.261099, 51.100989, 51.757149
0.997063, 45.962761, 50.921964, 51.360972
0.997258, 46.057762, 50.821236, 51.203872
0.997061, 46.048384, 50.749614, 51.139935
0.997422, 46.194383, 51.019398, 51.582581
0.996691, 45.603945, 50.427430, 50.792334
0.996644, 45.473124, 50.279205, 50.806517
0.996281, 45.240723, 50.233785, 50.518680
0.996633, 45.247919, 50.304442, 50.764971
0.996337, 45.340704, 50.293169, 50.667611
0.996654, 45.573839, 50.243309, 50.784444
0.996694, 45.755600, 50.323013, 50.882891
0.997369, 46.198398, 51.005344, 51.475490
0.996974, 45.901100, 50.640281, 51.058836
0.997171, 46.061872, 50.702912, 51.103305
0.997093, 46.001879, 50.620072, 51.102521
0.997548, 46.282350, 51.022515, 51.689171
0.997164, 46.018751, 50.635547, 51.178131
0.997355, 46.135300, 50.827229, 51.274824
0.997278, 46.052137, 50.784861, 51.377938
0.997665, 46.353276, 51.093040, 51.851885
0.997385, 46.202927, 50.768949, 51.376664
0.997422, 46.187311, 50.810079, 51.447122
0.997341, 46.062709, 50.708573, 51.259766
0.997645, 46.241989, 51.053476, 51.762235
0.997396, 46.178656, 50.952106, 51.514837
0.997518, 46.184152, 50.890891, 51.462075
0.997340, 46.046905, 50.904364, 51.385948
0.997604, 46.096247, 50.945506, 51.537370
0.997194, 45.866091, 50.589651, 51.075292
0.997285, 45.852316, 50.538487, 51.193443
0.997109, 45.780925, 50.526526, 51.050706
0.997491, 45.955496, 50.777678, 51.338268
0.997105, 45.764178, 50.436171, 51.017052
0.997299, 45.889893, 50.517471, 51.118093
0.997087, 45.812739, 50.461340, 50.929749
0.997479, 45.960490, 50.786111, 51.575159
0.997200, 45.740626, 50.396800, 50.983730
0.997380, 45.999649, 50.442907, 51.188066
0.997182, 45.749302, 50.133450, 50.852448
0.997407, 45.986844, 50.273058, 51.309643
0.997406, 46.046923, 50.003729, 50.879589
0.998125, 46.093738, 49.425286, 51.414520
0.997413, 44.947183, 48.766007, 50.112338
0.996869, 44.350616, 48.146326, 49.554521
0.997449, 45.008270, 48.643389, 50.125775
0.996964, 44.326192, 48.209167, 49.459808
0.997114, 44.500238, 48.194911, 49.462574
0.996769, 44.190247, 48.455836, 49.664689
0.997199, 44.518189, 48.718269, 49.949840
0.997081, 44.183242, 49.069708, 49.980321
0.996829, 43.808783, 48.837879, 49.444579
0.996953, 43.749138, 48.666187, 49.418815
0.996561, 43.200626, 48.327278, 49.139122
0.996761, 43.207059, 48.432981, 49.426378
0.998304, 43.933963, 51.957278, 52.840254
0.997085, 42.230778, 50.731806, 51.171558
0.997026, 41.968538, 50.357058, 50.663117
0.996755, 41.700896, 50.168868, 50.443646
0.997121, 42.017179, 50.000104, 50.588688
0.996529, 41.549715, 49.681870, 50.163687
0.996518, 41.643479, 49.600839, 50.097815
0.996260, 41.359709, 49.473114, 50.025632
0.996875, 41.589900, 49.655066, 50.206765
0.996163, 40.943107, 49.345272, 49.659084
0.996171, 41.105680, 49.251843, 49.706727
0.995730, 40.663080, 49.009940, 49.451139
0.996255, 40.956801, 49.058188, 49.561067
0.995625, 40.487454, 48.881822, 49.263082
0.995684, 40.658918, 48.789196, 49.327780
0.995303, 40.194450, 48.464254, 49.073337
0.995570, 40.052573, 48.334739, 48.873181
0.995210, 39.625228, 48.049110, 48.528929
0.998296, 46.941639, 49.801198, 51.051260
0.996886, 45.268148, 49.001455, 49.717796
0.996945, 44.814734, 48.312924, 49.247941
0.996544, 44.255938, 48.234363, 48.839099
0.997161, 44.627762, 47.696669, 48.637179
0.996424, 44.122947, 47.766043, 48.451288
0.996592, 44.141538, 47.647856, 48.606070
0.996564, 44.203569, 47.906523, 48.725072
0.997113, 44.263958, 47.630989, 48.670155
0.996682, 44.133610, 47.886253, 48.784855
0.996848, 44.368114, 47.856246, 48.729051
0.996761, 44.311832, 47.846136, 48.821119
0.997221, 44.586718, 47.655233, 48.802311
0.996742, 44.313340, 47.710883, 48.786082
0.996723, 44.319837, 47.550955, 48.610826
0.997019, 44.392781, 47.241648, 48.615059
0.996744, 44.337194, 47.521285, 48.659327
0.996738, 44.390727, 47.800897, 48.857153
