ms-ssim, psnr-y, psnr-u, psnr-v
0.996746, 37.124282, 45.690278, 46.954711
0.995994, 36.035053, 45.560594, 46.738300
0.995736, 35.819501, 45.368201, 46.660619
0.995351, 35.564759, 45.374631, 46.742913
0.995177, 35.638259, 44.897459, 46.427435
0.994625, 35.168271, 44.788309, 46.248576
0.995064, 35.479757, 44.667707, 46.064489
0.994784, 35.423830, 44.771091, 46.255670
0.994794, 35.432676, 44.537967, 46.006731
0.994683, 35.343169, 44.807059, 46.234911
0.994975, 35.543656, 44.564396, 45.885336
0.994736, 35.367675, 44.627095, 45.920614
0.994701, 35.379033, 44.545969, 46.035328
0.994570, 35.119660, 44.534219, 45.942835
0.993780, 34.470422, 44.377637, 45.806589
0.993159, 34.102716, 44.464215, 45.779982
0.991846, 33.115794, 44.167955, 45.482584
0.990939, 32.764916, 44.156254, 45.434175
0.989619, 32.115078, 43.961135, 45.211139
0.988667, 31.796556, 43.608193, 45.185950
0.988124, 31.642720, 43.476685, 44.957517
0.988975, 32.130613, 43.601006, 45.107865
0.988114, 31.619074, 43.260408, 44.709499
0.989516, 32.368058, 43.413571, 44.941606
0.989847, 32.514592, 43.255155, 44.995921
0.989881, 32.440302, 43.038668, 44.712458
0.990953, 33.000517, 43.119081, 44.854394
0.991359, 33.307202, 43.204800, 44.818306
0.991489, 33.240566, 43.166763, 44.651095
0.991996, 33.735795, 43.442448, 45.047420
0.991943, 33.669630, 43.390615, 44.970171
0.991753, 33.534707, 43.135920, 44.808147
0.992442, 33.981856, 43.141832, 44.738800
0.993107, 34.403566, 43.198390, 44.842682
0.993207, 34.538410, 43.582930, 45.157255
0.992656, 34.102193, 43.333525, 44.890821
0.992745, 34.296755, 43.600309, 45.105845
0.993284, 34.503363, 43.446170, 44.905829
0.993124, 34.432733, 43.508852, 44.966686
0.993237, 34.404758, 43.685971, 44.985512
0.993159, 34.406367, 43.722915, 45.152467
0.993295, 34.315134, 43.561045, 44.968770
0.993233, 34.506438, 43.658092, 45.023751
0.993203, 34.416381, 43.811069, 45.096837
0.993009, 34.318564, 43.669981, 45.074519
0.993347, 34.417419, 43.672154, 44.985439
0.993286, 34.556388, 43.689088, 45.032627
0.993300, 34.442263, 43.775043, 45.159546
0.993398, 34.414448, 43.836554, 45.220927
0.992961, 34.119532, 43.373203, 44.756558
0.993534, 34.801944, 43.582686, 45.016080
0.993439, 34.669946, 43.668530, 45.039374
0.993588, 34.719242, 43.405144, 44.888962
0.993835, 34.895360, 43.624584, 45.027624
0.993806, 34.950954, 43.736428, 45.147486
0.993865, 34.850038, 43.461555, 44.906304
0.993963, 34.932809, 43.638659, 45.049849
0.993966, 34.952149, 43.788650, 45.165485
0.994061, 34.953718, 43.547632, 44.986307
0.993849, 34.790101, 43.779650, 45.152752
0.993658, 34.562739, 43.647378, 45.049256
0.993503, 34.487083, 43.705060, 45.090186
0.993848, 35.015095, 43.719692, 45.028445
0.993565, 34.472495, 43.583592, 44.910810
0.993661, 34.527347, 43.625473, 45.034899
0.993675, 34.647133, 43.781762, 45.140739
0.993849, 34.977970, 43.802419, 45.112566
0.993824, 34.633972, 43.745717, 45.062543
0.993599, 34.485699, 43.788130, 45.204696
0.993935, 34.873104, 43.940444, 45.338211
0.993867, 34.923139, 43.831557, 45.187663
0.993727, 34.512301, 43.772430, 45.181245
0.993765, 34.547670, 43.728370, 45.225279
0.993930, 34.855125, 43.929426, 45.312878
0.993857, 34.869585, 43.689183, 45.061307
0.993751, 34.807796, 43.920838, 45.332923
0.993957, 34.851174, 43.737285, 45.189022
0.993852, 34.830718, 43.873421, 45.269267
0.993928, 34.973992, 43.710254, 45.119966
0.993728, 34.743953, 43.742415, 45.062432
0.993911, 34.802087, 43.683736, 44.908988
0.993921, 34.953826, 43.901312, 45.123954
0.993774, 34.837336, 43.675045, 44.960468
0.994027, 35.056455, 43.882583, 45.192480
0.994163, 34.969877, 43.763905, 45.026812
0.993803, 34.792719, 43.757951, 45.064953
0.993908, 34.908624, 43.934917, 45.236610
0.993829, 34.869902, 43.926082, 45.229791
0.993916, 34.728078, 43.717508, 44.999494
0.993889, 34.968435, 43.836316, 45.150427
0.994074, 35.056474, 43.992940, 45.306715
0.994063, 35.019613, 43.898608, 45.180299
0.994254, 35.062002, 43.823852, 45.090224
0.994591, 35.417546, 43.782046, 45.106032
0.994341, 35.230157, 43.910161, 45.171889
0.994334, 35.227803, 43.894832, 45.131157
0.994293, 35.089837, 43.862896, 45.153512
0.994588, 35.340241, 43.584902, 44.893664
0.994564, 35.355364, 43.864293, 45.178331
0.994553, 35.311964, 43.852946, 45.152800
0.994640, 35.294424, 43.638156, 44.978254
0.994701, 35.324921, 43.825755, 45.104783
0.994680, 35.339584, 43.881017, 45.191685
0.994729, 35.356215, 43.672789, 45.072468
0.994780, 35.404431, 43.829660, 45.229124
0.994695, 35.348263, 43.773875, 45.235942
0.994766, 35.388047, 43.690512, 45.202957
0.994580, 35.157912, 43.717801, 45.194062
0.994552, 35.094768, 43.736380, 45.170049
0.994648, 35.194361, 43.784449, 45.168485
0.994545, 35.270840, 43.831915, 45.226525
0.994569, 35.101788, 43.798691, 45.142642
0.994590, 35.074323, 43.787534, 45.143258
0.994622, 35.262564, 44.045445, 45.329262
0.994606, 35.338679, 43.901098, 45.187998
0.994478, 35.171271, 43.952959, 45.246155
0.994665, 35.198155, 43.812484, 45.152211
0.994519, 35.105340, 43.923419, 45.322296
0.994564, 35.231378, 43.782246, 45.161496
0.994689, 35.410251, 43.909241, 45.288416
0.994778, 35.386284, 43.825748, 45.200671
0.994932, 35.546537, 43.794702, 45.212255
0.994737, 35.321458, 43.961965, 45.331379
0.994346, 34.961589, 43.855424, 45.250785
0.994215, 34.985987, 43.510120, 44.813201
0.994682, 35.416721, 43.454851, 44.744043
0.994270, 35.037952, 43.750478, 44.958098
0.994102, 34.783954, 43.670906, 44.932769
0.994264, 35.049466, 43.674964, 44.963703
0.994492, 35.238431, 43.489704, 44.855183
