ms-ssim, psnr-y, psnr-u, psnr-v
0.998947, 46.581246, 52.196956, 51.793431
0.998969, 46.634933, 52.076593, 51.740253
0.998970, 46.622982, 52.065572, 51.764439
0.998891, 46.120303, 51.235105, 51.169445
0.998896, 46.109662, 51.208630, 51.114394
0.998921, 46.173580, 51.286932, 51.178004
0.998922, 46.175843, 51.284438, 51.190391
0.998922, 46.175591, 51.276134, 51.187850
0.998921, 46.172712, 51.251625, 51.166309
0.998936, 46.217231, 51.273179, 51.203273
0.998943, 46.221552, 51.288388, 51.214249
0.998943, 46.223216, 51.277430, 51.209243
0.998942, 46.221180, 51.279142, 51.209396
0.998943, 46.221864, 51.279402, 51.206282
0.998943, 46.222014, 51.279557, 51.206078
0.998943, 46.221981, 51.279090, 51.206333
0.998942, 46.220730, 51.297967, 51.221566
0.999009, 46.477221, 51.494656, 51.502897
0.999021, 46.510655, 51.540042, 51.541585
0.999020, 46.511079, 51.531565, 51.543735
0.999023, 46.510594, 51.524861, 51.554669
0.999372, 47.883653, 53.665961, 53.594984
0.999373, 47.841496, 53.706968, 53.651332
0.999373, 47.835762, 53.702251, 53.651959
0.999374, 47.828506, 53.727526, 53.663354
0.999485, 48.308098, 55.348430, 55.253071
0.999485, 48.282367, 55.353332, 55.250092
0.999485, 48.276496, 55.373665, 55.256830
0.999486, 48.256245, 55.424177, 55.278670
0.999539, 48.560133, 56.621499, 56.485520
0.999540, 48.560439, 56.644106, 56.489135
0.999540, 48.559849, 56.650893, 56.491202
0.999540, 48.558226, 56.656796, 56.497581
0.999543, 48.575211, 56.742479, 56.567682
0.999543, 48.580622, 56.769215, 56.587719
0.999543, 48.580727, 56.769399, 56.587191
0.999544, 48.581340, 56.764258, 56.570313
0.999544, 48.583466, 56.795562, 56.593361
0.999545, 48.585803, 56.804627, 56.599716
0.999545, 48.585859, 56.804998, 56.599716
0.999545, 48.586996, 56.805368, 56.561549
0.999546, 48.588595, 56.812783, 56.609620
0.999546, 48.590264, 56.818725, 56.617063
0.999546, 48.590166, 56.819096, 56.617063
0.999546, 48.590292, 56.812783, 56.620611
0.999556, 48.651287, 57.092489, 56.916239
0.999556, 48.646416, 57.102593, 56.935282
0.999557, 48.643792, 57.117096, 56.938718
