ms-ssim, psnr-y, psnr-u, psnr-v
0.997537, 40.222022, 49.604304, 50.484969
0.996940, 39.297823, 49.912576, 50.581523
0.997025, 39.449365, 49.724946, 50.491716
0.996902, 39.291361, 49.878419, 50.606018
0.997157, 39.665827, 49.522279, 50.300898
0.996840, 39.148631, 49.695605, 50.380347
0.996869, 39.307492, 49.784478, 50.458182
0.996781, 39.085807, 49.650758, 50.275528
0.997062, 39.604850, 49.410380, 50.085617
0.996782, 39.177538, 49.672613, 50.272132
0.996806, 39.231819, 49.606501, 50.212058
0.996633, 38.920078, 49.477301, 50.102502
0.996977, 39.509446, 49.374213, 49.958933
0.996148, 38.304462, 49.373410, 49.917181
0.995920, 37.964214, 49.112717, 49.462113
0.995416, 37.590931, 49.046256, 49.478355
0.995048, 37.160573, 48.594582, 49.001432
0.994725, 36.919332, 48.754262, 49.168202
0.995086, 37.204665, 48.756112, 49.128982
0.995094, 37.236372, 48.609079, 49.194178
0.995589, 37.843077, 48.552420, 49.121422
0.995551, 37.701000, 48.728445, 49.443915
0.995756, 37.942365, 48.884691, 49.534293
0.995768, 37.982442, 48.865986, 49.455689
0.996158, 38.615070, 48.714193, 49.294436
0.996061, 38.227165, 48.893872, 49.535074
0.996302, 38.662460, 48.803675, 49.452596
0.996327, 38.636587, 49.087551, 49.687936
0.996759, 39.325139, 49.004220, 49.649420
0.996544, 38.892320, 49.380065, 49.908061
0.996768, 39.212878, 49.437875, 50.005819
0.996658, 38.974227, 49.360832, 49.955259
0.997043, 39.636893, 49.174670, 49.730936
0.996851, 39.220185, 49.391515, 50.017038
0.996881, 39.240357, 49.444145, 49.984450
0.996878, 39.171343, 49.373034, 49.956148
0.997179, 39.714126, 49.298750, 49.828059
0.996921, 39.222913, 49.633379, 50.160137
0.997021, 39.367987, 49.471933, 50.036814
0.996922, 39.215449, 49.467315, 49.974352
0.997244, 39.748674, 49.357855, 49.970492
0.996936, 39.211100, 49.605998, 50.154306
0.997111, 39.499162, 49.600152, 50.141319
0.996980, 39.183527, 49.553030, 50.105858
0.997239, 39.621086, 49.394515, 49.972076
0.997028, 39.314558, 49.623427, 50.204425
0.997101, 39.440485, 49.575528, 50.113379
0.996997, 39.188695, 49.561172, 50.094318
0.997240, 39.620150, 49.425312, 50.056651
0.996994, 39.253057, 49.646614, 50.200355
0.997034, 39.305692, 49.431894, 50.028811
0.996965, 39.215803, 49.499822, 50.020444
0.997218, 39.611504, 49.374314, 49.962754
0.996940, 39.184281, 49.559993, 50.196774
0.997029, 39.311136, 49.463983, 50.175413
0.996916, 39.154008, 49.582948, 50.184507
0.997176, 39.586151, 49.212251, 49.852816
0.996927, 39.259688, 49.469418, 50.180638
0.996984, 39.342972, 49.257752, 49.960771
0.996767, 39.040794, 49.133111, 49.903835
0.997109, 39.576269, 49.003967, 49.798707
0.996801, 39.112241, 49.210293, 50.009623
0.996910, 39.302261, 48.866544, 49.690203
0.996791, 39.200526, 49.093664, 49.796770
0.997150, 39.681592, 48.954399, 49.747041
0.996831, 39.286475, 49.095665, 49.841146
0.996888, 39.394736, 49.131521, 49.905848
0.996790, 39.308679, 49.194924, 49.953853
0.997089, 39.557532, 48.970836, 49.693362
0.996821, 39.324782, 49.190568, 49.965974
0.996876, 39.424615, 49.244115, 49.951903
0.996783, 39.201204, 49.262862, 49.929913
0.996992, 39.522254, 49.105020, 49.741193
0.996715, 39.137916, 49.391717, 50.124760
0.996727, 39.294957, 49.126966, 49.925608
0.996571, 39.292943, 49.261419, 49.927489
0.996855, 39.612948, 49.066106, 49.686075
0.996553, 39.258318, 49.260808, 49.975562
0.996622, 39.348780, 49.368244, 50.024873
0.996593, 39.362689, 49.467494, 50.135514
0.996894, 39.713396, 49.383937, 49.973170
0.996513, 39.263579, 49.600627, 50.175956
0.996646, 39.460213, 49.425718, 50.115849
0.996553, 39.210971, 49.492362, 50.221321
0.996881, 39.717720, 49.439021, 50.183237
0.996503, 39.260490, 49.544252, 50.211815
0.996596, 39.405983, 49.467648, 50.148363
0.996543, 39.269962, 49.685509, 50.240796
0.996938, 39.842780, 49.600865, 50.269478
0.996702, 39.518837, 49.701744, 50.496946
0.996729, 39.736290, 49.882311, 50.597760
0.996653, 39.740850, 50.099150, 50.713250
0.996945, 40.201328, 49.850799, 50.580595
0.996589, 39.849493, 50.061382, 50.657043
0.996678, 39.943622, 49.970521, 50.573510
0.996645, 39.855779, 49.895903, 50.454060
0.996862, 40.242954, 49.652122, 50.282545
0.996539, 39.763343, 49.874362, 50.422475
0.996629, 39.935504, 49.727069, 50.318674
0.996490, 39.749611, 49.904742, 50.516459
0.996812, 40.285826, 49.671242, 50.254360
0.996494, 39.789270, 49.831655, 50.365122
0.996605, 40.016070, 49.886630, 50.451229
0.996527, 39.854408, 49.783623, 50.488763
0.996874, 40.325323, 49.650383, 50.316211
0.996524, 39.941241, 49.890303, 50.578210
0.996611, 40.004365, 49.927232, 50.466339
0.996482, 39.817798, 49.898734, 50.562113
0.996818, 40.295803, 49.820069, 50.389723
0.996619, 39.864581, 50.046912, 50.732698
0.996711, 39.997289, 49.893611, 50.564555
0.996591, 39.827869, 50.085440, 50.662374
0.996991, 40.314089, 49.925009, 50.522536
0.996783, 39.882858, 50.152744, 50.675732
0.996875, 40.003436, 50.165072, 50.656706
0.996826, 39.892870, 50.115820, 50.768291
0.997043, 40.107631, 49.847607, 50.539833
0.996734, 39.587030, 50.189561, 50.733796
0.996829, 39.694778, 50.013751, 50.566602
0.996753, 39.476465, 49.895988, 50.454768
0.997041, 39.824135, 49.706889, 50.451808
0.996760, 39.211798, 49.554260, 50.368718
0.996796, 39.348330, 49.349113, 50.134587
0.996658, 39.100640, 49.413038, 50.179489
0.996995, 39.600294, 49.361532, 50.085617
0.996723, 39.137989, 49.422722, 50.203453
0.996732, 39.188128, 49.425845, 50.183449
0.996641, 39.051489, 49.451292, 50.179459
0.996932, 39.441983, 49.220988, 49.954111
0.996601, 38.929184, 49.242459, 50.071832
0.996688, 39.006155, 49.176612, 49.913684
0.996621, 38.916096, 49.137530, 49.911951
0.996846, 39.280419, 49.049632, 49.822963
0.996603, 38.954869, 49.372056, 50.065324
0.996672, 39.079176, 49.081376, 49.918433
0.996586, 39.016090, 49.411164, 50.124194
