ms-ssim, psnr-y, psnr-u, psnr-v
0.995004, 44.560105, 50.408249, 50.466759
0.995247, 44.903677, 50.657987, 50.263530
0.995784, 45.414255, 51.028866, 50.779967
0.995263, 45.178993, 50.284680, 50.291619
0.994345, 44.307529, 49.879547, 49.899924
0.995144, 45.066828, 50.083371, 50.274293
0.995766, 45.619919, 50.674242, 50.768153
0.995285, 45.436151, 49.880562, 50.098408
0.994159, 44.380204, 49.687585, 49.601659
0.995244, 45.432589, 50.097341, 50.169682
0.995888, 45.817901, 50.532912, 50.601953
0.995377, 45.481947, 49.901794, 49.892904
0.994566, 44.685246, 49.537158, 49.190375
0.995778, 45.648518, 50.119245, 49.664904
0.995132, 44.911758, 49.825524, 48.645447
0.992993, 43.133524, 48.726780, 47.767499
0.995499, 45.006728, 49.412000, 48.704609
0.995772, 45.046572, 49.643488, 49.050168
0.995986, 45.437522, 49.652336, 48.966424
0.995732, 44.869824, 49.552167, 48.764109
0.996691, 45.906911, 50.044158, 49.297961
0.996762, 45.653731, 50.345397, 49.157827
0.996762, 45.849826, 50.189895, 49.419652
0.996944, 46.059122, 50.344707, 49.494478
0.997337, 46.676277, 50.694672, 49.809403
0.997212, 46.351226, 50.523811, 49.660773
0.997436, 46.800105, 50.617665, 49.770707
0.997357, 46.505090, 50.597627, 49.696443
0.997417, 46.735931, 50.586895, 49.727341
0.997604, 46.973164, 50.817456, 49.897290
0.997595, 47.124339, 50.927272, 50.009943
0.997466, 46.738307, 50.781493, 49.811429
0.997786, 47.532209, 51.103119, 49.980610
0.997623, 46.935186, 50.946226, 49.759448
0.997800, 47.444778, 51.272492, 50.244106
0.997806, 47.300454, 51.060316, 50.001409
0.998051, 48.023910, 51.529201, 50.526854
0.997950, 47.610370, 51.296964, 50.379271
0.998115, 48.051881, 51.411430, 50.494607
0.998049, 47.809991, 51.420225, 50.430854
0.998089, 48.015068, 51.518167, 50.527901
0.998317, 48.486645, 51.725636, 50.769468
0.998311, 48.649747, 51.974828, 50.847477
0.998236, 48.281957, 51.794585, 50.691101
0.998399, 48.662202, 51.981548, 50.834284
0.998360, 48.687337, 52.066925, 50.934276
0.998271, 48.374925, 51.891763, 50.765282
0.998419, 48.710061, 52.171710, 50.988896
0.998468, 49.022096, 52.441609, 51.156966
0.998341, 48.617810, 52.155299, 50.921821
0.998517, 49.092959, 52.305081, 51.064685
0.998489, 48.790227, 52.327762, 51.066278
0.998478, 48.827515, 52.277176, 51.088345
0.998625, 49.223266, 52.465733, 51.297393
0.998597, 49.367467, 52.614948, 51.400490
0.998590, 49.078204, 52.594828, 51.266086
0.998670, 49.375625, 52.600839, 51.287283
0.998624, 49.286877, 52.708906, 51.400611
0.998554, 48.981553, 52.457251, 51.156058
0.998667, 49.332973, 52.731628, 51.380208
0.998680, 49.595686, 52.720171, 51.382041
0.998582, 49.143868, 52.410341, 51.181136
0.998741, 49.621746, 52.596831, 51.375311
0.998648, 49.235592, 52.715022, 51.346719
0.998568, 49.151092, 52.678022, 51.392095
0.998706, 49.524824, 52.829452, 51.532830
0.998741, 49.815782, 53.110043, 51.748945
0.998735, 49.444744, 53.135209, 51.665031
0.998934, 50.189077, 53.348672, 51.876732
0.998855, 49.998713, 53.363363, 51.909230
0.998807, 49.565359, 53.296652, 51.806389
0.998893, 50.027907, 53.280827, 51.863578
0.998849, 49.883997, 53.361099, 51.924329
0.998761, 49.400300, 53.239560, 51.816155
0.998879, 49.902417, 53.450640, 51.894273
0.998881, 50.179882, 53.448202, 51.954731
0.998777, 49.502788, 53.258978, 51.737513
0.998927, 50.111393, 53.308310, 51.782638
0.998824, 49.651025, 53.267458, 51.712114
0.998738, 49.443373, 53.284099, 51.775259
0.998888, 49.949360, 53.420906, 51.862999
0.998873, 50.175383, 53.616084, 51.953594
0.998889, 49.819061, 53.503705, 51.898625
0.998940, 50.120705, 53.417021, 51.948688
0.998897, 49.959622, 53.578917, 52.035082
0.998806, 49.563085, 53.405131, 51.904374
0.998941, 50.034724, 53.607494, 52.008347
0.998928, 50.273482, 53.519647, 52.045330
0.998843, 49.653099, 53.291206, 51.886165
0.998937, 50.102985, 53.358837, 51.953049
0.998919, 49.827495, 53.373121, 51.847668
0.998822, 49.603444, 53.360031, 51.893018
0.998997, 50.213002, 53.500458, 52.046490
0.998923, 50.324481, 53.603239, 52.119969
0.998949, 49.998141, 53.561966, 52.023149
0.998974, 50.248363, 53.518018, 52.001954
0.998941, 50.138124, 53.720852, 52.158776
0.998844, 49.653688, 53.486074, 51.965884
0.998990, 50.204721, 53.710145, 52.117325
0.998959, 50.330779, 53.662725, 52.080944
0.998889, 49.717123, 53.441154, 51.917832
0.998998, 50.320531, 53.473349, 51.941429
0.998968, 49.988148, 53.484392, 51.866919
0.998889, 49.686850, 53.534471, 51.959098
0.999003, 50.185551, 53.634386, 52.046351
0.998954, 50.293984, 53.685625, 52.106859
0.998975, 49.991004, 53.617951, 51.969533
0.999137, 50.707378, 53.885347, 52.182813
0.998998, 50.510211, 53.763464, 52.117231
0.998997, 50.079620, 53.697359, 52.071453
0.999018, 50.376686, 53.657070, 52.047187
0.998985, 50.219004, 53.797176, 52.210405
0.998895, 49.717897, 53.593812, 52.023564
0.999039, 50.333815, 53.821706, 52.191735
0.998994, 50.435066, 53.794675, 52.189670
0.998924, 49.786988, 53.607760, 52.033276
0.999030, 50.375895, 53.603704, 52.062728
0.998985, 49.971219, 53.600847, 51.955413
0.998906, 49.737924, 53.620419, 52.045051
0.999043, 50.325004, 53.660570, 52.129142
0.999002, 50.445685, 53.759122, 52.232791
0.999002, 50.011686, 53.666433, 52.094117
0.999149, 50.763183, 53.850314, 52.308039
0.999000, 50.488771, 53.726455, 52.193848
0.998988, 50.020852, 53.730491, 52.147022
0.999004, 50.332039, 53.674194, 52.123797
0.998961, 50.147268, 53.774926, 52.186216
0.998878, 49.663549, 53.613952, 52.060817
0.998997, 50.173610, 53.806149, 52.177258
0.998933, 50.039753, 53.817864, 52.203852
